,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21
HAP1_chr11,0.094424,0.100959,0.109695,0.113374,0.107257,0.112906,0.102862,0.113245,0.113997,0.110045,0.000000,0.115752,0.111790,0.114995,0.115254,0.114241,0.116332,0.115690,0.112098,0.119008,0.116691,0.094130,0.101091,0.110708,0.114237,0.106949,0.113329,0.104383,0.114934,0.114492,0.111912,0.001842,0.118446,0.111359,0.115978,0.116619,0.115051,0.118236,0.116287,0.114174,0.119062,0.117141
HAP1_chr12,0.100697,0.109052,0.101741,0.103236,0.108375,0.104776,0.110655,0.101510,0.102228,0.100301,0.115752,0.000000,0.106541,0.096464,0.103689,0.104331,0.105696,0.106705,0.101450,0.106615,0.092767,0.100784,0.109175,0.104914,0.105006,0.108108,0.106522,0.111958,0.104770,0.102807,0.102899,0.116140,0.002204,0.106200,0.096684,0.106736,0.104850,0.109987,0.110059,0.107688,0.106814,0.092852
HAP1_chr13,0.101810,0.105331,0.104415,0.090522,0.110033,0.110197,0.112350,0.107369,0.107352,0.103539,0.111790,0.106541,0.000000,0.107529,0.109270,0.106574,0.107347,0.107393,0.104925,0.110963,0.111423,0.101702,0.105699,0.106693,0.091117,0.109692,0.111575,0.113834,0.109911,0.107746,0.105586,0.112103,0.109519,0.005030,0.107579,0.111740,0.107112,0.109607,0.110127,0.108294,0.111118,0.111560
HAP1_chr14,0.102467,0.108586,0.102146,0.104304,0.112146,0.104346,0.108077,0.102924,0.102793,0.101560,0.114995,0.096464,0.107529,0.000000,0.105317,0.105148,0.107027,0.107910,0.103049,0.099527,0.110205,0.102381,0.108794,0.105663,0.106200,0.112049,0.106114,0.109211,0.106204,0.103429,0.104109,0.115486,0.099426,0.106958,0.004152,0.109188,0.105905,0.111551,0.111568,0.109083,0.099707,0.110316
HAP1_chr15,0.104512,0.107983,0.098778,0.096858,0.111416,0.108715,0.112228,0.102957,0.104986,0.103687,0.115254,0.103689,0.109270,0.105317,0.000000,0.106232,0.107510,0.094307,0.101012,0.106740,0.108300,0.104401,0.108255,0.101440,0.098404,0.111321,0.109485,0.113259,0.104648,0.105233,0.104914,0.115471,0.105766,0.109235,0.105591,0.002298,0.106581,0.109721,0.095098,0.104874,0.106825,0.108487
HAP1_chr16,0.104325,0.108142,0.104493,0.107163,0.110855,0.106012,0.111236,0.105485,0.088289,0.102577,0.114241,0.104331,0.106574,0.105148,0.106232,0.000000,0.108391,0.107219,0.102375,0.106678,0.108893,0.103838,0.108419,0.106617,0.108534,0.110652,0.107046,0.111786,0.107755,0.088685,0.104469,0.114657,0.106804,0.106412,0.105300,0.108572,0.001517,0.111210,0.109619,0.106373,0.106855,0.109229
HAP1_chr17,0.105326,0.109607,0.105416,0.107574,0.094715,0.107838,0.114114,0.102861,0.103843,0.105104,0.116332,0.105696,0.107347,0.107027,0.107510,0.108391,0.000000,0.109573,0.103612,0.111438,0.114102,0.105431,0.109969,0.107577,0.109008,0.094750,0.109158,0.114611,0.105842,0.104708,0.107637,0.116530,0.109838,0.107277,0.107356,0.110158,0.109150,0.002721,0.112475,0.109947,0.111753,0.114114
HAP1_chr18,0.105099,0.110414,0.105208,0.108746,0.105896,0.109715,0.112898,0.107482,0.106510,0.104019,0.115690,0.106705,0.107393,0.107910,0.094307,0.107219,0.109573,0.000000,0.104335,0.110452,0.111258,0.105174,0.110711,0.106903,0.110233,0.105579,0.111106,0.113787,0.110791,0.106798,0.106058,0.116299,0.109401,0.107021,0.107703,0.095369,0.107775,0.112274,0.002397,0.107715,0.110654,0.111300
HAP1_chr19,0.098662,0.090367,0.101526,0.103538,0.109499,0.102411,0.110044,0.099192,0.100489,0.099895,0.112098,0.101450,0.104925,0.103049,0.101012,0.102375,0.103612,0.104335,0.000000,0.105077,0.105434,0.099022,0.090473,0.103065,0.104799,0.109229,0.103377,0.110899,0.100856,0.100805,0.101210,0.112434,0.103374,0.104540,0.103072,0.102988,0.102764,0.106718,0.106305,0.003022,0.105204,0.105501
HAP1_chr20,0.109017,0.111461,0.110462,0.111544,0.115714,0.114023,0.119175,0.095858,0.105808,0.107161,0.119008,0.106615,0.110963,0.099527,0.106740,0.106678,0.111438,0.110452,0.105077,0.000000,0.108152,0.108438,0.111913,0.111583,0.112393,0.115379,0.115637,0.120551,0.096155,0.107845,0.107347,0.119351,0.107778,0.111082,0.099067,0.108561,0.106468,0.113282,0.112450,0.108899,0.000690,0.108428
HAP1_chr21,0.110972,0.112534,0.111306,0.111737,0.113181,0.115000,0.115508,0.110159,0.108671,0.108659,0.116691,0.092767,0.111423,0.110205,0.108300,0.108893,0.114102,0.111258,0.105434,0.108152,0.000000,0.110108,0.112730,0.111327,0.111912,0.112900,0.115322,0.117870,0.110231,0.109108,0.107700,0.117166,0.092626,0.110987,0.110036,0.109069,0.108327,0.113974,0.110998,0.106471,0.108118,0.004440
HAP2_chr01,0.006671,0.105926,0.096088,0.100100,0.106225,0.097793,0.106609,0.098124,0.102630,0.094310,0.094130,0.100784,0.101702,0.102381,0.104401,0.103838,0.105431,0.105174,0.099022,0.108438,0.110108,0.000000,0.106213,0.100448,0.102393,0.106152,0.098989,0.107801,0.102391,0.103335,0.098604,0.094208,0.105962,0.101522,0.102965,0.107670,0.105182,0.109760,0.108900,0.105371,0.108661,0.110347
HAP2_chr02,0.106201,0.002969,0.106723,0.109448,0.112322,0.108518,0.110647,0.107263,0.107813,0.106427,0.101091,0.109175,0.105699,0.108794,0.108255,0.108419,0.109969,0.110711,0.090473,0.111913,0.112730,0.106213,0.000000,0.107888,0.110479,0.112050,0.109589,0.112044,0.109304,0.108148,0.108502,0.101709,0.111790,0.105377,0.109135,0.110554,0.109093,0.112503,0.112444,0.092277,0.112038,0.112709
HAP2_chr03,0.100152,0.107517,0.004659,0.086004,0.108479,0.103603,0.107859,0.103413,0.105371,0.086713,0.110708,0.104914,0.106693,0.105663,0.101440,0.106617,0.107577,0.106903,0.103065,0.111583,0.111327,0.100448,0.107888,0.000000,0.091234,0.108294,0.104397,0.108457,0.106093,0.105991,0.088872,0.110961,0.108418,0.106287,0.106236,0.104410,0.108060,0.110822,0.109317,0.107206,0.111708,0.111238
HAP2_chr04,0.102396,0.110038,0.083928,0.003571,0.113235,0.104479,0.111069,0.102817,0.105908,0.103140,0.114237,0.105006,0.091117,0.106200,0.098404,0.108534,0.109008,0.110233,0.104799,0.112393,0.111912,0.102393,0.110479,0.091234,0.000000,0.112878,0.105472,0.112290,0.105487,0.106532,0.105483,0.114584,0.108557,0.091078,0.106557,0.103003,0.109477,0.112725,0.113069,0.110639,0.112557,0.112067
HAP2_chr05,0.105906,0.111782,0.105848,0.111257,0.003276,0.112681,0.097150,0.109700,0.110418,0.103977,0.106949,0.108108,0.109692,0.112049,0.111321,0.110652,0.094750,0.105579,0.109229,0.115379,0.112900,0.106152,0.112050,0.108294,0.112878,0.000000,0.112801,0.098542,0.112549,0.110925,0.107750,0.107059,0.112769,0.109263,0.112416,0.112968,0.111687,0.095207,0.106677,0.111373,0.115394,0.112868
HAP2_chr06,0.097752,0.109336,0.100311,0.102890,0.113129,0.002873,0.089713,0.099676,0.104400,0.098974,0.113329,0.106522,0.111575,0.106114,0.109485,0.107046,0.109158,0.111106,0.103377,0.115637,0.115322,0.098989,0.109589,0.104397,0.105472,0.112801,0.000000,0.089687,0.103176,0.104824,0.104626,0.113556,0.111939,0.111014,0.107390,0.113215,0.109869,0.114496,0.114107,0.111078,0.115694,0.115422
HAP2_chr07,0.107077,0.111840,0.106197,0.110382,0.098846,0.089875,0.003721,0.107761,0.112215,0.105950,0.104383,0.111958,0.113834,0.109211,0.113259,0.111786,0.114611,0.113787,0.110899,0.120551,0.117870,0.107801,0.112044,0.108457,0.112290,0.098542,0.089687,0.000000,0.110983,0.112179,0.110888,0.104622,0.115925,0.113829,0.110935,0.115288,0.113656,0.117392,0.115221,0.114156,0.120700,0.117979
HAP2_chr08,0.102644,0.108978,0.104164,0.104256,0.112794,0.102520,0.110462,0.005722,0.102876,0.100621,0.114934,0.104770,0.109911,0.106204,0.104648,0.107755,0.105842,0.110791,0.100856,0.096155,0.110231,0.102391,0.109304,0.106093,0.105487,0.112549,0.103176,0.110983,0.000000,0.103374,0.102473,0.115111,0.108542,0.109898,0.106678,0.106624,0.108599,0.109449,0.112508,0.106566,0.096167,0.110384
HAP2_chr09,0.103256,0.108083,0.103476,0.105056,0.111067,0.103904,0.111057,0.100565,0.003830,0.101248,0.114492,0.102807,0.107746,0.103429,0.105233,0.088685,0.104708,0.106798,0.100805,0.107845,0.109108,0.103335,0.108148,0.105991,0.106532,0.110925,0.104824,0.112179,0.103374,0.000000,0.103484,0.114782,0.107481,0.107441,0.103744,0.108224,0.089008,0.109448,0.110038,0.106862,0.108017,0.109270
HAP2_chr10,0.099153,0.108411,0.087926,0.103876,0.107946,0.103646,0.109956,0.100375,0.103278,0.003363,0.111912,0.102899,0.105586,0.104109,0.104914,0.104469,0.107637,0.106058,0.101210,0.107347,0.107700,0.098604,0.108502,0.088872,0.105483,0.107750,0.104626,0.110888,0.102473,0.103484,0.000000,0.112130,0.105248,0.105398,0.104088,0.107013,0.105069,0.109894,0.108575,0.105525,0.107521,0.107565
HAP2_chr11,0.094511,0.101571,0.110091,0.113712,0.107400,0.113189,0.103085,0.113574,0.114403,0.110260,0.001842,0.116140,0.112103,0.115486,0.115471,0.114657,0.116530,0.116299,0.112434,0.119351,0.117166,0.094208,0.101709,0.110961,0.114584,0.107059,0.113556,0.104622,0.115111,0.114782,0.112130,0.000000,0.118713,0.111666,0.116334,0.116776,0.115504,0.118343,0.116920,0.114448,0.119391,0.117550
HAP2_chr12,0.106388,0.111779,0.107292,0.107523,0.113096,0.110457,0.114755,0.107112,0.107159,0.105126,0.118446,0.002204,0.109519,0.099426,0.105766,0.106804,0.109838,0.109401,0.103374,0.107778,0.092626,0.105962,0.111790,0.108418,0.108557,0.112769,0.111939,0.115925,0.108542,0.107481,0.105248,0.118713,0.000000,0.109203,0.099199,0.107521,0.106630,0.111768,0.111390,0.107213,0.107884,0.092780
HAP2_chr13,0.101467,0.105151,0.104032,0.090418,0.109603,0.109760,0.112237,0.107145,0.107008,0.103286,0.111359,0.106200,0.005030,0.106958,0.109235,0.106412,0.107277,0.107021,0.104540,0.111082,0.110987,0.101522,0.105377,0.106287,0.091078,0.109263,0.111014,0.113829,0.109898,0.107441,0.105398,0.111666,0.109203,0.000000,0.106988,0.111795,0.106946,0.109642,0.109828,0.108044,0.111233,0.111221
HAP2_chr14,0.103192,0.109014,0.103191,0.104902,0.112518,0.105479,0.109669,0.103629,0.103211,0.101994,0.115978,0.096684,0.107579,0.004152,0.105591,0.105300,0.107356,0.107703,0.103072,0.099067,0.110036,0.102965,0.109135,0.106236,0.106557,0.112416,0.107390,0.110935,0.106678,0.103744,0.104088,0.116334,0.099199,0.106988,0.000000,0.109036,0.105881,0.111422,0.111313,0.108679,0.099255,0.110038
HAP2_chr15,0.108030,0.110248,0.103651,0.102285,0.113181,0.113004,0.114359,0.106081,0.108163,0.106850,0.116619,0.106736,0.111740,0.109188,0.002298,0.108572,0.110158,0.095369,0.102988,0.108561,0.109069,0.107670,0.110554,0.104410,0.103003,0.112968,0.113215,0.115288,0.106624,0.108224,0.107013,0.116776,0.107521,0.111795,0.109036,0.000000,0.108618,0.110958,0.095332,0.105088,0.108571,0.109281
HAP2_chr16,0.105867,0.108790,0.106352,0.108436,0.111927,0.108808,0.112886,0.106764,0.088575,0.104147,0.115051,0.104850,0.107112,0.105905,0.106581,0.001517,0.109150,0.107775,0.102764,0.106468,0.108327,0.105182,0.109093,0.108060,0.109477,0.111687,0.109869,0.113656,0.108599,0.089008,0.105069,0.115504,0.106630,0.106946,0.105881,0.108618,0.000000,0.111419,0.109971,0.106228,0.106632,0.108699
HAP2_chr17,0.110024,0.112218,0.110504,0.112276,0.095214,0.114118,0.116657,0.108320,0.109026,0.109235,0.118236,0.109987,0.109607,0.111551,0.109721,0.111210,0.002721,0.112274,0.106718,0.113282,0.113974,0.109760,0.112503,0.110822,0.112725,0.095207,0.114496,0.117392,0.109449,0.109448,0.109894,0.118343,0.111768,0.109642,0.111422,0.110958,0.111419,0.000000,0.113419,0.109859,0.113480,0.113931
HAP2_chr18,0.108937,0.112128,0.109066,0.112306,0.107058,0.113632,0.114338,0.110900,0.110067,0.107873,0.116287,0.110059,0.110127,0.111568,0.095098,0.109619,0.112475,0.002397,0.106305,0.112450,0.110998,0.108900,0.112444,0.109317,0.113069,0.106677,0.114107,0.115221,0.112508,0.110038,0.108575,0.116920,0.111390,0.109828,0.111313,0.095332,0.109971,0.113419,0.000000,0.107786,0.112473,0.111146
HAP2_chr19,0.105712,0.092275,0.107505,0.110355,0.111591,0.111012,0.113148,0.106537,0.106976,0.106172,0.114174,0.107688,0.108294,0.109083,0.104874,0.106373,0.109947,0.107715,0.003022,0.108899,0.106471,0.105371,0.092277,0.107206,0.110639,0.111373,0.111078,0.114156,0.106566,0.106862,0.105525,0.114448,0.107213,0.108044,0.108679,0.105088,0.106228,0.109859,0.107786,0.000000,0.108918,0.106582
HAP2_chr20,0.109260,0.111573,0.110735,0.111768,0.115778,0.114166,0.119346,0.095958,0.105994,0.107377,0.119062,0.106814,0.111118,0.099707,0.106825,0.106855,0.111753,0.110654,0.105204,0.000690,0.108118,0.108661,0.112038,0.111708,0.112557,0.115394,0.115694,0.120700,0.096167,0.108017,0.107521,0.119391,0.107884,0.111233,0.099255,0.108571,0.106632,0.113480,0.112473,0.108918,0.000000,0.108405
HAP2_chr21,0.111230,0.112589,0.111331,0.112002,0.113276,0.115156,0.115766,0.110277,0.108813,0.108471,0.117141,0.092852,0.111560,0.110316,0.108487,0.109229,0.114114,0.111300,0.105501,0.108428,0.004440,0.110347,0.112709,0.111238,0.112067,0.112868,0.115422,0.117979,0.110384,0.109270,0.107565,0.117550,0.092780,0.111221,0.110038,0.109281,0.108699,0.113931,0.111146,0.106582,0.108405,0.000000
