,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr13,0.860361,0.859975,0.860212,0.857846,0.860146,0.863154,0.858316,0.862061,0.862952,0.868218,0.862044,0.663641,0.000000,0.869881,0.866262,0.870786,0.870872,0.868879,0.861043,0.859973,0.861191,0.860506,0.859263,0.862354,0.857845,0.861179,0.861812,0.867829,0.861894,0.661949,0.403775,0.868873,0.866582,0.870179,0.871856,0.869832
HAP1_chr14,0.868923,0.868641,0.869683,0.865534,0.867403,0.866944,0.863370,0.866682,0.869336,0.874416,0.866586,0.871353,0.869881,0.000000,0.867858,0.872118,0.690337,0.871739,0.869286,0.868946,0.869978,0.866960,0.868923,0.866015,0.862713,0.867018,0.867647,0.873659,0.866181,0.870792,0.868405,0.330322,0.868674,0.871058,0.692556,0.872434
HAP1_chr15,0.859652,0.860197,0.865278,0.861768,0.864238,0.865310,0.860713,0.857852,0.861687,0.867644,0.671915,0.862958,0.866262,0.867858,0.000000,0.865661,0.866859,0.870711,0.859203,0.860022,0.865291,0.863001,0.863626,0.864439,0.860097,0.857343,0.859769,0.867597,0.675494,0.863334,0.864454,0.867921,0.358720,0.865958,0.867434,0.870830
HAP1_chr16,0.863207,0.865058,0.869968,0.866553,0.867814,0.865839,0.864482,0.860730,0.863989,0.872989,0.869060,0.867629,0.870786,0.872118,0.865661,0.000000,0.870220,0.679337,0.863536,0.865618,0.869777,0.868574,0.868231,0.865797,0.865116,0.861097,0.862131,0.872432,0.867652,0.867035,0.869441,0.870816,0.866580,0.351815,0.869919,0.680420
HAP1_chr17,0.867051,0.867505,0.871373,0.869081,0.870381,0.870622,0.866838,0.864810,0.866260,0.872833,0.868081,0.867358,0.870872,0.690337,0.866859,0.870220,0.000000,0.873207,0.866286,0.867317,0.871907,0.870120,0.871072,0.869017,0.866616,0.865504,0.865663,0.873041,0.868678,0.868140,0.869265,0.690030,0.868665,0.869756,0.370642,0.874964
HAP1_chr18,0.867608,0.868406,0.868964,0.865214,0.866820,0.867125,0.864115,0.866782,0.868668,0.873801,0.866738,0.870348,0.868879,0.871739,0.870711,0.679337,0.873207,0.000000,0.867712,0.868088,0.868821,0.867018,0.867555,0.867290,0.863202,0.866068,0.867144,0.873474,0.867356,0.871140,0.866139,0.870786,0.870718,0.679920,0.874463,0.338063
HAP2_chr01,0.236996,0.846173,0.851661,0.851425,0.625920,0.858217,0.851826,0.850200,0.855465,0.858299,0.859084,0.858894,0.861043,0.869286,0.859203,0.863536,0.866286,0.867712,0.000000,0.846437,0.852538,0.854262,0.626302,0.857589,0.851067,0.850517,0.853709,0.858622,0.858650,0.858888,0.857650,0.868230,0.860423,0.863658,0.866526,0.868190
HAP2_chr02,0.846516,0.290069,0.619252,0.850904,0.851166,0.859461,0.852396,0.851567,0.856554,0.857784,0.859452,0.857999,0.859973,0.868946,0.860022,0.865618,0.867317,0.868088,0.846437,0.000000,0.621968,0.853414,0.851166,0.858932,0.851706,0.851021,0.853864,0.857327,0.860092,0.859061,0.857936,0.868251,0.860858,0.865353,0.867313,0.868885
HAP2_chr03,0.852112,0.621037,0.264202,0.853400,0.851590,0.860452,0.854392,0.857789,0.862404,0.862963,0.861841,0.863334,0.861191,0.869978,0.865291,0.869777,0.871907,0.868821,0.852538,0.621968,0.000000,0.855971,0.851591,0.859527,0.853554,0.858225,0.861203,0.862528,0.861023,0.864379,0.858628,0.868852,0.866452,0.869931,0.872466,0.868731
HAP2_chr04,0.854249,0.854292,0.856371,0.372067,0.853212,0.858808,0.853151,0.857351,0.860560,0.637924,0.859299,0.862700,0.860506,0.866960,0.863001,0.868574,0.870120,0.867018,0.854262,0.853414,0.855971,0.000000,0.853273,0.858646,0.852872,0.856938,0.859838,0.640253,0.859674,0.862484,0.857760,0.866030,0.863963,0.868675,0.870863,0.867562
HAP2_chr05,0.625276,0.851044,0.850946,0.850395,0.267352,0.858506,0.851675,0.855704,0.860444,0.861754,0.857905,0.861048,0.859263,0.868923,0.863626,0.868231,0.871072,0.867555,0.626302,0.851166,0.851591,0.853273,0.000000,0.857396,0.850852,0.855932,0.859313,0.861685,0.858842,0.862214,0.856017,0.867737,0.864899,0.869126,0.871684,0.867618
HAP2_chr06,0.857408,0.858684,0.858960,0.855770,0.856798,0.335450,0.855538,0.859054,0.658759,0.867887,0.860867,0.864116,0.862354,0.866015,0.864439,0.865797,0.869017,0.867290,0.857589,0.858932,0.859527,0.858646,0.857396,0.000000,0.854945,0.858407,0.658645,0.867882,0.860282,0.864259,0.860075,0.866488,0.863783,0.865280,0.869595,0.868037
HAP2_chr07,0.851100,0.851462,0.853287,0.848636,0.850512,0.855252,0.311127,0.662211,0.858042,0.864019,0.853578,0.859753,0.857845,0.862713,0.860097,0.865116,0.866616,0.863202,0.851067,0.851706,0.853554,0.852872,0.850852,0.854945,0.000000,0.661671,0.854939,0.863031,0.853754,0.860676,0.854468,0.862885,0.861258,0.864595,0.867002,0.863879
HAP2_chr08,0.850377,0.851844,0.857578,0.854290,0.855560,0.858569,0.661332,0.388210,0.855957,0.863091,0.858158,0.856523,0.861179,0.867018,0.857343,0.861097,0.865504,0.866068,0.850517,0.851021,0.858225,0.856938,0.855932,0.858407,0.661671,0.000000,0.853108,0.862537,0.857527,0.857772,0.858570,0.866291,0.858293,0.860770,0.864202,0.867919
HAP2_chr09,0.853704,0.854765,0.860063,0.857017,0.858168,0.658937,0.855360,0.853100,0.356240,0.864785,0.861096,0.859696,0.861812,0.867647,0.859769,0.862131,0.865663,0.867144,0.853709,0.853864,0.861203,0.859838,0.859313,0.658645,0.854939,0.853108,0.000000,0.863973,0.860102,0.861058,0.860436,0.866672,0.858869,0.862283,0.865751,0.868282
HAP2_chr10,0.857461,0.857644,0.862376,0.647149,0.861787,0.868141,0.863721,0.862610,0.865372,0.274903,0.867063,0.865908,0.867829,0.873659,0.867597,0.872432,0.873041,0.873474,0.858622,0.857327,0.862528,0.640253,0.861685,0.867882,0.863031,0.862537,0.863973,0.000000,0.868204,0.866729,0.865599,0.873910,0.868541,0.872586,0.874022,0.874372
HAP2_chr11,0.859214,0.859483,0.860939,0.856754,0.857236,0.860321,0.853987,0.858944,0.862180,0.867675,0.370250,0.864207,0.861894,0.866181,0.675494,0.867652,0.868678,0.867356,0.858650,0.860092,0.861023,0.859674,0.858842,0.860282,0.853754,0.857527,0.860102,0.868204,0.000000,0.865178,0.859494,0.866217,0.675428,0.866940,0.868722,0.867588
HAP2_chr12,0.858623,0.859375,0.863326,0.860401,0.862416,0.864636,0.861325,0.859398,0.861017,0.867132,0.864086,0.265682,0.661949,0.870792,0.863334,0.867035,0.868140,0.871140,0.858888,0.859061,0.864379,0.862484,0.862214,0.864259,0.860676,0.857772,0.861058,0.866729,0.865178,0.000000,0.670072,0.869747,0.863463,0.867824,0.868617,0.872437
HAP2_chr13,0.857584,0.857809,0.857277,0.855166,0.856262,0.860130,0.855770,0.860007,0.862206,0.865572,0.859728,0.670794,0.403775,0.868405,0.864454,0.869441,0.869265,0.866139,0.857650,0.857936,0.858628,0.857760,0.856017,0.860075,0.854468,0.858570,0.860436,0.865599,0.859494,0.670072,0.000000,0.866801,0.865097,0.869672,0.869881,0.868177
HAP2_chr14,0.867589,0.868225,0.868426,0.864790,0.867365,0.866939,0.863520,0.866792,0.868144,0.874339,0.866670,0.870435,0.868873,0.330322,0.867921,0.870816,0.690030,0.870786,0.868230,0.868251,0.868852,0.866030,0.867737,0.866488,0.862885,0.866291,0.866672,0.873910,0.866217,0.869747,0.866801,0.000000,0.868587,0.871038,0.692988,0.871372
HAP2_chr15,0.860982,0.860766,0.866123,0.862695,0.864593,0.862769,0.860815,0.858476,0.859602,0.868947,0.673195,0.862513,0.866582,0.868674,0.358720,0.866580,0.868665,0.870718,0.860423,0.860858,0.866452,0.863963,0.864899,0.863783,0.861258,0.858293,0.858869,0.868541,0.675428,0.863463,0.865097,0.868587,0.000000,0.866124,0.868685,0.870499
HAP2_chr16,0.863078,0.865633,0.870929,0.866332,0.869023,0.865625,0.864149,0.861356,0.863758,0.872773,0.868003,0.867887,0.870179,0.871058,0.865958,0.351815,0.869756,0.679920,0.863658,0.865353,0.869931,0.868675,0.869126,0.865280,0.864595,0.860770,0.862283,0.872586,0.866940,0.867824,0.869672,0.871038,0.866124,0.000000,0.869029,0.678618
HAP2_chr17,0.867607,0.868056,0.871846,0.868609,0.870676,0.870645,0.867337,0.864295,0.866737,0.873199,0.868779,0.868670,0.871856,0.692556,0.867434,0.869919,0.370642,0.874463,0.866526,0.867313,0.872466,0.870863,0.871684,0.869595,0.867002,0.864202,0.865751,0.874022,0.868722,0.868617,0.869881,0.692988,0.868685,0.869029,0.000000,0.875413
HAP2_chr18,0.867794,0.868459,0.869140,0.866343,0.866879,0.867651,0.864077,0.866987,0.869265,0.875100,0.867414,0.871827,0.869832,0.872434,0.870830,0.680420,0.874964,0.338063,0.868190,0.868885,0.868731,0.867562,0.867618,0.868037,0.863879,0.867919,0.868282,0.874372,0.867588,0.872437,0.868177,0.871372,0.870499,0.678618,0.875413,0.000000
