,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26
HAP1_chr22,0.103335,0.135554,0.135241,0.134916,0.133712,0.131994,0.134260,0.131823,0.127357,0.131512,0.132203,0.131288,0.126969,0.131098,0.131832,0.128284,0.128434,0.135231,0.129842,0.128589,0.130289,0.000000,0.130771,0.132780,0.128562,0.129979,0.102301,0.135370,0.134900,0.134974,0.134152,0.131238,0.133712,0.132260,0.127269,0.131971,0.132562,0.131194,0.127285,0.130832,0.132001,0.127378,0.128322,0.135185,0.128916,0.127118,0.129701,0.004235,0.131889,0.130116,0.126196,0.130975
HAP1_chr23,0.133386,0.119013,0.136563,0.135238,0.134532,0.134065,0.134128,0.132874,0.130575,0.132751,0.133094,0.133357,0.129254,0.132423,0.130583,0.130141,0.116454,0.136507,0.129798,0.131298,0.130641,0.130771,0.000000,0.131863,0.133802,0.129512,0.132821,0.119152,0.136555,0.135566,0.134967,0.133734,0.134774,0.133649,0.130411,0.132823,0.133867,0.132855,0.129079,0.132295,0.130802,0.129301,0.117018,0.135868,0.128679,0.131771,0.132811,0.130136,0.001748,0.130324,0.133839,0.130861
HAP1_chr24,0.105101,0.140190,0.137840,0.136729,0.136649,0.135558,0.135420,0.133030,0.133507,0.134312,0.135747,0.133066,0.131450,0.135058,0.132263,0.133021,0.135964,0.137303,0.130505,0.133124,0.131341,0.132780,0.131863,0.000000,0.134932,0.130315,0.106400,0.139447,0.138810,0.136493,0.137570,0.134991,0.135766,0.133437,0.133522,0.133746,0.135382,0.132989,0.132129,0.135078,0.131492,0.132921,0.135909,0.136945,0.130051,0.133173,0.133278,0.133464,0.132114,0.002709,0.135497,0.131924
HAP1_chr25,0.137145,0.129600,0.135856,0.137556,0.127988,0.134852,0.136174,0.133307,0.132661,0.134841,0.135072,0.133098,0.134419,0.132975,0.132864,0.133019,0.133489,0.138662,0.109043,0.131289,0.133262,0.128562,0.133802,0.134932,0.000000,0.131021,0.136836,0.129658,0.135991,0.137964,0.128574,0.134226,0.136888,0.133971,0.132678,0.134955,0.135176,0.133203,0.134380,0.132936,0.132830,0.132755,0.133090,0.138123,0.109396,0.131544,0.133429,0.128519,0.133692,0.135277,0.000915,0.132885
HAP1_chr26,0.134573,0.137391,0.134351,0.136124,0.135730,0.132879,0.134522,0.130894,0.131688,0.132258,0.134126,0.130688,0.129898,0.131733,0.131346,0.131997,0.130318,0.102185,0.127497,0.130533,0.130379,0.129979,0.129512,0.130315,0.131021,0.000000,0.134933,0.137448,0.135390,0.135320,0.135672,0.133155,0.134754,0.132548,0.131363,0.131761,0.133414,0.130524,0.130116,0.132393,0.130585,0.131236,0.130448,0.101492,0.127269,0.130432,0.131387,0.129741,0.129200,0.130573,0.131376,0.004738
HAP2_chr01,0.004406,0.128984,0.131445,0.130040,0.129361,0.127075,0.129752,0.128496,0.126517,0.128773,0.129964,0.129281,0.128482,0.128079,0.128511,0.129029,0.131313,0.136684,0.128979,0.131859,0.131402,0.102301,0.132821,0.106400,0.136836,0.134933,0.000000,0.128946,0.131644,0.129765,0.128755,0.127221,0.130222,0.129014,0.126074,0.128539,0.129861,0.128984,0.128418,0.128342,0.128565,0.126953,0.131639,0.138187,0.128572,0.132854,0.133261,0.101277,0.134479,0.104214,0.136323,0.135103
HAP2_chr02,0.130255,0.001469,0.129877,0.127689,0.128277,0.125632,0.127551,0.128223,0.128151,0.099493,0.128161,0.127521,0.135243,0.129087,0.129957,0.129864,0.136379,0.148305,0.131851,0.134410,0.120851,0.135370,0.119152,0.139447,0.129658,0.137448,0.128946,0.000000,0.129925,0.127614,0.127764,0.125458,0.127836,0.128950,0.127903,0.099529,0.127240,0.127176,0.135159,0.129281,0.129622,0.128622,0.136154,0.148501,0.131600,0.135045,0.121938,0.134394,0.119428,0.140321,0.129298,0.137375
HAP2_chr03,0.132273,0.130471,0.001692,0.090125,0.128443,0.126956,0.129218,0.129272,0.127940,0.128007,0.130113,0.127549,0.134911,0.129756,0.129670,0.129116,0.134481,0.147729,0.132417,0.133945,0.133743,0.134900,0.136555,0.138810,0.135991,0.135390,0.131644,0.129925,0.000000,0.090113,0.128310,0.126322,0.129476,0.129639,0.127790,0.128115,0.129968,0.127793,0.134692,0.129696,0.129292,0.128524,0.134797,0.146842,0.131715,0.134054,0.135317,0.133803,0.136820,0.139040,0.136174,0.135284
HAP2_chr04,0.130675,0.127823,0.090083,0.001577,0.127554,0.125554,0.126554,0.127680,0.128526,0.126254,0.127892,0.127014,0.132019,0.128385,0.127607,0.128302,0.134964,0.144659,0.130118,0.134364,0.133602,0.134974,0.135566,0.136493,0.137964,0.135320,0.129765,0.127614,0.090113,0.000000,0.127539,0.125310,0.126875,0.128196,0.128229,0.125889,0.127270,0.126602,0.132524,0.128884,0.127237,0.127186,0.134754,0.144190,0.129930,0.134652,0.135315,0.134764,0.136193,0.136898,0.138058,0.135751
HAP2_chr05,0.129794,0.128038,0.128076,0.127374,0.002941,0.125444,0.127197,0.128389,0.102387,0.125751,0.127980,0.127307,0.132269,0.126827,0.127001,0.129109,0.132688,0.144944,0.129397,0.134523,0.113138,0.134152,0.134967,0.137570,0.128574,0.135672,0.128755,0.127764,0.128310,0.127539,0.000000,0.125464,0.127525,0.129018,0.102374,0.125837,0.127814,0.127294,0.132267,0.126681,0.126834,0.127982,0.133449,0.144622,0.128927,0.134645,0.114401,0.133533,0.135631,0.137535,0.128894,0.135367
HAP2_chr06,0.127548,0.125723,0.126166,0.125619,0.125369,0.002247,0.090413,0.125400,0.124355,0.124092,0.125382,0.124622,0.131696,0.126129,0.126253,0.125854,0.131187,0.142643,0.127490,0.130016,0.130988,0.131238,0.133734,0.134991,0.134226,0.133155,0.127221,0.125458,0.126322,0.125310,0.125464,0.000000,0.090504,0.125822,0.124280,0.123973,0.125124,0.124443,0.131827,0.126214,0.125977,0.125077,0.131084,0.142488,0.127152,0.130607,0.132420,0.130667,0.134031,0.135621,0.134248,0.133289
HAP2_chr07,0.130336,0.128127,0.129384,0.127082,0.127882,0.090671,0.002109,0.127624,0.126407,0.125835,0.127538,0.126641,0.131577,0.127473,0.128297,0.128627,0.134562,0.146271,0.130760,0.132907,0.133477,0.133712,0.134774,0.135766,0.136888,0.134754,0.130222,0.127836,0.129476,0.126875,0.127525,0.090504,0.000000,0.128198,0.125901,0.125835,0.127164,0.126015,0.131788,0.127701,0.128013,0.127214,0.134502,0.145426,0.130034,0.131959,0.133872,0.132830,0.135212,0.136183,0.135775,0.134313
HAP2_chr08,0.129556,0.129100,0.129540,0.129045,0.129328,0.125851,0.128070,0.001201,0.126393,0.126426,0.129169,0.125728,0.130737,0.092556,0.126055,0.126203,0.131239,0.140946,0.129236,0.128732,0.130562,0.132260,0.133649,0.133437,0.133971,0.132548,0.129014,0.128950,0.129639,0.128196,0.129018,0.125822,0.128198,0.000000,0.126015,0.125672,0.128183,0.125504,0.130680,0.093163,0.125892,0.125331,0.131144,0.141322,0.128870,0.128946,0.130954,0.131589,0.133604,0.134156,0.134233,0.132566
HAP2_chr09,0.126089,0.128343,0.127776,0.128432,0.102916,0.124252,0.126304,0.125339,0.001387,0.125781,0.127498,0.125536,0.126223,0.126030,0.126586,0.124510,0.128592,0.137720,0.115221,0.128346,0.129520,0.127269,0.130411,0.133522,0.132678,0.131363,0.126074,0.127903,0.127790,0.128229,0.102374,0.124280,0.125901,0.126015,0.000000,0.125756,0.126703,0.125146,0.125888,0.126053,0.126657,0.122936,0.128662,0.138163,0.114801,0.127414,0.130404,0.125719,0.131658,0.130940,0.130649,0.131261
HAP2_chr10,0.128965,0.099627,0.128237,0.126073,0.126172,0.124040,0.125505,0.125091,0.125794,0.000938,0.126976,0.124407,0.130508,0.126605,0.126108,0.126519,0.110465,0.142818,0.128075,0.131457,0.130885,0.131971,0.132823,0.133746,0.134955,0.131761,0.128539,0.099529,0.128115,0.125889,0.125837,0.123973,0.125835,0.125672,0.125756,0.000000,0.126412,0.124311,0.130913,0.126428,0.125642,0.125408,0.110643,0.142284,0.127316,0.131497,0.131919,0.130916,0.133222,0.134647,0.135178,0.131876
HAP2_chr11,0.130435,0.127535,0.130063,0.127282,0.128090,0.125338,0.126913,0.127728,0.126942,0.126738,0.003084,0.090410,0.131761,0.127033,0.127336,0.127172,0.132723,0.143765,0.129056,0.132377,0.132612,0.132562,0.133867,0.135382,0.135176,0.133414,0.129861,0.127240,0.129968,0.127270,0.127814,0.125124,0.127164,0.128183,0.126703,0.126412,0.000000,0.090273,0.131646,0.127155,0.126625,0.125978,0.132740,0.144030,0.128776,0.132374,0.133461,0.131630,0.134282,0.135690,0.135305,0.133655
HAP2_chr12,0.129136,0.127732,0.127620,0.126570,0.127750,0.124719,0.126039,0.124991,0.125599,0.124839,0.090577,0.001563,0.130784,0.127293,0.126557,0.125805,0.131279,0.139221,0.127003,0.130893,0.129920,0.131194,0.132855,0.132989,0.133203,0.130524,0.128984,0.127176,0.127793,0.126602,0.127294,0.124443,0.126015,0.125504,0.125146,0.124311,0.090273,0.000000,0.130577,0.127208,0.126109,0.124598,0.132071,0.139939,0.126475,0.130830,0.130800,0.130117,0.132482,0.133895,0.133243,0.130624
HAP2_chr13,0.128395,0.135097,0.134516,0.132665,0.132207,0.131750,0.132908,0.129748,0.126129,0.130767,0.132259,0.130531,0.002872,0.130928,0.130094,0.130117,0.127692,0.135164,0.127586,0.093715,0.127724,0.127285,0.129079,0.132129,0.134380,0.130116,0.128418,0.135159,0.134692,0.132524,0.132267,0.131827,0.131788,0.130680,0.125888,0.130913,0.131646,0.130577,0.000000,0.130950,0.130236,0.128608,0.127680,0.135512,0.127141,0.092642,0.127483,0.126607,0.130913,0.129600,0.130993,0.131320
HAP2_chr14,0.129129,0.129760,0.129282,0.129038,0.126978,0.126466,0.127284,0.093724,0.125965,0.126159,0.127076,0.127377,0.130828,0.002044,0.127684,0.128236,0.131163,0.140413,0.127964,0.130269,0.130141,0.130832,0.132295,0.135078,0.132936,0.132393,0.128342,0.129281,0.129696,0.128884,0.126681,0.126214,0.127701,0.093163,0.126053,0.126428,0.127155,0.127208,0.130950,0.000000,0.127551,0.127500,0.131848,0.139846,0.127217,0.130959,0.130758,0.130309,0.132908,0.134871,0.132939,0.132088
HAP2_chr15,0.129199,0.129422,0.129063,0.127481,0.127094,0.126060,0.127621,0.125611,0.126875,0.126107,0.127437,0.125998,0.129558,0.126983,0.002984,0.095714,0.130861,0.139915,0.126412,0.130202,0.130243,0.132001,0.130802,0.131492,0.132830,0.130585,0.128565,0.129622,0.129292,0.127237,0.126834,0.125977,0.128013,0.125892,0.126657,0.125642,0.126625,0.126109,0.130236,0.127551,0.000000,0.095463,0.130819,0.141545,0.126491,0.130402,0.131615,0.131527,0.130912,0.132671,0.132999,0.130982
HAP2_chr16,0.127331,0.129104,0.128413,0.127305,0.128741,0.125138,0.126863,0.124656,0.123123,0.125669,0.127010,0.124906,0.128815,0.127331,0.095541,0.001483,0.129519,0.137438,0.128357,0.128658,0.128637,0.127378,0.129301,0.132921,0.132755,0.131236,0.126953,0.128622,0.128524,0.127186,0.127982,0.125077,0.127214,0.125331,0.122936,0.125408,0.125978,0.124598,0.128608,0.127500,0.095463,0.000000,0.129516,0.137635,0.127755,0.129018,0.130286,0.126493,0.130890,0.131060,0.132211,0.131648
HAP2_chr17,0.131120,0.135848,0.134657,0.134512,0.133833,0.131407,0.135037,0.130631,0.128716,0.110562,0.132615,0.131841,0.127706,0.131413,0.130723,0.130819,0.001563,0.135358,0.128606,0.130619,0.130811,0.128322,0.117018,0.135909,0.133090,0.130448,0.131639,0.136154,0.134797,0.134754,0.133449,0.131084,0.134502,0.131144,0.128662,0.110643,0.132740,0.132071,0.127680,0.131848,0.130819,0.129516,0.000000,0.135198,0.128552,0.128196,0.129001,0.127833,0.117148,0.133517,0.130436,0.131030
HAP2_chr18,0.139617,0.147981,0.146004,0.144475,0.145064,0.142679,0.144885,0.139982,0.138661,0.142615,0.144459,0.139944,0.134288,0.139699,0.141755,0.138786,0.135139,0.003829,0.133727,0.135564,0.137155,0.135185,0.135868,0.136945,0.138123,0.101492,0.138187,0.148501,0.146842,0.144190,0.144622,0.142488,0.145426,0.141322,0.138163,0.142284,0.144030,0.139939,0.135512,0.139846,0.141545,0.137635,0.135198,0.000000,0.133850,0.136155,0.137859,0.134582,0.135649,0.132246,0.137683,0.100435
HAP2_chr19,0.129371,0.132176,0.131510,0.130128,0.128780,0.128263,0.129770,0.128382,0.115359,0.127458,0.128141,0.126595,0.127168,0.127502,0.127326,0.128174,0.128652,0.133224,0.000918,0.128860,0.128247,0.128916,0.128679,0.130051,0.109396,0.127269,0.128572,0.131600,0.131715,0.129930,0.128927,0.127152,0.130034,0.128870,0.114801,0.127316,0.128776,0.126475,0.127141,0.127217,0.126491,0.127755,0.128552,0.133850,0.000000,0.128591,0.128857,0.128893,0.128870,0.130459,0.109795,0.128446
HAP2_chr20,0.132616,0.135345,0.133542,0.134722,0.134151,0.130828,0.132380,0.128475,0.127037,0.131684,0.133377,0.130924,0.092424,0.130747,0.130661,0.129762,0.128631,0.136575,0.128681,0.002462,0.130720,0.127118,0.131771,0.133173,0.131544,0.130432,0.132854,0.135045,0.134054,0.134652,0.134645,0.130607,0.131959,0.128946,0.127414,0.131497,0.132374,0.130830,0.092642,0.130959,0.130402,0.129018,0.128196,0.136155,0.128591,0.000000,0.130052,0.126316,0.133054,0.132624,0.128981,0.130770
HAP2_chr21,0.132907,0.121774,0.135210,0.135056,0.113618,0.132448,0.134733,0.130410,0.130292,0.132464,0.133721,0.130650,0.127064,0.130812,0.131294,0.131085,0.128890,0.137924,0.128771,0.131194,0.002102,0.129701,0.132811,0.133278,0.133429,0.131387,0.133261,0.121938,0.135317,0.135315,0.114401,0.132420,0.133872,0.130954,0.130404,0.131919,0.133461,0.130800,0.127483,0.130758,0.131615,0.130286,0.129001,0.137859,0.128857,0.130052,0.000000,0.129437,0.133144,0.132990,0.131363,0.131130
HAP2_chr22,0.102165,0.134822,0.134276,0.134664,0.133202,0.131061,0.133751,0.131058,0.125714,0.130925,0.131537,0.130153,0.126692,0.130397,0.131318,0.127819,0.127789,0.134866,0.129992,0.128040,0.130325,0.004235,0.130136,0.133464,0.128519,0.129741,0.101277,0.134394,0.133803,0.134764,0.133533,0.130667,0.132830,0.131589,0.125719,0.130916,0.131630,0.130117,0.126607,0.130309,0.131527,0.126493,0.127833,0.134582,0.128893,0.126316,0.129437,0.000000,0.131419,0.129777,0.125809,0.130731
