,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19
HAP1_chr18,0.053107,0.069071,0.068913,0.079794,0.079996,0.098335,0.095829,0.095608,0.091469,0.091418,0.094071,0.094294,0.091078,0.091456,0.091578,0.091260,0.091549,0.000000,0.091008,0.048890,0.071506,0.068286,0.079819,0.080002,0.098239,0.095767,0.095998,0.091119,0.091302,0.094371,0.094157,0.091431,0.091515,0.091061,0.090854,0.091083,0.019537,0.091434
HAP1_chr19,0.101018,0.089478,0.072056,0.095908,0.095506,0.097806,0.082455,0.081802,0.090924,0.091021,0.093596,0.093600,0.090231,0.091280,0.090777,0.014101,0.090371,0.091008,0.000000,0.100914,0.088839,0.072186,0.095991,0.095762,0.097755,0.082077,0.082729,0.091101,0.090755,0.093879,0.093650,0.090514,0.091389,0.090817,0.026185,0.089853,0.090547,0.025500
HAP2_chr01,0.007294,0.074675,0.077666,0.077731,0.077588,0.068650,0.095744,0.096490,0.081605,0.081334,0.083685,0.084161,0.083906,0.099910,0.100608,0.100208,0.085920,0.048890,0.100914,0.000000,0.074687,0.077754,0.077254,0.077527,0.068489,0.096340,0.096052,0.081451,0.081241,0.084425,0.084718,0.085470,0.100377,0.099458,0.100356,0.083747,0.052852,0.101032
HAP2_chr02,0.074808,0.005759,0.061133,0.085705,0.085673,0.092745,0.070267,0.070684,0.098587,0.098451,0.101048,0.101332,0.100290,0.084067,0.084789,0.088281,0.101945,0.071506,0.088839,0.074687,0.000000,0.058970,0.085465,0.085601,0.092773,0.070931,0.070674,0.098417,0.098233,0.101428,0.101967,0.102005,0.084710,0.083797,0.088624,0.100127,0.070277,0.088988
HAP2_chr03,0.077815,0.060696,0.005147,0.085673,0.085679,0.086563,0.077391,0.077864,0.095431,0.095091,0.100069,0.100462,0.097078,0.075507,0.076330,0.071825,0.098511,0.068286,0.072186,0.077754,0.058970,0.000000,0.085171,0.085776,0.086610,0.077836,0.077535,0.095019,0.095004,0.100544,0.100673,0.098947,0.075952,0.074956,0.070626,0.096871,0.066867,0.071911
HAP2_chr04,0.077350,0.085518,0.085197,0.018114,0.017474,0.084005,0.088058,0.088351,0.093718,0.093832,0.090811,0.090856,0.079411,0.095239,0.095711,0.095548,0.080933,0.079819,0.095991,0.077254,0.085465,0.085171,0.000000,0.017195,0.084123,0.088251,0.088108,0.093774,0.093224,0.091226,0.091222,0.080098,0.095708,0.095195,0.095510,0.079029,0.079397,0.096242
HAP2_chr05,0.077674,0.085625,0.085742,0.017002,0.017567,0.084217,0.088166,0.088457,0.094037,0.094162,0.090855,0.090762,0.079310,0.095487,0.095785,0.095589,0.081091,0.080002,0.095762,0.077527,0.085601,0.085776,0.017195,0.000000,0.084259,0.088497,0.088224,0.093955,0.093406,0.090865,0.091213,0.080351,0.095671,0.095347,0.095637,0.079180,0.079528,0.096138
HAP2_chr06,0.068497,0.092766,0.086514,0.084504,0.084560,0.004886,0.097353,0.098194,0.070729,0.070626,0.081548,0.082166,0.070841,0.097618,0.097598,0.097562,0.073569,0.098239,0.097755,0.068489,0.092773,0.086610,0.084123,0.084259,0.000000,0.097784,0.097834,0.070173,0.070557,0.082433,0.082317,0.072502,0.097855,0.096939,0.097283,0.070753,0.097335,0.098080
HAP2_chr07,0.096184,0.070828,0.077914,0.088475,0.088061,0.097711,0.008588,0.019485,0.093534,0.093504,0.090174,0.090283,0.094384,0.077799,0.078711,0.081684,0.095369,0.095767,0.082077,0.096340,0.070931,0.077836,0.088251,0.088497,0.097784,0.000000,0.018201,0.093670,0.093076,0.090683,0.090700,0.095273,0.078525,0.077855,0.081590,0.094217,0.095080,0.082040
HAP2_chr08,0.095967,0.070707,0.077528,0.088272,0.088141,0.097831,0.018170,0.018404,0.093798,0.093508,0.090303,0.090424,0.094240,0.077130,0.078113,0.082299,0.095390,0.095998,0.082729,0.096052,0.070674,0.077535,0.088108,0.088224,0.097834,0.018201,0.000000,0.093532,0.093080,0.090942,0.090921,0.095281,0.077639,0.077021,0.082103,0.094323,0.095378,0.082533
HAP2_chr09,0.081441,0.098642,0.095037,0.094000,0.093942,0.070092,0.093501,0.093464,0.020607,0.021007,0.073296,0.073529,0.089931,0.090626,0.091211,0.090747,0.090431,0.091119,0.091101,0.081451,0.098417,0.095019,0.093774,0.093955,0.070173,0.093670,0.093532,0.000000,0.020950,0.073466,0.073927,0.090874,0.090892,0.090336,0.089822,0.089540,0.090513,0.090445
HAP2_chr10,0.081252,0.098386,0.095030,0.093546,0.093195,0.070406,0.093100,0.092954,0.022160,0.021879,0.073197,0.073324,0.089574,0.090388,0.090383,0.090445,0.090293,0.091302,0.090755,0.081241,0.098233,0.095004,0.093224,0.093406,0.070557,0.093076,0.093080,0.020950,0.000000,0.073409,0.073640,0.090263,0.090477,0.089977,0.089955,0.089144,0.090404,0.090117
HAP2_chr11,0.083618,0.101653,0.100455,0.091184,0.090999,0.082229,0.090862,0.090903,0.073479,0.073392,0.020292,0.020375,0.092970,0.093408,0.093872,0.093541,0.093447,0.094371,0.093879,0.084425,0.101428,0.100544,0.091226,0.090865,0.082433,0.090683,0.090942,0.073466,0.073409,0.000000,0.020680,0.093053,0.093758,0.093322,0.093137,0.092645,0.093501,0.093488
HAP2_chr12,0.084008,0.102099,0.100641,0.091338,0.091039,0.081980,0.090930,0.091134,0.073818,0.073710,0.006472,0.020691,0.093017,0.093174,0.093591,0.093563,0.093801,0.094157,0.093650,0.084718,0.101967,0.100673,0.091222,0.091213,0.082317,0.090700,0.090921,0.073927,0.073640,0.020680,0.000000,0.093454,0.093933,0.093513,0.093347,0.093261,0.093424,0.093691
HAP2_chr13,0.085513,0.102211,0.098803,0.080484,0.080349,0.072778,0.095359,0.095193,0.090718,0.090581,0.093223,0.092901,0.017661,0.091234,0.091222,0.090352,0.024229,0.091431,0.090514,0.085470,0.102005,0.098947,0.080098,0.080351,0.072502,0.095273,0.095281,0.090874,0.090263,0.093053,0.093454,0.000000,0.091331,0.090668,0.090293,0.022271,0.090860,0.090184
HAP2_chr14,0.100542,0.084543,0.076123,0.095869,0.095562,0.098054,0.078104,0.078243,0.090985,0.090867,0.093610,0.093701,0.090095,0.018535,0.015231,0.091151,0.091141,0.091515,0.091389,0.100377,0.084710,0.075952,0.095708,0.095671,0.097855,0.078525,0.077639,0.090892,0.090477,0.093758,0.093933,0.091331,0.000000,0.020154,0.090660,0.090504,0.090671,0.091111
HAP2_chr15,0.099505,0.083642,0.075031,0.095011,0.094943,0.097109,0.077294,0.077639,0.090525,0.090548,0.093182,0.093564,0.089780,0.019516,0.019612,0.090783,0.090636,0.091061,0.090817,0.099458,0.083797,0.074956,0.095195,0.095347,0.096939,0.077855,0.077021,0.090336,0.089977,0.093322,0.093513,0.090668,0.020154,0.000000,0.090139,0.089841,0.090374,0.090590
HAP2_chr16,0.100401,0.089082,0.070792,0.095199,0.095075,0.097234,0.081883,0.081350,0.089987,0.090157,0.092825,0.093317,0.089934,0.090514,0.090671,0.025155,0.090138,0.090854,0.026185,0.100356,0.088624,0.070626,0.095510,0.095637,0.097283,0.081590,0.082103,0.089822,0.089955,0.093137,0.093347,0.090293,0.090660,0.090139,0.000000,0.089736,0.090368,0.023836
HAP2_chr17,0.083878,0.100192,0.096763,0.079454,0.079409,0.071179,0.094266,0.094192,0.089212,0.089473,0.092817,0.092997,0.022182,0.090327,0.090676,0.089819,0.023431,0.091083,0.089853,0.083747,0.100127,0.096871,0.079029,0.079180,0.070753,0.094217,0.094323,0.089540,0.089144,0.092645,0.093261,0.022271,0.090504,0.089841,0.089736,0.000000,0.090033,0.089655
HAP2_chr18,0.051736,0.070184,0.067488,0.079390,0.079342,0.097436,0.094980,0.094894,0.090602,0.090569,0.093231,0.093404,0.090102,0.090528,0.090620,0.090449,0.090612,0.019537,0.090547,0.052852,0.070277,0.066867,0.079397,0.079528,0.097335,0.095080,0.095378,0.090513,0.090404,0.093501,0.093424,0.090860,0.090671,0.090374,0.090368,0.090033,0.000000,0.090863
HAP2_chr19,0.101248,0.089407,0.071875,0.096050,0.095708,0.097975,0.082264,0.081544,0.090492,0.090489,0.093313,0.093891,0.089785,0.090821,0.091248,0.025296,0.090582,0.091434,0.025500,0.101032,0.088988,0.071911,0.096242,0.096138,0.098080,0.082040,0.082533,0.090445,0.090117,0.093488,0.093691,0.090184,0.091111,0.090590,0.023836,0.089655,0.090863,0.000000
