,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11
HAP2_chr07,0.101009,0.099867,0.098424,0.101903,0.101973,0.100272,0.024752,0.100129,0.100830,0.099887,0.100226,0.100943,0.100071,0.099180,0.101206,0.101313,0.100749,0.000000,0.100097,0.101818,0.102136,0.100486,0.100443,0.100801,0.100185,0.102379,0.101263,0.100504,0.024270,0.099223,0.102072,0.099896,0.100314,0.100851,0.100950,0.100064,0.101148,0.100955,0.100550,0.025368,0.101102,0.101254,0.101552,0.101535
HAP2_chr08,0.096668,0.097236,0.096019,0.099229,0.099372,0.097807,0.098234,0.025148,0.098376,0.097481,0.097375,0.097212,0.097686,0.095709,0.099640,0.098417,0.098090,0.100097,0.000000,0.098557,0.099624,0.098471,0.095907,0.097729,0.096997,0.101078,0.098356,0.098170,0.098216,0.025826,0.097841,0.097159,0.097062,0.096746,0.097135,0.097428,0.100215,0.098841,0.097549,0.098804,0.025616,0.099125,0.098199,0.097927
HAP2_chr09,0.099652,0.100152,0.098964,0.101398,0.101667,0.100384,0.100782,0.098842,0.023337,0.099683,0.099845,0.100555,0.100252,0.098746,0.101478,0.101261,0.101150,0.101818,0.098557,0.000000,0.101757,0.099372,0.099902,0.100213,0.099605,0.102745,0.101126,0.100592,0.100820,0.098172,0.022240,0.099676,0.099454,0.100065,0.100258,0.099811,0.101741,0.100745,0.101158,0.101534,0.100905,0.021918,0.100983,0.099964
HAP2_chr10,0.099924,0.100543,0.099644,0.101025,0.100868,0.099715,0.101909,0.099129,0.099981,0.029692,0.099661,0.100613,0.101336,0.099638,0.102290,0.100861,0.100337,0.102136,0.099624,0.101757,0.000000,0.099910,0.100140,0.100650,0.100454,0.102202,0.100688,0.100099,0.101174,0.098684,0.100832,0.026680,0.099230,0.100464,0.101202,0.101054,0.102373,0.101820,0.099382,0.100902,0.100432,0.100702,0.026092,0.099552
HAP2_chr11,0.099372,0.098652,0.099030,0.100939,0.101513,0.099945,0.099454,0.098396,0.099071,0.099067,0.028754,0.098780,0.099433,0.098365,0.100826,0.099779,0.099061,0.100486,0.098471,0.099372,0.099910,0.000000,0.099089,0.099555,0.098753,0.101760,0.100395,0.099956,0.099228,0.097827,0.099129,0.098407,0.028552,0.098717,0.099369,0.099080,0.101217,0.099054,0.099386,0.100387,0.099883,0.099013,0.099311,0.030436
HAP3_chr01,0.022567,0.096808,0.097034,0.099607,0.100011,0.098599,0.099596,0.097694,0.099415,0.098495,0.098597,0.022493,0.096900,0.096861,0.099454,0.098336,0.099343,0.100443,0.095907,0.099902,0.100140,0.099089,0.000000,0.097245,0.097888,0.100273,0.098888,0.099566,0.098203,0.096460,0.099397,0.099015,0.098781,0.022885,0.096749,0.097519,0.098756,0.099254,0.097838,0.099367,0.098933,0.100164,0.099657,0.099384
HAP3_chr02,0.097197,0.021984,0.097244,0.100425,0.099624,0.099654,0.100238,0.097689,0.098696,0.099868,0.099582,0.098028,0.018486,0.097099,0.099559,0.099146,0.099912,0.100801,0.097729,0.100213,0.100650,0.099555,0.097245,0.000000,0.098665,0.101107,0.100108,0.100108,0.099720,0.098503,0.100119,0.099500,0.099950,0.097351,0.022296,0.098787,0.100399,0.099130,0.099808,0.100506,0.100729,0.100670,0.101409,0.101165
HAP3_chr03,0.097911,0.098896,0.027492,0.100573,0.100559,0.098229,0.099614,0.097476,0.098754,0.099719,0.099068,0.098674,0.099138,0.025235,0.100562,0.099459,0.099006,0.100185,0.096997,0.099605,0.100454,0.098753,0.097888,0.098665,0.000000,0.100473,0.099768,0.099575,0.098174,0.096278,0.099075,0.099440,0.099328,0.098968,0.098593,0.025793,0.100448,0.099865,0.098563,0.099846,0.098806,0.100052,0.100590,0.099105
HAP3_chr04,0.100097,0.100873,0.100035,0.021342,0.102607,0.101067,0.101737,0.100527,0.101376,0.100549,0.101669,0.100492,0.100741,0.099662,0.020487,0.101398,0.101272,0.102379,0.101078,0.102745,0.102202,0.101760,0.100273,0.101107,0.100473,0.000000,0.101930,0.101233,0.101527,0.100721,0.101986,0.100986,0.101734,0.100620,0.100700,0.100782,0.020356,0.102090,0.100777,0.101382,0.101249,0.101857,0.102487,0.102359
HAP3_chr05,0.098971,0.099456,0.098988,0.101438,0.024957,0.099816,0.100864,0.098550,0.100179,0.099424,0.100145,0.099135,0.099491,0.099186,0.100829,0.021650,0.100269,0.101263,0.098356,0.101126,0.100688,0.100395,0.098888,0.100108,0.099768,0.101930,0.000000,0.100682,0.100176,0.098629,0.099760,0.099111,0.100066,0.099155,0.100239,0.100145,0.101404,0.022885,0.100225,0.100612,0.099519,0.100440,0.100636,0.101117
HAP3_chr06,0.099247,0.099624,0.098248,0.100880,0.101355,0.025108,0.099291,0.098560,0.100032,0.100107,0.099313,0.100182,0.100175,0.098270,0.101068,0.100619,0.025268,0.100504,0.098170,0.100592,0.100099,0.099956,0.099566,0.100108,0.099575,0.101233,0.100682,0.000000,0.099674,0.098542,0.100557,0.099778,0.100189,0.099772,0.099745,0.099359,0.101230,0.100989,0.025568,0.100681,0.100511,0.100472,0.100388,0.100004
HAP3_chr07,0.098731,0.098722,0.097125,0.100674,0.102163,0.099214,0.025205,0.097626,0.100237,0.099262,0.099733,0.099215,0.098686,0.099015,0.100323,0.100049,0.099561,0.024270,0.098216,0.100820,0.101174,0.099228,0.098203,0.099720,0.098174,0.101527,0.100176,0.099674,0.000000,0.097943,0.100390,0.098176,0.100388,0.099199,0.098962,0.098767,0.100454,0.100010,0.099375,0.026234,0.099270,0.100484,0.100631,0.099903
HAP3_chr08,0.096922,0.096714,0.096332,0.099169,0.099307,0.098443,0.098937,0.023962,0.098107,0.097170,0.097058,0.096691,0.097798,0.096559,0.099383,0.099047,0.098661,0.099223,0.025826,0.098172,0.098684,0.097827,0.096460,0.098503,0.096278,0.100721,0.098629,0.098542,0.097943,0.000000,0.097803,0.097421,0.097467,0.097026,0.097790,0.098162,0.099601,0.098515,0.097323,0.099133,0.027469,0.097788,0.097852,0.098278
HAP3_chr09,0.098817,0.099570,0.098781,0.100477,0.101221,0.099679,0.100773,0.099111,0.023664,0.099803,0.099834,0.099331,0.099890,0.098475,0.100358,0.099842,0.099958,0.102072,0.097841,0.022240,0.100832,0.099129,0.099397,0.100119,0.099075,0.101986,0.099760,0.100557,0.100390,0.097803,0.000000,0.099082,0.099189,0.099206,0.100169,0.098568,0.101970,0.100417,0.100199,0.101218,0.099705,0.022100,0.101146,0.100814
HAP3_chr10,0.098402,0.098816,0.097904,0.099671,0.100120,0.099066,0.099189,0.097764,0.098122,0.018674,0.098628,0.098659,0.099492,0.097966,0.100078,0.099199,0.098489,0.099896,0.097159,0.099676,0.026680,0.098407,0.099015,0.099500,0.099440,0.100986,0.099111,0.099778,0.098176,0.097421,0.099082,0.000000,0.098722,0.097758,0.098905,0.098696,0.101024,0.099287,0.097001,0.100336,0.098431,0.100060,0.028241,0.098515
HAP3_chr11,0.099371,0.099551,0.098150,0.101168,0.101081,0.099188,0.100218,0.098517,0.098877,0.098308,0.028260,0.099488,0.099724,0.098538,0.101709,0.100082,0.100064,0.100314,0.097062,0.099454,0.099230,0.028552,0.098781,0.099950,0.099328,0.101734,0.100066,0.100189,0.100388,0.097467,0.099189,0.098722,0.000000,0.098634,0.100040,0.098856,0.100974,0.099900,0.099701,0.099814,0.098893,0.099668,0.098499,0.027692
HAP4_chr01,0.021862,0.096647,0.096822,0.098706,0.100342,0.099019,0.099873,0.097954,0.099661,0.097317,0.099646,0.022447,0.096796,0.096569,0.099855,0.099006,0.100258,0.100851,0.096746,0.100065,0.100464,0.098717,0.022885,0.097351,0.098968,0.100620,0.099155,0.099772,0.099199,0.097026,0.099206,0.097758,0.098634,0.000000,0.096540,0.097009,0.099948,0.099371,0.099153,0.099605,0.098885,0.099805,0.100058,0.099651
HAP4_chr02,0.095998,0.022693,0.096970,0.099501,0.100124,0.098828,0.099396,0.097832,0.099203,0.098877,0.098669,0.096786,0.021239,0.097111,0.099319,0.099326,0.099206,0.100950,0.097135,0.100258,0.101202,0.099369,0.096749,0.022296,0.098593,0.100700,0.100239,0.099745,0.098962,0.097790,0.100169,0.098905,0.100040,0.096540,0.000000,0.097908,0.099521,0.099294,0.099435,0.100261,0.099696,0.100344,0.100331,0.101478
HAP4_chr03,0.097325,0.098111,0.025778,0.099721,0.100976,0.098119,0.099356,0.097615,0.099117,0.099002,0.099154,0.097209,0.098564,0.024588,0.100426,0.099118,0.099304,0.100064,0.097428,0.099811,0.101054,0.099080,0.097519,0.098787,0.025793,0.100782,0.100145,0.099359,0.098767,0.098162,0.098568,0.098696,0.098856,0.097009,0.097908,0.000000,0.100447,0.099196,0.099025,0.100150,0.099257,0.099755,0.100332,0.099452
HAP4_chr04,0.099218,0.099667,0.099098,0.021579,0.101702,0.100250,0.100964,0.100661,0.100752,0.100607,0.100048,0.099253,0.099728,0.099269,0.020450,0.100587,0.100890,0.101148,0.100215,0.101741,0.102373,0.101217,0.098756,0.100399,0.100448,0.020356,0.101404,0.101230,0.100454,0.099601,0.101970,0.101024,0.100974,0.099948,0.099521,0.100447,0.000000,0.101042,0.100073,0.101231,0.101366,0.100884,0.102216,0.101669
HAP4_chr05,0.098541,0.099506,0.099843,0.101056,0.023854,0.099764,0.100733,0.098951,0.099620,0.099193,0.099700,0.098654,0.099229,0.098699,0.100974,0.023838,0.100040,0.100955,0.098841,0.100745,0.101820,0.099054,0.099254,0.099130,0.099865,0.102090,0.022885,0.100989,0.100010,0.098515,0.100417,0.099287,0.099900,0.099371,0.099294,0.099196,0.101042,0.000000,0.099953,0.100534,0.100673,0.100895,0.101590,0.101072
HAP4_chr06,0.098284,0.099002,0.097675,0.100278,0.100782,0.025953,0.099794,0.098646,0.100036,0.098574,0.099301,0.098837,0.099558,0.098244,0.099914,0.099651,0.025987,0.100550,0.097549,0.101158,0.099382,0.099386,0.097838,0.099808,0.098563,0.100777,0.100225,0.025568,0.099375,0.097323,0.100199,0.097001,0.099701,0.099153,0.099435,0.099025,0.100073,0.099953,0.000000,0.099991,0.099670,0.100075,0.099305,0.099878
HAP4_chr07,0.099447,0.099652,0.098705,0.101400,0.101505,0.099716,0.024072,0.099269,0.100613,0.100357,0.100480,0.100436,0.100105,0.099828,0.101271,0.101054,0.101005,0.025368,0.098804,0.101534,0.100902,0.100387,0.099367,0.100506,0.099846,0.101382,0.100612,0.100681,0.026234,0.099133,0.101218,0.100336,0.099814,0.099605,0.100261,0.100150,0.101231,0.100534,0.099991,0.000000,0.100744,0.101130,0.101092,0.100331
HAP4_chr08,0.098700,0.099554,0.098160,0.101020,0.100904,0.100209,0.100450,0.027993,0.100281,0.098726,0.098500,0.099607,0.099957,0.098536,0.100706,0.099407,0.100344,0.101102,0.025616,0.100905,0.100432,0.099883,0.098933,0.100729,0.098806,0.101249,0.099519,0.100511,0.099270,0.027469,0.099705,0.098431,0.098893,0.098885,0.099696,0.099257,0.101366,0.100673,0.099670,0.100744,0.000000,0.100190,0.099755,0.099573
HAP4_chr09,0.099546,0.100290,0.099074,0.101447,0.101863,0.099745,0.100883,0.099459,0.022486,0.099902,0.098559,0.100024,0.100461,0.098964,0.100941,0.100490,0.100419,0.101254,0.099125,0.021918,0.100702,0.099013,0.100164,0.100670,0.100052,0.101857,0.100440,0.100472,0.100484,0.097788,0.022100,0.100060,0.099668,0.099805,0.100344,0.099755,0.100884,0.100895,0.100075,0.101130,0.100190,0.000000,0.101461,0.100926
HAP4_chr10,0.099735,0.100475,0.099547,0.101549,0.101458,0.099599,0.100587,0.099084,0.100767,0.028988,0.099484,0.100248,0.100673,0.099768,0.102557,0.101321,0.100506,0.101552,0.098199,0.100983,0.026092,0.099311,0.099657,0.101409,0.100590,0.102487,0.100636,0.100388,0.100631,0.097852,0.101146,0.028241,0.098499,0.100058,0.100331,0.100332,0.102216,0.101590,0.099305,0.101092,0.099755,0.101461,0.000000,0.099066
HAP4_chr11,0.099781,0.100046,0.099260,0.101379,0.101430,0.100024,0.100801,0.098894,0.100424,0.099262,0.028086,0.100260,0.100631,0.098628,0.101743,0.101173,0.100584,0.101535,0.097927,0.099964,0.099552,0.030436,0.099384,0.101165,0.099105,0.102359,0.101117,0.100004,0.099903,0.098278,0.100814,0.098515,0.027692,0.099651,0.101478,0.099452,0.101669,0.101072,0.099878,0.100331,0.099573,0.100926,0.099066,0.000000
