,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr07,HAP2_chr06,HAP2_chr08,HAP2_chr09,HAP2_chr11,HAP2_chr10,HAP2_chr12,HAP2_chr13,HAP2_chr14
HAP2_chr02,0.095256,0.015971,0.110210,0.050923,0.098175,0.098251,0.097963,0.097309,0.114230,0.114760,0.112359,0.115607,0.100135,0.118794,0.094663,0.000000,0.111329,0.050911,0.098173,0.097803,0.099174,0.098219,0.113824,0.112285,0.114084,0.116131,0.100823,0.118127
HAP2_chr03,0.053581,0.111445,0.012486,0.103859,0.111235,0.112350,0.111575,0.111368,0.102946,0.104281,0.102962,0.103897,0.112694,0.105738,0.053824,0.111329,0.000000,0.103025,0.111416,0.110911,0.113590,0.112235,0.103346,0.102049,0.103910,0.104070,0.113538,0.105716
HAP2_chr04,0.113006,0.051181,0.103375,0.010751,0.114138,0.114676,0.114988,0.113671,0.106405,0.106348,0.104976,0.106994,0.116557,0.108586,0.111894,0.050911,0.103025,0.000000,0.114233,0.114206,0.115932,0.114410,0.105706,0.104602,0.106183,0.107017,0.116883,0.108002
HAP2_chr05,0.096002,0.097625,0.110061,0.113622,0.012876,0.098054,0.097924,0.096668,0.052946,0.114789,0.113372,0.114549,0.099115,0.118375,0.094352,0.098173,0.111416,0.114233,0.000000,0.097223,0.098193,0.097668,0.052864,0.112179,0.113800,0.114565,0.100322,0.117522
HAP2_chr07,0.095948,0.098310,0.110402,0.113908,0.097123,0.097772,0.017118,0.096308,0.114146,0.114841,0.111999,0.054447,0.098309,0.117279,0.094826,0.097803,0.110911,0.114206,0.097223,0.000000,0.098270,0.097389,0.114163,0.111230,0.113867,0.055114,0.099101,0.116819
HAP2_chr06,0.097348,0.098662,0.112241,0.115569,0.098019,0.017404,0.097792,0.097860,0.114986,0.053821,0.114020,0.116101,0.099804,0.118487,0.096463,0.099174,0.113590,0.115932,0.098193,0.098270,0.000000,0.098391,0.115077,0.113658,0.053804,0.116164,0.100548,0.117991
HAP2_chr08,0.096892,0.098551,0.110967,0.114797,0.097326,0.097831,0.096834,0.020482,0.113882,0.115004,0.054898,0.115466,0.098510,0.116619,0.095404,0.098219,0.112235,0.114410,0.097668,0.097389,0.098391,0.000000,0.112732,0.055243,0.114664,0.115779,0.099166,0.116620
HAP2_chr09,0.112864,0.114726,0.102805,0.105459,0.053145,0.114754,0.113948,0.112237,0.008560,0.105579,0.104309,0.105000,0.114383,0.106690,0.112112,0.113824,0.103346,0.105706,0.052864,0.114163,0.115077,0.112732,0.000000,0.103516,0.104880,0.105082,0.115186,0.105972
HAP2_chr11,0.110703,0.112448,0.101967,0.104727,0.111465,0.112508,0.111845,0.055042,0.103704,0.104371,0.012420,0.104405,0.112033,0.104866,0.109804,0.112285,0.102049,0.104602,0.112179,0.111230,0.113658,0.055243,0.103516,0.000000,0.104195,0.104754,0.112873,0.104893
HAP2_chr10,0.113809,0.115011,0.103067,0.105494,0.113944,0.053643,0.114005,0.113305,0.105053,0.009949,0.104476,0.105882,0.114904,0.106905,0.112491,0.114084,0.103910,0.106183,0.113800,0.113867,0.053804,0.114664,0.104880,0.104195,0.000000,0.105612,0.115567,0.106438
HAP2_chr12,0.113967,0.116697,0.102682,0.106754,0.114906,0.115873,0.055626,0.114249,0.105188,0.106205,0.104778,0.009813,0.116030,0.106359,0.113378,0.116131,0.104070,0.107017,0.114565,0.055114,0.116164,0.115779,0.105082,0.104754,0.105612,0.000000,0.115771,0.105914
HAP2_chr13,0.098384,0.100965,0.112705,0.116626,0.099617,0.099494,0.098639,0.098123,0.115000,0.115666,0.113093,0.114912,0.017343,0.056099,0.097846,0.100823,0.113538,0.116883,0.100322,0.099101,0.100548,0.099166,0.115186,0.112873,0.115567,0.115771,0.000000,0.056189
HAP2_chr14,0.116094,0.118476,0.105069,0.107818,0.117091,0.117590,0.116059,0.115672,0.106663,0.106637,0.105235,0.105739,0.056293,0.006812,0.116419,0.118127,0.105716,0.108002,0.117522,0.116819,0.117991,0.116620,0.105972,0.104893,0.106438,0.105914,0.056189,0.000000
