,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06
HAP2_chr05,0.073569,0.074359,0.072064,0.072212,0.034735,0.071733,0.074324,0.072998,0.071340,0.071535,0.000000,0.072372,0.073726,0.072826,0.072028,0.071414,0.015373,0.072260,0.074534,0.073028,0.071351,0.071736,0.020256,0.072167
HAP2_chr06,0.074235,0.074988,0.073093,0.071863,0.072512,0.016120,0.074942,0.073575,0.072401,0.071600,0.072372,0.000000,0.074217,0.073439,0.073026,0.071693,0.072236,0.029595,0.075333,0.073542,0.072309,0.071880,0.072413,0.021631
HAP3_chr01,0.069944,0.026620,0.072029,0.072718,0.073454,0.073343,0.033540,0.069989,0.071915,0.072935,0.073726,0.074217,0.000000,0.070116,0.072055,0.072588,0.074292,0.075174,0.027258,0.070128,0.072140,0.072977,0.074163,0.074824
HAP3_chr02,0.022211,0.070380,0.071382,0.072172,0.073118,0.072436,0.070459,0.016701,0.071025,0.072227,0.072826,0.073439,0.070116,0.000000,0.071410,0.071832,0.073300,0.074147,0.070417,0.023705,0.071219,0.072195,0.073338,0.073872
HAP3_chr03,0.071830,0.072476,0.000809,0.072035,0.071989,0.072398,0.072491,0.071462,0.030279,0.072038,0.072028,0.073026,0.072055,0.071410,0.000000,0.071787,0.072206,0.073334,0.072723,0.071654,0.029364,0.072306,0.072224,0.073125
HAP3_chr04,0.072358,0.073010,0.071828,0.030631,0.072019,0.071230,0.073086,0.071951,0.071210,0.025405,0.071414,0.071693,0.072588,0.071832,0.071787,0.000000,0.071520,0.071869,0.073318,0.071979,0.071254,0.014144,0.071579,0.071833
HAP3_chr05,0.074060,0.075016,0.072250,0.072303,0.032126,0.071634,0.074904,0.073463,0.071577,0.071636,0.015373,0.072236,0.074292,0.073300,0.072206,0.071520,0.000000,0.071984,0.075249,0.073480,0.071535,0.071902,0.024424,0.072079
HAP3_chr06,0.075182,0.076208,0.073404,0.072348,0.072988,0.017853,0.076204,0.074467,0.072378,0.071755,0.072260,0.029595,0.075174,0.074147,0.073334,0.071869,0.071984,0.000000,0.076606,0.074539,0.072444,0.072009,0.072028,0.024771
HAP4_chr01,0.069975,0.029755,0.072664,0.073715,0.074314,0.074365,0.029427,0.070110,0.072607,0.073867,0.074534,0.075333,0.027258,0.070417,0.072723,0.073318,0.075249,0.076606,0.000000,0.070250,0.072875,0.073798,0.075276,0.076081
HAP4_chr02,0.024879,0.070232,0.071649,0.072239,0.073149,0.072672,0.070335,0.025315,0.071322,0.072405,0.073028,0.073542,0.070128,0.023705,0.071654,0.071979,0.073480,0.074539,0.070250,0.000000,0.071604,0.072385,0.073490,0.074169
HAP4_chr03,0.071836,0.072713,0.029700,0.071888,0.071982,0.071659,0.072799,0.071401,0.014589,0.071466,0.071351,0.072309,0.072140,0.071219,0.029364,0.071254,0.071535,0.072444,0.072875,0.071604,0.000000,0.071665,0.071577,0.072280
HAP4_chr04,0.072752,0.073445,0.072359,0.033498,0.072378,0.071406,0.073640,0.072319,0.071659,0.025750,0.071736,0.071880,0.072977,0.072195,0.072306,0.014144,0.071902,0.072009,0.073798,0.072385,0.071665,0.000000,0.071942,0.071995
HAP4_chr05,0.074026,0.074937,0.072303,0.072193,0.037597,0.071888,0.074949,0.073490,0.071547,0.071572,0.020256,0.072413,0.074163,0.073338,0.072224,0.071579,0.024424,0.072028,0.075276,0.073490,0.071577,0.071942,0.000000,0.072184
HAP4_chr06,0.074847,0.075717,0.073182,0.072084,0.072810,0.019471,0.075600,0.074093,0.072383,0.071676,0.072167,0.021631,0.074824,0.073872,0.073125,0.071833,0.072079,0.024771,0.076081,0.074169,0.072280,0.071995,0.072184,0.000000
