,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21
HAP2_chr03,0.118665,0.118894,0.006121,0.115273,0.115319,0.112541,0.115291,0.110392,0.121340,0.117320,0.117525,0.113133,0.115591,0.116716,0.117116,0.117075,0.110591,0.120716,0.114715,0.131072,0.132622,0.118351,0.118941,0.000000,0.114641,0.116090,0.111405,0.114258,0.109898,0.121159,0.116800,0.117355,0.110958,0.114854,0.116414,0.116859,0.116992,0.106698,0.120207,0.113209,0.131811,0.133246
HAP2_chr04,0.110457,0.118476,0.114176,0.002894,0.113275,0.107563,0.114527,0.113011,0.119783,0.114365,0.114016,0.113357,0.114102,0.115060,0.115290,0.113775,0.115602,0.112385,0.114258,0.135409,0.132193,0.110158,0.118427,0.114641,0.000000,0.114031,0.107507,0.113880,0.112996,0.119307,0.113794,0.114145,0.113175,0.114378,0.114855,0.115588,0.113908,0.115830,0.111973,0.112815,0.135935,0.133398
HAP2_chr05,0.119913,0.113218,0.116062,0.114643,0.003226,0.113374,0.114101,0.114183,0.120400,0.117069,0.113157,0.116047,0.116201,0.116034,0.115175,0.116611,0.116284,0.117860,0.111014,0.132503,0.130613,0.119149,0.112994,0.116090,0.114031,0.000000,0.113105,0.113267,0.114254,0.121020,0.116578,0.113312,0.115647,0.115349,0.116153,0.115429,0.117054,0.116588,0.117863,0.110093,0.134055,0.130968
HAP2_chr06,0.109743,0.116817,0.111925,0.107600,0.112240,0.005084,0.112319,0.112446,0.118421,0.113785,0.112359,0.109175,0.112358,0.112764,0.112618,0.110776,0.112413,0.113120,0.111938,0.131443,0.130140,0.109863,0.117543,0.111405,0.107507,0.113105,0.000000,0.111378,0.111769,0.118873,0.113062,0.112312,0.108160,0.111891,0.112613,0.112732,0.110960,0.111650,0.113059,0.110948,0.132192,0.130196
HAP2_chr07,0.118775,0.118889,0.114287,0.114291,0.111992,0.112433,0.005066,0.115044,0.120360,0.115016,0.112100,0.113344,0.113835,0.115252,0.115090,0.114624,0.116110,0.118753,0.114984,0.131857,0.128390,0.118235,0.118350,0.114258,0.113880,0.113267,0.111378,0.000000,0.114405,0.120049,0.114426,0.112478,0.112540,0.113183,0.115114,0.114982,0.115237,0.116296,0.118332,0.113428,0.133183,0.128680
HAP2_chr08,0.118350,0.119236,0.110181,0.113538,0.113082,0.112664,0.114952,0.003906,0.119838,0.114814,0.113772,0.112929,0.113953,0.113513,0.112015,0.114827,0.109344,0.117071,0.113501,0.126697,0.130360,0.118184,0.118767,0.109898,0.112996,0.114254,0.111769,0.114405,0.000000,0.119660,0.114602,0.113528,0.111994,0.114152,0.113571,0.111424,0.115124,0.109682,0.115827,0.111613,0.127989,0.131348
HAP2_chr09,0.125355,0.123993,0.121689,0.119034,0.119636,0.119233,0.120574,0.119658,0.003091,0.121486,0.121663,0.114992,0.118716,0.115197,0.122430,0.116771,0.120681,0.123728,0.118931,0.138245,0.134376,0.125373,0.123923,0.121159,0.119307,0.121020,0.118873,0.120049,0.119660,0.000000,0.121140,0.121415,0.114625,0.118983,0.115571,0.122101,0.116740,0.120655,0.123879,0.117579,0.139616,0.135481
HAP2_chr10,0.120125,0.120500,0.117567,0.113956,0.115549,0.113616,0.115616,0.114572,0.120933,0.003656,0.114493,0.114473,0.109829,0.110027,0.115919,0.114109,0.115791,0.118497,0.114098,0.131347,0.130427,0.120433,0.120110,0.116800,0.113794,0.116578,0.113062,0.114426,0.114602,0.121140,0.000000,0.114467,0.113490,0.109293,0.110347,0.115803,0.114660,0.115563,0.118440,0.112859,0.132945,0.131180
HAP2_chr11,0.120112,0.119715,0.117323,0.114256,0.112128,0.113037,0.113330,0.113979,0.121352,0.115538,0.003898,0.113133,0.114488,0.115169,0.114685,0.116025,0.114832,0.116766,0.113807,0.133914,0.127788,0.120754,0.119044,0.117355,0.114145,0.113312,0.112312,0.112478,0.113528,0.121415,0.114467,0.000000,0.112107,0.114343,0.115179,0.114266,0.115719,0.114691,0.115782,0.111622,0.134282,0.128231
HAP2_chr12,0.120060,0.118770,0.112624,0.113243,0.114499,0.109520,0.113008,0.112478,0.114954,0.114243,0.112456,0.001781,0.112110,0.110126,0.112937,0.109623,0.111801,0.113300,0.113157,0.128321,0.124909,0.120614,0.119032,0.110958,0.113175,0.115647,0.108160,0.112540,0.111994,0.114625,0.113490,0.112107,0.000000,0.112255,0.110461,0.112677,0.109176,0.107989,0.112750,0.110587,0.128524,0.124909
HAP2_chr13,0.121054,0.121307,0.115769,0.114285,0.114680,0.112098,0.114448,0.114114,0.118228,0.109868,0.114620,0.113360,0.004040,0.110903,0.114731,0.112825,0.113980,0.117253,0.112971,0.129656,0.124191,0.120415,0.120616,0.114854,0.114378,0.115349,0.111891,0.113183,0.114152,0.118983,0.109293,0.114343,0.112255,0.000000,0.110835,0.115201,0.113205,0.113774,0.116419,0.111633,0.130362,0.126185
HAP2_chr14,0.121318,0.122033,0.117513,0.115694,0.114466,0.113198,0.114979,0.113819,0.115465,0.111216,0.114927,0.111127,0.111043,0.003138,0.115762,0.112890,0.115394,0.117188,0.112536,0.129630,0.125572,0.121236,0.121382,0.116414,0.114855,0.116153,0.112613,0.115114,0.113571,0.115571,0.110347,0.115179,0.110461,0.110835,0.000000,0.115357,0.112685,0.115118,0.116239,0.111282,0.130302,0.127244
HAP2_chr15,0.121795,0.119785,0.117569,0.115794,0.114529,0.113210,0.115729,0.112030,0.121809,0.116360,0.114396,0.113892,0.114685,0.115265,0.003483,0.114867,0.113625,0.117430,0.111060,0.129346,0.127866,0.121481,0.119289,0.116859,0.115588,0.115429,0.112732,0.114982,0.111424,0.122101,0.115803,0.114266,0.112677,0.115201,0.115357,0.000000,0.114755,0.112724,0.116799,0.109812,0.128893,0.129224
HAP2_chr16,0.118932,0.121305,0.118157,0.113547,0.116133,0.111537,0.116251,0.115492,0.116951,0.115672,0.115879,0.110182,0.113150,0.112543,0.114812,0.002978,0.114531,0.115174,0.114355,0.131544,0.128391,0.118555,0.120608,0.116992,0.113908,0.117054,0.110960,0.115237,0.115124,0.116740,0.114660,0.115719,0.109176,0.113205,0.112685,0.114755,0.000000,0.114404,0.115459,0.112987,0.131178,0.128364
HAP2_chr17,0.122362,0.121116,0.109535,0.116107,0.115436,0.112433,0.117096,0.110136,0.120613,0.116318,0.114689,0.109643,0.114331,0.115018,0.112614,0.114477,0.002829,0.116459,0.113285,0.125377,0.127943,0.121912,0.121303,0.106698,0.115830,0.116588,0.111650,0.116296,0.109682,0.120655,0.115563,0.114691,0.107989,0.113774,0.115118,0.112724,0.114404,0.000000,0.116255,0.112253,0.125609,0.128819
HAP2_chr18,0.120677,0.124029,0.120030,0.111983,0.116306,0.113617,0.118679,0.116967,0.124052,0.118248,0.116571,0.114490,0.116253,0.115535,0.116759,0.115625,0.115562,0.005792,0.114659,0.133168,0.124712,0.120498,0.123139,0.120207,0.111973,0.117863,0.113059,0.118332,0.115827,0.123879,0.118440,0.115782,0.112750,0.116419,0.116239,0.116799,0.115459,0.116255,0.000000,0.113120,0.133461,0.124821
HAP2_chr19,0.119312,0.114459,0.113823,0.112911,0.109314,0.111256,0.113983,0.112259,0.118186,0.113132,0.111358,0.112083,0.111715,0.111369,0.110152,0.112926,0.112377,0.114474,0.003785,0.128387,0.124835,0.119082,0.114345,0.113209,0.112815,0.110093,0.110948,0.113428,0.111613,0.117579,0.112859,0.111622,0.110587,0.111633,0.111282,0.109812,0.112987,0.112253,0.113120,0.000000,0.128676,0.124600
HAP2_chr20,0.145324,0.141736,0.132574,0.135346,0.133305,0.131199,0.133071,0.127862,0.138449,0.133235,0.132965,0.128289,0.131007,0.130274,0.128736,0.131103,0.125756,0.132555,0.129106,0.004227,0.133965,0.145187,0.141883,0.131811,0.135935,0.134055,0.132192,0.133183,0.127989,0.139616,0.132945,0.134282,0.128524,0.130362,0.130302,0.128893,0.131178,0.125609,0.133461,0.128676,0.000000,0.134751
HAP2_chr21,0.142715,0.136732,0.133508,0.132429,0.130214,0.130903,0.128401,0.131283,0.136704,0.130315,0.128254,0.125896,0.126286,0.126503,0.128922,0.127612,0.128259,0.123973,0.125773,0.134496,0.004839,0.142449,0.136901,0.133246,0.133398,0.130968,0.130196,0.128680,0.131348,0.135481,0.131180,0.128231,0.124909,0.126185,0.127244,0.129224,0.128364,0.128819,0.124821,0.124600,0.134751,0.000000
