,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP1_chr37,HAP1_chr38,HAP1_chr39,HAP1_chr40,HAP1_chr41,HAP1_chr42,HAP1_chr43,HAP1_chr44,HAP1_chr45,HAP1_chr46,HAP1_chr47,HAP1_chr48,HAP1_chr49,HAP1_chr50,HAP1_chr51,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36,HAP2_chr37,HAP2_chr38,HAP2_chr39,HAP2_chr40,HAP2_chr41,HAP2_chr42,HAP2_chr43,HAP2_chr44,HAP2_chr45,HAP2_chr46,HAP2_chr47,HAP2_chr48,HAP2_chr49,HAP2_chr50,HAP2_chr51
HAP1_chr11,0.101481,0.092781,0.111694,0.094221,0.101430,0.099053,0.099068,0.099190,0.110839,0.100006,0.000000,0.102360,0.098085,0.113178,0.110934,0.070327,0.114195,0.101750,0.100493,0.101416,0.099873,0.100813,0.111882,0.100517,0.118250,0.105252,0.102011,0.117739,0.114845,0.117899,0.116377,0.115859,0.102674,0.101635,0.106434,0.101938,0.114847,0.102547,0.117074,0.104122,0.104243,0.117545,0.116381,0.118775,0.117193,0.118320,0.117901,0.116741,0.118943,0.120053,0.119807,0.101485,0.092804,0.111783,0.094271,0.101293,0.099073,0.099160,0.099264,0.110912,0.099973,0.000029,0.102441,0.098126,0.113880,0.110997,0.070338,0.115111,0.101812,0.100481,0.101510,0.100074,0.100803,0.112004,0.100662,0.118411,0.105273,0.102120,0.117058,0.115333,0.121606,0.116606,0.116154,0.102682,0.101649,0.106402,0.101981,0.114965,0.102616,0.117112,0.103959,0.104247,0.117949,0.116369,0.119537,0.117016,0.117948,0.117635,0.118447,0.119802,0.120315,0.121337
HAP1_chr12,0.113617,0.102603,0.106950,0.072913,0.096654,0.110838,0.111716,0.110527,0.105136,0.112237,0.102360,0.000000,0.111092,0.106965,0.104647,0.097864,0.108292,0.112418,0.112300,0.112471,0.111463,0.112728,0.106627,0.112484,0.111623,0.115425,0.111818,0.111000,0.108964,0.111734,0.109648,0.109502,0.114494,0.113346,0.117188,0.113969,0.108548,0.114867,0.111051,0.115366,0.115685,0.110965,0.110169,0.111812,0.111508,0.111985,0.112150,0.111700,0.113191,0.113956,0.114249,0.113614,0.102600,0.107080,0.072901,0.096536,0.110841,0.111770,0.110586,0.105245,0.112188,0.102373,0.000098,0.111138,0.107763,0.104642,0.097764,0.109155,0.112462,0.112295,0.112546,0.111701,0.112720,0.106839,0.112560,0.111787,0.115452,0.111920,0.110534,0.109611,0.115079,0.109852,0.109807,0.114498,0.113358,0.117156,0.114007,0.108827,0.114933,0.111025,0.115309,0.115690,0.111432,0.110187,0.112867,0.111125,0.111638,0.111591,0.113496,0.114375,0.114328,0.115629
HAP1_chr13,0.102255,0.101022,0.113346,0.100032,0.112547,0.098779,0.099097,0.099835,0.111988,0.100235,0.098085,0.111092,0.000000,0.113724,0.110826,0.112306,0.114140,0.100800,0.098492,0.100699,0.098076,0.099002,0.071415,0.099042,0.118296,0.104580,0.100761,0.116370,0.112702,0.117902,0.114633,0.114718,0.094020,0.093107,0.105264,0.100280,0.113771,0.100013,0.116171,0.102845,0.101690,0.116780,0.105938,0.116863,0.115975,0.116437,0.106460,0.115636,0.117317,0.119423,0.117404,0.102250,0.101046,0.113467,0.100056,0.112336,0.098804,0.099167,0.099869,0.112072,0.100230,0.098106,0.111207,0.000046,0.114338,0.110873,0.112243,0.114984,0.100844,0.098495,0.100758,0.098245,0.098993,0.071423,0.099117,0.118414,0.104593,0.100862,0.115847,0.113341,0.121232,0.114864,0.115048,0.094026,0.093123,0.105247,0.100321,0.113900,0.100063,0.116116,0.102654,0.101702,0.117123,0.105961,0.117560,0.115816,0.116233,0.106276,0.117351,0.118143,0.119687,0.118856
HAP1_chr14,0.106313,0.116607,0.100092,0.114781,0.110063,0.113847,0.066920,0.104980,0.099475,0.115241,0.113178,0.106965,0.113724,0.000000,0.108074,0.107514,0.110306,0.114632,0.114762,0.114790,0.113895,0.114293,0.108276,0.114106,0.113140,0.117179,0.113800,0.113086,0.110592,0.112898,0.112012,0.111894,0.115245,0.115268,0.118108,0.115500,0.109749,0.115790,0.112663,0.116620,0.116449,0.112150,0.111293,0.112334,0.112821,0.112589,0.112952,0.112251,0.113698,0.114893,0.113965,0.106301,0.116612,0.100228,0.114818,0.109829,0.113849,0.066912,0.105024,0.099605,0.115317,0.113188,0.107145,0.113765,0.000239,0.108081,0.107317,0.111253,0.114660,0.114754,0.114895,0.114152,0.114284,0.108496,0.114193,0.113335,0.117202,0.113934,0.112546,0.111122,0.115431,0.112160,0.112239,0.115250,0.115284,0.118082,0.115609,0.110072,0.115922,0.112575,0.116508,0.116466,0.112513,0.111442,0.113514,0.112378,0.112292,0.112375,0.114206,0.115205,0.115255,0.115540
HAP1_chr15,0.115405,0.114386,0.108270,0.112835,0.107399,0.071255,0.112492,0.111910,0.106298,0.112483,0.110934,0.104647,0.110826,0.108074,0.000000,0.106126,0.108156,0.112451,0.111658,0.103910,0.110645,0.112037,0.105634,0.102174,0.111370,0.115201,0.111862,0.110893,0.107630,0.110632,0.109197,0.108626,0.113964,0.112379,0.116714,0.112984,0.107357,0.113782,0.110375,0.114936,0.115201,0.099771,0.108987,0.100589,0.110527,0.110307,0.110429,0.109413,0.111420,0.112675,0.111923,0.115402,0.114378,0.108369,0.112896,0.107201,0.071247,0.112532,0.111957,0.106394,0.112491,0.110935,0.104830,0.110871,0.108724,0.000183,0.106038,0.108988,0.112512,0.111657,0.103976,0.110912,0.112026,0.105781,0.102221,0.111516,0.115220,0.111946,0.110463,0.108300,0.114306,0.109371,0.108937,0.113970,0.112386,0.116680,0.113000,0.107568,0.113841,0.110301,0.114861,0.115213,0.100057,0.109033,0.101247,0.110302,0.110016,0.110003,0.111192,0.112520,0.112976,0.113317
HAP1_chr16,0.116586,0.104300,0.109352,0.106506,0.098249,0.112599,0.112965,0.112659,0.106298,0.113458,0.070327,0.097864,0.112306,0.107514,0.106126,0.000000,0.108781,0.112857,0.112595,0.113168,0.112163,0.113039,0.106478,0.113011,0.111837,0.115811,0.112529,0.110707,0.108890,0.111583,0.109955,0.109859,0.113706,0.112999,0.116395,0.113535,0.107639,0.114073,0.110542,0.115359,0.115306,0.110483,0.109645,0.110485,0.110711,0.110852,0.110861,0.110117,0.111870,0.112854,0.111636,0.116576,0.104290,0.109435,0.106541,0.098154,0.112603,0.113002,0.112703,0.106397,0.113436,0.070344,0.097928,0.112309,0.108167,0.106100,0.000213,0.109541,0.112888,0.112595,0.113224,0.112345,0.113033,0.106600,0.113083,0.111923,0.115830,0.112612,0.110316,0.109308,0.114473,0.110104,0.110129,0.113707,0.113014,0.116372,0.113576,0.107884,0.114143,0.110467,0.115320,0.115297,0.110794,0.109724,0.111439,0.110491,0.110528,0.110442,0.111894,0.112840,0.113129,0.112954
HAP1_chr17,0.118246,0.117088,0.111395,0.116137,0.110377,0.114534,0.115171,0.114647,0.109025,0.064484,0.114195,0.108292,0.114140,0.110306,0.108156,0.108781,0.000000,0.114172,0.114743,0.114758,0.113149,0.113657,0.108679,0.114883,0.098837,0.102197,0.113714,0.111872,0.110754,0.098797,0.110942,0.110112,0.116483,0.115524,0.103514,0.115875,0.109667,0.116007,0.111564,0.116755,0.116905,0.112166,0.112080,0.112920,0.113159,0.112638,0.112900,0.112391,0.113475,0.114281,0.114107,0.118239,0.117114,0.111553,0.116165,0.110183,0.114542,0.115221,0.114693,0.109166,0.064530,0.114201,0.108475,0.114183,0.111126,0.108124,0.108702,0.000412,0.114202,0.114738,0.114820,0.113361,0.113654,0.108894,0.114922,0.098915,0.102213,0.113825,0.111466,0.111327,0.100265,0.111106,0.110434,0.116486,0.115530,0.103499,0.115921,0.109993,0.116063,0.111475,0.116700,0.116914,0.112643,0.112222,0.113993,0.112801,0.112363,0.112385,0.114308,0.114588,0.114615,0.115515
HAP1_chr18,0.106990,0.105543,0.116161,0.104121,0.114972,0.102911,0.102706,0.102739,0.113275,0.102216,0.101750,0.112418,0.100800,0.114632,0.112451,0.112857,0.114172,0.000000,0.101872,0.102624,0.100628,0.101590,0.111955,0.101170,0.116840,0.105455,0.093639,0.064020,0.107966,0.116611,0.114757,0.114497,0.103054,0.102328,0.105863,0.101860,0.101820,0.102479,0.115650,0.103875,0.094138,0.116576,0.113425,0.116211,0.115722,0.116268,0.115836,0.115030,0.116782,0.105039,0.116345,0.106988,0.105534,0.116271,0.104138,0.114747,0.102920,0.102785,0.102775,0.113370,0.102270,0.101771,0.112586,0.100840,0.115343,0.112420,0.112748,0.114932,0.000046,0.101878,0.102690,0.100807,0.101585,0.112053,0.101239,0.116975,0.105481,0.093721,0.063829,0.108617,0.119180,0.115002,0.114802,0.103063,0.102333,0.105835,0.101926,0.101902,0.102548,0.115565,0.103758,0.094154,0.116872,0.113489,0.117055,0.115579,0.116024,0.115596,0.116822,0.117667,0.105215,0.117795
HAP1_chr19,0.105969,0.104462,0.115649,0.103055,0.114954,0.101329,0.101985,0.101332,0.112922,0.102152,0.100493,0.112300,0.098492,0.114762,0.111658,0.112595,0.114743,0.101872,0.000000,0.096376,0.100327,0.100721,0.111054,0.100485,0.117613,0.105003,0.102011,0.116782,0.112758,0.116938,0.068043,0.114681,0.101177,0.100687,0.104891,0.100709,0.113908,0.101336,0.115961,0.095111,0.101674,0.116872,0.114724,0.116548,0.104765,0.115853,0.116432,0.105308,0.116103,0.118363,0.115979,0.105957,0.104485,0.115787,0.103090,0.114674,0.101347,0.102036,0.101343,0.112998,0.102121,0.100506,0.112416,0.098531,0.115520,0.111659,0.112494,0.115606,0.101904,0.000022,0.096482,0.100557,0.100714,0.111165,0.100559,0.117763,0.105014,0.102111,0.116329,0.113357,0.120185,0.068089,0.114959,0.101185,0.100707,0.104863,0.100798,0.114009,0.101385,0.115917,0.095029,0.101666,0.117172,0.114828,0.117274,0.104606,0.115547,0.116198,0.106519,0.116916,0.118604,0.117330
HAP1_chr20,0.107379,0.105790,0.116976,0.103892,0.116486,0.096864,0.101823,0.101609,0.114009,0.102855,0.101416,0.112471,0.100699,0.114790,0.103910,0.113168,0.114758,0.102624,0.096376,0.000000,0.101052,0.102136,0.112875,0.095556,0.117045,0.105230,0.102373,0.116554,0.113476,0.115967,0.108480,0.115530,0.101642,0.100958,0.104892,0.101799,0.113733,0.101592,0.116190,0.099170,0.101727,0.108719,0.115326,0.077725,0.110624,0.116031,0.116143,0.086572,0.116158,0.117786,0.115268,0.107376,0.105783,0.117068,0.103928,0.116347,0.096884,0.101914,0.101637,0.114095,0.102866,0.101423,0.112603,0.100741,0.115313,0.103966,0.113062,0.115393,0.102669,0.096344,0.000117,0.101383,0.102128,0.112997,0.095596,0.117261,0.105240,0.102486,0.116167,0.113893,0.119275,0.108625,0.115758,0.101647,0.100973,0.104883,0.101859,0.113861,0.101658,0.116258,0.099038,0.101735,0.108930,0.115379,0.077842,0.110450,0.115368,0.115868,0.087104,0.116946,0.118051,0.116399
HAP1_chr21,0.105754,0.104321,0.115217,0.098067,0.114159,0.101000,0.101505,0.101457,0.112757,0.101631,0.099873,0.111463,0.098076,0.113895,0.110645,0.112163,0.113149,0.100628,0.100327,0.101052,0.000000,0.099984,0.110172,0.099952,0.115849,0.103948,0.100900,0.115204,0.101700,0.115385,0.113799,0.067252,0.100969,0.100427,0.104790,0.092629,0.111602,0.100102,0.114555,0.102105,0.101412,0.114676,0.113361,0.115577,0.113878,0.114530,0.114687,0.113699,0.102945,0.114216,0.114816,0.105753,0.104330,0.115340,0.098078,0.113943,0.101017,0.101550,0.101508,0.112880,0.101629,0.099890,0.111599,0.098114,0.114588,0.110663,0.112047,0.113992,0.100657,0.100307,0.101129,0.000211,0.099974,0.110290,0.099986,0.115972,0.103970,0.101015,0.114754,0.101986,0.118426,0.113996,0.067297,0.100974,0.100440,0.104761,0.092702,0.111722,0.100283,0.114551,0.101886,0.101414,0.115096,0.113401,0.116429,0.113681,0.114248,0.114409,0.115498,0.103463,0.114539,0.116270
HAP1_chr22,0.108141,0.106030,0.117328,0.104250,0.116246,0.098432,0.102399,0.103147,0.113964,0.102311,0.100813,0.112728,0.099002,0.114293,0.112037,0.113039,0.113657,0.101590,0.100721,0.102136,0.099984,0.000000,0.111088,0.100206,0.116966,0.104217,0.099952,0.115671,0.111700,0.116358,0.113982,0.113803,0.100105,0.099670,0.104341,0.100017,0.112137,0.093093,0.068685,0.101578,0.101019,0.115273,0.113712,0.115799,0.113835,0.104757,0.114472,0.113528,0.115035,0.116301,0.106439,0.108132,0.106055,0.117449,0.104294,0.116008,0.098445,0.102439,0.103192,0.114042,0.102356,0.100812,0.112859,0.099041,0.115075,0.111975,0.112917,0.114510,0.101625,0.100724,0.102204,0.100118,0.000031,0.111187,0.100315,0.117073,0.104240,0.100048,0.115312,0.111998,0.119044,0.114204,0.114094,0.100108,0.099677,0.104302,0.100079,0.112208,0.093125,0.068779,0.101466,0.101028,0.115628,0.113753,0.116564,0.113744,0.104699,0.114236,0.115193,0.115764,0.116531,0.107401
HAP1_chr23,0.117978,0.116632,0.110860,0.115038,0.109661,0.113026,0.113186,0.113340,0.107634,0.113553,0.111882,0.106627,0.071415,0.108276,0.105634,0.106478,0.108679,0.111955,0.111054,0.112875,0.110172,0.111088,0.000000,0.111129,0.110769,0.114645,0.110521,0.110814,0.105976,0.110315,0.107764,0.106882,0.102740,0.101645,0.115197,0.111340,0.106452,0.111661,0.108519,0.112921,0.112830,0.108850,0.098455,0.108602,0.107718,0.107752,0.098597,0.107598,0.108814,0.110521,0.108694,0.117969,0.116633,0.110946,0.115062,0.109531,0.113030,0.113228,0.113390,0.107724,0.113537,0.111901,0.106821,0.071406,0.108946,0.105581,0.106349,0.109374,0.111981,0.111049,0.112946,0.110350,0.111057,0.000081,0.111160,0.110872,0.114652,0.110609,0.110285,0.106520,0.112836,0.107938,0.107213,0.102742,0.101650,0.115169,0.111356,0.106735,0.111708,0.108491,0.112836,0.112841,0.109320,0.098537,0.109503,0.107367,0.107414,0.098245,0.109175,0.109841,0.110831,0.109851
