species	k	group_sizes	separation_ratio	null_mean_ratio	z_score	groups
daGleHede1	7	2,2,2,2,2,2,6	1.3581	1.0008	11.04	chr01,chr05 | chr02,chr03 | chr04,chr10 | chr06,chr09,chr07,chr08,chr11,chr15 | chr12,chr13 | chr14,chr17 | chr16,chr18
daGleHede1	6	2,2,2,2,2,8	1.2196	1.0003	8.82	chr01,chr05 | chr02,chr03 | chr04,chr10 | chr06,chr09,chr07,chr08,chr11,chr15,chr16,chr18 | chr12,chr13 | chr14,chr17
daGleHede1	5	2,2,2,2,10	1.1548	1.0008	7.81	chr01,chr05 | chr02,chr03 | chr04,chr10 | chr06,chr09,chr07,chr08,chr11,chr15,chr16,chr18,chr14,chr17 | chr12,chr13
daGleHede1	4	2,2,2,12	1.1176	0.9996	6.93	chr01,chr05 | chr02,chr03 | chr04,chr10 | chr06,chr09,chr07,chr08,chr11,chr15,chr16,chr18,chr14,chr17,chr12,chr13
daGleHede1	3	2,2,14	1.0945	0.9991	5.87	chr01,chr05,chr06,chr09,chr07,chr08,chr11,chr15,chr16,chr18,chr14,chr17,chr12,chr13 | chr02,chr03 | chr04,chr10
daGleHede1	2	2,16	1.0748	1.0014	3.97	chr01,chr05,chr06,chr09,chr07,chr08,chr11,chr15,chr16,chr18,chr14,chr17,chr12,chr13,chr02,chr03 | chr04,chr10
daInuConz1	2	8,8	1.3778	1.0007	11.44	chr01,chr02,chr03,chr04,chr05,chr06,chr09,chr15 | chr07,chr08,chr11,chr13,chr14,chr12,chr10,chr16
daLatClan1	9	2,2,2,2,2,2,2,3,4	1.1371	1.0003	10.58	chr01,chr11 | chr02,chr19 | chr03,chr04,chr10,chr13 | chr05,chr17 | chr06,chr07 | chr08,chr20,chr14 | chr09,chr16 | chr12,chr21 | chr15,chr18
daLatClan1	8	2,2,2,2,2,2,4,5	1.1064	0.9994	9.05	chr01,chr11 | chr02,chr19 | chr03,chr04,chr10,chr13 | chr05,chr17 | chr06,chr07 | chr08,chr20,chr14,chr09,chr16 | chr12,chr21 | chr15,chr18
daLatClan1	7	2,2,2,2,4,4,5	1.0942	0.9993	8.74	chr01,chr11,chr06,chr07 | chr02,chr19 | chr03,chr04,chr10,chr13 | chr05,chr17 | chr08,chr20,chr14,chr09,chr16 | chr12,chr21 | chr15,chr18
daLatClan1	6	2,2,2,2,4,9	1.0644	0.9991	5.92	chr01,chr11,chr06,chr07 | chr02,chr19 | chr03,chr04,chr10,chr13,chr08,chr20,chr14,chr09,chr16 | chr05,chr17 | chr12,chr21 | chr15,chr18
daLatClan1	5	2,2,2,4,11	1.0533	0.9985	5.12	chr01,chr11,chr06,chr07 | chr02,chr19,chr03,chr04,chr10,chr13,chr08,chr20,chr14,chr09,chr16 | chr05,chr17 | chr12,chr21 | chr15,chr18
daLatClan1	4	2,2,4,13	1.0451	1.0007	3.97	chr01,chr11,chr06,chr07 | chr02,chr19,chr03,chr04,chr10,chr13,chr08,chr20,chr14,chr09,chr16,chr15,chr18 | chr05,chr17 | chr12,chr21
daLatClan1	3	2,4,15	1.0410	1.0000	3.47	chr01,chr11,chr06,chr07 | chr02,chr19,chr03,chr04,chr10,chr13,chr08,chr20,chr14,chr09,chr16,chr15,chr18,chr12,chr21 | chr05,chr17
daLatClan1	2	2,19	1.0317	0.9988	2.02	chr01,chr11,chr06,chr07,chr02,chr19,chr03,chr04,chr10,chr13,chr08,chr20,chr14,chr09,chr16,chr15,chr18,chr12,chr21 | chr05,chr17
daLatSqua1	5	2,4,4,4,4	1.1005	1.0000	7.95	chr01,chr03,chr02,chr16 | chr04,chr18,chr14,chr15 | chr05,chr06 | chr07,chr08,chr09,chr12 | chr10,chr13,chr11,chr17
daLatSqua1	4	4,4,4,6	1.0786	1.0003	6.69	chr01,chr03,chr02,chr16 | chr04,chr18,chr14,chr15 | chr05,chr06,chr10,chr13,chr11,chr17 | chr07,chr08,chr09,chr12
daLatSqua1	3	4,4,10	1.0527	1.0002	5.16	chr01,chr03,chr02,chr16 | chr04,chr18,chr14,chr15 | chr05,chr06,chr10,chr13,chr11,chr17,chr07,chr08,chr09,chr12
daLatSqua1	2	4,14	1.0423	1.0001	4.16	chr01,chr03,chr02,chr16 | chr04,chr18,chr14,chr15,chr05,chr06,chr10,chr13,chr11,chr17,chr07,chr08,chr09,chr12
daPilAura1	9	2,2,2,2,2,2,2,2,2	2.2635	1.0023	23.60	chr01,chr14 | chr02,chr03 | chr04,chr05 | chr06,chr07 | chr08,chr13 | chr09,chr11 | chr10,chr12 | chr15,chr16 | chr17,chr18
daPilAura1	8	2,2,2,2,2,2,2,4	1.7365	1.0061	15.70	chr01,chr14,chr06,chr07 | chr02,chr03 | chr04,chr05 | chr08,chr13 | chr09,chr11 | chr10,chr12 | chr15,chr16 | chr17,chr18
daPilAura1	7	2,2,2,2,2,4,4	1.4911	1.0022	12.83	chr01,chr14,chr06,chr07 | chr02,chr03,chr08,chr13 | chr04,chr05 | chr09,chr11 | chr10,chr12 | chr15,chr16 | chr17,chr18
daPilAura1	6	2,2,2,2,4,6	1.2977	1.0002	9.90	chr01,chr14,chr06,chr07 | chr02,chr03,chr08,chr13,chr09,chr11 | chr04,chr05 | chr10,chr12 | chr15,chr16 | chr17,chr18
daPilAura1	5	2,2,2,4,8	1.1906	1.0002	8.35	chr01,chr14,chr06,chr07 | chr02,chr03,chr08,chr13,chr09,chr11,chr10,chr12 | chr04,chr05 | chr15,chr16 | chr17,chr18
daPilAura1	4	2,2,2,12	1.1002	1.0000	6.80	chr01,chr14,chr06,chr07,chr02,chr03,chr08,chr13,chr09,chr11,chr10,chr12 | chr04,chr05 | chr15,chr16 | chr17,chr18
daPilAura1	3	2,2,14	1.0760	1.0006	5.70	chr01,chr14,chr06,chr07,chr02,chr03,chr08,chr13,chr09,chr11,chr10,chr12,chr15,chr16 | chr04,chr05 | chr17,chr18
daPilAura1	2	2,16	1.0594	0.9993	4.68	chr01,chr14,chr06,chr07,chr02,chr03,chr08,chr13,chr09,chr11,chr10,chr12,chr15,chr16,chr04,chr05 | chr17,chr18
daSenVulg1	10	2,2,2,2,2,2,2,2,2,2	1.4253	1.0013	11.40	chr01,chr12 | chr02,chr14 | chr03,chr11 | chr04,chr19 | chr05,chr13 | chr06,chr16 | chr07,chr17 | chr08,chr15 | chr09,chr18 | chr10,chr20
daSenVulg1	9	2,2,2,2,2,2,2,2,4	1.2892	1.0019	8.90	chr01,chr12,chr03,chr11 | chr02,chr14 | chr04,chr19 | chr05,chr13 | chr06,chr16 | chr07,chr17 | chr08,chr15 | chr09,chr18 | chr10,chr20
daSenVulg1	8	2,2,2,2,2,2,2,6	1.1816	1.0009	6.93	chr01,chr12,chr03,chr11,chr08,chr15 | chr02,chr14 | chr04,chr19 | chr05,chr13 | chr06,chr16 | chr07,chr17 | chr09,chr18 | chr10,chr20
daSenVulg1	7	2,2,2,2,2,2,8	1.1240	1.0006	5.87	chr01,chr12,chr03,chr11,chr08,chr15,chr04,chr19 | chr02,chr14 | chr05,chr13 | chr06,chr16 | chr07,chr17 | chr09,chr18 | chr10,chr20
daSenVulg1	6	2,2,2,2,2,10	1.0916	1.0000	5.01	chr01,chr12,chr03,chr11,chr08,chr15,chr04,chr19,chr07,chr17 | chr02,chr14 | chr05,chr13 | chr06,chr16 | chr09,chr18 | chr10,chr20
daSenVulg1	5	2,2,2,2,12	1.0737	1.0003	4.85	chr01,chr12,chr03,chr11,chr08,chr15,chr04,chr19,chr07,chr17,chr06,chr16 | chr02,chr14 | chr05,chr13 | chr09,chr18 | chr10,chr20
daSenVulg1	4	2,2,2,14	1.0658	0.9990	4.67	chr01,chr12,chr03,chr11,chr08,chr15,chr04,chr19,chr07,chr17,chr06,chr16,chr02,chr14 | chr05,chr13 | chr09,chr18 | chr10,chr20
daSenVulg1	3	2,2,16	1.0633	1.0005	3.95	chr01,chr12,chr03,chr11,chr08,chr15,chr04,chr19,chr07,chr17,chr06,chr16,chr02,chr14,chr10,chr20 | chr05,chr13 | chr09,chr18
daSenVulg1	2	2,18	1.0617	1.0005	3.30	chr01,chr12,chr03,chr11,chr08,chr15,chr04,chr19,chr07,chr17,chr06,chr16,chr02,chr14,chr10,chr20,chr09,chr18 | chr05,chr13
daSonOler1	7	2,2,2,2,2,2,4	1.1867	1.0002	5.52	chr01,chr13 | chr02,chr04 | chr03,chr05 | chr06,chr14 | chr07,chr16 | chr08,chr09,chr10,chr15 | chr11,chr12
daSonOler1	6	2,2,2,2,4,4	1.1470	1.0020	4.56	chr01,chr13 | chr02,chr04,chr06,chr14 | chr03,chr05 | chr07,chr16 | chr08,chr09,chr10,chr15 | chr11,chr12
daSonOler1	5	2,2,2,4,6	1.1010	1.0007	4.11	chr01,chr13,chr02,chr04,chr06,chr14 | chr03,chr05 | chr07,chr16 | chr08,chr09,chr10,chr15 | chr11,chr12
daSonOler1	4	2,2,2,10	1.0603	1.0003	3.40	chr01,chr13,chr02,chr04,chr06,chr14,chr08,chr09,chr10,chr15 | chr03,chr05 | chr07,chr16 | chr11,chr12
daSonOler1	3	2,2,12	1.0469	1.0001	2.85	chr01,chr13,chr02,chr04,chr06,chr14,chr08,chr09,chr10,chr15,chr11,chr12 | chr03,chr05 | chr07,chr16
daSonOler1	2	2,14	1.0402	1.0003	2.22	chr01,chr13,chr02,chr04,chr06,chr14,chr08,chr09,chr10,chr15,chr11,chr12,chr03,chr05 | chr07,chr16
dcCerAlpi1	2	16,20	1.2736	1.0001	21.51	chr01,chr03,chr05,chr07,chr08,chr04,chr09,chr16,chr12,chr06,chr10,chr13,chr15,chr17,chr11,chr14,chr18,chr27,chr02,chr19 | chr20,chr31,chr24,chr30,chr23,chr34,chr26,chr29,chr35,chr32,chr28,chr33,chr21,chr22,chr36,chr25
dcCerAlpi1	3	2,16,18	1.2783	0.9996	20.58	chr01,chr03,chr05,chr07,chr08,chr04,chr09,chr16,chr12,chr06,chr10,chr13,chr15,chr17,chr11,chr14,chr18,chr27 | chr02,chr19 | chr20,chr31,chr24,chr30,chr23,chr34,chr26,chr29,chr35,chr32,chr28,chr33,chr21,chr22,chr36,chr25
dcCerAlpi1	4	2,2,16,16	1.2864	1.0003	18.73	chr01,chr03,chr05,chr07,chr08,chr04,chr09,chr16,chr12,chr06,chr10,chr13,chr15,chr17,chr11,chr14 | chr02,chr19 | chr18,chr27 | chr20,chr31,chr24,chr30,chr23,chr34,chr26,chr29,chr35,chr32,chr28,chr33,chr21,chr22,chr36,chr25
ddHesMatr1	3	2,2,2	1.1079	1.0011	2.07	chr01,chr02 | chr03,chr05 | chr04,chr06
ddLepDrab1	7	2,2,2,2,2,2,4	1.3606	0.9994	11.18	chr01,chr08 | chr02,chr04 | chr03,chr06 | chr05,chr16,chr10,chr12 | chr07,chr15 | chr09,chr13 | chr11,chr14
ddLepDrab1	8	2,2,2,2,2,2,2,2	1.4564	1.0031	10.74	chr01,chr08 | chr02,chr04 | chr03,chr06 | chr05,chr16 | chr07,chr15 | chr09,chr13 | chr10,chr12 | chr11,chr14
ddLepDrab1	6	2,2,2,2,4,4	1.2757	0.9990	9.55	chr01,chr08 | chr02,chr04 | chr03,chr06,chr07,chr15 | chr05,chr16,chr10,chr12 | chr09,chr13 | chr11,chr14
ddLepDrab1	5	2,2,4,4,4	1.2297	0.9999	8.19	chr01,chr08,chr09,chr13 | chr02,chr04 | chr03,chr06,chr07,chr15 | chr05,chr16,chr10,chr12 | chr11,chr14
ddLepDrab1	4	2,2,4,8	1.1439	1.0003	7.35	chr01,chr08,chr09,chr13,chr03,chr06,chr07,chr15 | chr02,chr04 | chr05,chr16,chr10,chr12 | chr11,chr14
ddLepDrab1	3	4,4,8	1.1335	0.9993	6.53	chr01,chr08,chr09,chr13,chr03,chr06,chr07,chr15 | chr02,chr04,chr11,chr14 | chr05,chr16,chr10,chr12
ddLepDrab1	2	4,12	1.0862	1.0017	4.55	chr01,chr08,chr09,chr13,chr03,chr06,chr07,chr15,chr05,chr16,chr10,chr12 | chr02,chr04,chr11,chr14
ddSalPent1	19	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1.9614	1.0012	47.62	chr01,chr02 | chr03,chr09 | chr04,chr16 | chr05,chr11 | chr06,chr13 | chr07,chr24 | chr08,chr12 | chr10,chr19 | chr14,chr25 | chr15,chr31 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	18	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4	1.7441	0.9999	39.41	chr01,chr02 | chr03,chr09 | chr04,chr16 | chr05,chr11,chr08,chr12 | chr06,chr13 | chr07,chr24 | chr10,chr19 | chr14,chr25 | chr15,chr31 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	17	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4	1.6092	0.9991	33.89	chr01,chr02 | chr03,chr09 | chr04,chr16,chr15,chr31 | chr05,chr11,chr08,chr12 | chr06,chr13 | chr07,chr24 | chr10,chr19 | chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	16	2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4	1.5208	1.0019	28.46	chr01,chr02 | chr03,chr09 | chr04,chr16,chr15,chr31 | chr05,chr11,chr08,chr12 | chr06,chr13,chr07,chr24 | chr10,chr19 | chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	15	2,2,2,2,2,2,2,2,2,2,2,2,2,4,8	1.3480	1.0009	21.90	chr01,chr02 | chr03,chr09 | chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12 | chr06,chr13,chr07,chr24 | chr10,chr19 | chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	14	2,2,2,2,2,2,2,2,2,2,2,2,2,12	1.2388	1.0005	15.79	chr01,chr02 | chr03,chr09 | chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24 | chr10,chr19 | chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	13	2,2,2,2,2,2,2,2,2,2,2,2,14	1.2069	1.0016	15.12	chr01,chr02 | chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24 | chr10,chr19 | chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	12	2,2,2,2,2,2,2,2,2,2,2,16	1.1855	1.0007	14.66	chr01,chr02 | chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19 | chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	9	2,2,2,2,2,2,4,4,18	1.1607	1.0004	14.42	chr01,chr02 | chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26,chr33,chr34 | chr27,chr29,chr30,chr32 | chr35,chr36 | chr37,chr38
ddSalPent1	11	2,2,2,2,2,2,2,2,2,2,18	1.1649	1.0000	13.26	chr01,chr02 | chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26 | chr27,chr29 | chr30,chr32 | chr33,chr34 | chr35,chr36 | chr37,chr38
ddSalPent1	10	2,2,2,2,2,2,2,2,4,18	1.1631	1.0004	12.99	chr01,chr02 | chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26,chr33,chr34 | chr27,chr29 | chr30,chr32 | chr35,chr36 | chr37,chr38
ddSalPent1	8	2,2,2,2,2,4,4,20	1.1403	0.9999	12.41	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25 | chr17,chr18 | chr20,chr21 | chr22,chr28 | chr23,chr26,chr33,chr34 | chr27,chr29,chr30,chr32 | chr35,chr36 | chr37,chr38
ddSalPent1	6	2,2,4,4,4,22	1.1242	1.0005	11.60	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25,chr22,chr28 | chr17,chr18 | chr20,chr21,chr35,chr36 | chr23,chr26,chr33,chr34 | chr27,chr29,chr30,chr32 | chr37,chr38
ddSalPent1	7	2,2,2,2,4,4,22	1.1259	1.0011	10.66	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25,chr22,chr28 | chr17,chr18 | chr20,chr21 | chr23,chr26,chr33,chr34 | chr27,chr29,chr30,chr32 | chr35,chr36 | chr37,chr38
ddSalPent1	5	2,4,4,4,24	1.1078	0.9999	10.21	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25,chr22,chr28,chr17,chr18 | chr20,chr21,chr35,chr36 | chr23,chr26,chr33,chr34 | chr27,chr29,chr30,chr32 | chr37,chr38
ddSalPent1	4	2,4,4,28	1.0866	1.0006	7.01	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25,chr22,chr28,chr17,chr18,chr27,chr29,chr30,chr32 | chr20,chr21,chr35,chr36 | chr23,chr26,chr33,chr34 | chr37,chr38
ddSalPent1	3	2,4,32	1.0738	1.0005	5.31	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25,chr22,chr28,chr17,chr18,chr27,chr29,chr30,chr32,chr23,chr26,chr33,chr34 | chr20,chr21,chr35,chr36 | chr37,chr38
ddSalPent1	2	2,36	1.0643	0.9996	2.95	chr01,chr02,chr03,chr09,chr04,chr16,chr15,chr31,chr05,chr11,chr08,chr12,chr06,chr13,chr07,chr24,chr10,chr19,chr14,chr25,chr22,chr28,chr17,chr18,chr27,chr29,chr30,chr32,chr23,chr26,chr33,chr34,chr20,chr21,chr35,chr36 | chr37,chr38
ddSalTria1	3	2,2,15	1.0722	0.9986	3.50	chr01,chr02,chr05,chr07,chr09,chr06,chr11,chr03,chr16,chr12,chr04,chr10,chr14,chr15,chr19 | chr08,chr18 | chr13,chr17
ddSalTria1	2	2,17	1.0656	0.9999	2.30	chr01,chr02,chr05,chr07,chr09,chr06,chr11,chr03,chr16,chr12,chr04,chr10,chr14,chr15,chr19,chr08,chr18 | chr13,chr17
dmRanRepe1	2	8,8	1.1948	1.0009	10.69	chr01,chr02,chr03,chr04,chr05,chr06,chr07,chr08 | chr09,chr10,chr11,chr16,chr14,chr13,chr15,chr12
drAriEdul1	8	2,2,2,2,2,2,2,3	1.0931	1.0003	10.10	chr01,chr14,chr06 | chr02,chr03 | chr04,chr08 | chr05,chr10 | chr07,chr12 | chr09,chr17 | chr11,chr15 | chr13,chr16
drAriEdul1	7	2,2,2,2,2,3,4	1.0722	0.9999	9.48	chr01,chr14,chr06 | chr02,chr03 | chr04,chr08 | chr05,chr10 | chr07,chr12 | chr09,chr17 | chr11,chr15,chr13,chr16
drAriEdul1	6	2,2,2,3,4,4	1.0603	0.9998	8.58	chr01,chr14,chr06 | chr02,chr03,chr04,chr08 | chr05,chr10 | chr07,chr12 | chr09,chr17 | chr11,chr15,chr13,chr16
drAriEdul1	5	2,2,3,4,6	1.0479	0.9997	7.95	chr01,chr14,chr06 | chr02,chr03,chr04,chr08,chr05,chr10 | chr07,chr12 | chr09,chr17 | chr11,chr15,chr13,chr16
drAriEdul1	4	2,2,3,10	1.0308	1.0002	5.02	chr01,chr14,chr06 | chr02,chr03,chr04,chr08,chr05,chr10,chr11,chr15,chr13,chr16 | chr07,chr12 | chr09,chr17
drAriEdul1	3	2,3,12	1.0253	1.0000	4.24	chr01,chr14,chr06 | chr02,chr03,chr04,chr08,chr05,chr10,chr11,chr15,chr13,chr16,chr09,chr17 | chr07,chr12
drAriEdul1	2	2,15	1.0238	1.0001	3.01	chr01,chr14,chr06,chr02,chr03,chr04,chr08,chr05,chr10,chr11,chr15,chr13,chr16,chr09,chr17 | chr07,chr12
drLytSali1	5	3,3,3,3,3	1.2344	1.0011	10.09	chr01,chr02,chr03 | chr04,chr07,chr08 | chr05,chr10,chr06 | chr09,chr11,chr15 | chr12,chr13,chr14
drLytSali1	4	3,3,3,6	1.1659	1.0009	9.46	chr01,chr02,chr03 | chr04,chr07,chr08,chr05,chr10,chr06 | chr09,chr11,chr15 | chr12,chr13,chr14
drLytSali1	3	3,3,9	1.0969	1.0005	7.17	chr01,chr02,chr03,chr04,chr07,chr08,chr05,chr10,chr06 | chr09,chr11,chr15 | chr12,chr13,chr14
drLytSali1	2	3,12	1.0679	1.0007	4.94	chr01,chr02,chr03,chr04,chr07,chr08,chr05,chr10,chr06,chr09,chr11,chr15 | chr12,chr13,chr14
drMyrSpic1	7	3,3,3,3,3,3,3	2.0789	1.0003	26.81	chr01,chr02,chr07 | chr03,chr09,chr13 | chr04,chr08,chr06 | chr05,chr11,chr19 | chr10,chr14,chr12 | chr15,chr20,chr16 | chr17,chr18,chr21
drMyrSpic1	6	3,3,3,3,3,6	1.5821	1.0021	18.31	chr01,chr02,chr07 | chr03,chr09,chr13 | chr04,chr08,chr06,chr17,chr18,chr21 | chr05,chr11,chr19 | chr10,chr14,chr12 | chr15,chr20,chr16
drMyrSpic1	5	3,3,3,3,9	1.3062	1.0013	12.45	chr01,chr02,chr07 | chr03,chr09,chr13 | chr04,chr08,chr06,chr17,chr18,chr21,chr15,chr20,chr16 | chr05,chr11,chr19 | chr10,chr14,chr12
drMyrSpic1	4	3,3,3,12	1.1817	1.0003	9.35	chr01,chr02,chr07 | chr03,chr09,chr13,chr04,chr08,chr06,chr17,chr18,chr21,chr15,chr20,chr16 | chr05,chr11,chr19 | chr10,chr14,chr12
drMyrSpic1	3	3,3,15	1.1208	1.0004	7.84	chr01,chr02,chr07,chr03,chr09,chr13,chr04,chr08,chr06,chr17,chr18,chr21,chr15,chr20,chr16 | chr05,chr11,chr19 | chr10,chr14,chr12
drMyrSpic1	2	3,18	1.0864	0.9997	5.78	chr01,chr02,chr07,chr03,chr09,chr13,chr04,chr08,chr06,chr17,chr18,chr21,chr15,chr20,chr16,chr10,chr14,chr12 | chr05,chr11,chr19
drMyrVert1	7	2,2,2,2,2,2,2	1.4938	1.0009	12.67	chr01,chr06 | chr02,chr14 | chr03,chr12 | chr04,chr08 | chr05,chr11 | chr07,chr09 | chr10,chr13
drMyrVert1	6	2,2,2,2,2,4	1.2764	1.0014	9.04	chr01,chr06 | chr02,chr14 | chr03,chr12 | chr04,chr08 | chr05,chr11 | chr07,chr09,chr10,chr13
drMyrVert1	5	2,2,2,2,6	1.1510	0.9996	6.39	chr01,chr06 | chr02,chr14 | chr03,chr12,chr07,chr09,chr10,chr13 | chr04,chr08 | chr05,chr11
drMyrVert1	4	2,2,2,8	1.0919	1.0008	4.71	chr01,chr06,chr03,chr12,chr07,chr09,chr10,chr13 | chr02,chr14 | chr04,chr08 | chr05,chr11
drMyrVert1	3	2,2,10	1.0623	1.0004	3.64	chr01,chr06,chr03,chr12,chr07,chr09,chr10,chr13,chr05,chr11 | chr02,chr14 | chr04,chr08
