,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16,HAP4_chr17,HAP4_chr18,HAP4_chr19
HAP1_chr11,0.102153,0.103206,0.100914,0.102391,0.101513,0.102849,0.099105,0.099714,0.100086,0.100553,0.000000,0.101842,0.101041,0.102167,0.101863,0.102450,0.099359,0.102226,0.104139,0.102776,0.103512,0.101132,0.102450,0.107223,0.103278,0.098986,0.100991,0.101357,0.101882,0.028690,0.100780,0.101114,0.101398,0.101470,0.101842,0.099760,0.101530,0.104173,0.102771,0.103755,0.100284,0.102452,0.101522,0.103404,0.099424,0.101043,0.101613,0.101021,0.026000,0.100574,0.102019,0.101745,0.102475,0.101656,0.101029,0.103615,0.104676,0.101991,0.103789,0.100384,0.102202,0.100925,0.103022,0.099290,0.101289,0.101376,0.101081,0.030086,0.102052,0.102073,0.101683,0.101723,0.101704,0.100520,0.102778,0.104873
HAP1_chr12,0.103329,0.103783,0.102328,0.103809,0.102930,0.103403,0.100597,0.101849,0.101877,0.101276,0.101842,0.000000,0.102155,0.102642,0.102673,0.103673,0.100388,0.102643,0.105222,0.103926,0.104476,0.102093,0.103570,0.107802,0.103526,0.099773,0.102353,0.103378,0.102762,0.102293,0.026723,0.102152,0.102515,0.101907,0.103973,0.101100,0.101951,0.104684,0.103889,0.104798,0.101230,0.103858,0.102553,0.104053,0.100344,0.101953,0.103450,0.102689,0.101806,0.027535,0.103198,0.102130,0.103727,0.102528,0.102060,0.103469,0.106226,0.103728,0.104990,0.101720,0.103945,0.102613,0.103568,0.099729,0.102543,0.102794,0.101868,0.101187,0.014020,0.102685,0.102965,0.103786,0.103097,0.101543,0.104407,0.104594
HAP1_chr13,0.104013,0.104233,0.102064,0.104120,0.102427,0.103777,0.100023,0.101425,0.102044,0.100868,0.101041,0.102155,0.000000,0.103218,0.102646,0.102768,0.100487,0.102724,0.105457,0.103920,0.104847,0.102240,0.103429,0.107744,0.104430,0.099781,0.101201,0.103333,0.102602,0.101924,0.101763,0.024354,0.102117,0.102250,0.103107,0.100379,0.101865,0.104838,0.104553,0.104810,0.100999,0.103914,0.102516,0.104611,0.099901,0.101509,0.103323,0.102148,0.101029,0.101626,0.025959,0.102514,0.103555,0.102429,0.101740,0.103784,0.106018,0.103897,0.105215,0.101650,0.103807,0.102231,0.103846,0.099682,0.102885,0.103023,0.101460,0.101146,0.102919,0.026045,0.102615,0.102844,0.103429,0.100950,0.103979,0.105118
HAP1_chr14,0.104144,0.104695,0.103432,0.103865,0.103174,0.104310,0.101043,0.101915,0.102322,0.101597,0.102167,0.102642,0.103218,0.000000,0.103318,0.103146,0.100741,0.102964,0.105075,0.104464,0.105336,0.102744,0.103678,0.107558,0.104729,0.101139,0.102421,0.103528,0.102735,0.102649,0.102574,0.103000,0.027645,0.102258,0.103357,0.101362,0.102194,0.103628,0.104438,0.105825,0.102562,0.104985,0.102459,0.105044,0.101300,0.102045,0.104136,0.102463,0.102335,0.102482,0.103899,0.028020,0.103828,0.102865,0.102963,0.103920,0.105551,0.103556,0.105511,0.102269,0.104614,0.102430,0.104092,0.100994,0.103002,0.102509,0.102219,0.101179,0.103152,0.103444,0.026472,0.103708,0.102976,0.101801,0.104053,0.105012
HAP1_chr15,0.104430,0.104955,0.102974,0.103434,0.103716,0.104153,0.101125,0.101634,0.101854,0.101231,0.101863,0.102673,0.102646,0.103318,0.000000,0.103231,0.101612,0.103204,0.104964,0.104583,0.105138,0.102990,0.103542,0.108144,0.104890,0.101558,0.102021,0.103056,0.102220,0.102912,0.102895,0.102453,0.103055,0.030074,0.103070,0.100948,0.102430,0.105158,0.104728,0.105699,0.102063,0.104651,0.103945,0.104713,0.101596,0.102290,0.103040,0.101707,0.101987,0.101385,0.103562,0.102391,0.029005,0.102737,0.102409,0.103959,0.105883,0.104551,0.105762,0.102073,0.104364,0.102815,0.104396,0.101368,0.102921,0.102819,0.101781,0.101188,0.102988,0.102664,0.103713,0.028524,0.103175,0.101944,0.104095,0.104742
HAP1_chr16,0.105612,0.105227,0.103372,0.104679,0.103461,0.104320,0.101591,0.102853,0.102223,0.102426,0.102450,0.103673,0.102768,0.103146,0.103231,0.000000,0.101437,0.103342,0.105590,0.105883,0.104884,0.103445,0.104529,0.108191,0.104747,0.101483,0.103007,0.102924,0.103820,0.103345,0.103121,0.103762,0.103147,0.102606,0.030029,0.101072,0.102999,0.105115,0.106195,0.105685,0.102817,0.104883,0.103142,0.104796,0.101174,0.103209,0.104048,0.103210,0.102310,0.102167,0.103935,0.102964,0.103567,0.029333,0.102224,0.104385,0.106639,0.104773,0.105873,0.103495,0.104510,0.103322,0.104089,0.101369,0.103182,0.102946,0.102985,0.102135,0.103794,0.103236,0.103509,0.103513,0.029909,0.101436,0.104669,0.106031
HAP1_chr17,0.102617,0.103055,0.100934,0.102029,0.101741,0.102124,0.098919,0.099936,0.099896,0.099993,0.099359,0.100388,0.100487,0.100741,0.101612,0.101437,0.000000,0.100928,0.103328,0.103060,0.103704,0.101310,0.101552,0.106139,0.103167,0.098291,0.099701,0.101234,0.100452,0.100810,0.099947,0.100364,0.099579,0.100299,0.100100,0.026021,0.100558,0.102527,0.102632,0.103767,0.099762,0.101873,0.101368,0.103482,0.098648,0.099714,0.100710,0.100573,0.100082,0.100014,0.101192,0.100556,0.101363,0.100570,0.029115,0.101613,0.104306,0.102868,0.103988,0.100183,0.102324,0.100968,0.102657,0.098606,0.100696,0.100795,0.100271,0.098730,0.100235,0.100940,0.100318,0.101782,0.101078,0.030972,0.101502,0.102902
HAP1_chr18,0.105251,0.105317,0.102545,0.104184,0.103993,0.103395,0.101497,0.102524,0.102126,0.102024,0.102226,0.102643,0.102724,0.102964,0.103204,0.103342,0.100928,0.000000,0.105416,0.105462,0.106138,0.103507,0.104439,0.108565,0.104003,0.101712,0.102402,0.102907,0.103113,0.103375,0.103064,0.103017,0.102884,0.102071,0.103769,0.101004,0.029575,0.104983,0.105008,0.105894,0.101934,0.104492,0.103567,0.104429,0.101519,0.102174,0.103615,0.103556,0.102900,0.101719,0.103480,0.103180,0.103577,0.103196,0.102076,0.026858,0.106241,0.104966,0.106130,0.102812,0.104187,0.103598,0.103990,0.101403,0.102994,0.103004,0.102389,0.102688,0.102572,0.103671,0.103911,0.103056,0.103018,0.102566,0.028047,0.105010
HAP1_chr19,0.107630,0.107399,0.105974,0.106699,0.105853,0.105469,0.103677,0.104371,0.104374,0.103762,0.104139,0.105222,0.105457,0.105075,0.104964,0.105590,0.103328,0.105416,0.000000,0.106608,0.107932,0.105249,0.105866,0.109623,0.106242,0.103952,0.104977,0.104964,0.105032,0.105357,0.105451,0.105154,0.104298,0.104611,0.105554,0.103437,0.104362,0.029583,0.107092,0.108069,0.105003,0.106337,0.105369,0.106513,0.103587,0.104739,0.105282,0.104563,0.104389,0.104978,0.106034,0.105429,0.105531,0.104683,0.104911,0.105739,0.027446,0.106938,0.108032,0.104825,0.106650,0.105209,0.105116,0.103939,0.105612,0.104814,0.105032,0.104041,0.104591,0.105084,0.105413,0.105341,0.104710,0.104175,0.106332,0.030778
HAP2_chr01,0.024948,0.102029,0.101974,0.103043,0.102393,0.103977,0.101263,0.102808,0.102639,0.102032,0.102776,0.103926,0.103920,0.104464,0.104583,0.105883,0.103060,0.105462,0.106608,0.000000,0.102384,0.102340,0.102455,0.110217,0.104340,0.101004,0.102613,0.104237,0.103194,0.103581,0.103245,0.104619,0.104095,0.104306,0.105319,0.103418,0.104410,0.105914,0.022905,0.102326,0.101231,0.103292,0.102617,0.105129,0.101722,0.102835,0.105011,0.103155,0.102147,0.104005,0.106142,0.104380,0.104795,0.105018,0.104655,0.105802,0.107132,0.024740,0.102836,0.101559,0.103318,0.102136,0.104383,0.101075,0.103669,0.104075,0.102588,0.102032,0.103986,0.104887,0.104840,0.105250,0.105611,0.103878,0.106807,0.106792
HAP2_chr02,0.101724,0.024417,0.102536,0.103801,0.102970,0.104532,0.101352,0.102846,0.103379,0.103442,0.103512,0.104476,0.104847,0.105336,0.105138,0.104884,0.103704,0.106138,0.107932,0.102384,0.000000,0.102549,0.103605,0.110628,0.105057,0.101227,0.103358,0.104727,0.104060,0.104349,0.103807,0.105079,0.104608,0.104700,0.105624,0.103957,0.104941,0.107883,0.102079,0.021214,0.101929,0.103785,0.102895,0.105442,0.101817,0.103027,0.105098,0.104002,0.103306,0.103893,0.106132,0.104783,0.105217,0.104430,0.104954,0.106425,0.108364,0.101314,0.023857,0.102296,0.103386,0.102595,0.104669,0.101388,0.104215,0.104286,0.103573,0.102355,0.104757,0.105396,0.104899,0.105486,0.105213,0.104250,0.107257,0.108158
HAP2_chr03,0.101819,0.102671,0.029619,0.102250,0.101476,0.103275,0.099899,0.100961,0.101906,0.100483,0.101132,0.102093,0.102240,0.102744,0.102990,0.103445,0.101310,0.103507,0.105249,0.102340,0.102549,0.000000,0.101460,0.108669,0.103415,0.100114,0.101290,0.102604,0.100750,0.101777,0.101677,0.101860,0.102008,0.101551,0.103974,0.101413,0.102233,0.105380,0.101839,0.102908,0.028799,0.102491,0.101418,0.103300,0.100135,0.100969,0.102985,0.101292,0.101268,0.101494,0.103480,0.102940,0.103118,0.102776,0.101966,0.104463,0.105669,0.101986,0.103520,0.028404,0.102582,0.101028,0.102963,0.099884,0.102098,0.102031,0.101215,0.099854,0.101652,0.102601,0.103218,0.103457,0.103447,0.102184,0.104673,0.105983
HAP2_chr04,0.102708,0.102729,0.101816,0.018233,0.102729,0.103777,0.101417,0.102891,0.103027,0.101162,0.102450,0.103570,0.103429,0.103678,0.103542,0.104529,0.101552,0.104439,0.105866,0.102455,0.103605,0.101460,0.000000,0.108808,0.104054,0.100396,0.102880,0.103870,0.102314,0.103015,0.102672,0.103469,0.103536,0.102692,0.104135,0.101742,0.103448,0.105321,0.102741,0.103778,0.101301,0.025503,0.102180,0.105172,0.101423,0.102758,0.104559,0.102528,0.102349,0.102486,0.104643,0.103410,0.103815,0.103324,0.102902,0.104796,0.106606,0.102776,0.104286,0.101157,0.026146,0.102659,0.103700,0.100580,0.103406,0.103401,0.102301,0.101737,0.103448,0.104079,0.104081,0.104076,0.104269,0.102509,0.105756,0.106272
HAP2_chr05,0.110718,0.110559,0.109005,0.109084,0.025562,0.109028,0.106876,0.107115,0.107601,0.106304,0.107223,0.107802,0.107744,0.107558,0.108144,0.108191,0.106139,0.108565,0.109623,0.110217,0.110628,0.108669,0.108808,0.000000,0.109411,0.107095,0.107564,0.108614,0.108400,0.107657,0.107700,0.108254,0.107075,0.108364,0.108683,0.106509,0.107841,0.109988,0.110395,0.111121,0.108343,0.109175,0.029692,0.109073,0.106920,0.107952,0.108143,0.107954,0.107661,0.107495,0.108548,0.107505,0.108153,0.107286,0.107810,0.109114,0.110042,0.109948,0.111356,0.108506,0.109092,0.030088,0.109279,0.106255,0.108286,0.107618,0.108226,0.107020,0.108348,0.108730,0.107412,0.108176,0.108850,0.107736,0.109821,0.110116
HAP2_chr06,0.104467,0.104705,0.103637,0.104585,0.104174,0.028517,0.101982,0.103263,0.103504,0.102726,0.103278,0.103526,0.104430,0.104729,0.104890,0.104747,0.103167,0.104003,0.106242,0.104340,0.105057,0.103415,0.104054,0.109411,0.000000,0.101861,0.103429,0.103940,0.103646,0.104586,0.104042,0.104286,0.103944,0.104120,0.105038,0.102907,0.104509,0.105044,0.104058,0.105083,0.103111,0.105143,0.104040,0.027920,0.102459,0.102730,0.105167,0.103134,0.103520,0.103711,0.105335,0.104322,0.105056,0.104310,0.104346,0.105502,0.106214,0.103838,0.105650,0.102802,0.103777,0.104076,0.030214,0.102534,0.103945,0.104264,0.103758,0.102218,0.103752,0.105135,0.104720,0.104151,0.105079,0.103648,0.105666,0.105939
HAP2_chr07,0.101266,0.101137,0.099793,0.101242,0.100018,0.101677,0.025528,0.099507,0.100089,0.099560,0.098986,0.099773,0.099781,0.101139,0.101558,0.101483,0.098291,0.101712,0.103952,0.101004,0.101227,0.100114,0.100396,0.107095,0.101861,0.000000,0.099388,0.101312,0.100254,0.099845,0.100139,0.099911,0.100482,0.100529,0.101507,0.098906,0.099810,0.102979,0.101323,0.101598,0.098927,0.100978,0.100013,0.102168,0.019371,0.099673,0.101687,0.100056,0.098750,0.100307,0.101054,0.100968,0.101749,0.100662,0.099782,0.101915,0.103956,0.100700,0.102075,0.099075,0.101466,0.099836,0.101366,0.016470,0.100061,0.101066,0.100129,0.097909,0.100610,0.100011,0.101458,0.101360,0.101046,0.099441,0.102084,0.103600
HAP2_chr08,0.102383,0.103722,0.101516,0.102908,0.101868,0.103335,0.099661,0.030059,0.101527,0.100261,0.100991,0.102353,0.101201,0.102421,0.102021,0.103007,0.099701,0.102402,0.104977,0.102613,0.103358,0.101290,0.102880,0.107564,0.103429,0.099388,0.000000,0.102323,0.101674,0.101568,0.101718,0.102332,0.101327,0.101762,0.102734,0.099854,0.101393,0.103983,0.102230,0.103468,0.100463,0.102793,0.101813,0.103236,0.099966,0.009395,0.102573,0.101964,0.099827,0.101639,0.102977,0.102272,0.102570,0.102097,0.100694,0.103538,0.105633,0.102330,0.103747,0.100793,0.102734,0.101386,0.103189,0.099608,0.029224,0.102456,0.100708,0.100405,0.102224,0.102764,0.102598,0.102975,0.102470,0.101150,0.103089,0.104899
HAP2_chr09,0.104077,0.104733,0.103259,0.103724,0.103457,0.103666,0.101079,0.102220,0.021220,0.101358,0.101357,0.103378,0.103333,0.103528,0.103056,0.102924,0.101234,0.102907,0.104964,0.104237,0.104727,0.102604,0.103870,0.108614,0.103940,0.101312,0.102323,0.000000,0.102725,0.102736,0.102561,0.103500,0.102867,0.102326,0.103616,0.101727,0.102761,0.105234,0.104208,0.104809,0.102506,0.104461,0.102809,0.104598,0.101201,0.102409,0.028288,0.102459,0.102354,0.102521,0.103796,0.103528,0.102957,0.102785,0.102288,0.104326,0.106020,0.103941,0.105541,0.102384,0.104333,0.103149,0.103981,0.101227,0.102872,0.030100,0.101989,0.101150,0.103270,0.103744,0.103723,0.102740,0.103341,0.102607,0.103765,0.105352
HAP2_chr10,0.103175,0.103908,0.101342,0.102979,0.102209,0.103215,0.100627,0.101575,0.102333,0.026897,0.101882,0.102762,0.102602,0.102735,0.102220,0.103820,0.100452,0.103113,0.105032,0.103194,0.104060,0.100750,0.102314,0.108400,0.103646,0.100254,0.101674,0.102725,0.000000,0.102294,0.102567,0.102208,0.102319,0.101577,0.103239,0.100519,0.102232,0.104456,0.103246,0.104365,0.100913,0.103612,0.101705,0.104165,0.100939,0.101309,0.102941,0.022018,0.101711,0.102233,0.103354,0.103072,0.102706,0.102204,0.102169,0.104305,0.105830,0.103012,0.104725,0.100603,0.102889,0.101560,0.103033,0.100733,0.101966,0.102249,0.025180,0.101205,0.102039,0.102448,0.102908,0.102163,0.102861,0.101442,0.104197,0.105577
HAP2_chr11,0.103802,0.104381,0.102243,0.103475,0.102274,0.103964,0.100061,0.101242,0.101730,0.101426,0.028690,0.102293,0.101924,0.102649,0.102912,0.103345,0.100810,0.103375,0.105357,0.103581,0.104349,0.101777,0.103015,0.107657,0.104586,0.099845,0.101568,0.102736,0.102294,0.000000,0.101516,0.102058,0.101893,0.102502,0.102767,0.100589,0.102701,0.104870,0.104004,0.104303,0.101367,0.103161,0.102084,0.104569,0.100358,0.101315,0.101907,0.102116,0.023614,0.101947,0.102821,0.102735,0.103155,0.102664,0.101817,0.103024,0.105817,0.103313,0.104648,0.101620,0.103195,0.102166,0.103532,0.100006,0.102413,0.102331,0.101473,0.029107,0.102774,0.102847,0.102710,0.102694,0.102587,0.101127,0.103723,0.105420
HAP2_chr12,0.103391,0.104002,0.101776,0.103295,0.102481,0.103275,0.099987,0.101965,0.101720,0.101247,0.100780,0.026723,0.101763,0.102574,0.102895,0.103121,0.099947,0.103064,0.105451,0.103245,0.103807,0.101677,0.102672,0.107700,0.104042,0.100139,0.101718,0.102561,0.102567,0.101516,0.000000,0.102880,0.102163,0.101879,0.103082,0.100591,0.102676,0.104586,0.103313,0.104758,0.101623,0.103801,0.101977,0.104244,0.100291,0.101630,0.102921,0.101750,0.100892,0.025673,0.103224,0.102085,0.102962,0.102502,0.101938,0.103742,0.106424,0.103263,0.104535,0.101441,0.103456,0.102447,0.103956,0.099579,0.102182,0.102670,0.102041,0.101108,0.024860,0.103011,0.102412,0.103114,0.102718,0.100789,0.104261,0.105879
HAP2_chr13,0.104055,0.104860,0.102371,0.103842,0.103197,0.104040,0.099761,0.101835,0.103121,0.100366,0.101114,0.102152,0.024354,0.103000,0.102453,0.103762,0.100364,0.103017,0.105154,0.104619,0.105079,0.101860,0.103469,0.108254,0.104286,0.099911,0.102332,0.103500,0.102208,0.102058,0.102880,0.000000,0.102159,0.101958,0.104165,0.101205,0.102086,0.104537,0.104508,0.104803,0.101274,0.104003,0.102549,0.105162,0.099968,0.102133,0.102945,0.102507,0.101559,0.102089,0.023978,0.102794,0.103434,0.103061,0.102047,0.103944,0.105766,0.103993,0.105336,0.101810,0.103549,0.102776,0.103493,0.099925,0.103592,0.102891,0.101633,0.101022,0.102798,0.022315,0.103068,0.103056,0.103002,0.100904,0.103939,0.105346
