,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21
HAP2_chr03,0.135474,0.132723,0.010364,0.135818,0.134073,0.132037,0.133902,0.130938,0.060913,0.136774,0.134697,0.133226,0.067924,0.135055,0.132672,0.132184,0.130677,0.130197,0.135365,0.135897,0.136772,0.134209,0.132970,0.000000,0.135793,0.134805,0.132162,0.132662,0.133054,0.060933,0.136006,0.134296,0.132002,0.076250,0.133488,0.134300,0.133420,0.129922,0.129299,0.134471,0.136316,0.137454
HAP2_chr04,0.130623,0.135516,0.135110,0.008928,0.137042,0.067670,0.137138,0.060194,0.129832,0.132273,0.131711,0.137069,0.134609,0.138564,0.136180,0.135342,0.133760,0.134959,0.139536,0.132523,0.132853,0.129984,0.136050,0.135793,0.000000,0.137703,0.067107,0.136009,0.059797,0.129911,0.131194,0.131171,0.137396,0.142684,0.138001,0.136465,0.135409,0.132651,0.133358,0.138530,0.132390,0.133341
HAP2_chr05,0.131489,0.136060,0.135039,0.137936,0.008049,0.134957,0.136170,0.134310,0.137664,0.139526,0.060779,0.136394,0.134832,0.137728,0.136937,0.135506,0.133267,0.134728,0.067901,0.138244,0.139952,0.130786,0.135616,0.134805,0.137703,0.000000,0.134892,0.135395,0.137524,0.137795,0.138988,0.060778,0.136328,0.144266,0.137158,0.137137,0.136017,0.132142,0.132855,0.067957,0.138593,0.140211
HAP2_chr06,0.135030,0.132473,0.131908,0.067359,0.134444,0.008672,0.132372,0.068337,0.133879,0.136001,0.134076,0.130207,0.130544,0.135819,0.133265,0.131581,0.128189,0.131906,0.134618,0.135610,0.135880,0.133924,0.132575,0.132162,0.067107,0.134892,0.000000,0.130903,0.068075,0.133609,0.135313,0.134398,0.130913,0.139083,0.134634,0.133814,0.131841,0.127864,0.129875,0.134392,0.136341,0.136230
HAP2_chr07,0.064966,0.066273,0.132496,0.136223,0.134943,0.131157,0.010635,0.131259,0.135697,0.136235,0.136081,0.132051,0.131315,0.135276,0.133562,0.131954,0.130197,0.133740,0.135940,0.135491,0.136563,0.064583,0.066570,0.132662,0.136009,0.135395,0.130903,0.000000,0.133317,0.135747,0.135542,0.135030,0.132621,0.139625,0.134934,0.133740,0.131960,0.129525,0.132116,0.134268,0.137030,0.137012
HAP2_chr08,0.138546,0.134908,0.133428,0.060098,0.137133,0.068578,0.134890,0.009374,0.136397,0.138512,0.137913,0.135226,0.133425,0.137446,0.133901,0.134239,0.131959,0.135089,0.138258,0.138075,0.138903,0.137186,0.135059,0.133054,0.059797,0.137524,0.068075,0.133317,0.000000,0.136548,0.137417,0.137917,0.134444,0.141327,0.136167,0.135233,0.134069,0.131104,0.132616,0.137061,0.138565,0.139000
HAP2_chr09,0.130416,0.135077,0.060709,0.129899,0.136790,0.133464,0.136919,0.132975,0.009237,0.131919,0.129311,0.135314,0.066955,0.137186,0.136023,0.133803,0.133193,0.134215,0.139948,0.131728,0.132149,0.129410,0.136027,0.060933,0.129911,0.137795,0.133609,0.135747,0.136548,0.000000,0.131409,0.129476,0.135123,0.075300,0.136396,0.136808,0.135073,0.132238,0.132688,0.138719,0.131674,0.132480
HAP2_chr10,0.131645,0.136525,0.136269,0.132338,0.138419,0.135488,0.137336,0.134763,0.131195,0.007941,0.131857,0.065034,0.136146,0.057306,0.137746,0.136018,0.134321,0.135840,0.140848,0.132605,0.133379,0.130096,0.137032,0.136006,0.131194,0.138988,0.135313,0.135542,0.137417,0.131409,0.000000,0.131554,0.064987,0.144302,0.057149,0.137160,0.137130,0.133936,0.134284,0.139669,0.132881,0.134004
HAP2_chr11,0.130966,0.136068,0.134509,0.131379,0.060721,0.134869,0.136359,0.134232,0.129047,0.132552,0.008971,0.136955,0.136020,0.137902,0.137230,0.135387,0.133560,0.134561,0.066885,0.132003,0.132653,0.129899,0.135971,0.134296,0.131171,0.060778,0.134398,0.135030,0.137917,0.129476,0.131554,0.000000,0.137096,0.144565,0.136757,0.136577,0.135954,0.132712,0.132834,0.066751,0.131780,0.132809
HAP2_chr12,0.136296,0.134198,0.132475,0.137332,0.135918,0.130919,0.134258,0.133301,0.134809,0.064968,0.136803,0.010126,0.132835,0.066258,0.134879,0.131926,0.131256,0.132937,0.136942,0.137279,0.138245,0.135424,0.134183,0.132002,0.137396,0.136328,0.130913,0.132621,0.134444,0.135123,0.064987,0.137096,0.000000,0.141265,0.066217,0.135385,0.132459,0.130806,0.131324,0.135960,0.137884,0.138268
HAP2_chr13,0.146048,0.143312,0.075701,0.143140,0.142688,0.139185,0.140328,0.141135,0.075489,0.144498,0.144505,0.141501,0.020756,0.143680,0.138976,0.139173,0.134305,0.139173,0.141804,0.142477,0.141586,0.144790,0.142838,0.076250,0.142684,0.144266,0.139083,0.139625,0.141327,0.075300,0.144302,0.144565,0.141265,0.000000,0.143834,0.139189,0.137833,0.134576,0.137763,0.141801,0.143729,0.141440
HAP2_chr14,0.137619,0.134593,0.133619,0.137782,0.136133,0.134374,0.136350,0.133178,0.135950,0.057223,0.137070,0.066268,0.134358,0.008820,0.136598,0.134515,0.133254,0.135346,0.140289,0.138516,0.139478,0.136434,0.135951,0.133488,0.138001,0.137158,0.134634,0.134934,0.136167,0.136396,0.057149,0.136757,0.066217,0.143834,0.000000,0.136882,0.135357,0.132823,0.133128,0.138790,0.137601,0.139318
HAP2_chr15,0.138069,0.134614,0.134635,0.136062,0.136659,0.133580,0.135192,0.133545,0.135987,0.138156,0.136982,0.134766,0.134023,0.137060,0.008571,0.067221,0.131941,0.134083,0.137759,0.057804,0.137064,0.136852,0.134509,0.134300,0.136465,0.137137,0.133814,0.133740,0.135233,0.136808,0.137160,0.136577,0.135385,0.139189,0.136882,0.000000,0.066851,0.131209,0.132637,0.136808,0.057901,0.136754
HAP2_chr16,0.137499,0.135366,0.133353,0.135978,0.135721,0.131675,0.133162,0.132467,0.134255,0.137534,0.136163,0.133004,0.132551,0.136828,0.067017,0.009296,0.129615,0.132979,0.136017,0.066149,0.136605,0.136807,0.135411,0.133420,0.135409,0.136017,0.131841,0.131960,0.134069,0.135073,0.137130,0.135954,0.132459,0.137833,0.135357,0.066851,0.000000,0.128929,0.131209,0.134539,0.066000,0.136520
HAP2_chr17,0.133544,0.131257,0.130644,0.133625,0.132815,0.128315,0.130560,0.130602,0.131831,0.135197,0.133018,0.130078,0.128316,0.133865,0.130696,0.128859,0.009049,0.068533,0.133916,0.134064,0.067650,0.132246,0.131292,0.129922,0.132651,0.132142,0.127864,0.129525,0.131104,0.132238,0.133936,0.132712,0.130806,0.134576,0.132823,0.131209,0.128929,0.000000,0.068319,0.133293,0.134187,0.068713
HAP2_chr18,0.134697,0.131818,0.129436,0.133667,0.132749,0.130487,0.133533,0.129553,0.132288,0.135824,0.133595,0.131498,0.130081,0.134196,0.132342,0.130185,0.068056,0.009049,0.136910,0.134112,0.060784,0.133587,0.132057,0.129299,0.133358,0.132855,0.129875,0.132116,0.132616,0.132688,0.134284,0.132834,0.131324,0.137763,0.133128,0.132637,0.131209,0.068319,0.000000,0.135456,0.133940,0.061795
HAP2_chr19,0.139723,0.137255,0.136616,0.138498,0.067793,0.134148,0.135733,0.135450,0.138374,0.139988,0.066532,0.135944,0.133423,0.139057,0.136790,0.134504,0.133960,0.137179,0.008955,0.138739,0.140447,0.139074,0.137235,0.134471,0.138530,0.067957,0.134392,0.134268,0.137061,0.138719,0.139669,0.066751,0.135960,0.141801,0.138790,0.136808,0.134539,0.133293,0.135456,0.000000,0.139915,0.139845
HAP2_chr20,0.132426,0.138164,0.136292,0.133287,0.138013,0.135793,0.139024,0.134726,0.131281,0.133677,0.132644,0.137639,0.137028,0.138394,0.057921,0.066160,0.134763,0.135690,0.141561,0.006296,0.133514,0.131614,0.138953,0.136316,0.132390,0.138593,0.136341,0.137030,0.138565,0.131674,0.132881,0.131780,0.137884,0.143729,0.137601,0.057901,0.066000,0.134187,0.133940,0.139915,0.000000,0.133313
HAP2_chr21,0.134634,0.139587,0.137728,0.133603,0.139614,0.136894,0.138520,0.136718,0.132322,0.134305,0.132905,0.138514,0.136798,0.139932,0.136590,0.136146,0.068600,0.062018,0.141071,0.132334,0.005245,0.133940,0.138887,0.137454,0.133341,0.140211,0.136230,0.137012,0.139000,0.132480,0.134004,0.132809,0.138268,0.141440,0.139318,0.136754,0.136520,0.068713,0.061795,0.139845,0.133313,0.000000
