,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr12,0.098603,0.112437,0.109716,0.110300,0.110743,0.110722,0.081530,0.078791,0.111089,0.081791,0.079213,0.000000,0.079554,0.080081,0.110994,0.082386,0.098604,0.112493,0.109655,0.110297,0.110731,0.110498,0.081641,0.078825,0.111063,0.081988,0.079173,0.000454,0.079582,0.080049,0.110918,0.082394
HAP1_chr13,0.113891,0.112543,0.109553,0.109938,0.109628,0.095088,0.081523,0.077756,0.110394,0.082160,0.078045,0.079554,0.000000,0.078949,0.111288,0.082267,0.113826,0.112553,0.109483,0.109944,0.109609,0.094130,0.081642,0.077719,0.110347,0.082345,0.078052,0.079566,0.000967,0.078876,0.111183,0.082346
HAP1_chr14,0.114231,0.113282,0.109777,0.110715,0.095742,0.110636,0.081680,0.078577,0.111154,0.082444,0.078440,0.080081,0.078949,0.000000,0.111845,0.082433,0.114214,0.113324,0.109733,0.110678,0.095623,0.110437,0.081792,0.078572,0.110969,0.082488,0.078450,0.080113,0.078948,0.000813,0.111691,0.082489
HAP1_chr15,0.083517,0.082021,0.079579,0.080366,0.080306,0.079754,0.112480,0.111360,0.078926,0.095545,0.111114,0.110994,0.111288,0.111845,0.000000,0.112734,0.083506,0.082056,0.079541,0.080374,0.080297,0.079797,0.112512,0.111150,0.078487,0.096051,0.111038,0.111024,0.111204,0.111709,0.000368,0.112714
HAP1_chr16,0.118047,0.116436,0.094159,0.112744,0.112683,0.112977,0.084353,0.081713,0.113003,0.084221,0.081400,0.082386,0.082267,0.082433,0.112734,0.000000,0.118018,0.116423,0.094328,0.112753,0.112783,0.112665,0.084477,0.081672,0.112981,0.084269,0.081433,0.082406,0.082270,0.082323,0.112594,0.000171
HAP2_chr01,0.000363,0.075343,0.078884,0.078008,0.078119,0.077839,0.113713,0.112632,0.078964,0.104634,0.113323,0.098604,0.113826,0.114214,0.083506,0.118018,0.000000,0.075327,0.078961,0.078043,0.078111,0.077935,0.113665,0.112573,0.079242,0.104360,0.113248,0.098658,0.113892,0.114154,0.083396,0.118023
HAP2_chr02,0.075335,0.000615,0.077992,0.077338,0.077495,0.076834,0.093455,0.111697,0.077563,0.112936,0.111586,0.112493,0.112553,0.113324,0.082056,0.116423,0.075327,0.000000,0.078079,0.077372,0.077481,0.076960,0.093125,0.111432,0.077805,0.113015,0.111449,0.112665,0.112588,0.113295,0.081974,0.116417
HAP2_chr03,0.078969,0.078062,0.000763,0.076462,0.076747,0.076482,0.110768,0.108800,0.076837,0.111154,0.108937,0.109655,0.109483,0.109733,0.079541,0.094328,0.078961,0.078079,0.000000,0.076474,0.076686,0.076553,0.110754,0.108536,0.076883,0.111345,0.108643,0.109682,0.109457,0.109768,0.079487,0.094282
HAP2_chr04,0.078033,0.077317,0.076446,0.000347,0.075817,0.075602,0.111467,0.094047,0.076890,0.111801,0.109659,0.110297,0.109944,0.110678,0.080374,0.112753,0.078043,0.077372,0.076474,0.000000,0.075782,0.075685,0.111485,0.094070,0.076955,0.111907,0.109619,0.110352,0.109880,0.110673,0.080337,0.112796
HAP2_chr05,0.078127,0.077483,0.076682,0.075771,0.001001,0.075496,0.111715,0.109739,0.076863,0.112362,0.109656,0.110731,0.109609,0.095623,0.080297,0.112783,0.078111,0.077481,0.076686,0.075782,0.000000,0.075617,0.111723,0.109442,0.076952,0.112512,0.109574,0.110798,0.109511,0.095701,0.080235,0.112803
HAP2_chr06,0.077953,0.076941,0.076576,0.075700,0.075579,0.000551,0.111607,0.109814,0.075876,0.112147,0.109702,0.110498,0.094130,0.110437,0.079797,0.112665,0.077935,0.076960,0.076553,0.075685,0.075617,0.000000,0.111582,0.109371,0.075896,0.112296,0.109670,0.110547,0.094998,0.110369,0.079758,0.112655
HAP2_chr07,0.113659,0.093109,0.110724,0.111475,0.111729,0.111834,0.000482,0.080779,0.112577,0.082969,0.080942,0.081641,0.081642,0.081792,0.112512,0.084477,0.113665,0.093125,0.110754,0.111485,0.111723,0.111582,0.000000,0.080939,0.112590,0.083167,0.080932,0.081710,0.081714,0.081717,0.112354,0.084516
HAP2_chr08,0.112583,0.111435,0.108571,0.094097,0.109434,0.109568,0.080859,0.000829,0.109974,0.081765,0.077545,0.078825,0.077719,0.078572,0.111150,0.081672,0.112573,0.111432,0.108536,0.094070,0.109442,0.109371,0.080939,0.000000,0.109952,0.081931,0.077517,0.078955,0.077794,0.078541,0.111033,0.081720
HAP2_chr09,0.079244,0.077779,0.076932,0.076937,0.076958,0.075819,0.112565,0.110318,0.001760,0.112860,0.094813,0.111063,0.110347,0.110969,0.078487,0.112981,0.079242,0.077805,0.076883,0.076955,0.076952,0.075896,0.112590,0.109952,0.000000,0.113035,0.094650,0.111089,0.110291,0.110894,0.078891,0.113007
HAP2_chr10,0.104366,0.113046,0.111343,0.111903,0.112447,0.112528,0.083084,0.080575,0.113013,0.001547,0.081732,0.081988,0.082345,0.082488,0.096051,0.084269,0.104360,0.113015,0.111345,0.111907,0.112512,0.112296,0.083167,0.081931,0.113035,0.000000,0.081784,0.082036,0.082460,0.082401,0.095848,0.084297
HAP2_chr11,0.113256,0.111417,0.108858,0.109620,0.109558,0.109851,0.080943,0.077504,0.094680,0.081752,0.000989,0.079173,0.078052,0.078450,0.111038,0.081433,0.113248,0.111449,0.108643,0.109619,0.109574,0.109670,0.080932,0.077517,0.094650,0.081784,0.000000,0.079193,0.078124,0.078429,0.110887,0.081493
HAP2_chr12,0.098663,0.112609,0.109732,0.110354,0.110813,0.110772,0.081597,0.078830,0.111114,0.081833,0.079228,0.000454,0.079566,0.080113,0.111024,0.082406,0.098658,0.112665,0.109682,0.110352,0.110798,0.110547,0.081710,0.078955,0.111089,0.082036,0.079193,0.000000,0.079603,0.080080,0.110943,0.082433
HAP2_chr13,0.113961,0.112577,0.109526,0.109874,0.109543,0.095088,0.081597,0.077793,0.110337,0.082286,0.078121,0.079582,0.000967,0.078948,0.111204,0.082270,0.113892,0.112588,0.109457,0.109880,0.109511,0.094998,0.081714,0.077794,0.110291,0.082460,0.078124,0.079603,0.000000,0.078874,0.111099,0.082334
HAP2_chr14,0.114167,0.113253,0.109777,0.110712,0.095776,0.110568,0.081605,0.078545,0.111065,0.082324,0.078420,0.080049,0.078876,0.000813,0.111709,0.082323,0.114154,0.113295,0.109768,0.110673,0.095701,0.110369,0.081717,0.078541,0.110894,0.082401,0.078429,0.080080,0.078874,0.000000,0.111556,0.082380
HAP2_chr15,0.083405,0.081916,0.079526,0.080329,0.080244,0.079719,0.112324,0.111248,0.078902,0.095303,0.110981,0.110918,0.111183,0.111691,0.000368,0.112594,0.083396,0.081974,0.079487,0.080337,0.080235,0.079758,0.112354,0.111033,0.078891,0.095848,0.110887,0.110943,0.111099,0.111556,0.000000,0.112574
HAP2_chr16,0.118052,0.116432,0.094115,0.112787,0.112702,0.112968,0.084393,0.081761,0.113036,0.084245,0.081458,0.082394,0.082346,0.082489,0.112714,0.000171,0.118023,0.116417,0.094282,0.112796,0.112803,0.112655,0.084516,0.081720,0.113007,0.084297,0.081493,0.082433,0.082334,0.082380,0.112574,0.000000
