,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11
HAP2_chr04,0.841810,0.843069,0.846615,0.424616,0.849857,0.847568,0.849801,0.851263,0.851320,0.853052,0.854013,0.842078,0.842364,0.847448,0.000000,0.848588,0.850944,0.851656,0.850618,0.854390,0.857025,0.854619,0.842009,0.842201,0.849869,0.420686,0.849562,0.851393,0.849803,0.849054,0.852250,0.853211,0.856589,0.842889,0.841803,0.849627,0.421486,0.849290,0.848250,0.851523,0.853482,0.853428,0.858143,0.856474
HAP2_chr05,0.841495,0.842454,0.846860,0.847829,0.457758,0.848764,0.850187,0.849205,0.851443,0.852332,0.853060,0.841670,0.841509,0.846888,0.848588,0.000000,0.850305,0.851510,0.848868,0.854142,0.855217,0.853148,0.840996,0.842055,0.848404,0.849522,0.440637,0.851073,0.849233,0.848722,0.851441,0.852124,0.854463,0.841950,0.842296,0.847945,0.848443,0.465414,0.847713,0.851130,0.852006,0.852853,0.856442,0.855525
HAP2_chr06,0.845957,0.845739,0.847944,0.850679,0.851660,0.482048,0.851251,0.851085,0.852796,0.853243,0.853106,0.845807,0.846569,0.848974,0.850944,0.850305,0.000000,0.852775,0.850027,0.855516,0.855505,0.853601,0.845302,0.846266,0.849745,0.851667,0.851199,0.489857,0.850667,0.849882,0.853289,0.852456,0.855669,0.846836,0.845116,0.849892,0.851242,0.850435,0.497000,0.852900,0.854589,0.854403,0.856450,0.856177
HAP2_chr07,0.848001,0.846435,0.848370,0.852543,0.852856,0.851060,0.484353,0.852648,0.854188,0.854142,0.854897,0.847526,0.846456,0.849724,0.851656,0.851510,0.852775,0.000000,0.853090,0.856787,0.858186,0.855583,0.846761,0.847295,0.851394,0.853120,0.852136,0.852403,0.481009,0.850634,0.856151,0.854228,0.856019,0.847503,0.847431,0.850943,0.851558,0.851344,0.850762,0.491540,0.855709,0.855469,0.857798,0.857461
HAP2_chr08,0.843136,0.844117,0.846000,0.850119,0.850518,0.848723,0.850232,0.493269,0.851509,0.851801,0.851817,0.843646,0.844473,0.845860,0.850618,0.848868,0.850027,0.853090,0.000000,0.852826,0.855571,0.853578,0.841752,0.844645,0.847892,0.852609,0.849567,0.850144,0.849732,0.500115,0.851282,0.851594,0.852192,0.843004,0.843519,0.848312,0.851367,0.849697,0.847724,0.850920,0.500029,0.853546,0.854442,0.853418
HAP2_chr09,0.848968,0.849472,0.851340,0.854160,0.854924,0.853245,0.855100,0.852920,0.468003,0.855853,0.856231,0.849726,0.849207,0.851215,0.854390,0.854142,0.855516,0.856787,0.852826,0.000000,0.859428,0.855917,0.848855,0.849291,0.852618,0.855888,0.854612,0.854683,0.854609,0.851282,0.454180,0.855954,0.856933,0.849286,0.849103,0.852845,0.854654,0.853681,0.854057,0.855970,0.857266,0.451172,0.858936,0.857175
HAP2_chr10,0.851123,0.852170,0.854002,0.855312,0.855556,0.853985,0.857828,0.854542,0.856206,0.540147,0.856841,0.851663,0.852967,0.853951,0.857025,0.855217,0.855505,0.858186,0.855571,0.859428,0.000000,0.857361,0.850968,0.852056,0.855559,0.856871,0.855572,0.855446,0.856287,0.853227,0.857742,0.511360,0.857383,0.851597,0.852601,0.856286,0.857085,0.856562,0.853182,0.856425,0.858012,0.857781,0.504448,0.857384
HAP2_chr11,0.849973,0.848897,0.852310,0.854294,0.855604,0.853658,0.854170,0.853098,0.854485,0.855306,0.533163,0.848722,0.849559,0.851600,0.854619,0.853148,0.853601,0.855583,0.853578,0.855917,0.857361,0.000000,0.849044,0.849625,0.852468,0.855516,0.854555,0.854809,0.853419,0.851726,0.855090,0.854866,0.531442,0.848777,0.849378,0.852785,0.854923,0.852411,0.852449,0.855224,0.856746,0.855248,0.857166,0.550632
HAP3_chr01,0.447592,0.833221,0.839915,0.842090,0.843759,0.842435,0.845375,0.843578,0.846255,0.847398,0.847839,0.443722,0.832899,0.840124,0.842009,0.840996,0.845302,0.846761,0.841752,0.848855,0.850968,0.849044,0.000000,0.833247,0.842080,0.843319,0.842529,0.845516,0.842849,0.841180,0.847415,0.848738,0.849990,0.449526,0.832365,0.841374,0.841036,0.842474,0.840878,0.845128,0.847916,0.848971,0.851424,0.850181
HAP3_chr02,0.834020,0.438075,0.840427,0.843372,0.843377,0.844124,0.846185,0.843713,0.845637,0.849705,0.849351,0.834559,0.394169,0.840839,0.842201,0.842055,0.846266,0.847295,0.844645,0.849291,0.852056,0.849625,0.833247,0.000000,0.843304,0.844445,0.844351,0.846416,0.845052,0.844263,0.848068,0.849741,0.851434,0.833743,0.440377,0.843247,0.843418,0.842443,0.843923,0.846822,0.850371,0.849743,0.853731,0.852752
HAP3_chr03,0.842643,0.843989,0.512890,0.849687,0.850045,0.847306,0.850363,0.848036,0.850231,0.853242,0.852512,0.843227,0.843868,0.490329,0.849869,0.848404,0.849745,0.851394,0.847892,0.852618,0.855559,0.852468,0.842080,0.843304,0.000000,0.849894,0.849511,0.850381,0.847845,0.845598,0.851393,0.853242,0.854231,0.843809,0.842889,0.493818,0.849770,0.849135,0.847299,0.850547,0.852102,0.853078,0.856216,0.853583
HAP3_chr04,0.843400,0.844786,0.848408,0.431963,0.851465,0.850178,0.852006,0.851378,0.852744,0.853570,0.855246,0.843731,0.844013,0.848340,0.420686,0.849522,0.851667,0.853120,0.852609,0.855888,0.856871,0.855516,0.843319,0.844445,0.849894,0.000000,0.851000,0.851811,0.851368,0.850785,0.854145,0.854556,0.856764,0.843945,0.844015,0.850005,0.420145,0.850828,0.849449,0.851802,0.854243,0.854512,0.857991,0.857158
HAP3_chr05,0.843160,0.843976,0.847944,0.850292,0.479746,0.849156,0.851406,0.849171,0.852140,0.852454,0.853788,0.842920,0.843640,0.848547,0.849562,0.440637,0.851199,0.852136,0.849567,0.854612,0.855572,0.854555,0.842529,0.844351,0.849511,0.851000,0.000000,0.851644,0.850032,0.848862,0.852111,0.852522,0.855091,0.843098,0.844373,0.849993,0.850221,0.454811,0.849190,0.851055,0.852832,0.853482,0.856070,0.856174
HAP3_chr06,0.845716,0.846104,0.847938,0.851159,0.852058,0.487056,0.850569,0.850403,0.852760,0.854329,0.853530,0.846577,0.846518,0.848382,0.851393,0.851073,0.489857,0.852403,0.850144,0.854683,0.855446,0.854809,0.845516,0.846416,0.850381,0.851811,0.851644,0.000000,0.850705,0.849589,0.854072,0.854170,0.855875,0.846362,0.845752,0.849815,0.851655,0.851484,0.493030,0.852493,0.854823,0.854375,0.856128,0.855381
HAP3_chr07,0.843898,0.843840,0.845635,0.850224,0.852237,0.848782,0.488404,0.848473,0.852470,0.852351,0.853576,0.844136,0.843633,0.848597,0.849803,0.849233,0.850667,0.481009,0.849732,0.854609,0.856287,0.853419,0.842849,0.845052,0.847845,0.851368,0.850032,0.850705,0.000000,0.848185,0.853228,0.851253,0.855555,0.844358,0.843711,0.848380,0.849891,0.849362,0.848588,0.499518,0.852483,0.853935,0.856411,0.854842
HAP3_chr08,0.842373,0.841981,0.845026,0.848480,0.849449,0.848318,0.850029,0.480429,0.849780,0.850221,0.850502,0.841590,0.843281,0.845648,0.849054,0.848722,0.849882,0.850634,0.500115,0.851282,0.853227,0.851726,0.841180,0.844263,0.845598,0.850785,0.848862,0.849589,0.848185,0.000000,0.850163,0.850597,0.852093,0.842036,0.843097,0.848050,0.849307,0.848316,0.846350,0.850376,0.516881,0.850498,0.852901,0.853059
HAP3_chr09,0.846949,0.847801,0.850497,0.852084,0.853628,0.851544,0.854415,0.852572,0.469355,0.855326,0.855774,0.847279,0.847834,0.850185,0.852250,0.851441,0.853289,0.856151,0.851282,0.454180,0.857742,0.855090,0.847415,0.848068,0.851393,0.854145,0.852111,0.854072,0.853228,0.850163,0.000000,0.854602,0.856093,0.847164,0.848047,0.850469,0.854060,0.852473,0.852061,0.854815,0.855220,0.451091,0.858716,0.857875
HAP3_chr10,0.847988,0.848950,0.850820,0.852689,0.853595,0.852244,0.853051,0.851895,0.852767,0.415110,0.854938,0.848139,0.849560,0.850900,0.853211,0.852124,0.852456,0.854228,0.851594,0.855954,0.511360,0.854866,0.848738,0.849741,0.853242,0.854556,0.852522,0.854170,0.851253,0.850597,0.854602,0.000000,0.855833,0.846982,0.848394,0.852279,0.854429,0.852344,0.848945,0.854704,0.854593,0.856175,0.528016,0.855217
HAP3_chr11,0.851206,0.851513,0.852004,0.855775,0.856068,0.853562,0.855943,0.854003,0.855068,0.854985,0.528075,0.850922,0.851310,0.852812,0.856589,0.854463,0.855669,0.856019,0.852192,0.856933,0.857383,0.531442,0.849990,0.851434,0.854231,0.856764,0.855091,0.855875,0.855555,0.852093,0.856093,0.855833,0.000000,0.849887,0.851433,0.853365,0.855634,0.854297,0.853873,0.855289,0.856132,0.857012,0.857034,0.522632
HAP4_chr01,0.437197,0.833418,0.839853,0.841107,0.844341,0.843538,0.846120,0.843929,0.846958,0.845816,0.849429,0.443341,0.832973,0.839969,0.842889,0.841950,0.846836,0.847503,0.843004,0.849286,0.851597,0.848777,0.449526,0.833743,0.843809,0.843945,0.843098,0.846362,0.844358,0.842036,0.847164,0.846982,0.849887,0.000000,0.832287,0.840703,0.842959,0.842767,0.843019,0.845746,0.847833,0.848636,0.851906,0.850666
HAP4_chr02,0.831815,0.445565,0.839487,0.841911,0.843887,0.842772,0.844945,0.843494,0.846145,0.848024,0.848036,0.832402,0.427624,0.840419,0.841803,0.842296,0.845116,0.847431,0.843519,0.849103,0.852601,0.849378,0.832365,0.440377,0.842889,0.844015,0.844373,0.845752,0.843711,0.843097,0.848047,0.848394,0.851433,0.832287,0.000000,0.841718,0.842113,0.842435,0.843091,0.846363,0.848932,0.849050,0.852245,0.853006
HAP4_chr03,0.841449,0.842627,0.493618,0.848423,0.850531,0.846918,0.849829,0.848214,0.850574,0.852403,0.852530,0.840877,0.842709,0.480452,0.849627,0.847945,0.849892,0.850943,0.848312,0.852845,0.856286,0.852785,0.841374,0.843247,0.493818,0.850005,0.849993,0.849815,0.848380,0.848050,0.850469,0.852279,0.853365,0.840703,0.841718,0.000000,0.849609,0.848213,0.847958,0.850888,0.852329,0.852561,0.856021,0.853828
HAP4_chr04,0.842123,0.842990,0.846878,0.435416,0.850368,0.848940,0.851069,0.851553,0.851975,0.853511,0.853116,0.841820,0.842741,0.847760,0.421486,0.848443,0.851242,0.851558,0.851367,0.854654,0.857085,0.854923,0.841036,0.843418,0.849770,0.420145,0.850221,0.851655,0.849891,0.849307,0.854060,0.854429,0.855634,0.842959,0.842113,0.849609,0.000000,0.849249,0.848280,0.851560,0.854372,0.853292,0.857531,0.856299
HAP4_chr05,0.841810,0.843463,0.848426,0.849289,0.465906,0.848580,0.850640,0.849355,0.850822,0.851863,0.852810,0.841766,0.842687,0.847414,0.849290,0.465414,0.850435,0.851344,0.849697,0.853681,0.856562,0.852411,0.842474,0.842443,0.849135,0.850828,0.454811,0.851484,0.849362,0.848316,0.852473,0.852344,0.854297,0.842767,0.842435,0.848213,0.849249,0.000000,0.848333,0.850445,0.853879,0.853689,0.856953,0.855560
HAP4_chr06,0.841994,0.843316,0.845127,0.848856,0.849592,0.496403,0.849599,0.848738,0.851199,0.850652,0.852086,0.842474,0.843651,0.846592,0.848250,0.847713,0.497000,0.850762,0.847724,0.854057,0.853182,0.852449,0.840878,0.843923,0.847299,0.849449,0.849190,0.493030,0.848588,0.846350,0.852061,0.848945,0.853873,0.843019,0.843091,0.847958,0.848280,0.848333,0.000000,0.849662,0.852492,0.852324,0.853337,0.853728
HAP4_chr07,0.845677,0.845906,0.848560,0.851559,0.852026,0.849909,0.475091,0.851278,0.853589,0.854481,0.854831,0.846642,0.846323,0.850452,0.851523,0.851130,0.852900,0.491540,0.850920,0.855970,0.856425,0.855224,0.845128,0.846822,0.850547,0.851802,0.851055,0.852493,0.499518,0.850376,0.854815,0.854704,0.855289,0.845746,0.846363,0.850888,0.851560,0.850445,0.849662,0.000000,0.854866,0.855163,0.857348,0.855659
HAP4_chr08,0.847982,0.849366,0.850316,0.853946,0.854175,0.853368,0.854445,0.522905,0.855405,0.854963,0.854760,0.848900,0.849504,0.851369,0.853482,0.852006,0.854589,0.855709,0.500029,0.857266,0.858012,0.856746,0.847916,0.850371,0.852102,0.854243,0.852832,0.854823,0.852483,0.516881,0.855220,0.854593,0.856132,0.847833,0.848932,0.852329,0.854372,0.853879,0.852492,0.854866,0.000000,0.856152,0.857597,0.856934
HAP4_chr09,0.848435,0.849446,0.851004,0.853829,0.855149,0.852077,0.854869,0.853417,0.457324,0.855727,0.854411,0.848816,0.849335,0.851183,0.853428,0.852853,0.854403,0.855469,0.853546,0.451172,0.857781,0.855248,0.848971,0.849743,0.853078,0.854512,0.853482,0.854375,0.853935,0.850498,0.451091,0.856175,0.857012,0.848636,0.849050,0.852561,0.853292,0.853689,0.852324,0.855163,0.856152,0.000000,0.859445,0.858271
HAP4_chr10,0.851693,0.852742,0.854473,0.856744,0.857069,0.854426,0.856525,0.855486,0.857662,0.534093,0.857220,0.852268,0.852974,0.854779,0.858143,0.856442,0.856450,0.857798,0.854442,0.858936,0.504448,0.857166,0.851424,0.853731,0.856216,0.857991,0.856070,0.856128,0.856411,0.852901,0.858716,0.528016,0.857034,0.851906,0.852245,0.856021,0.857531,0.856953,0.853337,0.857348,0.857597,0.859445,0.000000,0.857267
HAP4_chr11,0.851052,0.851571,0.853197,0.855634,0.856262,0.854322,0.856437,0.854456,0.856930,0.855924,0.527833,0.851329,0.851922,0.852767,0.856474,0.855525,0.856177,0.857461,0.853418,0.857175,0.857384,0.550632,0.850181,0.852752,0.853583,0.857158,0.856174,0.855381,0.854842,0.853059,0.857875,0.855217,0.522632,0.850666,0.853006,0.853828,0.856299,0.855560,0.853728,0.855659,0.856934,0.858271,0.857267,0.000000
