unit_a	unit_b	kmers_a	kmers_b	shared	union	jaccard_distance	containment
HAP1_chr03	HAP3_chr04	27431484	28330687	7340361	48421810	0.848408	0.267589
HAP1_chr03	HAP3_chr05	27431484	27691526	7275493	47847517	0.847944	0.265224
HAP1_chr03	HAP3_chr06	27431484	25609482	7000938	46040028	0.847938	0.273373
HAP1_chr03	HAP3_chr07	27431484	26380859	7195944	46616399	0.845635	0.272771
HAP1_chr03	HAP3_chr08	27431484	25966901	7164961	46233424	0.845026	0.275927
HAP1_chr03	HAP3_chr09	27431484	25253452	6852141	45832795	0.850497	0.271335
HAP1_chr03	HAP3_chr10	27431484	23486954	6609928	44308510	0.850820	0.281430
HAP1_chr03	HAP3_chr11	27431484	22884473	6486570	43829387	0.852004	0.283449
HAP1_chr03	HAP4_chr01	27431484	33447820	8403789	52475515	0.839853	0.306356
HAP1_chr03	HAP4_chr02	27431484	33497177	8427190	52501471	0.839487	0.307209
HAP1_chr03	HAP4_chr03	27431484	26712570	18200940	35943114	0.493618	0.681362
HAP1_chr03	HAP4_chr04	27431484	28529521	7431005	48530000	0.846878	0.270893
HAP1_chr03	HAP4_chr05	27431484	27981533	7293657	48119360	0.848426	0.265886
HAP1_chr03	HAP4_chr06	27431484	26898629	7285868	47044245	0.845127	0.270864
HAP1_chr03	HAP4_chr07	27431484	25884630	7012249	46303865	0.848560	0.270904
HAP1_chr03	HAP4_chr08	27431484	24051497	6702864	44780117	0.850316	0.278688
HAP1_chr03	HAP4_chr09	27431484	24737561	6765031	45404014	0.851004	0.273472
HAP1_chr03	HAP4_chr10	27431484	22658244	6363356	43726372	0.854473	0.280841
HAP1_chr03	HAP4_chr11	27431484	23110457	6469902	44072039	0.853197	0.279956
HAP1_chr04	HAP1_chr05	28655126	27708185	7399029	48964282	0.848889	0.267034
HAP1_chr04	HAP1_chr06	28655126	26494879	7212761	47937244	0.849537	0.272232
HAP1_chr04	HAP1_chr07	28655126	25994701	7113726	47536101	0.850351	0.273661
HAP1_chr04	HAP1_chr08	28655126	25612866	7057689	47210303	0.850505	0.275552
HAP1_chr04	HAP1_chr09	28655126	25637798	7032150	47260774	0.851205	0.274288
HAP1_chr04	HAP1_chr10	28655126	23883247	6722988	45815385	0.853259	0.281494
HAP1_chr04	HAP1_chr11	28655126	23795843	6662207	45788762	0.854501	0.279974
HAP1_chr04	HAP2_chr01	28655126	33619673	8503012	53771787	0.841869	0.296736
HAP1_chr04	HAP2_chr02	28655126	33073539	8405121	53323544	0.842375	0.293320
HAP1_chr04	HAP2_chr03	28655126	26828717	7380598	48103245	0.846568	0.275101
HAP1_chr04	HAP2_chr04	28655126	28640897	20926454	36369569	0.424616	0.730649
HAP1_chr04	HAP2_chr05	28655126	28186522	7507242	49334406	0.847829	0.266342
HAP1_chr04	HAP2_chr06	28655126	25664743	7057308	47262561	0.850679	0.274981
HAP1_chr04	HAP2_chr07	28655126	25821481	7000646	47475961	0.852543	0.271117
HAP1_chr04	HAP2_chr08	28655126	25079853	7004086	46730893	0.850119	0.279271
HAP1_chr04	HAP2_chr09	28655126	24512195	6767010	46400311	0.854160	0.276067
HAP1_chr04	HAP2_chr10	28655126	22906993	6517425	45044694	0.855312	0.284517
HAP1_chr04	HAP2_chr11	28655126	23719169	6660756	45713539	0.854294	0.280817
HAP1_chr04	HAP3_chr01	28655126	33658636	8498048	53815714	0.842090	0.296563
HAP1_chr04	HAP3_chr02	28655126	33170979	8372354	53453751	0.843372	0.292176
HAP1_chr04	HAP3_chr03	28655126	26547863	7213462	47989527	0.849687	0.271715
HAP1_chr04	HAP3_chr04	28655126	28330687	20643671	36342142	0.431963	0.728668
HAP1_chr04	HAP3_chr05	28655126	27691526	7337103	49009549	0.850292	0.264958
HAP1_chr04	HAP3_chr06	28655126	25609482	7030394	47234214	0.851159	0.274523
HAP1_chr04	HAP3_chr07	28655126	26380859	7169279	47866706	0.850224	0.271761
HAP1_chr04	HAP3_chr08	28655126	25966901	7187301	47434726	0.848480	0.276787
HAP1_chr04	HAP3_chr09	28655126	25253452	6946470	46962108	0.852084	0.275070
HAP1_chr04	HAP3_chr10	28655126	23486954	6694877	45447203	0.852689	0.285047
HAP1_chr04	HAP3_chr11	28655126	22884473	6496367	45043232	0.855775	0.283877
HAP1_chr04	HAP4_chr01	28655126	33447820	8514777	53588169	0.841107	0.297147
HAP1_chr04	HAP4_chr02	28655126	33497177	8484303	53668000	0.841911	0.296083
HAP1_chr04	HAP4_chr03	28655126	26712570	7287820	48079876	0.848423	0.272824
HAP1_chr04	HAP4_chr04	28655126	28529521	20635227	36549420	0.435416	0.723294
HAP1_chr04	HAP4_chr05	28655126	27981533	7417822	49218837	0.849289	0.265097
HAP1_chr04	HAP4_chr06	28655126	26898629	7294140	48259615	0.848856	0.271171
HAP1_chr04	HAP4_chr07	28655126	25884630	7049504	47490252	0.851559	0.272343
HAP1_chr04	HAP4_chr08	28655126	24051497	6716956	45989667	0.853946	0.279274
HAP1_chr04	HAP4_chr09	28655126	24737561	6809166	46583521	0.853829	0.275256
HAP1_chr04	HAP4_chr10	28655126	22658244	6429849	44883521	0.856744	0.283775
HAP1_chr04	HAP4_chr11	28655126	23110457	6530432	45235151	0.855634	0.282575
HAP1_chr05	HAP1_chr06	27708185	26494879	7138613	47064451	0.848323	0.269434
HAP1_chr05	HAP1_chr07	27708185	25994701	6930347	46772539	0.851829	0.266606
HAP1_chr05	HAP1_chr08	27708185	25612866	6973163	46347888	0.849547	0.272252
HAP1_chr05	HAP1_chr09	27708185	25637798	6873142	46472841	0.852104	0.268086
HAP1_chr05	HAP1_chr10	27708185	23883247	6596921	44994511	0.853384	0.276215
HAP1_chr05	HAP1_chr11	27708185	23795843	6551098	44952930	0.854268	0.275304
HAP1_chr05	HAP2_chr01	27708185	33619673	8287264	53040594	0.843756	0.299091
HAP1_chr05	HAP2_chr02	27708185	33073539	8204439	52577285	0.843955	0.296102
HAP1_chr05	HAP2_chr03	27708185	26828717	7191409	47345493	0.848108	0.268049
HAP1_chr05	HAP2_chr04	27708185	28640897	7355981	48993101	0.849857	0.265480
HAP1_chr05	HAP2_chr05	27708185	28186522	19652217	36242490	0.457758	0.709257
HAP1_chr05	HAP2_chr06	27708185	25664743	6894592	46478336	0.851660	0.268641
HAP1_chr05	HAP2_chr07	27708185	25821481	6866256	46663410	0.852856	0.265913
HAP1_chr05	HAP2_chr08	27708185	25079853	6864702	45923336	0.850518	0.273714
HAP1_chr05	HAP2_chr09	27708185	24512195	6616088	45604292	0.854924	0.269910
HAP1_chr05	HAP2_chr10	27708185	22906993	6388325	44226853	0.855556	0.278881
HAP1_chr05	HAP2_chr11	27708185	23719169	6488929	44938425	0.855604	0.273573
HAP1_chr05	HAP3_chr01	27708185	33658636	8292422	53074399	0.843759	0.299277
HAP1_chr05	HAP3_chr02	27708185	33170979	8243876	52635288	0.843377	0.297525
HAP1_chr05	HAP3_chr03	27708185	26547863	7075044	47181004	0.850045	0.266501
HAP1_chr05	HAP3_chr04	27708185	28330687	7247266	48791606	0.851465	0.261557
HAP1_chr05	HAP3_chr05	27708185	27691526	18958617	36441094	0.479746	0.684636
HAP1_chr05	HAP3_chr06	27708185	25609482	6871376	46446291	0.852058	0.268314
HAP1_chr05	HAP3_chr07	27708185	26380859	6963436	47125608	0.852237	0.263958
HAP1_chr05	HAP3_chr08	27708185	25966901	7023468	46651618	0.849449	0.270478
HAP1_chr05	HAP3_chr09	27708185	25253452	6762280	46199357	0.853628	0.267776
HAP1_chr05	HAP3_chr10	27708185	23486954	6538007	44657132	0.853595	0.278368
HAP1_chr05	HAP3_chr11	27708185	22884473	6365697	44226961	0.856068	0.278167
HAP1_chr05	HAP4_chr01	27708185	33447820	8237256	52918749	0.844341	0.297286
HAP1_chr05	HAP4_chr02	27708185	33497177	8264734	52940628	0.843887	0.298278
HAP1_chr05	HAP4_chr03	27708185	26712570	7076487	47344268	0.850531	0.264912
HAP1_chr05	HAP4_chr04	27708185	28529521	7319701	48918005	0.850368	0.264171
HAP1_chr05	HAP4_chr05	27708185	27981533	19388343	36301375	0.465906	0.699733
HAP1_chr05	HAP4_chr06	27708185	26898629	7139472	47467342	0.849592	0.265421
HAP1_chr05	HAP4_chr07	27708185	25884630	6908112	46684703	0.852026	0.266881
HAP1_chr05	HAP4_chr08	27708185	24051497	6587262	45172420	0.854175	0.273882
HAP1_chr05	HAP4_chr09	27708185	24737561	6635656	45810090	0.855149	0.268242
HAP1_chr05	HAP4_chr10	27708185	22658244	6298652	44067777	0.857069	0.277985
HAP1_chr05	HAP4_chr11	27708185	23110457	6386567	44432075	0.856262	0.276350
HAP1_chr06	HAP1_chr07	26494879	25994701	6836542	45653038	0.850250	0.262998
HAP1_chr06	HAP1_chr08	26494879	25612866	6846647	45261098	0.848730	0.267313
HAP1_chr06	HAP1_chr09	26494879	25637798	6780034	45352643	0.850504	0.264455
HAP1_chr06	HAP1_chr10	26494879	23883247	6477555	43900571	0.852449	0.271218
HAP1_chr06	HAP1_chr11	26494879	23795843	6465309	43825413	0.852476	0.271699
HAP1_chr06	HAP2_chr01	26494879	33619673	8121993	51992559	0.843785	0.306550
HAP1_chr06	HAP2_chr02	26494879	33073539	8074899	51493519	0.843186	0.304772
HAP1_chr06	HAP2_chr03	26494879	26828717	7147111	46176485	0.845222	0.269754
HAP1_chr06	HAP2_chr04	26494879	28640897	7292804	47842972	0.847568	0.275253
HAP1_chr06	HAP2_chr05	26494879	28186522	7183408	47497993	0.848764	0.271124
HAP1_chr06	HAP2_chr06	26494879	25664743	17797787	34361835	0.482048	0.693472
HAP1_chr06	HAP2_chr07	26494879	25821481	6781908	45534452	0.851060	0.262646
HAP1_chr06	HAP2_chr08	26494879	25079853	6776890	44797842	0.848723	0.270213
HAP1_chr06	HAP2_chr09	26494879	24512195	6527596	44479478	0.853245	0.266300
HAP1_chr06	HAP2_chr10	26494879	22906993	6294345	43107527	0.853985	0.274778
HAP1_chr06	HAP2_chr11	26494879	23719169	6410335	43803713	0.853658	0.270260
HAP1_chr06	HAP3_chr01	26494879	33658636	8187963	51965552	0.842435	0.309039
HAP1_chr06	HAP3_chr02	26494879	33170979	8046271	51619587	0.844124	0.303692
HAP1_chr06	HAP3_chr03	26494879	26547863	7026412	46016330	0.847306	0.265199
HAP1_chr06	HAP3_chr04	26494879	28330687	7143763	47681803	0.850178	0.269628
HAP1_chr06	HAP3_chr05	26494879	27691526	7102331	47084074	0.849156	0.268064
HAP1_chr06	HAP3_chr06	26494879	25609482	17665303	34439058	0.487056	0.689795
HAP1_chr06	HAP3_chr07	26494879	26380859	6945499	45930239	0.848782	0.263278
HAP1_chr06	HAP3_chr08	26494879	25966901	6909482	45552298	0.848318	0.266088
HAP1_chr06	HAP3_chr09	26494879	25253452	6689281	45059050	0.851544	0.264886
HAP1_chr06	HAP3_chr10	26494879	23486954	6434403	43547430	0.852244	0.273956
HAP1_chr06	HAP3_chr11	26494879	22884473	6307386	43071966	0.853562	0.275619
HAP1_chr06	HAP4_chr01	26494879	33447820	8109870	51832829	0.843538	0.306092
HAP1_chr06	HAP4_chr02	26494879	33497177	8150889	51841167	0.842772	0.307640
HAP1_chr06	HAP4_chr03	26494879	26712570	7063757	46143692	0.846918	0.266608
HAP1_chr06	HAP4_chr04	26494879	28529521	7221176	47803224	0.848940	0.272550
HAP1_chr06	HAP4_chr05	26494879	27981533	7164024	47312388	0.848580	0.270393
HAP1_chr06	HAP4_chr06	26494879	26898629	17882994	35510514	0.496403	0.674960
HAP1_chr06	HAP4_chr07	26494879	25884630	6835725	45543784	0.849909	0.264084
HAP1_chr06	HAP4_chr08	26494879	24051497	6463912	44082464	0.853368	0.268753
HAP1_chr06	HAP4_chr09	26494879	24737561	6601881	44630559	0.852077	0.266877
HAP1_chr06	HAP4_chr10	26494879	22658244	6246142	42906981	0.854426	0.275668
HAP1_chr06	HAP4_chr11	26494879	23110457	6307542	43297794	0.854322	0.272930
HAP1_chr07	HAP1_chr08	25994701	25612866	6707251	44900316	0.850619	0.261870
HAP1_chr07	HAP1_chr09	25994701	25637798	6591568	45040931	0.853654	0.257104
HAP1_chr07	HAP1_chr10	25994701	23883247	6376914	43501034	0.853408	0.267004
HAP1_chr07	HAP1_chr11	25994701	23795843	6316129	43474415	0.854716	0.265430
HAP1_chr07	HAP2_chr01	25994701	33619673	7968507	51645867	0.845709	0.306544
HAP1_chr07	HAP2_chr02	25994701	33073539	7905627	51162613	0.845480	0.304125
HAP1_chr07	HAP2_chr03	25994701	26828717	6893745	45929673	0.849907	0.265198
HAP1_chr07	HAP2_chr04	25994701	28640897	7134603	47500995	0.849801	0.274464
HAP1_chr07	HAP2_chr05	25994701	28186522	7059474	47121749	0.850187	0.271574
HAP1_chr07	HAP2_chr06	25994701	25664743	6689275	44970169	0.851251	0.260641
HAP1_chr07	HAP2_chr07	25994701	25821481	17628672	34187510	0.484353	0.682713
HAP1_chr07	HAP2_chr08	25994701	25079853	6652923	44421631	0.850232	0.265270
HAP1_chr07	HAP2_chr09	25994701	24512195	6392227	44114669	0.855100	0.260777
HAP1_chr07	HAP2_chr10	25994701	22906993	6087051	42814643	0.857828	0.265729
HAP1_chr07	HAP2_chr11	25994701	23719169	6327100	43386770	0.854170	0.266750
HAP1_chr07	HAP3_chr01	25994701	33658636	7988658	51664679	0.845375	0.307319
HAP1_chr07	HAP3_chr02	25994701	33170979	7887392	51278288	0.846185	0.303423
HAP1_chr07	HAP3_chr03	25994701	26547863	6838962	45703602	0.850363	0.263091
HAP1_chr07	HAP3_chr04	25994701	28330687	7003371	47322017	0.852006	0.269415
HAP1_chr07	HAP3_chr05	25994701	27691526	6945402	46740825	0.851406	0.267185
HAP1_chr07	HAP3_chr06	25994701	25609482	6708757	44895426	0.850569	0.261964
HAP1_chr07	HAP3_chr07	25994701	26380859	17726379	34649181	0.488404	0.681923
HAP1_chr07	HAP3_chr08	25994701	25966901	6776474	45185128	0.850029	0.260966
HAP1_chr07	HAP3_chr09	25994701	25253452	6512816	44735337	0.854415	0.257898
HAP1_chr07	HAP3_chr10	25994701	23486954	6339670	43141985	0.853051	0.269923
HAP1_chr07	HAP3_chr11	25994701	22884473	6154752	42724422	0.855943	0.268949
HAP1_chr07	HAP4_chr01	25994701	33447820	7927201	51515320	0.846120	0.304954
HAP1_chr07	HAP4_chr02	25994701	33497177	7986207	51505671	0.844945	0.307224
HAP1_chr07	HAP4_chr03	25994701	26712570	6881691	45825580	0.849829	0.264734
HAP1_chr07	HAP4_chr04	25994701	28529521	7067748	47456474	0.851069	0.271892
HAP1_chr07	HAP4_chr05	25994701	27981533	7014253	46961981	0.850640	0.269834
HAP1_chr07	HAP4_chr06	25994701	26898629	6915149	45978181	0.849599	0.266021
HAP1_chr07	HAP4_chr07	25994701	25884630	17858058	34021273	0.475091	0.689910
HAP1_chr07	HAP4_chr08	25994701	24051497	6358899	43687299	0.854445	0.264387
HAP1_chr07	HAP4_chr09	25994701	24737561	6429669	44302593	0.854869	0.259915
HAP1_chr07	HAP4_chr10	25994701	22658244	6104618	42548327	0.856525	0.269421
HAP1_chr07	HAP4_chr11	25994701	23110457	6164662	42940496	0.856437	0.266748
HAP1_chr08	HAP1_chr09	25612866	25637798	6648651	44602013	0.850934	0.259582
HAP1_chr08	HAP1_chr10	25612866	23883247	6360335	43135778	0.852551	0.266309
HAP1_chr08	HAP1_chr11	25612866	23795843	6355309	43053400	0.852385	0.267076
HAP1_chr08	HAP2_chr01	25612866	33619673	8027024	51205515	0.843239	0.313398
HAP1_chr08	HAP2_chr02	25612866	33073539	7885065	50801340	0.844786	0.307856
HAP1_chr08	HAP2_chr03	25612866	26828717	6983978	45457605	0.846363	0.272675
HAP1_chr08	HAP2_chr04	25612866	28640897	7024694	47229069	0.851263	0.274264
HAP1_chr08	HAP2_chr05	25612866	28186522	7049622	46749766	0.849205	0.275238
HAP1_chr08	HAP2_chr06	25612866	25664743	6646288	44631321	0.851085	0.259490
HAP1_chr08	HAP2_chr07	25612866	25821481	6605588	44828759	0.852648	0.257901
HAP1_chr08	HAP2_chr08	25612866	25079853	17048548	33644171	0.493269	0.679771
HAP1_chr08	HAP2_chr09	25612866	24512195	6427105	43697956	0.852920	0.262200
HAP1_chr08	HAP2_chr10	25612866	22906993	6161395	42358464	0.854542	0.268974
HAP1_chr08	HAP2_chr11	25612866	23719169	6318741	43013294	0.853098	0.266398
HAP1_chr08	HAP3_chr01	25612866	33658636	8017285	51254217	0.843578	0.313018
HAP1_chr08	HAP3_chr02	25612866	33170979	7945411	50838434	0.843713	0.310212
HAP1_chr08	HAP3_chr03	25612866	26547863	6880904	45279825	0.848036	0.268650
HAP1_chr08	HAP3_chr04	25612866	28330687	6979855	46963698	0.851378	0.272514
HAP1_chr08	HAP3_chr05	25612866	27691526	6986117	46318275	0.849171	0.272758
HAP1_chr08	HAP3_chr06	25612866	25609482	6665549	44556799	0.850403	0.260277
HAP1_chr08	HAP3_chr07	25612866	26380859	6841752	45151973	0.848473	0.267122
HAP1_chr08	HAP3_chr08	25612866	25966901	17636125	33943642	0.480429	0.688565
HAP1_chr08	HAP3_chr09	25612866	25253452	6535604	44330714	0.852572	0.258800
HAP1_chr08	HAP3_chr10	25612866	23486954	6333862	42765958	0.851895	0.269676
HAP1_chr08	HAP3_chr11	25612866	22884473	6178415	42318924	0.854003	0.269983
HAP1_chr08	HAP4_chr01	25612866	33447820	7973271	51087415	0.843929	0.311299
HAP1_chr08	HAP4_chr02	25612866	33497177	7999181	51110862	0.843494	0.312311
HAP1_chr08	HAP4_chr03	25612866	26712570	6895615	45429821	0.848214	0.269225
HAP1_chr08	HAP4_chr04	25612866	28529521	6998381	47144006	0.851553	0.273237
HAP1_chr08	HAP4_chr05	25612866	27981533	7016695	46577704	0.849355	0.273952
HAP1_chr08	HAP4_chr06	25612866	26898629	6899368	45612127	0.848738	0.269371
HAP1_chr08	HAP4_chr07	25612866	25884630	6667234	44830262	0.851278	0.260308
HAP1_chr08	HAP4_chr08	25612866	24051497	16041355	33623008	0.522905	0.666959
HAP1_chr08	HAP4_chr09	25612866	24737561	6436971	43913456	0.853417	0.260210
HAP1_chr08	HAP4_chr10	25612866	22658244	6095051	42176059	0.855486	0.268999
HAP1_chr08	HAP4_chr11	25612866	23110457	6190404	42532919	0.854456	0.267862
