,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr09,HAP2_chr10,HAP2_chr12,HAP2_chr13,HAP2_chr17,HAP2_chr18,HAP2_chr21,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr22,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr09,HAP4_chr10,HAP4_chr12,HAP4_chr13,HAP4_chr17,HAP4_chr18,HAP4_chr21,HAP4_chr24,HAP4_chr25
HAP1_chr16,0.130188,0.129838,0.126030,0.128020,0.128280,0.131852,0.129242,0.131289,0.130047,0.137638,0.134075,0.134281,0.135109,0.134637,0.129575,0.000000,0.133622,0.127313,0.127724,0.129658,0.135305,0.124253,0.132196,0.135153,0.133263,0.129880,0.127351,0.127690,0.128066,0.130419,0.128226,0.129987,0.139269,0.133684,0.137643,0.133631,0.126943,0.132372,0.134507,0.132466,0.128228,0.128799,0.128307,0.126898,0.128147,0.131029,0.128799,0.131386,0.130962,0.138418,0.133126,0.134078,0.136644,0.135192,0.130940,0.010444,0.133852,0.127311,0.127905,0.131861,0.133120,0.126446,0.131656,0.135397,0.134287,0.129156,0.128446,0.126475,0.128134,0.130173,0.128797,0.130836,0.138836,0.134237,0.135388,0.132192,0.127207,0.131649,0.134270,0.131996
HAP1_chr17,0.132726,0.134290,0.128769,0.129820,0.131137,0.133275,0.132999,0.133768,0.133656,0.139065,0.134869,0.136890,0.137081,0.135417,0.133602,0.133622,0.000000,0.132633,0.130735,0.132891,0.137054,0.126939,0.132595,0.138045,0.135619,0.132132,0.131797,0.128497,0.131867,0.132684,0.133629,0.133476,0.139226,0.136285,0.139378,0.017705,0.131367,0.134946,0.137597,0.134280,0.130761,0.133523,0.129741,0.129999,0.131530,0.132657,0.133167,0.134970,0.134052,0.140081,0.133277,0.136924,0.138443,0.136502,0.132827,0.133215,0.017728,0.132128,0.130805,0.134793,0.134918,0.129091,0.132175,0.137697,0.135581,0.132126,0.130907,0.130140,0.131744,0.133101,0.133323,0.133656,0.140158,0.136202,0.135931,0.014736,0.132641,0.134498,0.137321,0.134213
HAP1_chr18,0.128074,0.128439,0.123768,0.125623,0.126239,0.129752,0.126284,0.127961,0.127802,0.135876,0.132449,0.131934,0.134521,0.133380,0.129287,0.127313,0.132633,0.000000,0.125376,0.128836,0.133491,0.122658,0.130845,0.133184,0.132013,0.126481,0.126556,0.125222,0.126165,0.129083,0.125296,0.127472,0.137740,0.130788,0.135983,0.133572,0.018607,0.131229,0.133077,0.131146,0.126275,0.127226,0.125506,0.125051,0.125534,0.129374,0.125910,0.130746,0.128689,0.138029,0.131660,0.132266,0.136241,0.133575,0.128814,0.126909,0.134235,0.018211,0.126212,0.130352,0.132838,0.125013,0.130308,0.134391,0.132401,0.126468,0.126883,0.124435,0.125834,0.129659,0.127007,0.128976,0.137836,0.132369,0.134181,0.130897,0.018358,0.130320,0.132936,0.129522
HAP1_chr19,0.127209,0.128167,0.124131,0.125555,0.125236,0.128743,0.126488,0.128095,0.127036,0.135514,0.132142,0.130704,0.132703,0.131035,0.129145,0.127724,0.130735,0.125376,0.000000,0.127497,0.132433,0.122142,0.128033,0.132902,0.130277,0.126835,0.126886,0.123941,0.125484,0.129429,0.126278,0.127696,0.135533,0.130036,0.133502,0.132487,0.126161,0.129968,0.133010,0.130844,0.125756,0.126915,0.125456,0.125414,0.125278,0.128925,0.126870,0.129337,0.128832,0.135509,0.131157,0.131170,0.133018,0.133144,0.128846,0.127010,0.131880,0.126096,0.011207,0.128618,0.130528,0.124161,0.128570,0.132910,0.131227,0.125726,0.126406,0.124487,0.124958,0.128709,0.125848,0.128424,0.136478,0.131034,0.132322,0.129713,0.125431,0.130249,0.132348,0.129798
HAP1_chr20,0.131845,0.131696,0.127875,0.129071,0.129601,0.133435,0.130930,0.132284,0.130923,0.137585,0.133524,0.135007,0.135258,0.135310,0.130866,0.129658,0.132891,0.128836,0.127497,0.000000,0.136057,0.126079,0.132287,0.136233,0.133253,0.130735,0.129467,0.128195,0.129343,0.132207,0.130356,0.131388,0.138823,0.134954,0.136898,0.134364,0.129585,0.133922,0.136171,0.132745,0.129862,0.130948,0.129694,0.128292,0.128397,0.133010,0.130660,0.133111,0.131698,0.139184,0.132532,0.133826,0.136841,0.135866,0.131245,0.129496,0.134427,0.128730,0.127842,0.010465,0.133515,0.127666,0.131774,0.135489,0.134180,0.130568,0.130551,0.128667,0.129004,0.132018,0.130594,0.131194,0.138510,0.133285,0.135781,0.132779,0.130018,0.133206,0.135620,0.131659
HAP1_chr21,0.136509,0.136764,0.132846,0.132959,0.134562,0.136905,0.135751,0.135924,0.135525,0.140254,0.137548,0.137791,0.139559,0.139447,0.134865,0.135305,0.137054,0.133491,0.132433,0.136057,0.000000,0.129495,0.135382,0.137848,0.136887,0.134486,0.134736,0.134750,0.134746,0.137109,0.136583,0.135391,0.141354,0.137226,0.139609,0.138082,0.133317,0.018018,0.137942,0.135819,0.135350,0.135634,0.135314,0.132344,0.135303,0.136147,0.136204,0.136841,0.135816,0.140866,0.136872,0.137191,0.140454,0.138549,0.134082,0.134403,0.137787,0.133810,0.132461,0.136413,0.018834,0.131367,0.135716,0.139040,0.135966,0.135400,0.134978,0.133225,0.134760,0.136572,0.135125,0.135304,0.141420,0.137447,0.140179,0.136977,0.133812,0.018476,0.138626,0.135790
HAP1_chr22,0.124732,0.126679,0.118313,0.119327,0.123582,0.126935,0.123151,0.126395,0.125688,0.131847,0.127635,0.129992,0.130800,0.129502,0.126035,0.124253,0.126939,0.122658,0.122142,0.126079,0.129495,0.000000,0.126154,0.131033,0.127246,0.123831,0.124115,0.118593,0.123398,0.127008,0.121775,0.124429,0.134418,0.128489,0.132106,0.129370,0.121340,0.127534,0.131439,0.126726,0.121997,0.124410,0.120510,0.119622,0.123055,0.126253,0.122442,0.127908,0.126251,0.133778,0.126885,0.129287,0.131970,0.130633,0.124065,0.124555,0.129713,0.122313,0.122118,0.126995,0.128952,0.015031,0.124492,0.131790,0.128007,0.123410,0.124012,0.119663,0.123177,0.126737,0.122256,0.126163,0.133629,0.129022,0.130181,0.127099,0.123342,0.127612,0.130530,0.126683
HAP1_chr23,0.133009,0.133338,0.129115,0.128356,0.130239,0.133408,0.132236,0.133141,0.132495,0.137362,0.133895,0.135232,0.136989,0.135082,0.131897,0.132196,0.132595,0.130845,0.128033,0.132287,0.135382,0.126154,0.000000,0.136802,0.134262,0.131285,0.131239,0.129074,0.131568,0.133851,0.132507,0.132973,0.137609,0.133400,0.138467,0.134600,0.131072,0.132921,0.136060,0.133830,0.130814,0.132205,0.130766,0.127764,0.130898,0.132851,0.132395,0.133259,0.133212,0.138402,0.132984,0.135509,0.136647,0.135681,0.132319,0.131949,0.135765,0.130703,0.128423,0.133033,0.135262,0.128668,0.011064,0.136031,0.133355,0.130798,0.131567,0.128545,0.131598,0.133382,0.131910,0.132217,0.138217,0.135052,0.136469,0.132593,0.130904,0.134460,0.135340,0.133859
HAP1_chr24,0.136612,0.135834,0.133910,0.132401,0.135862,0.136952,0.136450,0.135866,0.135496,0.139937,0.137870,0.136981,0.139133,0.139370,0.135542,0.135153,0.138045,0.133184,0.132902,0.136233,0.137848,0.131033,0.136802,0.000000,0.136894,0.134813,0.135181,0.135003,0.135832,0.137658,0.136529,0.135687,0.141851,0.136946,0.140804,0.139057,0.133138,0.137144,0.016926,0.136061,0.134803,0.135192,0.135079,0.133152,0.134980,0.136360,0.135997,0.136370,0.135607,0.141582,0.137704,0.137265,0.140055,0.139730,0.134687,0.134562,0.138453,0.133295,0.133670,0.137741,0.137425,0.131899,0.135850,0.017072,0.137065,0.135304,0.135158,0.134905,0.135149,0.137735,0.136271,0.135222,0.141053,0.137369,0.139421,0.138039,0.133924,0.136453,0.017344,0.136282
HAP1_chr25,0.134928,0.133949,0.129774,0.130496,0.129526,0.135634,0.133738,0.134864,0.134076,0.136515,0.135352,0.136698,0.138319,0.136130,0.132890,0.133263,0.135619,0.132013,0.130277,0.133253,0.136887,0.127246,0.134262,0.136894,0.000000,0.133763,0.125440,0.129018,0.130108,0.134965,0.133667,0.133703,0.137423,0.135412,0.138995,0.137735,0.131534,0.133920,0.136398,0.017260,0.133581,0.129568,0.130642,0.130608,0.129322,0.135300,0.131381,0.135490,0.135340,0.136566,0.135203,0.135826,0.137973,0.136692,0.132771,0.133060,0.137301,0.132030,0.130524,0.133475,0.135573,0.129265,0.133491,0.136209,0.016765,0.133601,0.126633,0.130384,0.129934,0.134754,0.133439,0.134638,0.137060,0.137346,0.137154,0.134689,0.132624,0.135554,0.136527,0.017590
HAP2_chr01,0.017623,0.130594,0.125305,0.128150,0.126815,0.130628,0.127401,0.131297,0.128732,0.137776,0.133777,0.134123,0.135459,0.134693,0.131584,0.129880,0.132132,0.126481,0.126835,0.130735,0.134486,0.123831,0.131285,0.134813,0.133763,0.000000,0.128886,0.126471,0.126742,0.132002,0.126657,0.127144,0.139612,0.133476,0.137148,0.134142,0.126543,0.132134,0.135761,0.133637,0.018941,0.129836,0.127364,0.127994,0.127574,0.130726,0.127005,0.132155,0.129926,0.139398,0.132757,0.133937,0.136540,0.134662,0.130775,0.129509,0.134792,0.126982,0.127233,0.131376,0.133212,0.126697,0.132292,0.135611,0.133887,0.018461,0.129403,0.126824,0.127132,0.130890,0.126471,0.129847,0.139289,0.134006,0.134837,0.131777,0.127878,0.132951,0.135652,0.133955
HAP2_chr02,0.130123,0.017577,0.124120,0.127472,0.124521,0.131632,0.128204,0.130991,0.129863,0.135781,0.133382,0.133118,0.134263,0.133454,0.130368,0.127351,0.131797,0.126556,0.126886,0.129467,0.134736,0.124115,0.131239,0.135181,0.125440,0.128886,0.000000,0.125539,0.124062,0.129801,0.127137,0.130679,0.137625,0.132948,0.135129,0.133439,0.127285,0.131905,0.133693,0.131022,0.127803,0.016701,0.126130,0.126635,0.124186,0.129790,0.125751,0.131546,0.130757,0.137298,0.131641,0.133208,0.134622,0.133678,0.130175,0.127535,0.133405,0.126706,0.127244,0.130610,0.132650,0.126502,0.130863,0.133877,0.131637,0.128057,0.016714,0.125260,0.124709,0.129839,0.128347,0.130278,0.136558,0.132920,0.133755,0.130217,0.126713,0.131437,0.133323,0.129035
HAP2_chr03,0.126832,0.129742,0.018262,0.123584,0.124169,0.129151,0.123725,0.129588,0.127620,0.134376,0.130940,0.132712,0.133913,0.131362,0.128892,0.127690,0.128497,0.125222,0.123941,0.128195,0.134750,0.118593,0.129074,0.135003,0.129018,0.126471,0.125539,0.000000,0.124423,0.128772,0.123867,0.127067,0.136555,0.130886,0.135858,0.133310,0.125237,0.131759,0.135089,0.130174,0.125573,0.126603,0.018731,0.122805,0.123965,0.128561,0.123793,0.130456,0.129397,0.137136,0.130072,0.132464,0.135107,0.133138,0.128117,0.127285,0.132559,0.126121,0.125819,0.129892,0.132417,0.122556,0.127473,0.135116,0.130889,0.125721,0.124779,0.019271,0.123444,0.129251,0.123820,0.128632,0.135975,0.131188,0.133906,0.127892,0.126684,0.131464,0.133984,0.130049
HAP2_chr05,0.128000,0.129113,0.122630,0.125876,0.016273,0.129776,0.125732,0.129734,0.128083,0.136304,0.132503,0.133272,0.133877,0.133466,0.129312,0.128066,0.131867,0.126165,0.125484,0.129343,0.134746,0.123398,0.131568,0.135832,0.130108,0.126742,0.124062,0.124423,0.000000,0.128966,0.124384,0.128378,0.139131,0.132066,0.135187,0.133252,0.126233,0.130871,0.135214,0.132724,0.125403,0.125415,0.124753,0.126642,0.015631,0.128254,0.123526,0.131271,0.129271,0.137974,0.132026,0.132225,0.135068,0.133916,0.130256,0.127480,0.132970,0.125998,0.125667,0.130138,0.133500,0.125779,0.131114,0.135061,0.133205,0.127091,0.124745,0.123778,0.015531,0.128919,0.124571,0.128842,0.137347,0.132144,0.132395,0.130278,0.126252,0.130062,0.134534,0.132320
HAP2_chr06,0.131922,0.132232,0.128378,0.129410,0.129659,0.015354,0.130761,0.133195,0.131520,0.138698,0.135445,0.136385,0.137289,0.136657,0.131523,0.130419,0.132684,0.129083,0.129429,0.132207,0.137109,0.127008,0.133851,0.137658,0.134965,0.132002,0.129801,0.128772,0.128966,0.000000,0.130169,0.130959,0.140258,0.134192,0.138631,0.133892,0.128462,0.134018,0.135967,0.135002,0.129680,0.132120,0.129866,0.130010,0.129178,0.015667,0.130005,0.133777,0.132467,0.139910,0.133704,0.135055,0.138346,0.135918,0.131839,0.130193,0.133943,0.129669,0.129664,0.134447,0.133656,0.128569,0.133308,0.136598,0.135631,0.130590,0.130490,0.128584,0.128942,0.016134,0.130693,0.133006,0.139687,0.134252,0.137148,0.130507,0.130598,0.133483,0.136119,0.132694
