,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP1_chr37,HAP1_chr38,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36,HAP2_chr37,HAP2_chr38
HAP1_chr11,0.142653,0.143320,0.134156,0.130684,0.075899,0.132675,0.131119,0.126088,0.128840,0.128538,0.000000,0.129476,0.133662,0.139159,0.130910,0.132535,0.149971,0.145850,0.135008,0.149119,0.150334,0.146012,0.145558,0.133242,0.138382,0.145628,0.148029,0.149495,0.149307,0.149601,0.135363,0.148116,0.153729,0.150037,0.148649,0.150797,0.151675,0.150921,0.144615,0.145059,0.133459,0.133680,0.076355,0.130981,0.132947,0.128173,0.130861,0.130148,0.009572,0.129148,0.134530,0.137785,0.129349,0.134102,0.149773,0.148864,0.136233,0.149697,0.152344,0.141125,0.147617,0.135864,0.140223,0.145653,0.144851,0.147565,0.148896,0.148926,0.133479,0.147627,0.148944,0.151073,0.149520,0.152954,0.153423,0.152374
HAP1_chr12,0.143594,0.148147,0.136357,0.133733,0.128181,0.132639,0.130401,0.075356,0.136058,0.134812,0.129476,0.000000,0.134433,0.141369,0.134381,0.134468,0.149744,0.147432,0.139818,0.148836,0.149239,0.141815,0.147631,0.135646,0.140684,0.148422,0.147935,0.150411,0.150721,0.148391,0.136989,0.148062,0.155229,0.153382,0.150284,0.154380,0.151750,0.150610,0.145030,0.148340,0.136136,0.134763,0.128952,0.131066,0.135550,0.075100,0.137852,0.133550,0.130217,0.009496,0.135530,0.141654,0.133711,0.137102,0.150709,0.148406,0.139897,0.148294,0.151926,0.141762,0.148725,0.137168,0.141725,0.147963,0.147510,0.150866,0.148433,0.147607,0.136352,0.147728,0.149079,0.151184,0.149758,0.154563,0.153211,0.153770
HAP1_chr13,0.139614,0.143194,0.134320,0.133564,0.131877,0.078047,0.130450,0.134101,0.132581,0.134058,0.133662,0.134433,0.000000,0.139282,0.134037,0.134581,0.146176,0.145814,0.137453,0.146565,0.147356,0.138937,0.144405,0.134094,0.138306,0.143976,0.147100,0.144407,0.148048,0.147871,0.134149,0.149020,0.151792,0.151076,0.148503,0.149423,0.149710,0.149166,0.140978,0.143535,0.134658,0.134918,0.133532,0.077591,0.131826,0.136313,0.134483,0.133928,0.134437,0.133318,0.010254,0.139895,0.134369,0.136594,0.147782,0.148240,0.136126,0.146641,0.148893,0.136802,0.145655,0.134504,0.138248,0.144955,0.145114,0.144672,0.146418,0.148700,0.133211,0.148004,0.149320,0.149451,0.144948,0.148915,0.148912,0.151022
HAP1_chr14,0.142933,0.144486,0.137606,0.140197,0.137303,0.135229,0.137087,0.137055,0.135061,0.138170,0.139159,0.141369,0.139282,0.000000,0.138983,0.138463,0.148731,0.149558,0.141503,0.149313,0.149542,0.144051,0.146693,0.136569,0.075842,0.145370,0.147131,0.148433,0.148884,0.150477,0.141069,0.149955,0.152562,0.152370,0.149484,0.152436,0.146926,0.147182,0.143550,0.145531,0.137510,0.140588,0.139081,0.137618,0.138489,0.138767,0.136362,0.137831,0.139440,0.142145,0.140585,0.008505,0.138289,0.140804,0.148490,0.151249,0.143902,0.147479,0.150999,0.142849,0.145707,0.140895,0.075865,0.144498,0.146320,0.148524,0.149292,0.149992,0.139532,0.148736,0.151267,0.150671,0.149201,0.153888,0.149038,0.147864
HAP1_chr15,0.143092,0.145458,0.136807,0.129382,0.131735,0.132033,0.131520,0.128254,0.128967,0.130674,0.130910,0.134381,0.134037,0.138983,0.000000,0.129106,0.153015,0.148485,0.136870,0.151321,0.152869,0.144019,0.150762,0.131360,0.139415,0.148469,0.150065,0.149137,0.148381,0.150637,0.080692,0.149923,0.155486,0.152563,0.153445,0.154728,0.153289,0.152745,0.143643,0.145986,0.135013,0.130483,0.134563,0.130856,0.132278,0.132109,0.131737,0.129097,0.131763,0.133536,0.134111,0.139789,0.012559,0.133283,0.150212,0.150016,0.138487,0.153649,0.153559,0.140762,0.150214,0.134657,0.138814,0.147908,0.147181,0.148434,0.147854,0.149022,0.080719,0.150265,0.155173,0.152853,0.149527,0.155858,0.152553,0.154663
HAP1_chr16,0.143780,0.144164,0.136502,0.076992,0.131176,0.133976,0.134089,0.132014,0.134703,0.132672,0.132535,0.134468,0.134581,0.138463,0.129106,0.000000,0.150718,0.149879,0.136298,0.149299,0.150168,0.141369,0.145838,0.135766,0.140708,0.145999,0.146788,0.146436,0.147610,0.149061,0.133994,0.147606,0.153245,0.153104,0.153588,0.154398,0.151189,0.150584,0.143975,0.144804,0.135604,0.076893,0.134966,0.131577,0.136954,0.134898,0.137091,0.133054,0.133610,0.134665,0.135947,0.138264,0.130095,0.010075,0.151866,0.150718,0.139213,0.150596,0.151996,0.140510,0.146843,0.137730,0.140702,0.145969,0.148249,0.147141,0.146524,0.148503,0.132715,0.147518,0.151226,0.151848,0.149657,0.154004,0.150419,0.153744
HAP1_chr17,0.144265,0.145452,0.148432,0.149361,0.147968,0.148733,0.147200,0.147197,0.149025,0.142098,0.149971,0.149744,0.146176,0.148731,0.153015,0.150718,0.000000,0.072644,0.148014,0.150571,0.153631,0.149087,0.149130,0.150783,0.146683,0.150239,0.151038,0.151461,0.152923,0.155652,0.149271,0.156524,0.157365,0.157140,0.153311,0.157753,0.158425,0.155790,0.143839,0.146208,0.147638,0.148617,0.150378,0.147227,0.146698,0.148799,0.149258,0.142463,0.151063,0.148597,0.147316,0.147979,0.150805,0.151054,0.007667,0.072823,0.144878,0.150366,0.154800,0.147136,0.150943,0.154064,0.148162,0.150490,0.150021,0.152730,0.152323,0.152860,0.150076,0.154783,0.154150,0.156796,0.153597,0.155407,0.159204,0.158489
HAP1_chr18,0.145893,0.145412,0.147657,0.148355,0.149039,0.148614,0.150647,0.147685,0.148644,0.143881,0.145850,0.147432,0.145814,0.149558,0.148485,0.149879,0.072644,0.000000,0.145422,0.151880,0.152945,0.149928,0.150013,0.149068,0.147374,0.150019,0.152481,0.151467,0.153017,0.153863,0.150141,0.156695,0.158277,0.156214,0.158049,0.156415,0.157621,0.158374,0.144268,0.143854,0.147140,0.149703,0.147968,0.149373,0.150200,0.148708,0.149161,0.143004,0.145794,0.146905,0.145780,0.148612,0.149735,0.149820,0.072657,0.008235,0.144254,0.151775,0.154179,0.146699,0.151688,0.151342,0.148530,0.150148,0.148989,0.152329,0.153457,0.153497,0.150661,0.154380,0.154917,0.153683,0.155745,0.158223,0.158098,0.160556
HAP1_chr19,0.148935,0.148172,0.139940,0.136846,0.137214,0.137554,0.139329,0.137636,0.137469,0.075730,0.135008,0.139818,0.137453,0.141503,0.136870,0.136298,0.148014,0.145422,0.000000,0.151053,0.150296,0.146080,0.149402,0.137041,0.145069,0.147417,0.150971,0.150159,0.149147,0.153784,0.141558,0.150870,0.156367,0.150849,0.150666,0.153021,0.152962,0.153227,0.149574,0.148600,0.139628,0.139118,0.138153,0.135370,0.138500,0.138881,0.138963,0.075819,0.138606,0.140100,0.137571,0.141740,0.136882,0.139031,0.147813,0.147594,0.010209,0.151945,0.150959,0.145029,0.150829,0.137987,0.146010,0.147199,0.150425,0.151745,0.150762,0.151131,0.139137,0.149846,0.152625,0.151862,0.150721,0.154295,0.152752,0.152953
HAP1_chr20,0.146036,0.147236,0.148018,0.150331,0.146406,0.148275,0.147681,0.148450,0.147531,0.147138,0.149119,0.148836,0.146565,0.149313,0.151321,0.149299,0.150571,0.151880,0.151053,0.000000,0.073017,0.140636,0.146786,0.150165,0.145005,0.147909,0.150339,0.145232,0.151190,0.152005,0.152277,0.151721,0.154709,0.152845,0.145131,0.149060,0.152023,0.153795,0.145826,0.148425,0.148784,0.150235,0.149220,0.147929,0.150257,0.147273,0.149869,0.145913,0.149232,0.147393,0.149491,0.149083,0.150456,0.148328,0.151410,0.150795,0.149549,0.008515,0.073381,0.140952,0.147529,0.151379,0.146630,0.146546,0.150491,0.144553,0.150452,0.152602,0.150753,0.152465,0.150887,0.152359,0.146155,0.148112,0.153989,0.156948
HAP1_chr21,0.150162,0.148947,0.150344,0.152578,0.147529,0.147793,0.150826,0.146356,0.148860,0.150237,0.150334,0.149239,0.147356,0.149542,0.152869,0.150168,0.153631,0.152945,0.150296,0.073017,0.000000,0.145205,0.149956,0.149860,0.147671,0.148512,0.154040,0.148786,0.151855,0.154231,0.153183,0.153939,0.157447,0.154343,0.147581,0.148877,0.156335,0.153666,0.148557,0.148456,0.151455,0.149492,0.148884,0.148968,0.151548,0.147570,0.150325,0.148554,0.149356,0.149827,0.149056,0.148603,0.150957,0.149357,0.152637,0.152867,0.149773,0.073198,0.007871,0.142285,0.151679,0.155066,0.149866,0.147991,0.153342,0.147120,0.150964,0.153792,0.151964,0.152052,0.154379,0.154174,0.147694,0.149434,0.157013,0.157039
HAP1_chr22,0.142213,0.145871,0.143150,0.142909,0.140308,0.139437,0.142452,0.140570,0.142442,0.139929,0.146012,0.141815,0.138937,0.144051,0.144019,0.141369,0.149087,0.149928,0.146080,0.140636,0.145205,0.000000,0.145993,0.145595,0.143438,0.145540,0.148942,0.073837,0.149018,0.149191,0.143310,0.150565,0.152677,0.151426,0.151080,0.157123,0.150299,0.150604,0.142660,0.146188,0.142671,0.142093,0.140537,0.138387,0.142807,0.139798,0.142852,0.139536,0.144833,0.142402,0.138979,0.144477,0.143919,0.140764,0.150189,0.149729,0.146313,0.141723,0.145939,0.008407,0.147419,0.145771,0.143863,0.145615,0.147759,0.074154,0.146608,0.148874,0.142052,0.151021,0.149638,0.150529,0.149391,0.156738,0.152738,0.153877
HAP1_chr23,0.145962,0.146030,0.146394,0.146970,0.144980,0.148111,0.147335,0.144064,0.146712,0.145826,0.145558,0.147631,0.144405,0.146693,0.150762,0.145838,0.149130,0.150013,0.149402,0.146786,0.149956,0.145993,0.000000,0.150576,0.144908,0.070911,0.147766,0.150797,0.150228,0.149331,0.147938,0.150051,0.142167,0.139657,0.152773,0.153691,0.150903,0.151963,0.145180,0.146813,0.145726,0.145993,0.146235,0.146526,0.147529,0.147239,0.146830,0.144684,0.148420,0.146454,0.144784,0.147521,0.149342,0.146788,0.150266,0.151621,0.147794,0.146673,0.151023,0.143855,0.008459,0.152344,0.143824,0.071315,0.147571,0.150738,0.149224,0.149636,0.148604,0.150120,0.138351,0.138372,0.151149,0.153761,0.152995,0.153059
HAP1_chr24,0.144553,0.145977,0.135691,0.135419,0.134695,0.131853,0.077808,0.131904,0.131652,0.134723,0.133242,0.135646,0.134094,0.136569,0.131360,0.135766,0.150783,0.149068,0.137041,0.150165,0.149860,0.145595,0.150576,0.000000,0.141335,0.147154,0.149273,0.150427,0.148139,0.152975,0.137451,0.150033,0.153632,0.153088,0.150081,0.154908,0.152521,0.153107,0.146031,0.148014,0.135704,0.135908,0.134992,0.131041,0.077842,0.137036,0.134445,0.133701,0.135815,0.135668,0.135594,0.136952,0.130967,0.136787,0.151303,0.150460,0.138193,0.150166,0.152012,0.143156,0.148944,0.012912,0.141398,0.146091,0.148847,0.149561,0.147761,0.150263,0.135396,0.148862,0.150778,0.152018,0.149385,0.155142,0.153953,0.153819
HAP1_chr25,0.140290,0.143433,0.137574,0.140055,0.137904,0.141618,0.135785,0.141170,0.137398,0.140137,0.138382,0.140684,0.138306,0.075842,0.139415,0.140708,0.146683,0.147374,0.145069,0.145005,0.147671,0.143438,0.144908,0.141335,0.000000,0.145868,0.146452,0.148062,0.150316,0.148039,0.140897,0.150417,0.152208,0.150990,0.151085,0.151219,0.145148,0.145993,0.141775,0.143591,0.138093,0.139328,0.140145,0.139949,0.138920,0.139392,0.137595,0.137080,0.138512,0.140363,0.140100,0.075611,0.138703,0.142498,0.147948,0.148127,0.143623,0.147182,0.150188,0.138869,0.147363,0.142861,0.007901,0.146156,0.145957,0.148883,0.147116,0.149399,0.138935,0.148121,0.146079,0.150452,0.148261,0.153272,0.146626,0.147525
HAP1_chr26,0.144912,0.146656,0.144566,0.147903,0.143648,0.147433,0.145355,0.142921,0.145013,0.147378,0.145628,0.148422,0.143976,0.145370,0.148469,0.145999,0.150239,0.150019,0.147417,0.147909,0.148512,0.145540,0.070911,0.147154,0.145868,0.000000,0.150407,0.148538,0.148855,0.148873,0.146543,0.149036,0.141857,0.138656,0.151954,0.152365,0.150909,0.152342,0.145963,0.145840,0.144781,0.146285,0.146266,0.144794,0.149012,0.144761,0.146790,0.145726,0.147076,0.147444,0.145603,0.147226,0.146665,0.146234,0.148369,0.149840,0.146867,0.147590,0.148311,0.144359,0.071044,0.149264,0.145712,0.008309,0.146530,0.149655,0.149791,0.148770,0.146012,0.150383,0.139409,0.139125,0.152332,0.153480,0.152074,0.153386
HAP1_chr27,0.147088,0.149221,0.146534,0.147402,0.146179,0.147439,0.144601,0.144564,0.147128,0.145024,0.148029,0.147935,0.147100,0.147131,0.150065,0.146788,0.151038,0.152481,0.150971,0.150339,0.154040,0.148942,0.147766,0.149273,0.146452,0.150407,0.000000,0.153470,0.072364,0.142404,0.147780,0.143442,0.152197,0.153240,0.154150,0.157179,0.151190,0.155193,0.146542,0.150140,0.145872,0.146746,0.148347,0.146437,0.147105,0.148159,0.147371,0.146914,0.145909,0.145774,0.145827,0.146937,0.149209,0.147467,0.153603,0.153153,0.149415,0.152421,0.155306,0.147800,0.147981,0.152331,0.145719,0.149428,0.008812,0.151044,0.072339,0.142050,0.149740,0.141104,0.150771,0.152548,0.154517,0.155695,0.153837,0.157292
HAP1_chr28,0.149315,0.148562,0.148518,0.147712,0.147311,0.143395,0.149347,0.146526,0.145703,0.146942,0.149495,0.150411,0.144407,0.148433,0.149137,0.146436,0.151461,0.151467,0.150159,0.145232,0.148786,0.073837,0.150797,0.150427,0.148062,0.148538,0.153470,0.000000,0.151522,0.154226,0.147891,0.153768,0.157313,0.155112,0.155993,0.155564,0.155523,0.151809,0.149790,0.146936,0.147352,0.147482,0.150030,0.143806,0.149609,0.145861,0.148176,0.147255,0.148531,0.148779,0.143938,0.148289,0.148346,0.146510,0.151587,0.153868,0.149634,0.146357,0.149919,0.073901,0.151176,0.151418,0.147749,0.148167,0.152226,0.008602,0.149424,0.152339,0.148539,0.152299,0.155664,0.154978,0.152756,0.157459,0.157054,0.155118
HAP1_chr29,0.150845,0.151227,0.150399,0.148985,0.148032,0.149187,0.149265,0.145778,0.146518,0.148830,0.149307,0.150721,0.148048,0.148884,0.148381,0.147610,0.152923,0.153017,0.149147,0.151190,0.151855,0.149018,0.150228,0.148139,0.150316,0.148855,0.072364,0.151522,0.000000,0.142803,0.151773,0.143514,0.155885,0.152993,0.155626,0.157199,0.152600,0.154521,0.149058,0.151495,0.151165,0.147352,0.151710,0.147816,0.149293,0.148057,0.146431,0.148016,0.150617,0.151379,0.150471,0.148987,0.148822,0.149636,0.151224,0.153162,0.147930,0.152512,0.153577,0.147458,0.150630,0.151314,0.150146,0.148108,0.072922,0.151756,0.008042,0.142259,0.152274,0.142423,0.153540,0.152632,0.156002,0.158840,0.152990,0.156376
HAP1_chr30,0.149167,0.151879,0.148987,0.149082,0.146865,0.150135,0.147768,0.148215,0.149325,0.147292,0.149601,0.148391,0.147871,0.150477,0.150637,0.149061,0.155652,0.153863,0.153784,0.152005,0.154231,0.149191,0.149331,0.152975,0.148039,0.148873,0.142404,0.154226,0.142803,0.000000,0.148760,0.072989,0.157397,0.155224,0.155689,0.156409,0.153866,0.153543,0.148825,0.150892,0.149113,0.149837,0.149163,0.147949,0.149639,0.149483,0.149244,0.147880,0.149957,0.147125,0.149334,0.151525,0.150324,0.148573,0.152579,0.154046,0.150218,0.152662,0.155934,0.148177,0.150244,0.153574,0.149892,0.148741,0.140528,0.154063,0.141431,0.007855,0.150090,0.072917,0.153773,0.154101,0.154239,0.155737,0.156094,0.155437
HAP1_chr31,0.145512,0.146175,0.136042,0.132936,0.131479,0.137399,0.133094,0.131724,0.134853,0.134257,0.135363,0.136989,0.134149,0.141069,0.080692,0.133994,0.149271,0.150141,0.141558,0.152277,0.153183,0.143310,0.147938,0.137451,0.140897,0.146543,0.147780,0.147891,0.151773,0.148760,0.000000,0.149202,0.156383,0.156052,0.150014,0.154596,0.151321,0.149478,0.145817,0.147660,0.134740,0.134489,0.134881,0.136674,0.134847,0.132354,0.136360,0.134687,0.135876,0.137585,0.133500,0.141102,0.080657,0.134697,0.150233,0.151299,0.142695,0.152016,0.153123,0.141221,0.148949,0.139458,0.140785,0.146990,0.147304,0.148236,0.148223,0.149576,0.010972,0.151833,0.152867,0.153972,0.149195,0.155383,0.150394,0.153556
HAP1_chr32,0.151469,0.149973,0.150230,0.150550,0.146817,0.149984,0.148542,0.147154,0.148511,0.148443,0.148116,0.148062,0.149020,0.149955,0.149923,0.147606,0.156524,0.156695,0.150870,0.151721,0.153939,0.150565,0.150051,0.150033,0.150417,0.149036,0.143442,0.153768,0.143514,0.072989,0.149202,0.000000,0.157106,0.154020,0.156788,0.159460,0.155471,0.155418,0.151773,0.152113,0.151205,0.148737,0.149586,0.148571,0.150011,0.146628,0.151078,0.146686,0.148927,0.147365,0.149445,0.149507,0.148973,0.148272,0.155460,0.156282,0.149340,0.153248,0.156204,0.150112,0.152151,0.153631,0.151141,0.150021,0.142317,0.154127,0.142374,0.073211,0.149449,0.008628,0.155258,0.154424,0.155648,0.160544,0.158114,0.157303
