,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26
HAP1_chr24,0.127820,0.126378,0.127175,0.125638,0.132985,0.124829,0.124535,0.123158,0.126683,0.126026,0.126137,0.126777,0.124896,0.126159,0.123692,0.132594,0.123106,0.123389,0.123998,0.124102,0.088172,0.123286,0.123653,0.000000,0.129353,0.126576,0.127799,0.126425,0.127211,0.126235,0.125299,0.125234,0.123388,0.126254,0.126396,0.125597,0.133763,0.125756,0.125892,0.122078,0.123762,0.132392,0.123267,0.125407,0.123755,0.124307,0.125774,0.088421,0.123958,0.001969,0.128118,0.125266
HAP1_chr25,0.134129,0.132809,0.126041,0.132211,0.137698,0.130513,0.105636,0.128732,0.132043,0.130421,0.119413,0.132683,0.130322,0.130374,0.128641,0.136373,0.126525,0.125417,0.127419,0.127649,0.131843,0.127302,0.129518,0.129353,0.000000,0.130068,0.133722,0.132579,0.123253,0.132710,0.130445,0.129290,0.128486,0.119804,0.131678,0.129462,0.138373,0.130592,0.130118,0.127045,0.125826,0.136169,0.126743,0.105893,0.126942,0.127547,0.128381,0.132366,0.129790,0.129408,0.003559,0.129247
HAP1_chr26,0.130289,0.129750,0.130354,0.129785,0.135007,0.128528,0.125643,0.127427,0.129481,0.129429,0.128020,0.104292,0.126822,0.129663,0.128148,0.134846,0.125488,0.124960,0.124594,0.128414,0.128045,0.111152,0.128049,0.126576,0.130068,0.000000,0.131106,0.129900,0.130612,0.130350,0.129003,0.127877,0.127507,0.129515,0.104343,0.127025,0.135640,0.129254,0.129148,0.126621,0.124763,0.134890,0.125811,0.126295,0.124517,0.128339,0.110650,0.128404,0.127656,0.126569,0.130105,0.002016
HAP2_chr01,0.003968,0.116914,0.119954,0.119655,0.085237,0.123001,0.121646,0.122159,0.119187,0.122380,0.118022,0.120878,0.119556,0.121472,0.121450,0.131610,0.121107,0.124378,0.124621,0.126502,0.126723,0.126217,0.125740,0.127799,0.133722,0.131106,0.000000,0.117573,0.118928,0.119729,0.123259,0.122036,0.122368,0.118366,0.120842,0.125149,0.085625,0.122903,0.121432,0.122495,0.125013,0.131733,0.121676,0.123275,0.127553,0.126618,0.128270,0.126549,0.125891,0.127664,0.134775,0.130985
HAP2_chr02,0.117217,0.002086,0.120005,0.085418,0.127260,0.121687,0.119859,0.120436,0.118335,0.121511,0.117991,0.119893,0.117864,0.120692,0.121754,0.130746,0.120051,0.122797,0.123406,0.125237,0.127178,0.124973,0.124096,0.126425,0.132579,0.129900,0.117573,0.000000,0.118892,0.085389,0.122708,0.120927,0.120662,0.117970,0.119655,0.123914,0.128089,0.122063,0.120677,0.121947,0.123224,0.130903,0.120294,0.121139,0.126008,0.125425,0.127579,0.127323,0.124679,0.126200,0.132446,0.129530
HAP2_chr03,0.118441,0.118455,0.004758,0.119723,0.126038,0.121426,0.111154,0.122132,0.119638,0.121607,0.110510,0.121364,0.119599,0.122122,0.121613,0.130664,0.103888,0.122493,0.111701,0.128057,0.129739,0.126255,0.126756,0.127211,0.123253,0.130612,0.118928,0.118892,0.000000,0.119852,0.122011,0.122869,0.122244,0.110087,0.121342,0.124787,0.127322,0.121949,0.121949,0.122052,0.123181,0.130668,0.103647,0.111895,0.115952,0.128242,0.127791,0.129912,0.126794,0.127100,0.123231,0.130645
HAP2_chr04,0.119816,0.085449,0.120259,0.002064,0.127409,0.121861,0.122409,0.121333,0.120814,0.121234,0.120952,0.121750,0.120182,0.122705,0.120454,0.130039,0.121339,0.122835,0.123544,0.126068,0.128472,0.125647,0.126173,0.126235,0.132710,0.130350,0.119729,0.085389,0.119852,0.000000,0.123219,0.122904,0.121479,0.121110,0.120808,0.125206,0.127739,0.121675,0.122276,0.120618,0.123451,0.130145,0.122270,0.123718,0.125694,0.126185,0.128751,0.128713,0.126681,0.125998,0.133151,0.130249
HAP2_chr05,0.122812,0.121971,0.122493,0.122522,0.129626,0.003023,0.122970,0.121794,0.123883,0.122770,0.122557,0.124963,0.122156,0.087618,0.121734,0.131219,0.122106,0.121928,0.123314,0.124826,0.126904,0.124492,0.126170,0.125299,0.130445,0.129003,0.123259,0.122708,0.122011,0.123219,0.000000,0.125873,0.122403,0.122568,0.124166,0.126324,0.131118,0.123655,0.087527,0.120922,0.122401,0.131308,0.122131,0.124586,0.125216,0.124996,0.126583,0.127134,0.126490,0.125344,0.130513,0.127948
HAP2_chr06,0.121783,0.120922,0.123198,0.122827,0.130225,0.124717,0.120575,0.123381,0.011803,0.088144,0.121859,0.122778,0.120517,0.124014,0.123119,0.131719,0.121035,0.122507,0.123303,0.124758,0.125593,0.123366,0.124084,0.125234,0.129290,0.127877,0.122036,0.120927,0.122869,0.122904,0.125873,0.000000,0.123231,0.121628,0.122694,0.122710,0.129922,0.087581,0.123682,0.122476,0.123203,0.131749,0.121449,0.121826,0.124813,0.125169,0.125203,0.125871,0.123914,0.125148,0.130750,0.128156
HAP2_chr07,0.122289,0.120708,0.122781,0.121095,0.129278,0.121503,0.120962,0.002001,0.120971,0.121646,0.121192,0.123086,0.119894,0.121903,0.120332,0.130323,0.103542,0.118212,0.122477,0.093762,0.126652,0.123092,0.123438,0.123388,0.128486,0.127507,0.122368,0.120662,0.122244,0.121479,0.122403,0.123231,0.000000,0.120535,0.122456,0.123046,0.130156,0.122319,0.121704,0.119728,0.121732,0.130262,0.103605,0.122886,0.123207,0.093863,0.125184,0.126813,0.123804,0.123465,0.128250,0.126734
HAP2_chr08,0.119297,0.117977,0.110641,0.120923,0.128832,0.121476,0.119212,0.120732,0.119565,0.122794,0.009016,0.120657,0.118753,0.119175,0.121314,0.131452,0.119998,0.121982,0.102405,0.124590,0.125244,0.123316,0.122650,0.126254,0.119804,0.129515,0.118366,0.117970,0.110087,0.121110,0.122568,0.121628,0.120535,0.000000,0.120002,0.123227,0.129910,0.123340,0.119145,0.120979,0.122779,0.131168,0.120119,0.120588,0.103477,0.124611,0.125719,0.125463,0.122903,0.125941,0.121978,0.128985
HAP2_chr09,0.120588,0.119438,0.121937,0.120236,0.128588,0.123448,0.122217,0.122118,0.120191,0.123429,0.120187,0.001911,0.120272,0.121521,0.122083,0.094335,0.120652,0.122880,0.124303,0.124701,0.125617,0.123814,0.124921,0.126396,0.131678,0.104343,0.120842,0.119655,0.121342,0.120808,0.124166,0.122694,0.122456,0.120002,0.000000,0.123819,0.129192,0.123792,0.121393,0.121965,0.123527,0.094433,0.120142,0.123362,0.125782,0.124564,0.126400,0.126126,0.125057,0.126145,0.131594,0.103627
HAP2_chr10,0.125012,0.123647,0.124585,0.124534,0.132961,0.126038,0.121689,0.123204,0.122715,0.126685,0.123231,0.124662,0.009920,0.124305,0.094889,0.133606,0.122063,0.123039,0.123119,0.123607,0.127002,0.123801,0.124902,0.125597,0.129462,0.127025,0.125149,0.123914,0.124787,0.125206,0.126324,0.122710,0.123046,0.123227,0.123819,0.000000,0.133663,0.126086,0.124093,0.100864,0.123220,0.133410,0.122121,0.122036,0.123506,0.123515,0.125673,0.127433,0.124886,0.125688,0.130816,0.126977
HAP2_chr11,0.085574,0.127846,0.128050,0.127650,0.002233,0.130391,0.129912,0.129791,0.128260,0.128975,0.129144,0.129299,0.129502,0.131053,0.128330,0.135527,0.130313,0.130766,0.132203,0.133766,0.134205,0.133032,0.132976,0.133763,0.138373,0.135640,0.085625,0.128089,0.127322,0.127739,0.131118,0.129922,0.130156,0.129910,0.129192,0.133663,0.000000,0.128480,0.131251,0.128662,0.131632,0.135405,0.130464,0.130812,0.133905,0.134319,0.134938,0.133919,0.132986,0.133597,0.138490,0.136095
HAP2_chr12,0.122623,0.122237,0.122145,0.121417,0.128653,0.123455,0.122379,0.122225,0.085847,0.001927,0.122895,0.123676,0.122801,0.125087,0.122493,0.129356,0.123210,0.123029,0.123885,0.127502,0.127847,0.127553,0.126599,0.125756,0.130592,0.129254,0.122903,0.122063,0.121949,0.121675,0.123655,0.087581,0.122319,0.123340,0.123792,0.126086,0.128480,0.000000,0.124337,0.122684,0.123967,0.129529,0.122516,0.123689,0.125995,0.127485,0.128856,0.127738,0.126809,0.125947,0.130891,0.129024
HAP2_chr13,0.121102,0.120257,0.122342,0.122005,0.130412,0.087393,0.120908,0.121335,0.121484,0.123806,0.119690,0.121780,0.119689,0.002459,0.122064,0.130846,0.120740,0.122660,0.123625,0.123276,0.125655,0.122570,0.123252,0.125892,0.130118,0.129148,0.121432,0.120677,0.121949,0.122276,0.087527,0.123682,0.121704,0.119145,0.121393,0.124093,0.131251,0.124337,0.000000,0.121639,0.123069,0.130886,0.121072,0.122358,0.125144,0.123613,0.125021,0.125528,0.124006,0.125869,0.129810,0.128028
HAP2_chr14,0.122347,0.121494,0.121757,0.120286,0.128196,0.119781,0.119043,0.119093,0.121506,0.121647,0.121680,0.122865,0.095236,0.121788,0.006008,0.128068,0.120375,0.118785,0.120277,0.121387,0.124692,0.122404,0.123217,0.122078,0.127045,0.126621,0.122495,0.121947,0.122052,0.120618,0.120922,0.122476,0.119728,0.120979,0.121965,0.100864,0.128662,0.122684,0.121639,0.000000,0.119605,0.128149,0.120934,0.120409,0.121660,0.121570,0.125125,0.124660,0.123390,0.121891,0.127642,0.125243
HAP2_chr15,0.124518,0.122934,0.122967,0.122986,0.130344,0.121608,0.120307,0.121691,0.124191,0.123149,0.122228,0.124008,0.122789,0.123188,0.121316,0.131444,0.121318,0.002053,0.121735,0.121521,0.125377,0.122106,0.089048,0.123762,0.125826,0.124763,0.125013,0.123224,0.123181,0.123451,0.122401,0.123203,0.121732,0.122779,0.123527,0.123220,0.131632,0.123967,0.123069,0.119605,0.000000,0.131185,0.121339,0.121135,0.122998,0.121890,0.124354,0.126068,0.089610,0.124139,0.126515,0.124166
HAP2_chr16,0.131311,0.130999,0.131172,0.129958,0.135133,0.130587,0.131060,0.130072,0.130477,0.129694,0.130872,0.094566,0.131542,0.131187,0.128918,0.002097,0.130944,0.131055,0.130767,0.133888,0.134719,0.108252,0.132967,0.132392,0.136169,0.134890,0.131733,0.130903,0.130668,0.130145,0.131308,0.131749,0.130262,0.131168,0.094433,0.133410,0.135405,0.129529,0.130886,0.128149,0.131185,0.000000,0.131055,0.131877,0.131754,0.133853,0.110139,0.134630,0.133359,0.132259,0.137111,0.134419
HAP2_chr17,0.121802,0.120533,0.103511,0.121721,0.129335,0.121872,0.120017,0.103794,0.120384,0.122285,0.120937,0.120808,0.119474,0.121453,0.121437,0.130915,0.003386,0.120491,0.122863,0.121718,0.123305,0.121659,0.123084,0.123267,0.126743,0.125811,0.121676,0.120294,0.103647,0.122270,0.122131,0.121449,0.103605,0.120119,0.120142,0.122121,0.130464,0.122516,0.121072,0.120934,0.121339,0.131055,0.000000,0.121070,0.124208,0.121673,0.123475,0.123749,0.123309,0.123538,0.127208,0.125413
HAP2_chr18,0.123412,0.120609,0.111222,0.123210,0.130122,0.123921,0.004699,0.122968,0.120787,0.123779,0.120130,0.123482,0.119753,0.122762,0.121855,0.131637,0.120118,0.120625,0.121489,0.120222,0.124455,0.121857,0.121670,0.125407,0.105893,0.126295,0.123275,0.121139,0.111895,0.123718,0.124586,0.121826,0.122886,0.120588,0.123362,0.122036,0.130812,0.123689,0.122358,0.120409,0.121135,0.131877,0.121070,0.000000,0.123032,0.120446,0.122386,0.124759,0.121328,0.125007,0.106256,0.126578
HAP2_chr19,0.127710,0.126018,0.115111,0.125321,0.133309,0.124403,0.122010,0.122852,0.126178,0.125594,0.103446,0.125677,0.123831,0.125429,0.122831,0.131737,0.123603,0.123011,0.008014,0.123514,0.125315,0.123029,0.123945,0.123755,0.126942,0.124517,0.127553,0.126008,0.115952,0.125694,0.125216,0.124813,0.123207,0.103477,0.125782,0.123506,0.133905,0.125995,0.125144,0.121660,0.122998,0.131754,0.124208,0.123032,0.000000,0.123703,0.124820,0.125678,0.124385,0.123964,0.127326,0.122910
HAP2_chr20,0.126657,0.125103,0.127743,0.125518,0.133307,0.124353,0.119767,0.093511,0.125329,0.126719,0.124255,0.125350,0.122841,0.123758,0.122841,0.133636,0.121722,0.119336,0.123933,0.002490,0.124026,0.120803,0.122967,0.124307,0.127547,0.128339,0.126618,0.125425,0.128242,0.126185,0.124996,0.125169,0.093863,0.124611,0.124564,0.123515,0.134319,0.127485,0.123613,0.121570,0.121890,0.133853,0.121673,0.120446,0.123703,0.000000,0.123151,0.124361,0.123919,0.123896,0.127943,0.126736
HAP2_chr21,0.128152,0.127605,0.128019,0.128775,0.134171,0.126719,0.121782,0.125147,0.125928,0.128904,0.125734,0.127020,0.124071,0.125350,0.125582,0.109969,0.123125,0.124250,0.124644,0.123254,0.124371,0.007186,0.124619,0.125774,0.128381,0.110650,0.128270,0.127579,0.127791,0.128751,0.126583,0.125203,0.125184,0.125719,0.126400,0.125673,0.134938,0.128856,0.125021,0.125125,0.124354,0.110139,0.123475,0.122386,0.124820,0.123151,0.000000,0.124478,0.124544,0.125639,0.128951,0.110368
HAP2_chr22,0.126826,0.126200,0.129283,0.128457,0.133967,0.127192,0.123729,0.126758,0.126774,0.128398,0.125758,0.126940,0.125356,0.126197,0.124982,0.134647,0.123495,0.125714,0.125922,0.124319,0.001299,0.123665,0.126501,0.088421,0.132366,0.128404,0.126549,0.127323,0.129912,0.128713,0.127134,0.125871,0.126813,0.125463,0.126126,0.127433,0.133919,0.127738,0.125528,0.124660,0.126068,0.134630,0.123749,0.124759,0.125678,0.124361,0.124478,0.000000,0.126699,0.088354,0.131703,0.126792
