,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25
HAP1_chr11,0.120132,0.118612,0.120187,0.117857,0.121067,0.119595,0.125869,0.118113,0.072849,0.120035,0.000000,0.123614,0.132867,0.122400,0.124162,0.126231,0.116286,0.122270,0.126087,0.118948,0.122878,0.124788,0.120935,0.125933,0.126105,0.119850,0.118946,0.120315,0.117495,0.121529,0.119079,0.125619,0.118917,0.072748,0.119944,0.006579,0.124463,0.134469,0.122304,0.124588,0.126257,0.116888,0.122980,0.126493,0.118845,0.123130,0.125452,0.120763,0.125672,0.127112
HAP1_chr12,0.120486,0.123125,0.122102,0.122708,0.118730,0.074873,0.123299,0.123175,0.119527,0.124182,0.123614,0.000000,0.126891,0.118206,0.119812,0.124106,0.121198,0.124925,0.121055,0.122194,0.125304,0.119173,0.124006,0.121189,0.122609,0.120411,0.123540,0.121731,0.122459,0.118765,0.074819,0.123367,0.123379,0.119463,0.123528,0.124304,0.004255,0.129974,0.118190,0.120002,0.123932,0.121410,0.125392,0.121343,0.122203,0.125312,0.119908,0.123371,0.120846,0.123359
HAP1_chr13,0.134696,0.132896,0.132539,0.131299,0.128630,0.128717,0.135238,0.125972,0.128176,0.132552,0.132867,0.126891,0.000000,0.124201,0.118700,0.134415,0.124489,0.124045,0.122627,0.091278,0.122907,0.122875,0.125838,0.123216,0.127389,0.134412,0.133984,0.132770,0.130616,0.130332,0.128471,0.135874,0.129935,0.127375,0.133062,0.133981,0.126759,0.011781,0.124451,0.119715,0.134163,0.126299,0.124638,0.122352,0.091716,0.125409,0.126461,0.126760,0.123722,0.127965
HAP1_chr14,0.120343,0.122548,0.120647,0.121707,0.117071,0.120830,0.122217,0.077333,0.117192,0.122465,0.122400,0.118206,0.124201,0.000000,0.117039,0.122496,0.118972,0.123206,0.119557,0.121338,0.122435,0.115968,0.121408,0.119242,0.119756,0.120168,0.123192,0.120598,0.120753,0.117573,0.119984,0.121770,0.078306,0.117445,0.122517,0.123252,0.118471,0.128780,0.004143,0.118014,0.122744,0.119656,0.123099,0.119214,0.121239,0.124244,0.118440,0.121735,0.119159,0.119435
HAP1_chr15,0.108579,0.124935,0.099390,0.123345,0.120014,0.122495,0.124803,0.121040,0.120807,0.125500,0.124162,0.119812,0.118700,0.117039,0.000000,0.124697,0.118911,0.121095,0.118046,0.124255,0.118726,0.117778,0.122386,0.120470,0.120771,0.108858,0.125545,0.099398,0.123285,0.120869,0.122079,0.124909,0.124207,0.120620,0.125713,0.125288,0.120519,0.124609,0.117324,0.002174,0.124970,0.119938,0.121907,0.118616,0.124232,0.120457,0.120600,0.122706,0.120482,0.120907
HAP1_chr16,0.125345,0.127285,0.126272,0.126500,0.122415,0.127060,0.127462,0.126952,0.123218,0.080324,0.126231,0.124106,0.134415,0.122496,0.124697,0.000000,0.125330,0.129993,0.126058,0.125054,0.097611,0.124475,0.127122,0.125333,0.125408,0.125396,0.127502,0.126669,0.126828,0.122645,0.126867,0.127001,0.126714,0.121795,0.081004,0.125694,0.124365,0.134397,0.122311,0.124995,0.004609,0.124854,0.130498,0.126260,0.125123,0.098080,0.125247,0.123935,0.125046,0.125757
HAP1_chr17,0.108993,0.118158,0.119031,0.116225,0.120836,0.116817,0.125941,0.114471,0.120311,0.117430,0.116286,0.121198,0.124489,0.118972,0.118911,0.125330,0.000000,0.117329,0.121055,0.116294,0.117221,0.091583,0.115367,0.120444,0.122387,0.109222,0.118414,0.118649,0.115401,0.121510,0.116461,0.125562,0.115056,0.120382,0.118062,0.117192,0.121462,0.125925,0.119359,0.119454,0.125480,0.007527,0.117854,0.121234,0.116273,0.117107,0.092037,0.115347,0.119610,0.122283
HAP1_chr18,0.127637,0.121832,0.124244,0.121171,0.125843,0.121158,0.130374,0.119144,0.125166,0.124038,0.122270,0.124925,0.124045,0.123206,0.121095,0.129993,0.117329,0.000000,0.122102,0.121117,0.117194,0.123191,0.118855,0.123199,0.072817,0.127790,0.122829,0.124180,0.119925,0.127201,0.120974,0.130993,0.120729,0.124681,0.123679,0.123371,0.124489,0.128925,0.123424,0.122858,0.129501,0.117449,0.004429,0.122053,0.121368,0.118810,0.126003,0.119040,0.123114,0.073735
HAP1_chr19,0.128045,0.126193,0.126440,0.126250,0.120934,0.124763,0.127850,0.122542,0.121148,0.125692,0.126087,0.121055,0.122627,0.119557,0.118046,0.126058,0.121055,0.122102,0.000000,0.122164,0.121055,0.119002,0.075919,0.118950,0.122220,0.128170,0.127151,0.127066,0.125129,0.121980,0.124605,0.127848,0.123244,0.120911,0.125778,0.126961,0.121139,0.125521,0.119942,0.119363,0.125684,0.121549,0.122660,0.003817,0.122012,0.122450,0.120439,0.076875,0.118790,0.122558
HAP1_chr20,0.101728,0.119821,0.121120,0.118568,0.122236,0.118824,0.125641,0.118207,0.122213,0.119649,0.118948,0.122194,0.091278,0.121338,0.124255,0.125054,0.116294,0.121117,0.122164,0.000000,0.119972,0.121370,0.117917,0.122597,0.122215,0.101778,0.119776,0.121003,0.118415,0.122253,0.118429,0.125452,0.117746,0.122643,0.119101,0.119332,0.123466,0.100243,0.121513,0.124328,0.124892,0.116271,0.121429,0.121967,0.001798,0.120735,0.121479,0.117612,0.121680,0.122853
HAP1_chr21,0.129234,0.122851,0.126190,0.121593,0.125803,0.120116,0.131426,0.117969,0.125617,0.123798,0.122878,0.125304,0.122907,0.122435,0.118726,0.097611,0.117221,0.117194,0.121055,0.119972,0.000000,0.120171,0.118110,0.103794,0.123595,0.129101,0.123502,0.126249,0.121080,0.127064,0.119533,0.131205,0.119595,0.125801,0.124128,0.122871,0.125067,0.127077,0.122904,0.120253,0.097561,0.118288,0.118068,0.122069,0.120084,0.004741,0.122902,0.118110,0.103524,0.124567
HAP1_chr22,0.114626,0.124778,0.114986,0.122836,0.118987,0.121741,0.125207,0.120307,0.118789,0.124484,0.124788,0.119173,0.122875,0.115968,0.117778,0.124475,0.091583,0.123191,0.119002,0.121370,0.120171,0.000000,0.121090,0.118418,0.120940,0.114406,0.125489,0.115066,0.122178,0.119481,0.121386,0.125259,0.121230,0.119207,0.124447,0.124998,0.119255,0.126064,0.116525,0.118171,0.124134,0.091884,0.123324,0.118551,0.121335,0.121440,0.003949,0.120922,0.118135,0.120961
HAP1_chr23,0.125955,0.120782,0.123362,0.120095,0.123812,0.119178,0.129126,0.117776,0.123321,0.122366,0.120935,0.124006,0.125838,0.121408,0.122386,0.127122,0.115367,0.118855,0.075919,0.117917,0.118110,0.121090,0.000000,0.121909,0.124144,0.125956,0.121337,0.123306,0.119714,0.124398,0.118833,0.129393,0.118062,0.123118,0.122314,0.121867,0.123635,0.127119,0.121978,0.123487,0.127263,0.115846,0.120027,0.075910,0.117925,0.119186,0.122243,0.005610,0.121957,0.124353
HAP1_chr24,0.126863,0.126229,0.125360,0.125041,0.121263,0.124768,0.126437,0.123079,0.121367,0.091261,0.125933,0.121189,0.123216,0.119242,0.120470,0.125333,0.120444,0.123199,0.118950,0.122597,0.103794,0.118418,0.121909,0.000000,0.122080,0.127007,0.126790,0.125909,0.124064,0.121696,0.124167,0.126753,0.122600,0.121318,0.090959,0.126523,0.120808,0.125956,0.119224,0.120948,0.124831,0.120388,0.123914,0.119409,0.122474,0.104622,0.119280,0.121545,0.002997,0.122289
HAP1_chr25,0.128729,0.126853,0.127288,0.126279,0.123630,0.126769,0.126008,0.126298,0.122272,0.126649,0.126105,0.122609,0.127389,0.119756,0.120771,0.125408,0.122387,0.072817,0.122220,0.122215,0.123595,0.120940,0.124144,0.122080,0.000000,0.128518,0.127221,0.127299,0.126626,0.123849,0.125855,0.126523,0.124998,0.122784,0.125944,0.126653,0.122970,0.125221,0.119054,0.121193,0.125323,0.121303,0.073048,0.121844,0.122571,0.124265,0.121318,0.124004,0.121189,0.006577
HAP2_chr01,0.004597,0.116209,0.087327,0.116374,0.117082,0.120389,0.120739,0.119950,0.119531,0.120841,0.119850,0.120411,0.134412,0.120168,0.108858,0.125396,0.109222,0.127790,0.128170,0.101778,0.129101,0.114406,0.125956,0.127007,0.128518,0.000000,0.116335,0.087378,0.115953,0.117014,0.119813,0.120838,0.120242,0.120219,0.120373,0.119705,0.121546,0.139986,0.120219,0.108805,0.125150,0.109415,0.128438,0.127770,0.101253,0.129861,0.115902,0.125153,0.126714,0.128857
HAP2_chr02,0.116686,0.004557,0.116970,0.115924,0.120760,0.118487,0.071042,0.117603,0.122851,0.119650,0.118946,0.123540,0.133984,0.123192,0.125545,0.127502,0.118414,0.122829,0.127151,0.119776,0.123502,0.125489,0.121337,0.126790,0.127221,0.116335,0.000000,0.116957,0.115770,0.120757,0.118235,0.070946,0.118160,0.122752,0.119565,0.118908,0.124216,0.137941,0.123061,0.125858,0.127074,0.118514,0.123665,0.126879,0.119263,0.125617,0.127409,0.121068,0.126363,0.127494
HAP2_chr03,0.088075,0.117108,0.005978,0.116924,0.120015,0.118896,0.123130,0.119084,0.122018,0.121009,0.120315,0.121731,0.132770,0.120598,0.099398,0.126669,0.118649,0.124180,0.127066,0.121003,0.126249,0.115066,0.123306,0.125909,0.127299,0.087378,0.116957,0.000000,0.116831,0.120207,0.118932,0.123654,0.119488,0.122548,0.120209,0.120270,0.122537,0.137138,0.120560,0.099329,0.126472,0.118705,0.125019,0.126918,0.120661,0.127187,0.116280,0.122898,0.125909,0.127650
HAP2_chr04,0.115912,0.115202,0.116802,0.005671,0.072254,0.116366,0.124193,0.115490,0.120352,0.119122,0.117495,0.122459,0.130616,0.120753,0.123285,0.126828,0.115401,0.119925,0.125129,0.118415,0.121080,0.122178,0.119714,0.124064,0.126626,0.115953,0.115770,0.116831,0.000000,0.072509,0.116378,0.124118,0.116240,0.120499,0.118663,0.118002,0.122919,0.136364,0.120896,0.124153,0.126678,0.116191,0.120971,0.124982,0.118291,0.122751,0.124537,0.119516,0.123881,0.127223
HAP2_chr05,0.117219,0.120477,0.119993,0.073329,0.004153,0.123236,0.120339,0.121152,0.117625,0.122942,0.121529,0.118765,0.130332,0.117573,0.120869,0.122645,0.121510,0.127201,0.121980,0.122253,0.127064,0.119481,0.124398,0.121696,0.123849,0.117014,0.120757,0.120207,0.072509,0.000000,0.122501,0.120674,0.121637,0.117895,0.122599,0.121829,0.119305,0.132997,0.117542,0.121103,0.122216,0.121994,0.127578,0.122495,0.122130,0.128067,0.120533,0.124124,0.121302,0.123847
HAP2_chr06,0.120054,0.117823,0.119034,0.116873,0.122414,0.004423,0.126209,0.117190,0.122367,0.119667,0.119079,0.074819,0.128471,0.119984,0.122079,0.126867,0.116461,0.120974,0.124605,0.118429,0.119533,0.121386,0.118833,0.124167,0.125855,0.119813,0.118235,0.118932,0.116378,0.122501,0.000000,0.126320,0.118267,0.122107,0.119663,0.119654,0.074645,0.133178,0.120388,0.122779,0.126290,0.117319,0.121688,0.124299,0.118446,0.120670,0.124109,0.118684,0.123761,0.126760
HAP2_chr07,0.121097,0.070911,0.123408,0.124551,0.120699,0.126795,0.004349,0.125772,0.121572,0.126821,0.125619,0.123367,0.135874,0.121770,0.124909,0.127001,0.125562,0.130993,0.127848,0.125452,0.131205,0.125259,0.129393,0.126753,0.126523,0.120838,0.070946,0.123654,0.124118,0.120674,0.126320,0.000000,0.125577,0.122080,0.125666,0.125511,0.124145,0.136089,0.121766,0.124760,0.126932,0.125806,0.131067,0.127480,0.120792,0.132184,0.125977,0.129096,0.125836,0.126158
HAP2_chr08,0.120272,0.118139,0.119268,0.116733,0.120906,0.118986,0.125724,0.005355,0.120891,0.118974,0.118917,0.123379,0.129935,0.078306,0.124207,0.126714,0.115056,0.120729,0.123244,0.117746,0.119595,0.121230,0.118062,0.122600,0.124998,0.120242,0.118160,0.119488,0.116240,0.121637,0.118267,0.125577,0.000000,0.120855,0.118801,0.118701,0.122990,0.131243,0.078384,0.124428,0.126460,0.115770,0.121335,0.123733,0.117754,0.120067,0.122367,0.118055,0.121688,0.125318
HAP2_chr09,0.120599,0.121865,0.122673,0.121950,0.117072,0.122769,0.122337,0.120368,0.004491,0.121714,0.072748,0.119463,0.127375,0.117445,0.120620,0.121795,0.120382,0.124681,0.120911,0.122643,0.125801,0.119207,0.123118,0.121318,0.122784,0.120219,0.122752,0.122548,0.120499,0.117895,0.122107,0.122080,0.120855,0.000000,0.121686,0.072985,0.119444,0.130796,0.117610,0.121933,0.123096,0.121150,0.125611,0.120908,0.122723,0.126054,0.120623,0.123371,0.120743,0.122840
HAP2_chr10,0.120421,0.118949,0.120378,0.119064,0.121996,0.119849,0.125798,0.119171,0.121814,0.003572,0.119944,0.123528,0.133062,0.122517,0.125713,0.081004,0.118062,0.123679,0.125778,0.119101,0.124128,0.124447,0.122314,0.090959,0.125944,0.120373,0.119565,0.120209,0.118663,0.122599,0.119663,0.125666,0.118801,0.121686,0.000000,0.119825,0.123992,0.134465,0.122464,0.126165,0.080837,0.118257,0.124608,0.125799,0.119156,0.124563,0.125272,0.121905,0.090452,0.126205
HAP2_chr11,0.119867,0.118952,0.120303,0.118024,0.121375,0.120172,0.125954,0.118440,0.073068,0.120275,0.006579,0.124304,0.133981,0.123252,0.125288,0.125694,0.117192,0.123371,0.126961,0.119332,0.122871,0.124998,0.121867,0.126523,0.126653,0.119705,0.118908,0.120270,0.118002,0.121829,0.119654,0.125511,0.118701,0.072985,0.119825,0.000000,0.124825,0.134347,0.122980,0.125289,0.125896,0.117719,0.124113,0.127079,0.119397,0.123498,0.125259,0.121407,0.125915,0.126986
HAP2_chr12,0.121532,0.123763,0.122429,0.123608,0.119157,0.074724,0.124021,0.122953,0.119532,0.124632,0.124463,0.004255,0.126759,0.118471,0.120519,0.124365,0.121462,0.124489,0.121139,0.123466,0.125067,0.119255,0.123635,0.120808,0.122970,0.121546,0.124216,0.122537,0.122919,0.119305,0.074645,0.124145,0.122990,0.119444,0.123992,0.124825,0.000000,0.129782,0.118560,0.120865,0.124189,0.121741,0.125126,0.121626,0.123365,0.125939,0.120035,0.123265,0.120544,0.123390
HAP2_chr13,0.140164,0.137632,0.137132,0.136010,0.132793,0.133813,0.135463,0.131693,0.131068,0.134896,0.134469,0.129974,0.011781,0.128780,0.124609,0.134397,0.125925,0.128925,0.125521,0.100243,0.127077,0.126064,0.127119,0.125956,0.125221,0.139986,0.137941,0.137138,0.136364,0.132997,0.133178,0.136089,0.131243,0.130796,0.134465,0.134347,0.129782,0.000000,0.128225,0.125101,0.133933,0.125766,0.129645,0.125526,0.100791,0.127584,0.125795,0.127183,0.124585,0.125609
HAP2_chr14,0.120196,0.122649,0.120667,0.121461,0.117286,0.120942,0.121829,0.077599,0.117408,0.122655,0.122304,0.118190,0.124451,0.004143,0.117324,0.122311,0.119359,0.123424,0.119942,0.121513,0.122904,0.116525,0.121978,0.119224,0.119054,0.120219,0.123061,0.120560,0.120896,0.117542,0.120388,0.121766,0.078384,0.117610,0.122464,0.122980,0.118560,0.128225,0.000000,0.118186,0.122259,0.119430,0.123581,0.119469,0.121464,0.124619,0.118873,0.122130,0.119131,0.119154
HAP2_chr15,0.108735,0.125403,0.099422,0.123461,0.120908,0.123248,0.125075,0.121821,0.122168,0.126677,0.124588,0.120002,0.119715,0.118014,0.002174,0.124995,0.119454,0.122858,0.119363,0.124328,0.120253,0.118171,0.123487,0.120948,0.121193,0.108805,0.125858,0.099329,0.124153,0.121103,0.122779,0.124760,0.124428,0.121933,0.126165,0.125289,0.120865,0.125101,0.118186,0.000000,0.125036,0.120142,0.122725,0.119293,0.124602,0.121539,0.120438,0.123478,0.120879,0.121246
HAP2_chr16,0.125020,0.126793,0.125693,0.126420,0.122119,0.126737,0.127062,0.126765,0.122662,0.080235,0.126257,0.123932,0.134163,0.122744,0.124970,0.004609,0.125480,0.129501,0.125684,0.124892,0.097561,0.124134,0.127263,0.124831,0.125323,0.125150,0.127074,0.126472,0.126678,0.122216,0.126290,0.126932,0.126460,0.123096,0.080837,0.125896,0.124189,0.133933,0.122259,0.125036,0.000000,0.124849,0.130263,0.125980,0.124930,0.097925,0.124407,0.124051,0.124535,0.125743
HAP2_chr17,0.109275,0.118198,0.119091,0.116560,0.122021,0.117422,0.125708,0.115563,0.120780,0.118513,0.116888,0.121410,0.126299,0.119656,0.119938,0.124854,0.007527,0.117449,0.121549,0.116271,0.118288,0.091884,0.115846,0.120388,0.121303,0.109415,0.118514,0.118705,0.116191,0.121994,0.117319,0.125806,0.115770,0.121150,0.118257,0.117719,0.121741,0.125766,0.119430,0.120142,0.124849,0.000000,0.118310,0.121456,0.116138,0.118339,0.091892,0.115816,0.119713,0.121489
HAP2_chr18,0.128558,0.122582,0.124706,0.122251,0.126524,0.121752,0.131214,0.119644,0.126102,0.124766,0.122980,0.125392,0.124638,0.123099,0.121907,0.130498,0.117854,0.004429,0.122660,0.121429,0.118068,0.123324,0.120027,0.123914,0.073048,0.128438,0.123665,0.125019,0.120971,0.127578,0.121688,0.131067,0.121335,0.125611,0.124608,0.124113,0.125126,0.129645,0.123581,0.122725,0.130263,0.118310,0.000000,0.122680,0.121939,0.119890,0.125935,0.120128,0.123772,0.073893
HAP2_chr19,0.127779,0.125865,0.126472,0.125635,0.121831,0.124234,0.127441,0.122511,0.121214,0.125769,0.126493,0.121343,0.122352,0.119214,0.118616,0.126260,0.121234,0.122053,0.003817,0.121967,0.122069,0.118551,0.075910,0.119409,0.121844,0.127770,0.126879,0.126918,0.124982,0.122495,0.124299,0.127480,0.123733,0.120908,0.125799,0.127079,0.121626,0.125526,0.119469,0.119293,0.125980,0.121456,0.122680,0.000000,0.122019,0.123729,0.120660,0.076875,0.119153,0.121829
HAP2_chr20,0.101097,0.119227,0.120833,0.118463,0.122277,0.118541,0.125579,0.118187,0.122057,0.119728,0.118845,0.122203,0.091716,0.121239,0.124232,0.125123,0.116273,0.121368,0.122012,0.001798,0.120084,0.121335,0.117925,0.122474,0.122571,0.101253,0.119263,0.120661,0.118291,0.122130,0.118446,0.120792,0.117754,0.122723,0.119156,0.119397,0.123365,0.100791,0.121464,0.124602,0.124930,0.116138,0.121939,0.122019,0.000000,0.121057,0.121474,0.117637,0.121543,0.123107
HAP2_chr21,0.129965,0.124810,0.127384,0.123227,0.127084,0.121401,0.132040,0.119569,0.126188,0.124627,0.123130,0.125312,0.125409,0.124244,0.120457,0.098080,0.117107,0.118810,0.122450,0.120735,0.004741,0.121440,0.119186,0.104622,0.124265,0.129861,0.125617,0.127187,0.122751,0.128067,0.120670,0.132184,0.120067,0.126054,0.124563,0.123498,0.125939,0.127584,0.124619,0.121539,0.097925,0.118339,0.119890,0.123729,0.121057,0.000000,0.123176,0.119739,0.104210,0.125069
HAP2_chr22,0.116198,0.126812,0.116395,0.124601,0.120519,0.124434,0.125743,0.122802,0.120394,0.125776,0.125452,0.119908,0.126461,0.118440,0.120600,0.125247,0.092037,0.126003,0.120439,0.121479,0.122902,0.003949,0.122243,0.119280,0.121318,0.115902,0.127409,0.116280,0.124537,0.120533,0.124109,0.125977,0.122367,0.120623,0.125272,0.125259,0.120035,0.125795,0.118873,0.120438,0.124407,0.091892,0.125935,0.120660,0.121474,0.123176,0.000000,0.121534,0.118603,0.121186
HAP2_chr23,0.125081,0.120407,0.122940,0.119999,0.123797,0.118995,0.128809,0.118038,0.123526,0.111102,0.120763,0.123371,0.126760,0.121735,0.122706,0.123935,0.115347,0.119040,0.076875,0.117612,0.118110,0.120922,0.005610,0.121545,0.124004,0.125153,0.121068,0.122898,0.119516,0.124124,0.118684,0.129096,0.118055,0.123371,0.121905,0.121407,0.123265,0.127183,0.122130,0.123478,0.124051,0.115816,0.120128,0.076875,0.117637,0.119739,0.121534,0.000000,0.121223,0.124619
HAP2_chr24,0.126632,0.125872,0.125261,0.124652,0.121090,0.124569,0.125615,0.122415,0.120879,0.090821,0.125672,0.120846,0.123722,0.119159,0.120482,0.125046,0.119610,0.123114,0.118790,0.121680,0.103524,0.118135,0.121957,0.002997,0.121189,0.126714,0.126363,0.125909,0.123881,0.121302,0.123761,0.125836,0.121688,0.120743,0.090452,0.125915,0.120544,0.124585,0.119131,0.120879,0.124535,0.119713,0.123772,0.119153,0.121543,0.104210,0.118603,0.121223,0.000000,0.121134
HAP2_chr25,0.128832,0.127059,0.127552,0.127037,0.123957,0.127282,0.126154,0.126718,0.122209,0.127134,0.127112,0.123359,0.127965,0.119435,0.120907,0.125757,0.122283,0.073735,0.122558,0.122853,0.124567,0.120961,0.124353,0.122289,0.006577,0.128857,0.127494,0.127650,0.127223,0.123847,0.126760,0.126158,0.125318,0.122840,0.126205,0.126986,0.123390,0.125609,0.119154,0.121246,0.125743,0.121489,0.073893,0.121829,0.123107,0.125069,0.121186,0.124619,0.121134,0.000000
