,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20
HAP1_chr11,0.100247,0.100707,0.080152,0.102587,0.086252,0.102725,0.101260,0.100294,0.103420,0.102502,0.000000,0.088464,0.093824,0.090731,0.089299,0.091133,0.089935,0.092428,0.089744,0.090501,0.100693,0.100800,0.080154,0.102854,0.086701,0.103186,0.101728,0.100293,0.104061,0.102522,0.000230,0.089241,0.093844,0.090646,0.089300,0.091219,0.089926,0.093270,0.090351,0.090963
HAP1_chr12,0.067473,0.101338,0.101824,0.102888,0.106763,0.103465,0.102101,0.100046,0.104192,0.102436,0.088464,0.000000,0.093966,0.091002,0.089695,0.091340,0.090656,0.091602,0.089414,0.090556,0.067739,0.101427,0.101832,0.103238,0.107825,0.103877,0.102738,0.100044,0.104928,0.102446,0.089176,0.000313,0.094064,0.090931,0.089684,0.091427,0.090627,0.092597,0.090213,0.091026
HAP1_chr13,0.109029,0.107718,0.101633,0.110315,0.066225,0.107823,0.108687,0.107177,0.109893,0.108510,0.093824,0.093966,0.000000,0.095202,0.092498,0.095001,0.094822,0.094732,0.093708,0.095465,0.109280,0.107779,0.101612,0.110498,0.066298,0.108907,0.109045,0.107179,0.110362,0.108528,0.094210,0.094480,0.000081,0.095153,0.092489,0.095049,0.094733,0.097045,0.096045,0.095755
HAP1_chr14,0.106172,0.066962,0.106490,0.108098,0.108635,0.106388,0.105782,0.103648,0.107264,0.105997,0.090731,0.091002,0.095202,0.000000,0.090657,0.091882,0.090763,0.093417,0.091201,0.092314,0.106210,0.066941,0.106471,0.108170,0.108834,0.106625,0.105817,0.103651,0.107530,0.106004,0.090753,0.091199,0.095223,0.000069,0.090656,0.091968,0.090710,0.093954,0.091939,0.092488
HAP1_chr15,0.104502,0.103298,0.104141,0.105587,0.107760,0.104283,0.103636,0.064795,0.106312,0.104002,0.089299,0.089695,0.092498,0.090657,0.000000,0.091314,0.090164,0.091746,0.088014,0.091034,0.104724,0.103361,0.104109,0.105732,0.108244,0.104940,0.103852,0.064804,0.106702,0.104013,0.089597,0.090107,0.092556,0.090628,0.000033,0.091380,0.090147,0.093638,0.089823,0.091358
HAP1_chr16,0.103443,0.101989,0.102453,0.104034,0.106377,0.060987,0.102580,0.100715,0.103958,0.102353,0.091133,0.091340,0.095001,0.091882,0.091314,0.000000,0.091046,0.093644,0.091911,0.091896,0.103456,0.101994,0.102430,0.104044,0.106583,0.061182,0.102583,0.100707,0.104068,0.102367,0.091176,0.091484,0.095012,0.091829,0.091301,0.000046,0.091007,0.093817,0.092280,0.092133
HAP1_chr17,0.104934,0.104257,0.105104,0.106726,0.108002,0.105603,0.068036,0.102485,0.107022,0.104722,0.089935,0.090656,0.094822,0.090763,0.090164,0.091046,0.000000,0.092929,0.091172,0.090911,0.104948,0.104278,0.105117,0.106744,0.108083,0.105774,0.067939,0.102490,0.107143,0.104728,0.089922,0.090709,0.094836,0.090693,0.090156,0.091100,0.000062,0.093282,0.091523,0.091066
HAP1_chr18,0.108200,0.106243,0.108674,0.109768,0.109168,0.107713,0.107382,0.105971,0.065578,0.107514,0.092428,0.091602,0.094732,0.093417,0.091746,0.093644,0.092929,0.000000,0.092192,0.092492,0.108834,0.106343,0.108643,0.110227,0.110342,0.108660,0.108094,0.105962,0.065801,0.107530,0.093157,0.092571,0.094774,0.093398,0.091738,0.093707,0.092914,0.000504,0.093527,0.092838
HAP1_chr19,0.103693,0.102510,0.102245,0.073355,0.108122,0.103535,0.102678,0.101418,0.105360,0.102723,0.089744,0.089414,0.093708,0.091201,0.088014,0.091911,0.091172,0.092192,0.000000,0.091124,0.104127,0.102580,0.102268,0.073453,0.109025,0.104112,0.103154,0.101414,0.106070,0.102732,0.090223,0.090232,0.093768,0.091215,0.088009,0.091986,0.091102,0.094167,0.001100,0.091531
HAP1_chr20,0.107322,0.105605,0.106550,0.108581,0.109387,0.107582,0.105883,0.104567,0.107950,0.066560,0.090501,0.090556,0.095465,0.092314,0.091034,0.091896,0.090911,0.092492,0.091124,0.000000,0.107788,0.105664,0.106557,0.108876,0.110263,0.107709,0.106434,0.104567,0.108707,0.066560,0.091189,0.091392,0.095502,0.092285,0.091032,0.091979,0.090881,0.093161,0.091448,0.000230
HAP2_chr01,0.000437,0.084377,0.082154,0.083243,0.092913,0.084983,0.084359,0.084749,0.085933,0.085443,0.100693,0.067739,0.109280,0.106210,0.104724,0.103456,0.104948,0.108834,0.104127,0.107788,0.000000,0.084414,0.082191,0.083282,0.093222,0.085735,0.084532,0.084757,0.086134,0.085448,0.100953,0.067806,0.109300,0.106134,0.104715,0.103530,0.104901,0.109520,0.105266,0.108128
HAP2_chr02,0.083920,0.000083,0.082024,0.083144,0.090394,0.084786,0.083983,0.084177,0.085486,0.084527,0.100800,0.101427,0.107779,0.066941,0.103361,0.101994,0.104278,0.106343,0.102580,0.105664,0.084414,0.000000,0.082038,0.083319,0.091046,0.085481,0.084412,0.084185,0.085857,0.084538,0.101467,0.102364,0.107818,0.066912,0.103328,0.102039,0.104219,0.107628,0.103548,0.106210
HAP2_chr03,0.081715,0.081958,0.000032,0.079747,0.092041,0.082750,0.082185,0.082675,0.083546,0.082730,0.080154,0.101832,0.101612,0.106471,0.104109,0.102430,0.105117,0.108643,0.102268,0.106557,0.082191,0.082038,0.000000,0.079905,0.092786,0.083367,0.082559,0.082681,0.083948,0.082738,0.080494,0.102740,0.101658,0.106351,0.104105,0.102484,0.105088,0.109844,0.103401,0.107070
HAP2_chr04,0.083066,0.083296,0.079902,0.000084,0.093163,0.084009,0.083051,0.083657,0.085033,0.084300,0.102854,0.103238,0.110498,0.108170,0.105732,0.104044,0.106744,0.110227,0.073453,0.108876,0.083282,0.083319,0.079905,0.000000,0.093482,0.084572,0.083266,0.083669,0.085251,0.084310,0.103232,0.103751,0.110516,0.108022,0.105728,0.104074,0.106728,0.111110,0.073923,0.109269
HAP2_chr05,0.093140,0.091037,0.092752,0.093443,0.000215,0.092216,0.092172,0.091692,0.093384,0.092768,0.086701,0.107825,0.066298,0.108834,0.108244,0.106583,0.108083,0.110342,0.109025,0.110263,0.093222,0.091046,0.092786,0.093482,0.000000,0.092529,0.092224,0.091695,0.093461,0.092776,0.086721,0.108039,0.066280,0.108768,0.108231,0.106631,0.108043,0.110914,0.109817,0.110449
HAP2_chr06,0.085524,0.085437,0.083347,0.084519,0.092169,0.001859,0.085234,0.085473,0.086609,0.085537,0.103186,0.103877,0.108907,0.106625,0.104940,0.061182,0.105774,0.108660,0.104112,0.107709,0.085735,0.085481,0.083367,0.084572,0.092529,0.000000,0.085399,0.085476,0.086856,0.085547,0.103502,0.104395,0.108895,0.106528,0.104937,0.061204,0.105702,0.109566,0.105120,0.108069
HAP2_chr07,0.084428,0.084383,0.082547,0.083246,0.092061,0.085063,0.000156,0.084252,0.085566,0.084732,0.101728,0.102738,0.109045,0.105817,0.103852,0.102583,0.067939,0.108094,0.103154,0.106434,0.084532,0.084412,0.082559,0.083266,0.092224,0.085399,0.000000,0.084257,0.085811,0.084739,0.101986,0.103023,0.109060,0.105744,0.103846,0.102614,0.067919,0.108727,0.104053,0.106739
HAP2_chr08,0.084649,0.084163,0.082678,0.083634,0.091429,0.085032,0.084128,0.000036,0.085888,0.084781,0.100293,0.100044,0.107179,0.103651,0.064804,0.100707,0.102490,0.105962,0.101414,0.104567,0.084757,0.084185,0.082681,0.083669,0.091695,0.085476,0.084257,0.000000,0.086053,0.084795,0.100624,0.100479,0.107179,0.103619,0.064804,0.100738,0.102452,0.106647,0.102302,0.104832
HAP2_chr09,0.086108,0.085838,0.083910,0.085259,0.093365,0.086484,0.085792,0.086050,0.000158,0.086663,0.104061,0.104928,0.110362,0.107530,0.106702,0.104068,0.107143,0.065801,0.106070,0.108707,0.086134,0.085857,0.083948,0.085251,0.093461,0.086856,0.085811,0.086053,0.000000,0.086667,0.104120,0.105068,0.110372,0.107435,0.106702,0.104142,0.107094,0.065697,0.106868,0.108935
HAP2_chr10,0.084960,0.084464,0.082732,0.084121,0.091957,0.085268,0.084278,0.084792,0.086091,0.000016,0.102522,0.102446,0.108528,0.106004,0.104013,0.102367,0.104728,0.107530,0.102732,0.066560,0.085448,0.084538,0.082738,0.084310,0.092776,0.085547,0.084739,0.084795,0.086667,0.000000,0.103323,0.103639,0.108543,0.105946,0.103998,0.102415,0.104658,0.108795,0.103685,0.066710
HAP2_chr11,0.100916,0.101449,0.080494,0.103198,0.086645,0.103232,0.101887,0.100624,0.103821,0.103303,0.000230,0.089176,0.094210,0.090753,0.089597,0.091176,0.089922,0.093157,0.090223,0.091189,0.100953,0.101467,0.080494,0.103232,0.086721,0.103502,0.101986,0.100624,0.104120,0.103323,0.000000,0.089343,0.094230,0.090715,0.089602,0.091238,0.089902,0.093392,0.090726,0.091435
HAP2_chr12,0.067786,0.102327,0.102734,0.103710,0.107781,0.104228,0.102936,0.100480,0.104816,0.103629,0.089241,0.000313,0.094480,0.091199,0.090107,0.091484,0.090709,0.092571,0.090232,0.091392,0.067806,0.102364,0.102740,0.103751,0.108039,0.104395,0.103023,0.100479,0.105068,0.103639,0.089343,0.000000,0.094581,0.091133,0.090100,0.091530,0.090709,0.092814,0.090845,0.091600
HAP2_chr13,0.109048,0.107757,0.101679,0.110335,0.066207,0.107829,0.108703,0.107177,0.109902,0.108524,0.093844,0.094064,0.000081,0.095223,0.092556,0.095012,0.094836,0.094774,0.093768,0.095502,0.109300,0.107818,0.101658,0.110516,0.066280,0.108895,0.109060,0.107179,0.110372,0.108543,0.094230,0.094581,0.000000,0.095177,0.092547,0.095060,0.094749,0.097049,0.096063,0.095788
HAP2_chr14,0.106052,0.066929,0.106369,0.107990,0.108614,0.106332,0.105714,0.103620,0.107205,0.105936,0.090646,0.090931,0.095153,0.000069,0.090628,0.091829,0.090693,0.093398,0.091215,0.092285,0.106134,0.066912,0.106351,0.108022,0.108768,0.106528,0.105744,0.103619,0.107435,0.105946,0.090715,0.091133,0.095177,0.000000,0.090627,0.091921,0.090658,0.093932,0.091975,0.092463
HAP2_chr15,0.104490,0.103265,0.104136,0.105582,0.107743,0.104278,0.103628,0.064795,0.106311,0.103988,0.089300,0.089684,0.092489,0.090656,0.000033,0.091301,0.090156,0.091738,0.088009,0.091032,0.104715,0.103328,0.104105,0.105728,0.108231,0.104937,0.103846,0.064804,0.106702,0.103998,0.089602,0.090100,0.092547,0.090627,0.000000,0.091373,0.090139,0.093630,0.089819,0.091357
HAP2_chr16,0.103521,0.102043,0.102507,0.104081,0.106484,0.061008,0.102620,0.100746,0.104048,0.102400,0.091219,0.091427,0.095049,0.091968,0.091380,0.000046,0.091100,0.093707,0.091986,0.091979,0.103530,0.102039,0.102484,0.104074,0.106631,0.061204,0.102614,0.100738,0.104142,0.102415,0.091238,0.091530,0.095060,0.091921,0.091373,0.000000,0.091072,0.093831,0.092342,0.092208
HAP2_chr17,0.104906,0.104211,0.105075,0.106710,0.107951,0.105535,0.068015,0.102447,0.106934,0.104652,0.089926,0.090627,0.094733,0.090710,0.090147,0.091007,0.000062,0.092914,0.091102,0.090881,0.104901,0.104219,0.105088,0.106728,0.108043,0.105702,0.067919,0.102452,0.107094,0.104658,0.089902,0.090709,0.094749,0.090658,0.090139,0.091072,0.000000,0.093276,0.091494,0.091047
HAP2_chr18,0.109438,0.107619,0.109878,0.111025,0.110511,0.109487,0.108572,0.106656,0.065653,0.108779,0.093270,0.092597,0.097045,0.093954,0.093638,0.093817,0.093282,0.000504,0.094167,0.093161,0.109520,0.107628,0.109844,0.111110,0.110914,0.109566,0.108727,0.106647,0.065697,0.108795,0.093392,0.092814,0.097049,0.093932,0.093630,0.093831,0.093276,0.000000,0.094221,0.093303
HAP2_chr19,0.104959,0.103488,0.103394,0.073845,0.109058,0.105006,0.103671,0.102306,0.106310,0.103677,0.090351,0.090213,0.096045,0.091939,0.089823,0.092280,0.091523,0.093527,0.001100,0.091448,0.105266,0.103548,0.103401,0.073923,0.109817,0.105120,0.104053,0.102302,0.106868,0.103685,0.090726,0.090845,0.096063,0.091975,0.089819,0.092342,0.091494,0.094221,0.000000,0.091814
HAP2_chr20,0.107900,0.106174,0.107065,0.109062,0.109787,0.108026,0.106363,0.104832,0.108302,0.066710,0.090963,0.091026,0.095755,0.092488,0.091358,0.092133,0.091066,0.092838,0.091531,0.000230,0.108128,0.106210,0.107070,0.109269,0.110449,0.108069,0.106739,0.104832,0.108935,0.066710,0.091435,0.091600,0.095788,0.092463,0.091357,0.092208,0.091047,0.093303,0.091814,0.000000
