,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr06,HAP2_chr03,HAP2_chr11,HAP2_chr04,HAP2_chr05,HAP2_chr02,HAP2_chr12,HAP2_chr15,HAP2_chr09,HAP2_chr14,HAP2_chr08,HAP2_chr13,HAP2_chr10,HAP2_chr16,HAP2_chr07,HAP3_chr01,HAP3_chr03,HAP3_chr04,HAP3_chr06,HAP3_chr10,HAP3_chr13,HAP3_chr02,HAP3_chr14,HAP3_chr15,HAP3_chr08,HAP3_chr11,HAP3_chr07,HAP3_chr09,HAP3_chr05,HAP3_chr16,HAP3_chr12,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16
HAP1_chr11,0.144017,0.152451,0.145160,0.149525,0.143760,0.145508,0.140548,0.146749,0.142845,0.143686,0.000000,0.141189,0.140014,0.065736,0.144437,0.149719,0.144270,0.144201,0.145440,0.018944,0.149780,0.145334,0.146488,0.140555,0.144751,0.143627,0.066525,0.145303,0.141286,0.142329,0.151541,0.145423,0.146819,0.147077,0.148978,0.142619,0.140504,0.140055,0.147260,0.065833,0.142114,0.145619,0.028161,0.140941,0.141500,0.144523,0.146303,0.141593,0.145295,0.149683,0.144552,0.066558,0.138603,0.139776,0.149284,0.143163,0.144513,0.141566,0.027301,0.145205,0.148066,0.143918,0.144623,0.144154
HAP1_chr12,0.143791,0.147009,0.143627,0.147208,0.144236,0.140672,0.137101,0.142925,0.142068,0.074691,0.141189,0.000000,0.137341,0.145798,0.141359,0.144455,0.143347,0.139917,0.142542,0.140077,0.147211,0.144390,0.145491,0.023326,0.144476,0.142724,0.143570,0.142191,0.137114,0.074714,0.146354,0.140876,0.144806,0.145565,0.145678,0.139629,0.073857,0.136032,0.145335,0.145534,0.142461,0.141678,0.140411,0.139781,0.140337,0.144421,0.142878,0.024897,0.141629,0.146570,0.145697,0.145119,0.074701,0.138948,0.143684,0.140852,0.141142,0.139887,0.140497,0.143772,0.144279,0.138362,0.141095,0.033742
HAP1_chr13,0.141749,0.146847,0.141166,0.146403,0.142582,0.138952,0.137368,0.141541,0.075885,0.140800,0.140014,0.137341,0.000000,0.145355,0.143398,0.142846,0.141695,0.138131,0.142033,0.139567,0.146239,0.143482,0.142483,0.135355,0.144640,0.075806,0.143526,0.141010,0.026137,0.141941,0.143306,0.140803,0.143897,0.143608,0.145115,0.137368,0.141976,0.026262,0.145532,0.144418,0.141370,0.139780,0.141075,0.137716,0.075574,0.143825,0.142130,0.137239,0.140638,0.146492,0.144616,0.145128,0.140615,0.075755,0.143182,0.138120,0.140169,0.140636,0.140431,0.143423,0.144525,0.140158,0.033784,0.136842
HAP1_chr14,0.137769,0.155134,0.136817,0.141803,0.137445,0.149636,0.143931,0.146977,0.134344,0.134530,0.065736,0.145798,0.145355,0.000000,0.135037,0.153002,0.138407,0.147445,0.136472,0.065734,0.143214,0.138404,0.149927,0.145429,0.136514,0.134922,0.017636,0.148126,0.144909,0.136273,0.155221,0.147680,0.139173,0.137785,0.141473,0.144932,0.134851,0.141896,0.151866,0.015074,0.133210,0.147664,0.068103,0.144523,0.134690,0.139445,0.149994,0.145127,0.137972,0.141393,0.139919,0.016601,0.134214,0.133643,0.150008,0.146534,0.145472,0.146355,0.066303,0.134751,0.152383,0.147050,0.149586,0.147904
HAP1_chr15,0.134161,0.152002,0.133240,0.137139,0.135754,0.144624,0.073516,0.146331,0.131006,0.131639,0.144437,0.141359,0.143398,0.135037,0.000000,0.149838,0.136037,0.144704,0.132941,0.143695,0.138864,0.135080,0.148795,0.141069,0.015879,0.130103,0.135019,0.146211,0.143218,0.132468,0.151518,0.072388,0.136011,0.134811,0.138200,0.142539,0.131613,0.141448,0.150748,0.133803,0.017440,0.146316,0.144117,0.071766,0.129681,0.136103,0.147849,0.142339,0.135819,0.137131,0.136358,0.132917,0.130891,0.129026,0.145940,0.143375,0.143692,0.145079,0.145090,0.017475,0.150314,0.072044,0.143546,0.143370
HAP1_chr16,0.149127,0.148264,0.149070,0.151008,0.066655,0.144162,0.124163,0.148278,0.148255,0.148806,0.149719,0.144455,0.142846,0.153002,0.149838,0.000000,0.151460,0.144402,0.148370,0.145603,0.152098,0.066904,0.148929,0.143836,0.151951,0.146760,0.151205,0.148514,0.144392,0.149097,0.025485,0.144667,0.150708,0.150791,0.151055,0.144818,0.148695,0.143940,0.150809,0.152573,0.150029,0.148768,0.146553,0.146763,0.146316,0.067829,0.026928,0.146093,0.148727,0.150938,0.067046,0.149057,0.149439,0.144716,0.148495,0.145474,0.146429,0.027012,0.143687,0.150480,0.146605,0.142968,0.144453,0.143774
HAP2_chr01,0.018388,0.153575,0.136956,0.140303,0.137089,0.147456,0.142658,0.070204,0.133278,0.134561,0.144270,0.143347,0.141695,0.138407,0.136037,0.151460,0.000000,0.143698,0.136125,0.146332,0.141196,0.138262,0.148066,0.143002,0.137934,0.131878,0.138179,0.069277,0.142626,0.134711,0.155261,0.146597,0.017705,0.138134,0.139882,0.142616,0.133960,0.141690,0.149947,0.138344,0.136025,0.069961,0.146168,0.143511,0.132822,0.137517,0.150226,0.145327,0.020974,0.140029,0.138036,0.137853,0.134278,0.131967,0.149451,0.144776,0.070143,0.145972,0.145944,0.137539,0.152957,0.145777,0.147460,0.146018
HAP2_chr06,0.141960,0.146630,0.068692,0.146009,0.143785,0.029926,0.140465,0.143010,0.139445,0.142075,0.144201,0.139917,0.138131,0.147445,0.144704,0.144402,0.143698,0.000000,0.068538,0.143415,0.148059,0.145798,0.146083,0.140038,0.144613,0.139697,0.145633,0.142657,0.134336,0.143269,0.146599,0.141744,0.143894,0.069005,0.145810,0.021672,0.143092,0.137718,0.146199,0.146223,0.142800,0.141876,0.143677,0.140685,0.139315,0.144519,0.145278,0.140835,0.142868,0.146661,0.145195,0.145115,0.142938,0.137655,0.049786,0.023758,0.141911,0.143250,0.142697,0.144091,0.146289,0.140552,0.141605,0.140485
HAP2_chr03,0.135274,0.150461,0.016851,0.138428,0.135525,0.069410,0.141831,0.145125,0.132487,0.130120,0.145440,0.142542,0.142033,0.136472,0.132941,0.148370,0.136125,0.068538,0.000000,0.142963,0.140131,0.135768,0.146296,0.142565,0.134652,0.131322,0.135500,0.145733,0.140622,0.133351,0.151917,0.144387,0.136602,0.019282,0.137747,0.068100,0.131964,0.141138,0.148285,0.135444,0.132399,0.144247,0.145158,0.143208,0.131449,0.137211,0.146708,0.142717,0.134753,0.139003,0.136301,0.134999,0.131364,0.129818,0.041442,0.068219,0.144293,0.143579,0.144914,0.134011,0.149327,0.142897,0.145199,0.145444
HAP2_chr11,0.143778,0.148875,0.142978,0.148850,0.144480,0.143874,0.139884,0.144024,0.143227,0.141762,0.018944,0.140077,0.139567,0.065734,0.143695,0.145603,0.146332,0.143415,0.142963,0.000000,0.149324,0.143876,0.144738,0.139219,0.144467,0.144083,0.066587,0.143289,0.140151,0.143595,0.149559,0.142900,0.146485,0.145902,0.147075,0.141708,0.141650,0.137371,0.147107,0.065820,0.142213,0.143303,0.028285,0.139498,0.142316,0.144450,0.145254,0.139292,0.143504,0.147047,0.145272,0.066803,0.142819,0.139409,0.145317,0.142703,0.142927,0.141311,0.026391,0.143131,0.146341,0.142552,0.144111,0.142983
HAP2_chr04,0.138976,0.066377,0.138969,0.016773,0.140194,0.150244,0.146866,0.150954,0.136467,0.137685,0.149780,0.147211,0.146239,0.143214,0.138864,0.152098,0.141196,0.148059,0.140131,0.149324,0.000000,0.140914,0.065334,0.147404,0.138401,0.136618,0.143625,0.149059,0.146633,0.140207,0.155157,0.149968,0.141017,0.139941,0.014428,0.146393,0.138798,0.145706,0.065801,0.141257,0.137744,0.148161,0.149745,0.146693,0.138971,0.141398,0.151996,0.147323,0.139072,0.010390,0.141685,0.140297,0.139562,0.136257,0.150182,0.148051,0.148383,0.149904,0.149480,0.139264,0.065713,0.149382,0.148953,0.148931
HAP2_chr05,0.136729,0.152124,0.135272,0.140342,0.016031,0.148010,0.132954,0.145092,0.134715,0.134011,0.145334,0.144390,0.143482,0.138404,0.135080,0.066904,0.138262,0.145798,0.135768,0.143876,0.140914,0.000000,0.148431,0.144109,0.136160,0.134168,0.137900,0.146151,0.143801,0.135554,0.066395,0.147694,0.137466,0.137646,0.140419,0.142546,0.135553,0.142692,0.149147,0.137255,0.134202,0.143467,0.145129,0.144294,0.134196,0.018290,0.067210,0.145645,0.135311,0.140231,0.017646,0.136538,0.132972,0.130835,0.148566,0.145327,0.141895,0.067290,0.146431,0.134928,0.150961,0.145154,0.146956,0.146741
HAP2_chr02,0.146787,0.027353,0.147110,0.064528,0.148168,0.145441,0.143065,0.148406,0.145498,0.146919,0.146488,0.145491,0.142483,0.149927,0.148795,0.148929,0.148066,0.146083,0.146296,0.144738,0.065334,0.148431,0.000000,0.142925,0.149946,0.145597,0.150401,0.146565,0.141491,0.147804,0.151073,0.145275,0.149691,0.149107,0.064241,0.144432,0.146495,0.141507,0.015715,0.149764,0.146486,0.144961,0.148864,0.145514,0.144926,0.149485,0.148868,0.144775,0.147504,0.064141,0.148533,0.149003,0.146875,0.144077,0.149704,0.144566,0.147908,0.144661,0.147913,0.148454,0.023471,0.145411,0.146682,0.146155
HAP2_chr12,0.142727,0.145606,0.142973,0.147110,0.143192,0.139718,0.137985,0.142131,0.141480,0.074112,0.140555,0.023326,0.135355,0.145429,0.141069,0.143836,0.143002,0.140038,0.142565,0.139219,0.147404,0.144109,0.142925,0.000000,0.143895,0.141100,0.144761,0.140750,0.137577,0.074103,0.144061,0.138846,0.143809,0.144025,0.146687,0.139038,0.073430,0.135583,0.145205,0.143039,0.141145,0.139076,0.141816,0.138624,0.140278,0.144036,0.141517,0.026145,0.142120,0.146996,0.145847,0.142518,0.073842,0.138362,0.142064,0.138687,0.139251,0.140321,0.139982,0.142519,0.144374,0.139249,0.140369,0.036575
HAP2_chr15,0.136038,0.152619,0.134506,0.138134,0.135094,0.146909,0.073799,0.146644,0.132109,0.132391,0.144751,0.144476,0.144640,0.136514,0.015879,0.151951,0.137934,0.144613,0.134652,0.144467,0.138401,0.136160,0.149946,0.143895,0.000000,0.131052,0.136519,0.146118,0.144607,0.133569,0.153816,0.072608,0.137812,0.135636,0.138098,0.143341,0.132713,0.142522,0.151587,0.135399,0.017248,0.146977,0.145880,0.072308,0.131066,0.137275,0.149642,0.143838,0.136021,0.139281,0.136842,0.134563,0.132130,0.129624,0.148061,0.144484,0.146710,0.146607,0.145445,0.017201,0.152730,0.072655,0.145940,0.143860
HAP2_chr09,0.132307,0.148619,0.131613,0.136995,0.133949,0.141494,0.141834,0.141671,0.011493,0.128680,0.143627,0.142724,0.075806,0.134922,0.130103,0.146760,0.131878,0.139697,0.131322,0.144083,0.136618,0.134168,0.145597,0.141100,0.131052,0.000000,0.135162,0.142494,0.075519,0.129980,0.150603,0.143511,0.133776,0.133271,0.136013,0.138648,0.129551,0.076548,0.146984,0.133853,0.128994,0.141155,0.143202,0.141597,0.018740,0.134659,0.144942,0.143108,0.131548,0.136784,0.135177,0.133427,0.129776,0.020383,0.144992,0.140571,0.140228,0.144119,0.144196,0.131829,0.147983,0.141862,0.075931,0.141289
HAP2_chr14,0.136912,0.154519,0.135348,0.141914,0.137732,0.147770,0.143087,0.147347,0.133231,0.134091,0.066525,0.143570,0.143526,0.017636,0.135019,0.151205,0.138179,0.145633,0.135500,0.066587,0.143625,0.137900,0.150401,0.144761,0.136519,0.135162,0.000000,0.147542,0.145757,0.135897,0.154170,0.147175,0.138494,0.137130,0.141296,0.144745,0.134840,0.143888,0.151172,0.016642,0.133355,0.146852,0.068438,0.143044,0.134562,0.138081,0.149984,0.144926,0.137190,0.141850,0.139439,0.017697,0.132865,0.132358,0.149772,0.145777,0.145144,0.145671,0.066922,0.134840,0.152043,0.146176,0.148241,0.145850
HAP2_chr08,0.069674,0.150831,0.145567,0.148603,0.146015,0.145128,0.142578,0.027177,0.143198,0.143564,0.145303,0.142191,0.141010,0.148126,0.146211,0.148514,0.069277,0.142657,0.145733,0.143289,0.149059,0.146151,0.146565,0.140750,0.146118,0.142494,0.147542,0.000000,0.142032,0.143627,0.151352,0.144484,0.070134,0.146819,0.150360,0.142454,0.145014,0.138755,0.149043,0.145614,0.143600,0.024231,0.145110,0.144322,0.142559,0.145811,0.147742,0.143541,0.069760,0.148635,0.146322,0.146138,0.143757,0.141595,0.148074,0.142405,0.028255,0.144205,0.145520,0.144715,0.148216,0.144764,0.145082,0.143840
HAP2_chr13,0.141857,0.144412,0.142581,0.147051,0.142730,0.135744,0.137177,0.141624,0.076024,0.139324,0.141286,0.137114,0.026137,0.144909,0.143218,0.144392,0.142626,0.134336,0.140622,0.140151,0.146633,0.143801,0.141491,0.137577,0.144607,0.075519,0.145757,0.142032,0.000000,0.141871,0.145765,0.140927,0.143060,0.143884,0.145638,0.133899,0.141840,0.027144,0.142905,0.144268,0.141388,0.140518,0.139488,0.138305,0.075359,0.144730,0.142543,0.137042,0.141515,0.147216,0.142561,0.145721,0.141177,0.075744,0.143210,0.136575,0.139809,0.141436,0.140708,0.142404,0.142243,0.137941,0.035914,0.138114
HAP2_chr10,0.132758,0.152117,0.134332,0.138534,0.134218,0.143697,0.141379,0.144397,0.130599,0.019426,0.142329,0.074714,0.141941,0.136273,0.132468,0.149097,0.134711,0.143269,0.133351,0.143595,0.140207,0.135554,0.147804,0.074103,0.133569,0.129980,0.135897,0.143627,0.141871,0.000000,0.152617,0.144448,0.134688,0.134631,0.137231,0.143066,0.019336,0.140483,0.149361,0.135677,0.132273,0.144714,0.144822,0.143553,0.130156,0.135583,0.146673,0.074872,0.132868,0.138571,0.135938,0.134375,0.017911,0.129024,0.146059,0.142353,0.143706,0.146216,0.144726,0.134803,0.150171,0.141310,0.144659,0.075097
HAP2_chr16,0.154860,0.145564,0.151642,0.153592,0.066264,0.144095,0.126218,0.149868,0.150676,0.151091,0.151541,0.146354,0.143306,0.155221,0.151518,0.025485,0.155261,0.146599,0.151917,0.149559,0.155157,0.066395,0.151073,0.144061,0.153816,0.150603,0.154170,0.151352,0.145765,0.152617,0.000000,0.143494,0.155275,0.152901,0.153849,0.149307,0.152892,0.145013,0.151840,0.154216,0.151890,0.149241,0.148468,0.147287,0.150869,0.067344,0.029118,0.145501,0.152287,0.155333,0.066555,0.152506,0.151069,0.149083,0.144536,0.147544,0.149888,0.031728,0.143442,0.151096,0.149337,0.145122,0.141507,0.141842
HAP2_chr07,0.145015,0.143303,0.145215,0.148614,0.145811,0.139559,0.032329,0.145222,0.144268,0.144063,0.145423,0.140876,0.140803,0.147680,0.072388,0.144667,0.146597,0.141744,0.144387,0.142900,0.149968,0.147694,0.145275,0.138846,0.072608,0.143511,0.147175,0.144484,0.140927,0.144448,0.143494,0.000000,0.148597,0.146854,0.146485,0.141839,0.144644,0.139254,0.148713,0.146559,0.071988,0.143903,0.141350,0.030885,0.143330,0.146679,0.142883,0.139245,0.146190,0.147985,0.150378,0.147337,0.144096,0.142303,0.142891,0.142770,0.143544,0.142419,0.139686,0.072447,0.145442,0.030699,0.139914,0.136625
HAP3_chr01,0.019259,0.154475,0.136524,0.139974,0.137484,0.148448,0.142370,0.071229,0.134483,0.134699,0.146819,0.144806,0.143897,0.139173,0.136011,0.150708,0.017705,0.143894,0.136602,0.146485,0.141017,0.137466,0.149691,0.143809,0.137812,0.133776,0.138494,0.070134,0.143060,0.134688,0.155275,0.148597,0.000000,0.138014,0.140496,0.142137,0.133778,0.143540,0.150092,0.138576,0.135811,0.070823,0.146399,0.143686,0.135593,0.138256,0.150297,0.145290,0.022215,0.140137,0.137539,0.138904,0.133933,0.133873,0.150081,0.145256,0.070990,0.146914,0.146367,0.137888,0.152877,0.146944,0.146764,0.146877
HAP3_chr03,0.136947,0.153074,0.019449,0.138501,0.136375,0.069796,0.141940,0.146521,0.132819,0.131681,0.147077,0.145565,0.143608,0.137785,0.134811,0.150791,0.138134,0.069005,0.019282,0.145902,0.139941,0.137646,0.149107,0.144025,0.135636,0.133271,0.137130,0.146819,0.143884,0.134631,0.152901,0.146854,0.138014,0.000000,0.139677,0.068748,0.132396,0.142384,0.152044,0.136022,0.133310,0.145927,0.145565,0.144466,0.132959,0.137852,0.148379,0.144166,0.136729,0.140128,0.137130,0.134920,0.132679,0.130956,0.040903,0.068648,0.146302,0.144471,0.146528,0.134420,0.150334,0.144158,0.146990,0.145256
HAP3_chr04,0.138618,0.065441,0.137749,0.014974,0.139398,0.147437,0.144532,0.148430,0.135337,0.135912,0.148978,0.145678,0.145115,0.141473,0.138200,0.151055,0.139882,0.145810,0.137747,0.147075,0.014428,0.140419,0.064241,0.146687,0.138098,0.136013,0.141296,0.150360,0.145638,0.137231,0.153849,0.146485,0.140496,0.139677,0.000000,0.144712,0.136568,0.145046,0.064779,0.140594,0.136749,0.147271,0.148579,0.146511,0.136063,0.141576,0.150051,0.146157,0.136970,0.014055,0.141034,0.139623,0.136918,0.134288,0.148395,0.146577,0.146800,0.147201,0.149539,0.138047,0.064733,0.147123,0.147616,0.146965
HAP3_chr06,0.141695,0.148503,0.068215,0.146900,0.143582,0.028968,0.139976,0.143871,0.139493,0.141073,0.142619,0.139629,0.137368,0.144932,0.142539,0.144818,0.142616,0.021672,0.068100,0.141708,0.146393,0.142546,0.144432,0.139038,0.143341,0.138648,0.144745,0.142454,0.133899,0.143066,0.149307,0.141839,0.142137,0.068748,0.144712,0.000000,0.142255,0.136999,0.145997,0.143870,0.141747,0.141562,0.143682,0.140268,0.138279,0.143433,0.145700,0.141330,0.143393,0.145733,0.143334,0.144694,0.141150,0.137242,0.049417,0.017503,0.143388,0.140899,0.142142,0.143758,0.145298,0.140204,0.141772,0.140103
HAP3_chr10,0.131818,0.152175,0.132183,0.137685,0.133840,0.143961,0.140930,0.145482,0.129573,0.016863,0.140504,0.073857,0.141976,0.134851,0.131613,0.148695,0.133960,0.143092,0.131964,0.141650,0.138798,0.135553,0.146495,0.073430,0.132713,0.129551,0.134840,0.145014,0.141840,0.019336,0.152892,0.144644,0.133778,0.132396,0.136568,0.142255,0.000000,0.139752,0.146547,0.134250,0.131077,0.144680,0.144385,0.141290,0.129427,0.135717,0.146909,0.074265,0.133501,0.137925,0.135447,0.132483,0.017921,0.127472,0.145867,0.142840,0.142282,0.145217,0.143894,0.133722,0.149328,0.142400,0.145116,0.074557
HAP3_chr13,0.140405,0.143857,0.140879,0.144365,0.141861,0.139556,0.137577,0.139620,0.077046,0.138693,0.140055,0.136032,0.026262,0.141896,0.141448,0.143940,0.141690,0.137718,0.141138,0.137371,0.145706,0.142692,0.141507,0.135583,0.142522,0.076548,0.143888,0.138755,0.027144,0.140483,0.145013,0.139254,0.143540,0.142384,0.145046,0.136999,0.139752,0.000000,0.143306,0.142284,0.139988,0.139379,0.138967,0.137132,0.076567,0.142026,0.141305,0.135875,0.140581,0.145475,0.142798,0.142736,0.139307,0.076730,0.142468,0.137630,0.138767,0.140427,0.139449,0.141761,0.141451,0.138169,0.037099,0.136277
HAP3_chr02,0.148017,0.026159,0.149425,0.064850,0.147570,0.148141,0.144994,0.149034,0.146940,0.147621,0.147260,0.145335,0.145532,0.151866,0.150748,0.150809,0.149947,0.146199,0.148285,0.147107,0.065801,0.149147,0.015715,0.145205,0.151587,0.146984,0.151172,0.149043,0.142905,0.149361,0.151840,0.148713,0.150092,0.152044,0.064779,0.145997,0.146547,0.143306,0.000000,0.151054,0.148670,0.147851,0.151019,0.146365,0.146972,0.148871,0.149273,0.146336,0.147753,0.064904,0.149066,0.150514,0.147854,0.145420,0.151387,0.147497,0.149312,0.145904,0.148305,0.150596,0.022827,0.145290,0.148140,0.147575
