,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19
HAP1_chr15,0.157669,0.160249,0.160030,0.166235,0.159815,0.156233,0.156947,0.171361,0.159403,0.166316,0.163705,0.161532,0.167892,0.154199,0.000000,0.165980,0.169561,0.168990,0.167258,0.157966,0.156526,0.160440,0.164013,0.159983,0.155118,0.155346,0.170589,0.158244,0.164832,0.162087,0.164221,0.169438,0.153595,0.013779,0.166252,0.170614,0.168914,0.172530,0.156547,0.159409,0.169148,0.167172,0.158766,0.165243,0.154239,0.166030,0.161422,0.164215,0.164118,0.164493,0.170476,0.153956,0.020349,0.165460,0.175300,0.167854,0.167792
HAP1_chr16,0.159301,0.146923,0.138668,0.160427,0.147229,0.148414,0.144663,0.171822,0.146473,0.165562,0.150866,0.157231,0.167655,0.169417,0.165980,0.000000,0.169704,0.163458,0.166151,0.158777,0.149596,0.144401,0.162433,0.149895,0.151028,0.144212,0.170681,0.150550,0.166139,0.151402,0.159550,0.167690,0.163202,0.163807,0.015855,0.168528,0.167169,0.168973,0.156706,0.148040,0.151910,0.165156,0.147307,0.153898,0.143727,0.167355,0.147575,0.166402,0.154082,0.159056,0.170474,0.166593,0.160885,0.016678,0.170206,0.162680,0.165705
HAP1_chr17,0.165644,0.165672,0.165080,0.172887,0.165485,0.165281,0.165010,0.175446,0.165524,0.171633,0.165636,0.167424,0.153042,0.173916,0.169561,0.169704,0.000000,0.172535,0.172460,0.166089,0.163366,0.165296,0.172160,0.166710,0.164649,0.163894,0.172471,0.167525,0.169565,0.168810,0.168622,0.153971,0.172723,0.169111,0.172703,0.013479,0.173793,0.173105,0.165314,0.165553,0.174828,0.171659,0.164544,0.172936,0.162505,0.173015,0.166401,0.170811,0.168293,0.168155,0.155004,0.170294,0.169287,0.170415,0.012977,0.169228,0.172582
HAP1_chr18,0.161828,0.156617,0.159014,0.168804,0.158008,0.159130,0.155866,0.162797,0.159990,0.168927,0.161567,0.167410,0.169104,0.171375,0.168990,0.163458,0.172535,0.000000,0.169286,0.161519,0.156048,0.158963,0.169525,0.156071,0.160534,0.156199,0.162645,0.159392,0.170998,0.158855,0.166653,0.169423,0.172108,0.165314,0.168376,0.173847,0.014759,0.172616,0.161967,0.158262,0.173688,0.171231,0.154558,0.168216,0.156982,0.161043,0.158589,0.169909,0.162867,0.166843,0.174003,0.172954,0.164616,0.165664,0.172772,0.015120,0.167914
HAP1_chr19,0.158431,0.158320,0.161966,0.168739,0.158365,0.161252,0.159002,0.170235,0.163472,0.167480,0.161205,0.158916,0.167498,0.167287,0.167258,0.166151,0.172460,0.169286,0.000000,0.159682,0.157604,0.163413,0.167010,0.160399,0.159134,0.158006,0.168157,0.160588,0.168008,0.159746,0.158891,0.168113,0.168707,0.164166,0.165941,0.170138,0.167250,0.012893,0.158152,0.160642,0.173583,0.168400,0.156520,0.166358,0.155934,0.168531,0.161670,0.168311,0.163355,0.160647,0.170215,0.169666,0.163641,0.166069,0.169901,0.165741,0.013995
HAP2_chr01,0.017992,0.149032,0.151785,0.153040,0.143644,0.150110,0.145956,0.163942,0.151691,0.158285,0.154601,0.152147,0.160462,0.158743,0.157966,0.158777,0.166089,0.161519,0.159682,0.000000,0.149622,0.153940,0.152115,0.145135,0.150002,0.145281,0.162440,0.150552,0.155556,0.154554,0.157796,0.159767,0.158240,0.154635,0.161516,0.166384,0.165766,0.163495,0.020585,0.151174,0.171854,0.152316,0.146421,0.161738,0.143639,0.159464,0.152646,0.156492,0.158093,0.156062,0.165766,0.161314,0.156088,0.159223,0.167472,0.162187,0.159973
HAP2_chr02,0.148987,0.017450,0.142076,0.157199,0.140120,0.139823,0.137331,0.165922,0.139243,0.155505,0.143455,0.151718,0.159979,0.161676,0.156526,0.149596,0.163366,0.156048,0.157604,0.149622,0.000000,0.148189,0.156114,0.142404,0.140269,0.138257,0.163937,0.141130,0.154694,0.141052,0.154473,0.161870,0.158421,0.153278,0.153822,0.162506,0.162222,0.164615,0.147279,0.015393,0.156173,0.162161,0.140621,0.149451,0.136295,0.161295,0.141010,0.153087,0.147170,0.154717,0.163361,0.162295,0.151552,0.149490,0.164694,0.153927,0.159670
HAP2_chr03,0.153496,0.146383,0.011988,0.163940,0.147263,0.148061,0.144148,0.169201,0.151412,0.161983,0.154793,0.157309,0.164685,0.164431,0.160440,0.144401,0.165296,0.158963,0.163413,0.153940,0.148189,0.000000,0.161240,0.149846,0.147552,0.142303,0.168699,0.150391,0.159632,0.152031,0.157330,0.164647,0.162194,0.156164,0.148411,0.166852,0.162984,0.168959,0.152371,0.149153,0.026356,0.163254,0.148061,0.154923,0.142483,0.164630,0.148462,0.159555,0.152931,0.158078,0.169766,0.163523,0.153988,0.144937,0.169579,0.159905,0.163503
HAP2_chr04,0.151447,0.158326,0.157878,0.013344,0.157717,0.155726,0.155130,0.171050,0.157855,0.166872,0.152766,0.156434,0.168001,0.170040,0.164013,0.162433,0.172160,0.169525,0.167010,0.152115,0.156114,0.161240,0.000000,0.158524,0.155120,0.155179,0.168552,0.159005,0.165522,0.154030,0.160448,0.166973,0.166691,0.163589,0.166897,0.171298,0.171524,0.174047,0.149942,0.157022,0.174562,0.012984,0.159129,0.163964,0.152138,0.164971,0.158075,0.165914,0.156173,0.162026,0.169092,0.169661,0.163604,0.162372,0.174423,0.166544,0.168721
HAP2_chr05,0.146686,0.137811,0.142438,0.158752,0.017372,0.138933,0.134251,0.165870,0.142316,0.157853,0.144974,0.146572,0.159833,0.163557,0.159983,0.149895,0.166710,0.156071,0.160399,0.145135,0.142404,0.149846,0.158524,0.000000,0.143278,0.135861,0.163511,0.143906,0.158164,0.142134,0.151150,0.161532,0.162072,0.156756,0.154188,0.165528,0.163287,0.164191,0.146074,0.140781,0.156446,0.160923,0.019935,0.148253,0.134471,0.162835,0.140836,0.159564,0.148217,0.151054,0.169470,0.160872,0.153403,0.148630,0.169632,0.158461,0.160894
HAP2_chr06,0.150300,0.141488,0.139481,0.156729,0.141890,0.014149,0.134740,0.168224,0.141703,0.155175,0.145383,0.151915,0.163738,0.161885,0.155118,0.151028,0.164649,0.160534,0.159134,0.150002,0.140269,0.147552,0.155120,0.143278,0.000000,0.133954,0.166313,0.142974,0.154383,0.144931,0.152719,0.162283,0.160904,0.153377,0.155065,0.167988,0.161714,0.165909,0.149359,0.142380,0.154461,0.160007,0.142377,0.023074,0.135061,0.162069,0.144437,0.154403,0.147997,0.155119,0.165821,0.162101,0.153940,0.149875,0.168632,0.158525,0.161993
HAP2_chr07,0.145858,0.135606,0.133632,0.154798,0.132644,0.134372,0.020953,0.166447,0.137257,0.155074,0.142461,0.148137,0.163231,0.159998,0.155346,0.144212,0.163894,0.156199,0.158006,0.145281,0.138257,0.142303,0.155179,0.135861,0.133954,0.000000,0.164288,0.137837,0.156736,0.141015,0.151662,0.161309,0.156489,0.154043,0.149629,0.163009,0.158115,0.162637,0.144447,0.139046,0.148175,0.159318,0.135966,0.140480,0.020467,0.158660,0.134996,0.155131,0.143927,0.150455,0.167615,0.159020,0.150787,0.144623,0.164308,0.156238,0.159621
HAP2_chr08,0.161961,0.166594,0.168426,0.170142,0.163127,0.167040,0.166550,0.013216,0.167882,0.159699,0.170592,0.164553,0.166892,0.170907,0.170589,0.170681,0.172471,0.162645,0.168157,0.162440,0.163937,0.168699,0.168552,0.163511,0.166313,0.164288,0.000000,0.164819,0.158309,0.170594,0.166573,0.166226,0.170597,0.167410,0.172386,0.173221,0.162447,0.173739,0.161509,0.166832,0.177954,0.167496,0.159881,0.173419,0.162696,0.013396,0.166821,0.161647,0.168101,0.167548,0.168540,0.171785,0.168418,0.172722,0.175305,0.163102,0.171341
HAP2_chr09,0.150061,0.139960,0.144430,0.157190,0.140075,0.144143,0.137051,0.165693,0.013970,0.161969,0.144028,0.151563,0.159871,0.161747,0.158244,0.150550,0.167525,0.159392,0.160588,0.150552,0.141130,0.150391,0.159005,0.143906,0.142974,0.137837,0.164819,0.000000,0.160067,0.144043,0.154065,0.163683,0.162058,0.154954,0.152778,0.167690,0.161457,0.166104,0.149932,0.140921,0.157367,0.162431,0.141013,0.151399,0.135955,0.160508,0.019103,0.159460,0.144335,0.153424,0.167743,0.165990,0.152210,0.151949,0.165677,0.159164,0.162380
HAP2_chr10,0.155451,0.155624,0.159375,0.164732,0.157197,0.157749,0.155707,0.161432,0.159110,0.012734,0.162990,0.157958,0.167240,0.168296,0.164832,0.166139,0.169565,0.170998,0.168008,0.155556,0.154694,0.159632,0.165522,0.158164,0.154383,0.156736,0.158309,0.160067,0.000000,0.163714,0.159816,0.166511,0.164316,0.162705,0.164608,0.169831,0.168680,0.170796,0.154632,0.154880,0.169391,0.163865,0.155067,0.162518,0.153115,0.158054,0.160502,0.015309,0.163852,0.162329,0.169633,0.168944,0.164029,0.164258,0.174042,0.167141,0.167587
HAP2_chr11,0.154478,0.141201,0.143825,0.151899,0.141068,0.143618,0.137248,0.168607,0.142829,0.162323,0.016598,0.153229,0.165071,0.165607,0.162087,0.151402,0.168810,0.158855,0.159746,0.154554,0.141052,0.152031,0.154030,0.142134,0.144931,0.141015,0.170594,0.144043,0.163714,0.000000,0.155827,0.166373,0.165017,0.158468,0.155906,0.168083,0.161928,0.168274,0.154172,0.142872,0.157527,0.155313,0.142106,0.150541,0.138666,0.165436,0.142989,0.162470,0.016794,0.158360,0.171353,0.165443,0.155742,0.150351,0.170096,0.157994,0.159825
HAP2_chr12,0.156031,0.153393,0.152009,0.158882,0.150175,0.154461,0.151802,0.167688,0.154030,0.160848,0.155841,0.015354,0.166489,0.164945,0.164221,0.159550,0.168622,0.166653,0.158891,0.157796,0.154473,0.157330,0.160448,0.151150,0.152719,0.151662,0.166573,0.154065,0.159816,0.155827,0.000000,0.168028,0.163675,0.162769,0.163318,0.169069,0.166589,0.162909,0.154212,0.153184,0.165874,0.162614,0.150497,0.159715,0.148762,0.166402,0.152782,0.163550,0.158339,0.014763,0.167739,0.168852,0.163498,0.160466,0.169783,0.164579,0.158980
HAP2_chr13,0.160739,0.163266,0.163914,0.167354,0.158046,0.164203,0.159747,0.170475,0.165694,0.166953,0.166337,0.165882,0.012693,0.169680,0.169438,0.167690,0.153971,0.169423,0.168113,0.159767,0.161870,0.164647,0.166973,0.161532,0.162283,0.161309,0.166226,0.163683,0.166511,0.166373,0.168028,0.000000,0.166289,0.162632,0.169353,0.153492,0.171296,0.172775,0.160699,0.161919,0.174299,0.168021,0.159625,0.170328,0.160738,0.167922,0.162254,0.165161,0.166461,0.166289,0.015900,0.169126,0.167276,0.167617,0.153772,0.169171,0.170163
HAP2_chr14,0.159438,0.160853,0.159459,0.166588,0.156237,0.161202,0.158618,0.171986,0.165022,0.165874,0.163274,0.161659,0.166581,0.013325,0.153595,0.163202,0.172723,0.172108,0.168707,0.158240,0.158421,0.162194,0.166691,0.162072,0.160904,0.156489,0.170597,0.162058,0.164316,0.165017,0.163675,0.166289,0.000000,0.151201,0.166333,0.170868,0.172226,0.173543,0.157778,0.159666,0.170704,0.166585,0.158858,0.166460,0.155613,0.168840,0.162242,0.167751,0.163995,0.163746,0.171471,0.014885,0.153803,0.164794,0.170056,0.169229,0.170491
HAP2_chr15,0.154129,0.154029,0.155878,0.164783,0.156442,0.155033,0.154271,0.168338,0.153813,0.164963,0.159519,0.161670,0.163675,0.151057,0.013779,0.163807,0.169111,0.165314,0.164166,0.154635,0.153278,0.156164,0.163589,0.156756,0.153377,0.154043,0.167410,0.154954,0.162705,0.158468,0.162769,0.162632,0.151201,0.000000,0.166176,0.167236,0.167996,0.171460,0.153890,0.157066,0.167086,0.164652,0.154642,0.161932,0.149683,0.163091,0.153433,0.163979,0.157448,0.161437,0.167548,0.152699,0.016517,0.163792,0.173020,0.168377,0.167721
HAP2_chr16,0.159883,0.151895,0.145212,0.164343,0.154275,0.154297,0.148509,0.172710,0.153573,0.165571,0.154266,0.160529,0.168905,0.167065,0.166252,0.015855,0.172703,0.168376,0.165941,0.161516,0.153822,0.148411,0.166897,0.154188,0.155065,0.149629,0.172386,0.152778,0.164608,0.155906,0.163318,0.169353,0.166333,0.166176,0.000000,0.171756,0.169029,0.167576,0.158030,0.152660,0.156670,0.167958,0.151856,0.159959,0.149606,0.169758,0.154648,0.163619,0.157000,0.165174,0.169258,0.167294,0.164075,0.019298,0.171020,0.166602,0.163753
HAP2_chr17,0.165451,0.164512,0.165188,0.173407,0.166659,0.166920,0.165279,0.173875,0.164671,0.167843,0.166714,0.166291,0.155395,0.173203,0.170614,0.168528,0.013479,0.173847,0.170138,0.166384,0.162506,0.166852,0.171298,0.165528,0.167988,0.163009,0.173221,0.167690,0.169831,0.168083,0.169069,0.153492,0.170868,0.167236,0.171756,0.000000,0.173208,0.172633,0.162696,0.164320,0.175250,0.170841,0.164906,0.172013,0.160680,0.172451,0.163117,0.168385,0.167479,0.166752,0.156311,0.173679,0.165993,0.171227,0.012052,0.170584,0.171499
HAP2_chr18,0.163408,0.163528,0.161374,0.170564,0.160704,0.161618,0.160323,0.164546,0.162933,0.168163,0.164254,0.165080,0.169652,0.168155,0.168914,0.167169,0.173793,0.014759,0.167250,0.165766,0.162222,0.162984,0.171524,0.163287,0.161714,0.158115,0.162447,0.161457,0.168680,0.161928,0.166589,0.171296,0.172226,0.167996,0.169029,0.173208,0.000000,0.174685,0.164408,0.164822,0.173965,0.171876,0.162028,0.170781,0.156963,0.162287,0.163084,0.171307,0.166844,0.165435,0.174810,0.174094,0.169372,0.167025,0.169213,0.016016,0.168141
HAP2_chr19,0.164930,0.163083,0.167230,0.172432,0.165274,0.166754,0.162840,0.173331,0.164912,0.169916,0.165201,0.163190,0.170480,0.172109,0.172530,0.168973,0.173105,0.172616,0.012893,0.163495,0.164615,0.168959,0.174047,0.164191,0.165909,0.162637,0.173739,0.166104,0.170796,0.168274,0.162909,0.172775,0.173543,0.171460,0.167576,0.172633,0.174685,0.000000,0.160734,0.162034,0.176932,0.174332,0.164240,0.168422,0.160166,0.172468,0.165513,0.171379,0.167007,0.164873,0.173146,0.172563,0.169327,0.170328,0.172849,0.173978,0.014496
HAP3_chr01,0.019203,0.147889,0.149920,0.151134,0.143947,0.149663,0.145783,0.161416,0.150623,0.155383,0.153418,0.148850,0.161105,0.158075,0.156547,0.156706,0.165314,0.161967,0.158152,0.020585,0.147279,0.152371,0.149942,0.146074,0.149359,0.144447,0.161509,0.149932,0.154632,0.154172,0.154212,0.160699,0.157778,0.153890,0.158030,0.162696,0.164408,0.160734,0.000000,0.148340,0.167005,0.152122,0.145424,0.161052,0.141695,0.157457,0.149227,0.155307,0.155381,0.153778,0.164478,0.160581,0.155110,0.157590,0.166048,0.160358,0.156423
HAP3_chr02,0.150090,0.017113,0.140794,0.156979,0.141082,0.140656,0.136023,0.167706,0.138906,0.154165,0.143937,0.152074,0.162042,0.163352,0.159409,0.148040,0.165553,0.158262,0.160642,0.151174,0.015393,0.149153,0.157022,0.140781,0.142380,0.139046,0.166832,0.140921,0.154880,0.142872,0.153184,0.161919,0.159666,0.157066,0.152660,0.164320,0.164822,0.162034,0.148340,0.000000,0.154057,0.161496,0.140426,0.148696,0.137087,0.163881,0.138570,0.154662,0.144525,0.156101,0.169075,0.162356,0.154869,0.149817,0.164039,0.157506,0.160228
HAP3_chr03,0.170234,0.153131,0.029557,0.174288,0.154143,0.155486,0.149093,0.177606,0.152707,0.171889,0.159456,0.165876,0.174864,0.173432,0.169148,0.151910,0.174828,0.173688,0.173583,0.171854,0.156173,0.026356,0.174562,0.156446,0.154461,0.148175,0.177954,0.157367,0.169391,0.157527,0.165874,0.174299,0.170704,0.167086,0.156670,0.175250,0.173965,0.176932,0.167005,0.154057,0.000000,0.173944,0.153092,0.156081,0.148635,0.174806,0.154623,0.174395,0.159138,0.165848,0.177602,0.174855,0.163036,0.152200,0.181271,0.175460,0.174004
HAP3_chr04,0.153544,0.162663,0.162153,0.012634,0.161276,0.160033,0.159679,0.171760,0.163866,0.165915,0.157383,0.160525,0.167366,0.168739,0.167172,0.165156,0.171659,0.171231,0.168400,0.152316,0.162161,0.163254,0.012984,0.160923,0.160007,0.159318,0.167496,0.162431,0.163865,0.155313,0.162614,0.168021,0.166585,0.164652,0.167958,0.170841,0.171876,0.174332,0.152122,0.161496,0.173944,0.000000,0.158337,0.171297,0.156060,0.168262,0.162723,0.164238,0.158851,0.165047,0.171284,0.167232,0.165490,0.163841,0.173916,0.171217,0.172521
HAP3_chr05,0.146450,0.137020,0.140382,0.157982,0.022433,0.139047,0.135016,0.166979,0.138452,0.156258,0.145477,0.146476,0.163094,0.162056,0.158766,0.147307,0.164544,0.154558,0.156520,0.146421,0.140621,0.148061,0.159129,0.019935,0.142377,0.135966,0.159881,0.141013,0.155067,0.142106,0.150497,0.159625,0.158858,0.154642,0.151856,0.164906,0.162028,0.164240,0.145424,0.140426,0.153092,0.158337,0.000000,0.148706,0.132144,0.160797,0.138323,0.158326,0.148287,0.153757,0.167955,0.159026,0.153527,0.149044,0.166305,0.157877,0.158751
HAP3_chr06,0.163619,0.146182,0.144360,0.163933,0.145858,0.022629,0.140851,0.172146,0.147120,0.163911,0.151530,0.159370,0.169329,0.170264,0.165243,0.153898,0.172936,0.168216,0.166358,0.161738,0.149451,0.154923,0.163964,0.148253,0.023074,0.140480,0.173419,0.151399,0.162518,0.150541,0.159715,0.170328,0.166460,0.161932,0.159959,0.172013,0.170781,0.168422,0.161052,0.148696,0.156081,0.171297,0.148706,0.000000,0.138855,0.164941,0.150317,0.163651,0.153582,0.164582,0.171289,0.168189,0.160981,0.151746,0.172281,0.164856,0.164840
