,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36
HAP1_chr11,0.077793,0.079534,0.076026,0.076952,0.076418,0.078443,0.077327,0.076728,0.077832,0.078702,0.000000,0.077094,0.078461,0.078036,0.079154,0.078916,0.079306,0.081413,0.116957,0.110319,0.080858,0.118298,0.114967,0.113532,0.113939,0.116509,0.116689,0.118105,0.116610,0.117638,0.118511,0.116923,0.118790,0.118091,0.120044,0.120101,0.077922,0.079567,0.077776,0.078640,0.076606,0.078962,0.078074,0.077535,0.079077,0.078813,0.007303,0.078823,0.080501,0.080704,0.079345,0.078819,0.079206,0.081671,0.119199,0.116183,0.080276,0.118795,0.114222,0.115688,0.118663,0.117060,0.117847,0.118056,0.118495,0.117507,0.119036,0.117596,0.118197,0.116748,0.121545,0.120545
HAP1_chr12,0.076082,0.078706,0.074575,0.075025,0.074566,0.076272,0.075532,0.075118,0.076148,0.077041,0.077094,0.000000,0.077233,0.076082,0.077536,0.076990,0.077859,0.079407,0.116495,0.109766,0.116759,0.118160,0.083513,0.113432,0.113395,0.116128,0.116472,0.117361,0.115501,0.117107,0.117254,0.116460,0.118590,0.117090,0.120236,0.120532,0.075944,0.078858,0.075996,0.077013,0.074522,0.076485,0.075798,0.075525,0.076981,0.076885,0.077451,0.008889,0.079213,0.078701,0.077921,0.076988,0.077513,0.079617,0.118556,0.115796,0.116554,0.118538,0.084304,0.115651,0.118652,0.116943,0.117269,0.117015,0.116860,0.117145,0.117744,0.118348,0.118287,0.116044,0.121620,0.120196
HAP1_chr13,0.076599,0.079731,0.074808,0.075783,0.074816,0.076861,0.075329,0.075466,0.076501,0.077560,0.078461,0.077233,0.000000,0.078432,0.077283,0.077325,0.078609,0.079252,0.117804,0.110747,0.118010,0.118984,0.114972,0.114463,0.115226,0.081402,0.117467,0.118598,0.116290,0.118597,0.118531,0.117603,0.119850,0.117757,0.120512,0.120763,0.076140,0.080062,0.076268,0.077505,0.075233,0.077478,0.075266,0.076002,0.077521,0.077244,0.078415,0.079046,0.008268,0.080695,0.078072,0.076882,0.077850,0.079535,0.120534,0.116366,0.118347,0.119336,0.114650,0.116194,0.119731,0.082669,0.118685,0.116914,0.117417,0.118147,0.119083,0.119167,0.119066,0.116707,0.122204,0.121030
HAP1_chr14,0.077930,0.079703,0.076589,0.076748,0.076502,0.077745,0.077187,0.076655,0.077254,0.077394,0.078036,0.076082,0.078432,0.000000,0.079364,0.079106,0.078376,0.080594,0.116346,0.110024,0.116802,0.116787,0.114052,0.113795,0.113355,0.115332,0.116252,0.080768,0.115109,0.116442,0.118146,0.116213,0.118072,0.116930,0.119268,0.119281,0.077758,0.079886,0.078176,0.078900,0.076765,0.078277,0.077588,0.077396,0.078171,0.077502,0.078404,0.077885,0.080242,0.008559,0.079643,0.078847,0.078260,0.080821,0.118851,0.115447,0.116437,0.117384,0.113265,0.115727,0.118083,0.116190,0.117236,0.086073,0.116401,0.115911,0.118553,0.117965,0.118183,0.115366,0.120770,0.120126
HAP1_chr15,0.076308,0.079887,0.075562,0.076347,0.076259,0.078559,0.075915,0.076272,0.077336,0.078474,0.079154,0.077536,0.077283,0.079364,0.000000,0.078234,0.079139,0.080241,0.119002,0.111822,0.118324,0.119106,0.116197,0.115518,0.114769,0.116695,0.118442,0.119201,0.116763,0.118868,0.117713,0.118150,0.082607,0.119126,0.120435,0.121356,0.075901,0.080312,0.077258,0.077743,0.076050,0.078994,0.076110,0.076783,0.078462,0.078227,0.079297,0.079392,0.078793,0.081645,0.006517,0.078299,0.078386,0.080378,0.121326,0.117721,0.118327,0.119297,0.115370,0.117020,0.119679,0.117183,0.119404,0.118351,0.117633,0.118455,0.118355,0.119936,0.081525,0.117589,0.122284,0.121903
HAP1_chr16,0.076945,0.080066,0.075530,0.076695,0.075607,0.078056,0.075911,0.075856,0.076556,0.078351,0.078916,0.076990,0.077325,0.079106,0.078234,0.000000,0.079101,0.079803,0.118259,0.110948,0.118804,0.118979,0.116193,0.114551,0.114668,0.117705,0.118462,0.119648,0.116909,0.118107,0.119162,0.118023,0.120208,0.118242,0.083098,0.120961,0.076321,0.080400,0.077023,0.078494,0.076383,0.078284,0.076478,0.076252,0.077677,0.078106,0.079029,0.078433,0.079390,0.080862,0.078994,0.006283,0.078734,0.080026,0.121074,0.116342,0.118912,0.118858,0.114750,0.116815,0.120136,0.117905,0.119180,0.118807,0.118095,0.117247,0.119025,0.119416,0.119529,0.117502,0.082978,0.120980
HAP1_chr17,0.078633,0.080850,0.076622,0.077137,0.076398,0.077864,0.077109,0.077175,0.078108,0.078012,0.079306,0.077859,0.078609,0.078376,0.079139,0.079101,0.000000,0.080243,0.114872,0.107772,0.115221,0.116616,0.112460,0.111760,0.111638,0.114550,0.113828,0.115538,0.113621,0.115576,0.115420,0.080758,0.116649,0.115594,0.117569,0.117577,0.078274,0.081072,0.077908,0.078702,0.076551,0.078426,0.077424,0.077597,0.078798,0.078115,0.078955,0.079648,0.080346,0.080688,0.079474,0.078423,0.008594,0.080115,0.117021,0.113257,0.114838,0.116674,0.111685,0.113433,0.116890,0.114942,0.114952,0.115528,0.114731,0.115188,0.115968,0.081187,0.116207,0.114340,0.119146,0.117345
HAP1_chr18,0.079848,0.081961,0.078563,0.078295,0.078387,0.079584,0.078854,0.078519,0.079212,0.079837,0.081413,0.079407,0.079252,0.080594,0.080241,0.079803,0.080243,0.000000,0.115103,0.108840,0.114579,0.116374,0.112177,0.111378,0.112701,0.113894,0.077676,0.116167,0.114454,0.115862,0.115659,0.115468,0.116076,0.115594,0.117620,0.117959,0.078972,0.081713,0.079464,0.079173,0.078367,0.079945,0.078585,0.078857,0.079855,0.079744,0.081184,0.080589,0.080396,0.082178,0.080840,0.079723,0.080157,0.007141,0.117667,0.113460,0.114640,0.116263,0.112245,0.113110,0.117011,0.114263,0.079065,0.115394,0.113648,0.116068,0.115815,0.116944,0.115749,0.114777,0.119158,0.118304
HAP1_chr19,0.118838,0.078823,0.118612,0.115184,0.117608,0.113135,0.116639,0.117837,0.117619,0.116877,0.116957,0.116495,0.117804,0.116346,0.119002,0.118259,0.114872,0.115103,0.000000,0.094717,0.098010,0.097857,0.097616,0.095485,0.099644,0.097299,0.098276,0.098299,0.097503,0.096994,0.095343,0.097103,0.098042,0.098471,0.097781,0.098968,0.118481,0.076664,0.119480,0.114619,0.116945,0.112551,0.115348,0.117238,0.117024,0.117175,0.117027,0.116683,0.118792,0.116969,0.117825,0.118134,0.115919,0.116473,0.008184,0.095484,0.098152,0.097681,0.096003,0.097111,0.099032,0.097924,0.099852,0.097792,0.098388,0.097168,0.095742,0.099071,0.097637,0.097665,0.099632,0.099782
HAP1_chr20,0.111736,0.113120,0.110697,0.107829,0.110346,0.105673,0.081187,0.109794,0.110349,0.109549,0.110319,0.109766,0.110747,0.110024,0.111822,0.110948,0.107772,0.108840,0.094717,0.000000,0.092682,0.092359,0.091009,0.089787,0.093932,0.091433,0.092089,0.093876,0.091936,0.091113,0.089672,0.091720,0.092882,0.092268,0.091559,0.094319,0.109977,0.112638,0.111345,0.108087,0.109758,0.104823,0.082480,0.108766,0.110472,0.109356,0.109620,0.111014,0.111663,0.111587,0.110548,0.110618,0.108967,0.109052,0.096238,0.016440,0.092663,0.092941,0.090376,0.091498,0.093576,0.091503,0.092876,0.091916,0.092502,0.090607,0.090543,0.093774,0.093228,0.091862,0.094028,0.093886
HAP1_chr21,0.119326,0.119662,0.118388,0.114742,0.118246,0.112299,0.116313,0.118163,0.118083,0.116512,0.080858,0.116759,0.118010,0.116802,0.118324,0.118804,0.115221,0.114579,0.098010,0.092682,0.000000,0.095925,0.095098,0.094124,0.097566,0.095594,0.096031,0.096147,0.095713,0.095343,0.093840,0.095638,0.096813,0.095401,0.096334,0.097089,0.117862,0.118908,0.118893,0.114113,0.117832,0.111822,0.115615,0.115898,0.117552,0.116677,0.083721,0.117018,0.118023,0.117267,0.117262,0.118291,0.116467,0.115600,0.099621,0.093390,0.006602,0.095995,0.095480,0.095843,0.096780,0.096094,0.096754,0.094761,0.096424,0.094635,0.094541,0.097374,0.096761,0.095355,0.097963,0.097206
HAP1_chr22,0.084991,0.120205,0.119194,0.115022,0.118470,0.113666,0.116571,0.119121,0.118231,0.118208,0.118298,0.118160,0.118984,0.116787,0.119106,0.118979,0.116616,0.116374,0.097857,0.092359,0.095925,0.000000,0.095473,0.093568,0.097690,0.095756,0.096127,0.097371,0.095463,0.095098,0.094332,0.095291,0.097195,0.095400,0.095774,0.098116,0.088279,0.119817,0.119621,0.115057,0.118277,0.113072,0.115873,0.117493,0.117188,0.118551,0.117534,0.118196,0.119178,0.117780,0.118432,0.118957,0.117802,0.116325,0.099460,0.093278,0.096290,0.005144,0.094617,0.095128,0.096811,0.095892,0.096248,0.095198,0.096136,0.094712,0.093702,0.096724,0.096889,0.093862,0.097822,0.097876
HAP1_chr23,0.116446,0.116793,0.115851,0.112063,0.115095,0.109893,0.113364,0.115067,0.115334,0.114528,0.114967,0.083513,0.114972,0.114052,0.116197,0.116193,0.112460,0.112177,0.097616,0.091009,0.095098,0.095473,0.000000,0.092485,0.097325,0.094365,0.095294,0.095596,0.094812,0.095295,0.092511,0.094070,0.095678,0.094293,0.094313,0.096955,0.114806,0.116183,0.115910,0.111771,0.114348,0.109605,0.112115,0.113360,0.114614,0.114157,0.113795,0.081826,0.115512,0.114486,0.114874,0.115164,0.113742,0.113176,0.098301,0.092739,0.095176,0.095884,0.010637,0.094080,0.096840,0.094784,0.095356,0.093916,0.095311,0.094543,0.092688,0.095576,0.095348,0.093879,0.095761,0.097316
HAP1_chr24,0.116207,0.116172,0.084327,0.111751,0.114340,0.109249,0.113039,0.114295,0.114207,0.113734,0.113532,0.113432,0.114463,0.113795,0.115518,0.114551,0.111760,0.111378,0.095485,0.089787,0.094124,0.093568,0.092485,0.000000,0.094811,0.092722,0.092524,0.094153,0.093248,0.092357,0.091276,0.091849,0.093703,0.092555,0.091739,0.094326,0.114933,0.115492,0.085870,0.111386,0.114090,0.108614,0.112237,0.113154,0.113940,0.113707,0.112943,0.113979,0.114686,0.115049,0.114215,0.114199,0.112364,0.112186,0.096772,0.091061,0.093904,0.094075,0.091834,0.003652,0.093672,0.092883,0.093228,0.092270,0.092779,0.091579,0.091645,0.094217,0.093804,0.091861,0.093895,0.094411
HAP1_chr25,0.116037,0.116726,0.114920,0.112429,0.114542,0.110175,0.113646,0.114071,0.080284,0.113583,0.113939,0.113395,0.115226,0.113355,0.114769,0.114668,0.111638,0.112701,0.099644,0.093932,0.097566,0.097690,0.097325,0.094811,0.000000,0.096847,0.098776,0.098377,0.096901,0.096863,0.095052,0.096349,0.097120,0.097468,0.096689,0.097511,0.114577,0.115753,0.115647,0.111097,0.113830,0.109786,0.112704,0.112397,0.079678,0.113493,0.112836,0.113865,0.114795,0.114136,0.113568,0.114787,0.112350,0.113084,0.100531,0.095720,0.097850,0.098173,0.096219,0.096420,0.007170,0.096952,0.099092,0.096799,0.097457,0.096567,0.095092,0.097997,0.097820,0.097017,0.098811,0.097657
HAP1_chr26,0.118590,0.119312,0.117187,0.114219,0.116257,0.111675,0.115019,0.116407,0.116762,0.115280,0.116509,0.116128,0.081402,0.115332,0.116695,0.117705,0.114550,0.113894,0.097299,0.091433,0.095594,0.095756,0.094365,0.092722,0.096847,0.000000,0.094840,0.095808,0.094266,0.094611,0.092671,0.094825,0.095836,0.094804,0.094513,0.096303,0.116581,0.118266,0.117628,0.113841,0.116085,0.110778,0.114173,0.114806,0.115960,0.114917,0.115344,0.116637,0.081959,0.116486,0.116202,0.116821,0.115431,0.114737,0.098189,0.093135,0.095361,0.096394,0.093952,0.094194,0.096267,0.004533,0.095679,0.093553,0.095232,0.094879,0.093703,0.096766,0.095615,0.093880,0.096210,0.096343
HAP1_chr27,0.119124,0.119517,0.117870,0.114647,0.116973,0.112527,0.115372,0.117079,0.118164,0.115745,0.116689,0.116472,0.117467,0.116252,0.118442,0.118462,0.113828,0.077676,0.098276,0.092089,0.096031,0.096127,0.095294,0.092524,0.098776,0.094840,0.000000,0.096775,0.095358,0.095703,0.094345,0.095024,0.095491,0.096086,0.095032,0.097472,0.117033,0.118878,0.117926,0.113621,0.116064,0.112020,0.113633,0.115630,0.117484,0.115399,0.115518,0.116772,0.117843,0.116472,0.115639,0.118225,0.115686,0.078857,0.099681,0.093879,0.096432,0.096784,0.095231,0.094063,0.097757,0.095176,0.008605,0.095534,0.096963,0.094866,0.094520,0.095843,0.095755,0.095547,0.097253,0.097588
HAP1_chr28,0.119993,0.121081,0.119314,0.116453,0.117953,0.113948,0.117126,0.118611,0.118133,0.117515,0.118105,0.117361,0.118598,0.080768,0.119201,0.119648,0.115538,0.116167,0.098299,0.093876,0.096147,0.097371,0.095596,0.094153,0.098377,0.095808,0.096775,0.000000,0.096433,0.095821,0.094212,0.095812,0.097595,0.096840,0.095643,0.097411,0.118880,0.119929,0.119383,0.115631,0.117568,0.113261,0.116025,0.117018,0.117627,0.117411,0.116944,0.117727,0.118223,0.080612,0.118116,0.118881,0.116383,0.116813,0.099351,0.095513,0.096357,0.097481,0.095055,0.095396,0.097440,0.095969,0.097769,0.011509,0.098069,0.095845,0.094614,0.097021,0.097898,0.096150,0.097288,0.097615
HAP1_chr29,0.118617,0.118981,0.116470,0.113575,0.115931,0.111465,0.114551,0.116096,0.116204,0.077768,0.116610,0.115501,0.116290,0.115109,0.116763,0.116909,0.113621,0.114454,0.097503,0.091936,0.095713,0.095463,0.094812,0.093248,0.096901,0.094266,0.095358,0.096433,0.000000,0.095422,0.093145,0.093918,0.096438,0.094812,0.094796,0.096403,0.116390,0.117887,0.116659,0.112751,0.115616,0.110919,0.113138,0.114614,0.115755,0.080451,0.115658,0.115533,0.115950,0.115774,0.115652,0.116494,0.114535,0.114426,0.098849,0.093374,0.095959,0.095665,0.093499,0.094743,0.096807,0.094901,0.095620,0.094604,0.008075,0.094546,0.093417,0.095961,0.096190,0.093900,0.096600,0.096284
HAP1_chr30,0.120155,0.120248,0.118409,0.115113,0.086049,0.113349,0.116436,0.118157,0.118423,0.117011,0.117638,0.117107,0.118597,0.116442,0.118868,0.118107,0.115576,0.115862,0.096994,0.091113,0.095343,0.095098,0.095295,0.092357,0.096863,0.094611,0.095703,0.095821,0.095422,0.000000,0.092769,0.094519,0.095574,0.093980,0.093926,0.095935,0.118498,0.119576,0.119264,0.114401,0.085994,0.112284,0.115643,0.116542,0.117722,0.116708,0.117103,0.117774,0.119177,0.117352,0.117440,0.117771,0.116527,0.116662,0.097452,0.091560,0.095217,0.096308,0.093897,0.093323,0.095560,0.094935,0.095933,0.094442,0.095977,0.007932,0.092944,0.096479,0.095383,0.093272,0.096141,0.096073
HAP1_chr31,0.119653,0.121178,0.118702,0.114827,0.118313,0.112239,0.116122,0.087741,0.118287,0.117758,0.118511,0.117254,0.118531,0.118146,0.117713,0.119162,0.115420,0.115659,0.095343,0.089672,0.093840,0.094332,0.092511,0.091276,0.095052,0.092671,0.094345,0.094212,0.093145,0.092769,0.000000,0.091864,0.093389,0.092568,0.092388,0.093735,0.117820,0.120005,0.118515,0.114132,0.117513,0.111155,0.115577,0.087320,0.118022,0.117238,0.117159,0.117252,0.118540,0.118839,0.116492,0.119074,0.116455,0.116378,0.097264,0.090570,0.094059,0.094131,0.092308,0.092518,0.094107,0.093517,0.095086,0.091992,0.093607,0.092597,0.006134,0.093848,0.093077,0.092065,0.093987,0.094107
HAP1_chr32,0.119795,0.120150,0.117047,0.114972,0.116815,0.112048,0.115451,0.116823,0.117308,0.116274,0.116923,0.116460,0.117603,0.116213,0.118150,0.118023,0.080758,0.115468,0.097103,0.091720,0.095638,0.095291,0.094070,0.091849,0.096349,0.094825,0.095024,0.095812,0.093918,0.094519,0.091864,0.000000,0.095045,0.094757,0.093993,0.095896,0.117933,0.119113,0.116696,0.113985,0.116141,0.111297,0.114899,0.115241,0.116982,0.116133,0.115626,0.115520,0.117759,0.116824,0.116907,0.117269,0.082429,0.115624,0.097730,0.092749,0.095829,0.095349,0.093599,0.093681,0.095571,0.094564,0.095566,0.093704,0.095198,0.094209,0.092113,0.006443,0.094757,0.093060,0.095438,0.096124
HAP1_chr33,0.121602,0.121401,0.120415,0.116832,0.120399,0.114907,0.118694,0.119913,0.119753,0.118597,0.118790,0.118590,0.119850,0.118072,0.082607,0.120208,0.116649,0.116076,0.098042,0.092882,0.096813,0.097195,0.095678,0.093703,0.097120,0.095836,0.095491,0.097595,0.096438,0.095574,0.093389,0.095045,0.000000,0.095269,0.095079,0.097140,0.120032,0.120575,0.120544,0.115528,0.119911,0.114196,0.118136,0.118587,0.119378,0.118617,0.118005,0.119005,0.119731,0.118453,0.081894,0.120399,0.117449,0.117155,0.099175,0.093675,0.096859,0.097414,0.095108,0.095166,0.096732,0.096228,0.096195,0.095384,0.097214,0.095385,0.094154,0.096314,0.009310,0.094652,0.097063,0.098158
HAP1_chr34,0.120333,0.121324,0.118058,0.086990,0.118756,0.113300,0.116948,0.118157,0.118739,0.117344,0.118091,0.117090,0.117757,0.116930,0.119126,0.118242,0.115594,0.115594,0.098471,0.092268,0.095401,0.095400,0.094293,0.092555,0.097468,0.094804,0.096086,0.096840,0.094812,0.093980,0.092568,0.094757,0.095269,0.000000,0.094358,0.096184,0.118702,0.120034,0.118626,0.086216,0.117988,0.112166,0.115671,0.116253,0.117995,0.117398,0.116543,0.117837,0.117510,0.116934,0.117800,0.117754,0.115934,0.116025,0.099486,0.093609,0.095909,0.096034,0.093310,0.093983,0.096172,0.095424,0.096409,0.094017,0.095067,0.093624,0.092803,0.096667,0.094949,0.005540,0.095780,0.095868
