,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34
HAP1_chr11,0.074776,0.075543,0.077093,0.072899,0.074184,0.074769,0.074242,0.074964,0.075708,0.073653,0.000000,0.074358,0.076440,0.073984,0.073905,0.072943,0.073476,0.075357,0.074409,0.074716,0.076170,0.074710,0.074437,0.075042,0.075678,0.075590,0.076763,0.074792,0.074887,0.075942,0.075058,0.076333,0.077741,0.077673,0.074771,0.075555,0.077118,0.072798,0.074265,0.074746,0.074366,0.074965,0.075605,0.073670,0.001340,0.074391,0.076574,0.074094,0.073928,0.072915,0.073482,0.075304,0.074444,0.074654,0.076165,0.074893,0.074323,0.075709,0.075691,0.075646,0.076820,0.074940,0.074761,0.075933,0.074938,0.076525,0.077750,0.077660
HAP1_chr12,0.072681,0.075036,0.076591,0.074003,0.073005,0.074258,0.073451,0.074161,0.074975,0.072833,0.074358,0.000000,0.074790,0.073051,0.073019,0.073241,0.071000,0.073528,0.073217,0.074136,0.073042,0.073611,0.073621,0.073794,0.073906,0.073572,0.074878,0.073371,0.073613,0.074229,0.074852,0.074634,0.075849,0.076473,0.072713,0.075044,0.076663,0.073928,0.073117,0.074287,0.073515,0.074128,0.074906,0.072850,0.074303,0.001211,0.074893,0.073162,0.073055,0.073183,0.070978,0.073470,0.073196,0.073963,0.073118,0.073746,0.073532,0.074632,0.073825,0.073660,0.074937,0.073456,0.073492,0.074175,0.074775,0.074753,0.075873,0.076529
HAP1_chr13,0.074563,0.076723,0.078299,0.075891,0.072779,0.074521,0.075366,0.075957,0.076754,0.074969,0.076440,0.074790,0.000000,0.075157,0.074115,0.075094,0.074534,0.075732,0.075053,0.075727,0.076669,0.075724,0.075803,0.075800,0.075684,0.075643,0.076613,0.075290,0.075641,0.076197,0.076352,0.076441,0.078002,0.078163,0.074602,0.076742,0.078318,0.075814,0.072897,0.074491,0.075478,0.076072,0.076749,0.074966,0.076411,0.074782,0.002762,0.075318,0.074123,0.075109,0.074533,0.075641,0.075061,0.075695,0.076669,0.075909,0.075806,0.076716,0.075674,0.075702,0.076627,0.075426,0.075467,0.076069,0.076321,0.076391,0.077948,0.078179
HAP1_chr14,0.073543,0.074865,0.074474,0.073513,0.072734,0.073973,0.073090,0.072988,0.074789,0.072160,0.073984,0.073051,0.075157,0.000000,0.072179,0.072717,0.071941,0.074066,0.072759,0.074728,0.074019,0.072830,0.072954,0.073078,0.074254,0.074147,0.073426,0.073706,0.073188,0.074165,0.075233,0.074818,0.076138,0.075268,0.073608,0.074909,0.074539,0.073432,0.072847,0.073982,0.073221,0.073002,0.074723,0.072188,0.073939,0.073055,0.075241,0.002553,0.072145,0.072672,0.071999,0.073933,0.072771,0.074576,0.074080,0.073011,0.072826,0.073889,0.074237,0.074200,0.073472,0.073836,0.073066,0.074112,0.075140,0.075081,0.076244,0.075283
HAP1_chr15,0.073635,0.074688,0.076597,0.073868,0.071003,0.073728,0.072825,0.073665,0.074665,0.072184,0.073905,0.073019,0.074115,0.072179,0.000000,0.072663,0.071669,0.073495,0.072879,0.074786,0.073864,0.071957,0.072737,0.073333,0.074302,0.073980,0.075851,0.073671,0.072914,0.074468,0.075664,0.074951,0.076178,0.075482,0.073730,0.074689,0.076604,0.073769,0.071087,0.073754,0.072925,0.073711,0.074619,0.072202,0.073858,0.073051,0.074208,0.072292,0.002642,0.072640,0.071700,0.073454,0.072810,0.074683,0.073916,0.072060,0.072710,0.073949,0.074314,0.074081,0.075841,0.073799,0.072780,0.074406,0.075593,0.075062,0.076198,0.075527
HAP1_chr16,0.073578,0.075130,0.075137,0.074034,0.072850,0.074345,0.073230,0.073890,0.075055,0.072627,0.072943,0.073241,0.075094,0.072717,0.072663,0.000000,0.072000,0.074024,0.072903,0.072361,0.074306,0.072850,0.072937,0.073374,0.074221,0.073941,0.075569,0.073817,0.073119,0.074466,0.075149,0.074634,0.076213,0.075453,0.073636,0.075187,0.075113,0.073982,0.072970,0.074346,0.073320,0.073968,0.075085,0.072642,0.072915,0.073284,0.075114,0.072855,0.072703,0.003680,0.072028,0.073954,0.072890,0.072330,0.074389,0.073120,0.072898,0.074162,0.074199,0.074031,0.075612,0.073903,0.072928,0.074405,0.075066,0.074697,0.076242,0.075482
HAP1_chr17,0.073069,0.074647,0.076261,0.073338,0.072219,0.073446,0.072569,0.073358,0.074582,0.071726,0.073476,0.071000,0.074534,0.071941,0.071669,0.072000,0.000000,0.073238,0.072061,0.074042,0.070755,0.071730,0.072239,0.072615,0.073828,0.073272,0.075070,0.072994,0.072073,0.073763,0.074570,0.073808,0.075512,0.074859,0.073156,0.074692,0.076329,0.073213,0.072363,0.073450,0.072683,0.073384,0.074562,0.071773,0.073410,0.070994,0.074667,0.071937,0.071665,0.072073,0.002178,0.073192,0.072054,0.073928,0.070791,0.071984,0.072164,0.073411,0.073737,0.073367,0.075090,0.073043,0.071945,0.073745,0.074527,0.073999,0.075570,0.074855
HAP1_chr18,0.074091,0.076284,0.077723,0.075239,0.074107,0.073839,0.074465,0.075365,0.076176,0.073771,0.075357,0.073528,0.075732,0.074066,0.073495,0.074024,0.073238,0.000000,0.073688,0.075004,0.075482,0.072285,0.074361,0.074608,0.074705,0.074439,0.075573,0.074155,0.074381,0.074962,0.075320,0.075090,0.076372,0.076867,0.074117,0.076349,0.077747,0.075114,0.074228,0.073827,0.074533,0.075328,0.076126,0.073831,0.075296,0.073536,0.075822,0.074100,0.073532,0.074019,0.073310,0.002086,0.073721,0.075001,0.075518,0.072481,0.074245,0.075362,0.074602,0.074514,0.075605,0.074132,0.074198,0.074924,0.075295,0.075210,0.076347,0.076853
HAP1_chr19,0.073484,0.074800,0.076885,0.074207,0.073041,0.074368,0.073361,0.074259,0.072978,0.072652,0.074409,0.073217,0.075053,0.072759,0.072879,0.072903,0.072061,0.073688,0.000000,0.074177,0.073893,0.073001,0.073307,0.073217,0.074248,0.073597,0.075270,0.073534,0.072901,0.074282,0.075039,0.074297,0.074728,0.074507,0.073582,0.074811,0.076942,0.074092,0.073146,0.074395,0.073432,0.074201,0.072893,0.072706,0.074428,0.073232,0.075116,0.072926,0.072921,0.072868,0.072101,0.073682,0.002342,0.074162,0.073933,0.073267,0.073249,0.074155,0.074231,0.073652,0.075352,0.073458,0.072797,0.074273,0.074921,0.074477,0.074777,0.074509
HAP1_chr20,0.074386,0.076746,0.076850,0.075608,0.074702,0.075947,0.075052,0.075741,0.076475,0.074474,0.074716,0.074136,0.075727,0.074728,0.074786,0.072361,0.074042,0.075004,0.074177,0.000000,0.075835,0.074884,0.075020,0.075125,0.074737,0.074708,0.075766,0.074826,0.075055,0.075258,0.075917,0.075487,0.076872,0.077079,0.074473,0.076784,0.076864,0.075492,0.074820,0.075908,0.075106,0.075701,0.076447,0.074528,0.074728,0.074117,0.075786,0.074857,0.074801,0.072376,0.074080,0.074923,0.074227,0.003455,0.075861,0.075087,0.074950,0.075843,0.074701,0.074777,0.075787,0.074754,0.074860,0.075243,0.075890,0.075595,0.076824,0.077068
HAP1_chr21,0.075983,0.076982,0.078957,0.075889,0.074754,0.076025,0.074991,0.076011,0.077105,0.074507,0.076170,0.073042,0.076669,0.074019,0.073864,0.074306,0.070755,0.075482,0.073893,0.075835,0.000000,0.073724,0.074795,0.074567,0.075850,0.074944,0.076521,0.074743,0.073609,0.075514,0.076633,0.075361,0.077087,0.075548,0.076097,0.077072,0.078959,0.075879,0.074924,0.076022,0.075073,0.075981,0.077046,0.074613,0.076122,0.073043,0.076651,0.074188,0.073862,0.074254,0.070818,0.075442,0.073867,0.075777,0.001722,0.074015,0.074784,0.075503,0.075847,0.075098,0.076587,0.074577,0.073527,0.075470,0.076475,0.075425,0.077056,0.075590
HAP1_chr22,0.074372,0.075591,0.077526,0.074423,0.073241,0.072623,0.073505,0.074708,0.075697,0.072871,0.074710,0.073611,0.075724,0.072830,0.071957,0.072850,0.071730,0.072285,0.073001,0.074884,0.073724,0.000000,0.073117,0.073352,0.074913,0.074396,0.075839,0.073848,0.072869,0.074750,0.075519,0.074690,0.076126,0.075253,0.074460,0.075620,0.077557,0.074397,0.073320,0.072644,0.073580,0.074748,0.075665,0.072916,0.074640,0.073646,0.075760,0.072708,0.071938,0.072960,0.071781,0.072152,0.072966,0.074835,0.073778,0.002461,0.073048,0.074098,0.074840,0.074498,0.075877,0.073871,0.072734,0.074718,0.075496,0.074813,0.076129,0.075318
HAP1_chr23,0.074534,0.075686,0.075432,0.074541,0.073343,0.074737,0.073673,0.074597,0.075335,0.072762,0.074437,0.073621,0.075803,0.072954,0.072737,0.072937,0.072239,0.074361,0.073307,0.075020,0.074795,0.073117,0.000000,0.073576,0.072812,0.074408,0.075947,0.074131,0.073303,0.074701,0.075390,0.075106,0.076015,0.075585,0.074539,0.075718,0.075420,0.074501,0.073382,0.074731,0.073759,0.074641,0.075313,0.072794,0.074416,0.073616,0.075804,0.073107,0.072731,0.072915,0.072279,0.074345,0.073355,0.074904,0.074818,0.073256,0.003304,0.074058,0.072865,0.074481,0.075963,0.074382,0.073151,0.074665,0.075314,0.075194,0.076054,0.075580
HAP1_chr24,0.074531,0.075860,0.077557,0.074621,0.073602,0.075033,0.074146,0.072754,0.075324,0.073146,0.075042,0.073794,0.075800,0.073078,0.073333,0.073374,0.072615,0.074608,0.073217,0.075125,0.074567,0.073352,0.073576,0.000000,0.074783,0.074600,0.075946,0.073059,0.073696,0.075080,0.074958,0.075081,0.076263,0.075427,0.074633,0.075864,0.077675,0.074540,0.073741,0.075017,0.074221,0.072785,0.075298,0.073161,0.075007,0.073812,0.075844,0.073232,0.073259,0.073340,0.072661,0.074548,0.073260,0.075159,0.074608,0.073554,0.073586,0.002847,0.074705,0.074538,0.075954,0.073061,0.073509,0.074992,0.074909,0.075348,0.076287,0.075486
HAP1_chr25,0.074399,0.076697,0.076542,0.075498,0.074676,0.075988,0.075061,0.075672,0.076592,0.074493,0.075678,0.073906,0.075684,0.074254,0.074302,0.074221,0.073828,0.074705,0.074248,0.074737,0.075850,0.074913,0.072812,0.074783,0.000000,0.074562,0.075514,0.074275,0.074639,0.074820,0.075403,0.074884,0.076449,0.076416,0.074455,0.076729,0.076565,0.075450,0.074733,0.075919,0.075111,0.075700,0.076506,0.074493,0.075635,0.073921,0.075740,0.074382,0.074357,0.074163,0.073894,0.074660,0.074273,0.074683,0.075858,0.075045,0.072800,0.075450,0.002223,0.074599,0.075519,0.074309,0.074492,0.074766,0.075329,0.075167,0.076488,0.076438
HAP1_chr26,0.074363,0.076707,0.077999,0.073994,0.074422,0.075773,0.074729,0.075642,0.074960,0.074096,0.075590,0.073572,0.075643,0.074147,0.073980,0.073941,0.073272,0.074439,0.073597,0.074708,0.074944,0.074396,0.074408,0.074600,0.074562,0.000000,0.075280,0.073865,0.074130,0.074081,0.075237,0.074511,0.076177,0.075812,0.074451,0.076766,0.078015,0.073963,0.074509,0.075807,0.074861,0.075578,0.074960,0.074133,0.075584,0.073571,0.075714,0.074285,0.074027,0.073964,0.073304,0.074386,0.073578,0.074696,0.075031,0.074578,0.074384,0.075337,0.074442,0.002222,0.075318,0.073794,0.073929,0.074062,0.075151,0.074572,0.076192,0.075807
HAP1_chr27,0.075189,0.077834,0.077340,0.076538,0.075722,0.076963,0.076217,0.075952,0.077414,0.075388,0.076763,0.074878,0.076613,0.073426,0.075851,0.075569,0.075070,0.075573,0.075270,0.075766,0.076521,0.075839,0.075947,0.075946,0.075514,0.075280,0.000000,0.075202,0.075894,0.075729,0.076165,0.075801,0.077354,0.077495,0.075218,0.077857,0.077329,0.076500,0.075842,0.076987,0.076281,0.075904,0.077377,0.075385,0.076719,0.074864,0.076704,0.073551,0.075892,0.075541,0.075122,0.075497,0.075258,0.075778,0.076498,0.075939,0.075946,0.076588,0.075511,0.075392,0.001993,0.075194,0.075764,0.075689,0.076086,0.076021,0.077316,0.077499
HAP1_chr28,0.074158,0.076241,0.077951,0.075048,0.074391,0.075480,0.074506,0.074172,0.076147,0.073739,0.074792,0.073371,0.075290,0.073706,0.073671,0.073817,0.072994,0.074155,0.073534,0.074826,0.074743,0.073848,0.074131,0.073059,0.074275,0.073865,0.075202,0.000000,0.073957,0.074376,0.074690,0.074514,0.075648,0.075552,0.074216,0.076296,0.077958,0.075030,0.074513,0.075536,0.074571,0.074235,0.076125,0.073762,0.074759,0.073403,0.075368,0.073900,0.073685,0.073817,0.073071,0.074104,0.073499,0.074690,0.074770,0.074053,0.074038,0.073684,0.074245,0.073956,0.075219,0.003442,0.073836,0.074349,0.074583,0.074556,0.075754,0.075600
HAP1_chr29,0.074877,0.073585,0.077683,0.075124,0.073431,0.075090,0.073813,0.074702,0.075927,0.073154,0.074887,0.073613,0.075641,0.073188,0.072914,0.073119,0.072073,0.074381,0.072901,0.075055,0.073609,0.072869,0.073303,0.073696,0.074639,0.074130,0.075894,0.073957,0.000000,0.074379,0.075318,0.072555,0.075791,0.074546,0.074952,0.073607,0.077667,0.075046,0.073552,0.075075,0.073886,0.074720,0.075848,0.073205,0.074885,0.073645,0.075749,0.073318,0.072987,0.073079,0.072165,0.074300,0.072851,0.075001,0.073592,0.073011,0.073256,0.074308,0.074591,0.074222,0.075933,0.073983,0.002122,0.074293,0.075240,0.072581,0.075784,0.074573
HAP1_chr30,0.074925,0.076053,0.078659,0.075909,0.074781,0.076356,0.075358,0.076054,0.075979,0.074467,0.075942,0.074229,0.076197,0.074165,0.074468,0.074466,0.073763,0.074962,0.074282,0.075258,0.075514,0.074750,0.074701,0.075080,0.074820,0.074081,0.075729,0.074376,0.074379,0.000000,0.075387,0.075162,0.075988,0.074763,0.074953,0.076109,0.078652,0.075838,0.074898,0.076282,0.075451,0.076049,0.075938,0.074505,0.075906,0.074253,0.076272,0.074266,0.074487,0.074488,0.073890,0.074933,0.074206,0.075253,0.075558,0.074849,0.074650,0.075647,0.074755,0.074116,0.075772,0.074472,0.074317,0.002510,0.075313,0.075321,0.076009,0.074772
HAP1_chr31,0.075315,0.077605,0.078964,0.075594,0.075519,0.076806,0.075983,0.075978,0.077355,0.075424,0.075058,0.074852,0.076352,0.075233,0.075664,0.075149,0.074570,0.075320,0.075039,0.075917,0.076633,0.075519,0.075390,0.074958,0.075403,0.075237,0.076165,0.074690,0.075318,0.075387,0.000000,0.075492,0.076730,0.076706,0.075330,0.077596,0.078930,0.075493,0.075614,0.076781,0.076102,0.076024,0.077307,0.075456,0.075061,0.074831,0.076439,0.075390,0.075735,0.075161,0.074572,0.075230,0.075008,0.075882,0.076614,0.075685,0.075413,0.075585,0.075377,0.075257,0.076181,0.074818,0.075161,0.075238,0.002198,0.075582,0.076775,0.076725
HAP1_chr32,0.075024,0.075667,0.079072,0.076150,0.075211,0.076591,0.075785,0.076452,0.077329,0.074993,0.076333,0.074634,0.076441,0.074818,0.074951,0.074634,0.073808,0.075090,0.074297,0.075487,0.075361,0.074690,0.075106,0.075081,0.074884,0.074511,0.075801,0.074514,0.072555,0.075162,0.075492,0.000000,0.076269,0.075914,0.075099,0.075670,0.079059,0.076102,0.075304,0.076609,0.075775,0.076481,0.077321,0.075057,0.076339,0.074590,0.076389,0.075013,0.074923,0.074595,0.073851,0.075083,0.074271,0.075474,0.075348,0.074860,0.075152,0.075905,0.074879,0.074605,0.075868,0.074424,0.072506,0.075167,0.075409,0.003830,0.076322,0.075900
HAP1_chr33,0.077182,0.079069,0.080763,0.078317,0.076773,0.078304,0.077354,0.078076,0.076805,0.076601,0.077741,0.075849,0.078002,0.076138,0.076178,0.076213,0.075512,0.076372,0.074728,0.076872,0.077087,0.076126,0.076015,0.076263,0.076449,0.076177,0.077354,0.075648,0.075791,0.075988,0.076730,0.076269,0.000000,0.077061,0.077152,0.079119,0.080742,0.078286,0.076869,0.078284,0.077474,0.078121,0.076803,0.076650,0.077724,0.075858,0.078042,0.076313,0.076157,0.076172,0.075560,0.076387,0.074722,0.076862,0.077026,0.076128,0.076054,0.076479,0.076460,0.076225,0.077335,0.075934,0.075644,0.075877,0.076641,0.076401,0.002895,0.077048
HAP1_chr34,0.077965,0.076974,0.080797,0.077646,0.076247,0.078102,0.077043,0.077991,0.079001,0.076052,0.077673,0.076473,0.078163,0.075268,0.075482,0.075453,0.074859,0.076867,0.074507,0.077079,0.075548,0.075253,0.075585,0.075427,0.076416,0.075812,0.077495,0.075552,0.074546,0.074763,0.076706,0.075914,0.077061,0.000000,0.078073,0.076976,0.080765,0.077702,0.076436,0.078032,0.077126,0.078024,0.078956,0.076085,0.077670,0.076479,0.078151,0.075461,0.075526,0.075413,0.074895,0.076765,0.074464,0.077075,0.075416,0.075340,0.075695,0.075945,0.076402,0.075879,0.077581,0.075471,0.074485,0.074711,0.076717,0.075981,0.077007,0.001362
HAP2_chr01,0.002189,0.074705,0.076158,0.073833,0.073179,0.074131,0.071849,0.074028,0.074812,0.071513,0.074771,0.072713,0.074602,0.073608,0.073730,0.073636,0.073156,0.074117,0.073582,0.074473,0.076097,0.074460,0.074539,0.074633,0.074455,0.074451,0.075218,0.074216,0.074952,0.074953,0.075330,0.075099,0.077152,0.078073,0.000000,0.074742,0.076176,0.073670,0.073301,0.074198,0.071965,0.074114,0.074731,0.071541,0.074741,0.072682,0.074715,0.073669,0.073755,0.073635,0.073188,0.073981,0.073558,0.074320,0.076201,0.074734,0.074451,0.075656,0.074413,0.074579,0.075279,0.074210,0.074784,0.074932,0.075216,0.075316,0.077168,0.078090
HAP2_chr02,0.074652,0.001480,0.077247,0.075143,0.074563,0.075008,0.074581,0.075117,0.075700,0.074255,0.075555,0.075044,0.076742,0.074909,0.074689,0.075187,0.074692,0.076349,0.074811,0.076784,0.077072,0.075620,0.075718,0.075864,0.076729,0.076766,0.077857,0.076296,0.073607,0.076109,0.077596,0.075670,0.079119,0.076976,0.074742,0.000000,0.077328,0.075009,0.074659,0.075025,0.074743,0.075112,0.075674,0.074269,0.075541,0.075069,0.076867,0.075030,0.074720,0.075156,0.074681,0.076256,0.074837,0.076668,0.077113,0.075880,0.075617,0.076739,0.076693,0.076839,0.077886,0.076305,0.073457,0.075985,0.077531,0.075752,0.079207,0.077035
