,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr13,0.112844,0.119028,0.120193,0.116238,0.117566,0.117382,0.114578,0.117274,0.114532,0.100052,0.102989,0.113345,0.000000,0.116184,0.116874,0.119583,0.115118,0.117677,0.113882,0.120843,0.120300,0.116886,0.117722,0.117648,0.115516,0.118186,0.114545,0.100211,0.103021,0.113351,0.000531,0.116197,0.116994,0.120426,0.115112,0.116582
HAP1_chr14,0.112944,0.119401,0.120257,0.115965,0.116785,0.116558,0.115727,0.118216,0.116842,0.115856,0.117559,0.115462,0.116184,0.000000,0.088795,0.122466,0.116021,0.108294,0.113650,0.120966,0.120302,0.116221,0.116966,0.116895,0.116474,0.118633,0.116807,0.116087,0.117613,0.115499,0.116596,0.000048,0.088790,0.123262,0.116021,0.107803
HAP1_chr15,0.113871,0.119276,0.122710,0.115421,0.117705,0.116037,0.116634,0.118583,0.117139,0.117354,0.119252,0.115472,0.116874,0.088795,0.000000,0.122780,0.117266,0.118190,0.114836,0.121052,0.122736,0.115552,0.117707,0.116117,0.117571,0.118830,0.117106,0.117473,0.119349,0.115483,0.117133,0.088772,0.000123,0.123427,0.117265,0.117855
HAP1_chr16,0.117339,0.119404,0.104816,0.118013,0.125742,0.122264,0.119267,0.120660,0.121753,0.121314,0.121822,0.119390,0.119583,0.122466,0.122780,0.000000,0.121776,0.121905,0.117879,0.123123,0.104850,0.118514,0.125928,0.122670,0.119580,0.121173,0.121706,0.121635,0.121934,0.119458,0.120154,0.122516,0.123073,0.000416,0.121770,0.121307
HAP1_chr17,0.111919,0.118417,0.121884,0.116120,0.117197,0.118090,0.115280,0.116041,0.114050,0.115030,0.091518,0.115744,0.115118,0.116021,0.117266,0.121776,0.000000,0.117019,0.112493,0.120126,0.121896,0.116205,0.117813,0.118317,0.115376,0.117183,0.114026,0.115136,0.091503,0.115779,0.115361,0.116050,0.117212,0.122820,0.000010,0.114127
HAP1_chr18,0.115398,0.120957,0.122700,0.091241,0.119561,0.119824,0.116512,0.118280,0.118625,0.118218,0.119628,0.116560,0.117677,0.108294,0.118190,0.121905,0.117019,0.000000,0.115474,0.121506,0.122689,0.090663,0.119538,0.119598,0.116307,0.118149,0.118592,0.118208,0.119716,0.116592,0.117650,0.108261,0.118175,0.122484,0.117013,0.000428
HAP2_chr01,0.001913,0.114288,0.101885,0.112289,0.116987,0.112776,0.110345,0.112901,0.111417,0.114863,0.115977,0.113018,0.113882,0.113650,0.114836,0.117879,0.112493,0.115474,0.000000,0.115837,0.101919,0.112923,0.117663,0.113228,0.111495,0.114605,0.111409,0.115196,0.116024,0.113029,0.114384,0.113677,0.114971,0.118574,0.112494,0.113147
HAP2_chr02,0.115336,0.002640,0.104187,0.119299,0.120671,0.117291,0.117914,0.120975,0.120239,0.120840,0.121679,0.119303,0.120843,0.120966,0.121052,0.123123,0.120126,0.121506,0.115837,0.000000,0.104183,0.119416,0.120717,0.117422,0.118199,0.121396,0.120197,0.120993,0.121780,0.119333,0.121359,0.120997,0.121139,0.123546,0.120121,0.120916
HAP2_chr03,0.101279,0.103768,0.000044,0.121376,0.117003,0.123629,0.121884,0.123662,0.121499,0.120403,0.120915,0.119652,0.120300,0.120302,0.122736,0.104850,0.121896,0.122689,0.101919,0.104183,0.000000,0.121820,0.117171,0.123967,0.122540,0.124112,0.121533,0.120580,0.120952,0.119668,0.120841,0.120313,0.122771,0.105010,0.121887,0.121986
HAP2_chr04,0.112488,0.116511,0.121754,0.001157,0.117867,0.116169,0.112702,0.114549,0.117075,0.116033,0.118675,0.115369,0.116886,0.116221,0.115552,0.118514,0.116205,0.090663,0.112923,0.119416,0.121820,0.000000,0.118155,0.116597,0.113712,0.115158,0.117020,0.116340,0.118777,0.115406,0.117420,0.116256,0.115679,0.120646,0.116201,0.090577
HAP2_chr05,0.116275,0.119029,0.117125,0.117646,0.000187,0.093533,0.116767,0.119824,0.118465,0.100858,0.119075,0.115574,0.117722,0.116966,0.117707,0.125928,0.117813,0.119538,0.117663,0.120717,0.117171,0.118155,0.000000,0.093616,0.117720,0.120418,0.118480,0.100936,0.119112,0.115593,0.118223,0.116960,0.117789,0.126570,0.117805,0.118960
HAP2_chr06,0.111681,0.115935,0.123830,0.114978,0.093420,0.000871,0.111671,0.117209,0.116031,0.118352,0.119487,0.115736,0.117648,0.116895,0.116117,0.122670,0.118317,0.119598,0.113228,0.117422,0.123967,0.116597,0.093616,0.000000,0.113870,0.118494,0.116055,0.118948,0.119608,0.115741,0.118322,0.116951,0.116363,0.123163,0.118305,0.119077
HAP2_chr07,0.110958,0.116977,0.122408,0.113221,0.117262,0.113307,0.001702,0.086409,0.114535,0.115496,0.117585,0.114036,0.115516,0.116474,0.117571,0.119580,0.115376,0.116307,0.111495,0.118199,0.122540,0.113712,0.117720,0.113870,0.000000,0.086682,0.114567,0.115820,0.117669,0.114053,0.116108,0.116485,0.117725,0.120403,0.115370,0.115736
HAP2_chr08,0.114391,0.119696,0.124080,0.115247,0.120092,0.118696,0.087475,0.000520,0.116954,0.118072,0.120106,0.116005,0.118186,0.118633,0.118830,0.121173,0.117183,0.118149,0.114605,0.121396,0.124112,0.115158,0.120418,0.118494,0.086682,0.000000,0.116882,0.118129,0.120118,0.116049,0.118324,0.118594,0.118868,0.122530,0.117177,0.117240
HAP2_chr09,0.110150,0.118535,0.121444,0.116647,0.118011,0.115755,0.113765,0.115253,0.000183,0.116473,0.117722,0.086973,0.114545,0.116807,0.117106,0.121706,0.114026,0.118592,0.111409,0.120197,0.121533,0.117020,0.118480,0.116055,0.114567,0.116882,0.000000,0.116692,0.117953,0.086997,0.114952,0.116866,0.117182,0.122385,0.114020,0.115216
HAP2_chr10,0.114403,0.119775,0.120569,0.116497,0.100984,0.118844,0.115661,0.118028,0.116676,0.000151,0.117756,0.114694,0.100211,0.116087,0.117473,0.121635,0.115136,0.118208,0.115196,0.120993,0.120580,0.116340,0.100936,0.118948,0.115820,0.118129,0.116692,0.000000,0.117764,0.114717,0.100292,0.116068,0.117478,0.122250,0.115130,0.117569
HAP2_chr11,0.115134,0.119887,0.120900,0.118606,0.118909,0.119345,0.117355,0.119698,0.117979,0.117604,0.000107,0.116999,0.103021,0.117613,0.119349,0.121934,0.091503,0.119716,0.116024,0.121780,0.120952,0.118777,0.119112,0.119608,0.117669,0.120118,0.117953,0.117764,0.000000,0.117025,0.103318,0.117623,0.119366,0.122997,0.091504,0.118785
HAP2_chr12,0.111712,0.117729,0.119600,0.115044,0.115359,0.115400,0.113139,0.115441,0.087035,0.114486,0.116961,0.000066,0.113351,0.115499,0.115483,0.119458,0.115779,0.116592,0.113029,0.119333,0.119668,0.115406,0.115593,0.115741,0.114053,0.116049,0.086997,0.114717,0.117025,0.000000,0.113931,0.115526,0.115579,0.119986,0.115774,0.115889
HAP2_chr13,0.113780,0.120297,0.120825,0.117405,0.118211,0.118501,0.115851,0.118074,0.114981,0.100298,0.103306,0.113927,0.000531,0.116596,0.117133,0.120154,0.115361,0.117650,0.114384,0.121359,0.120841,0.117420,0.118223,0.118322,0.116108,0.118324,0.114952,0.100292,0.103318,0.113931,0.000000,0.116568,0.117139,0.120471,0.115357,0.116830
HAP2_chr14,0.113040,0.119597,0.120279,0.116109,0.116841,0.116727,0.115860,0.118282,0.116902,0.115911,0.117575,0.115489,0.116197,0.000048,0.088772,0.122516,0.116050,0.108261,0.113677,0.120997,0.120313,0.116256,0.116960,0.116951,0.116485,0.118594,0.116866,0.116068,0.117623,0.115526,0.116568,0.000000,0.088760,0.123235,0.116050,0.107804
HAP2_chr15,0.114150,0.120008,0.122773,0.115810,0.117834,0.116409,0.117161,0.118804,0.117215,0.117458,0.119280,0.115568,0.116994,0.088790,0.000123,0.123073,0.117212,0.118175,0.114971,0.121139,0.122771,0.115679,0.117789,0.116363,0.117725,0.118868,0.117182,0.117478,0.119366,0.115579,0.117139,0.088760,0.000000,0.123480,0.117212,0.117891
HAP2_chr16,0.118458,0.123382,0.105036,0.120993,0.126624,0.123269,0.120698,0.122647,0.122431,0.122174,0.122912,0.119963,0.120426,0.123262,0.123427,0.000416,0.122820,0.122484,0.118574,0.123546,0.105010,0.120646,0.126570,0.123163,0.120403,0.122530,0.122385,0.122250,0.122997,0.119986,0.120471,0.123235,0.123480,0.000000,0.122813,0.122382
HAP2_chr17,0.111914,0.118411,0.121875,0.116116,0.117189,0.118077,0.115267,0.116035,0.114044,0.115024,0.091519,0.115739,0.115112,0.116021,0.117265,0.121770,0.000010,0.117013,0.112494,0.120121,0.121887,0.116201,0.117805,0.118305,0.115370,0.117177,0.114020,0.115130,0.091504,0.115774,0.115357,0.116050,0.117212,0.122813,0.000000,0.114121
HAP2_chr18,0.112651,0.119872,0.121943,0.090944,0.118583,0.119037,0.115710,0.116016,0.115250,0.117432,0.118772,0.115851,0.116582,0.107803,0.117855,0.121307,0.114127,0.000428,0.113147,0.120916,0.121986,0.090577,0.118960,0.119077,0.115736,0.117240,0.115216,0.117569,0.118785,0.115889,0.116830,0.107804,0.117891,0.122382,0.114121,0.000000
