,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr13,0.108860,0.110544,0.102117,0.114011,0.112594,0.113244,0.109519,0.098016,0.102352,0.062399,0.102789,0.110937,0.000000,0.099602,0.102337,0.098294,0.109614,0.111651,0.102043,0.113083,0.113154,0.113210,0.109466,0.098295,0.102824,0.062107,0.102490,0.111902,0.019857,0.100290,0.101799,0.098452
HAP1_chr14,0.110050,0.111775,0.102962,0.114376,0.112630,0.113663,0.110451,0.098745,0.103010,0.111202,0.104045,0.060684,0.099602,0.000000,0.103262,0.098795,0.110722,0.113422,0.102456,0.113183,0.113998,0.113917,0.110519,0.098879,0.103854,0.111790,0.103830,0.060777,0.099267,0.017346,0.102736,0.099127
HAP1_chr15,0.113578,0.061177,0.105274,0.116359,0.116461,0.116273,0.113922,0.101995,0.106591,0.113743,0.106441,0.115036,0.102337,0.103262,0.000000,0.101950,0.115209,0.060682,0.104947,0.115985,0.117218,0.116922,0.114629,0.101785,0.106411,0.115278,0.106280,0.115142,0.102624,0.104431,0.016423,0.101681
HAP1_chr16,0.066170,0.110867,0.102176,0.113688,0.111030,0.112843,0.109256,0.095462,0.100736,0.109613,0.101540,0.111312,0.098294,0.098795,0.101950,0.000000,0.066079,0.112188,0.101802,0.112968,0.111869,0.112834,0.109050,0.095432,0.101994,0.110473,0.101367,0.111710,0.098028,0.099517,0.102044,0.016586
HAP2_chr01,0.021073,0.099904,0.113778,0.102700,0.101273,0.101461,0.098334,0.108000,0.113511,0.099552,0.114307,0.101552,0.109614,0.110722,0.115209,0.066079,0.000000,0.100994,0.114104,0.102266,0.101843,0.101640,0.098788,0.107691,0.114406,0.099819,0.114321,0.101141,0.110641,0.111560,0.115057,0.066892
HAP2_chr02,0.099860,0.018737,0.115476,0.104088,0.103136,0.104008,0.101291,0.110410,0.117034,0.101600,0.115894,0.101847,0.111651,0.113422,0.060682,0.112188,0.100994,0.000000,0.115380,0.102633,0.103537,0.103674,0.100808,0.109937,0.115947,0.101635,0.115652,0.102056,0.111356,0.114136,0.061033,0.111593
HAP2_chr03,0.112221,0.113894,0.017376,0.061451,0.115639,0.116195,0.113886,0.100702,0.105585,0.114156,0.105820,0.114799,0.102043,0.102456,0.104947,0.101802,0.114104,0.115380,0.000000,0.061537,0.116867,0.116684,0.114120,0.100510,0.105313,0.114635,0.105972,0.115252,0.101724,0.103766,0.104619,0.101246
HAP2_chr04,0.100143,0.101250,0.061841,0.018713,0.103089,0.103973,0.101959,0.110714,0.115474,0.102422,0.115762,0.102526,0.113083,0.113183,0.115985,0.112968,0.102266,0.102633,0.061537,0.000000,0.102949,0.103088,0.102293,0.110586,0.115550,0.102790,0.116025,0.102728,0.112573,0.113741,0.115887,0.112416
HAP2_chr05,0.099827,0.102525,0.116444,0.104927,0.020637,0.104025,0.101821,0.110962,0.117337,0.101875,0.060277,0.103477,0.113154,0.113998,0.117218,0.111869,0.101843,0.103537,0.116867,0.102949,0.000000,0.104324,0.101591,0.111012,0.115890,0.102052,0.060248,0.103571,0.113233,0.114178,0.117441,0.111749
HAP2_chr06,0.100413,0.102469,0.116198,0.105669,0.103513,0.019766,0.101494,0.110376,0.060486,0.102301,0.115226,0.103783,0.113210,0.113917,0.116922,0.112834,0.101640,0.103674,0.116684,0.103088,0.104324,0.000000,0.102084,0.110573,0.060209,0.102668,0.115450,0.103523,0.113644,0.114229,0.114884,0.111857
HAP2_chr07,0.098027,0.098741,0.113771,0.102885,0.101227,0.101888,0.018463,0.063667,0.113251,0.099254,0.113529,0.100255,0.109466,0.110519,0.114629,0.109050,0.098788,0.100808,0.114120,0.102293,0.101591,0.102084,0.000000,0.064161,0.113489,0.099471,0.113777,0.100183,0.109622,0.110695,0.113552,0.108803
HAP2_chr08,0.106672,0.108447,0.100703,0.111354,0.110662,0.111417,0.064358,0.019137,0.101094,0.108654,0.100932,0.110002,0.098295,0.098879,0.101785,0.095432,0.107691,0.109937,0.100510,0.110586,0.111012,0.110573,0.064161,0.000000,0.101595,0.109398,0.101376,0.109572,0.097970,0.099976,0.101417,0.095662
HAP2_chr09,0.113035,0.114544,0.105457,0.115474,0.116299,0.060145,0.113725,0.101825,0.018332,0.114516,0.105791,0.114102,0.102824,0.103854,0.106411,0.101994,0.114406,0.115947,0.105313,0.115550,0.115890,0.060209,0.113489,0.101595,0.000000,0.114944,0.106034,0.115263,0.102349,0.104081,0.105824,0.101024
HAP2_chr10,0.099141,0.100288,0.114730,0.102621,0.102464,0.102078,0.099566,0.108675,0.114637,0.018613,0.114298,0.101614,0.062107,0.111790,0.115278,0.110473,0.099819,0.101635,0.114635,0.102790,0.102052,0.102668,0.099471,0.109398,0.114944,0.000000,0.113766,0.100935,0.062242,0.113026,0.114945,0.110474
HAP2_chr11,0.112495,0.114437,0.105917,0.116765,0.060303,0.115685,0.113331,0.100961,0.105816,0.113932,0.014009,0.114782,0.102490,0.103830,0.106280,0.101367,0.114321,0.115652,0.105972,0.116025,0.060248,0.115450,0.113777,0.101376,0.106034,0.113766,0.000000,0.115294,0.103301,0.104536,0.106112,0.101001
HAP2_chr12,0.100219,0.100421,0.114175,0.104321,0.103022,0.104452,0.100342,0.110265,0.115242,0.101210,0.114475,0.019826,0.111902,0.060777,0.115142,0.111710,0.101141,0.102056,0.115252,0.102728,0.103571,0.103523,0.100183,0.109572,0.115263,0.100935,0.115294,0.000000,0.111295,0.060782,0.115198,0.111515
HAP2_chr13,0.109601,0.109864,0.101969,0.113287,0.112841,0.113036,0.109325,0.098080,0.102331,0.062325,0.102770,0.110666,0.019857,0.099267,0.102624,0.098028,0.110641,0.111356,0.101724,0.112573,0.113233,0.113644,0.109622,0.097970,0.102349,0.062242,0.103301,0.111295,0.000000,0.100637,0.102228,0.097803
HAP2_chr14,0.110772,0.112479,0.104762,0.114869,0.113741,0.114011,0.112284,0.099373,0.105422,0.112143,0.104157,0.060716,0.100290,0.017346,0.104431,0.099517,0.111560,0.114136,0.103766,0.113741,0.114178,0.114229,0.110695,0.099976,0.104081,0.113026,0.104536,0.060782,0.100637,0.000000,0.104487,0.099610
HAP2_chr15,0.113951,0.061327,0.104690,0.116918,0.116694,0.114241,0.113608,0.101381,0.104241,0.113852,0.105972,0.114203,0.101799,0.102736,0.016423,0.102044,0.115057,0.061033,0.104619,0.115887,0.117441,0.114884,0.113552,0.101417,0.105824,0.114945,0.106112,0.115198,0.102228,0.104487,0.000000,0.101416
HAP2_chr16,0.066421,0.110705,0.102243,0.112733,0.111225,0.112395,0.108575,0.095329,0.100241,0.109971,0.101884,0.111211,0.098452,0.099127,0.101681,0.016586,0.066892,0.111593,0.101246,0.112416,0.111749,0.111857,0.108803,0.095662,0.101024,0.110474,0.101001,0.111515,0.097803,0.099610,0.101416,0.000000
