,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15
HAP1_chr11,0.125321,0.127652,0.127012,0.102535,0.127446,0.128140,0.127769,0.125871,0.127914,0.127016,0.000000,0.130251,0.128859,0.125850,0.095624,0.127285,0.127091,0.126768,0.126455,0.127609,0.127268,0.129897,0.128589,0.107065,0.126804,0.028917,0.129948,0.129553,0.126401,0.095108,0.127134,0.127627,0.127835,0.126827,0.127215,0.128056,0.126429,0.128812,0.102152,0.126911,0.024278,0.129342,0.128325,0.126445,0.095084,0.127287,0.124274,0.125963,0.126897,0.127083,0.128126,0.127317,0.126519,0.102817,0.126778,0.025288,0.130728,0.129812,0.126578,0.097300
HAP1_chr12,0.131270,0.129243,0.127345,0.125404,0.125603,0.131856,0.127166,0.128075,0.128541,0.127062,0.130251,0.000000,0.104169,0.106481,0.128834,0.128191,0.132583,0.126928,0.125006,0.131541,0.127321,0.130135,0.128711,0.124374,0.127244,0.131165,0.026291,0.104110,0.104811,0.128328,0.128259,0.132269,0.126912,0.125421,0.131480,0.127558,0.128383,0.128702,0.124651,0.126921,0.131499,0.024311,0.105434,0.105938,0.128786,0.129321,0.130479,0.126054,0.125211,0.130854,0.127529,0.128616,0.127857,0.125908,0.126408,0.129288,0.027818,0.105506,0.108812,0.128553
HAP1_chr13,0.128825,0.130577,0.128868,0.127421,0.128435,0.131284,0.129306,0.128688,0.130107,0.128483,0.128859,0.104169,0.000000,0.094099,0.128899,0.129611,0.128976,0.128074,0.128149,0.128881,0.128035,0.131441,0.130335,0.125299,0.127992,0.130351,0.104824,0.024324,0.092131,0.128712,0.129376,0.129134,0.129359,0.128132,0.129486,0.129308,0.128690,0.130459,0.126350,0.129183,0.130541,0.103896,0.023673,0.092732,0.130484,0.129959,0.127608,0.128324,0.129836,0.129850,0.129150,0.129037,0.129765,0.128387,0.129223,0.128440,0.106521,0.026404,0.095227,0.130164
HAP1_chr14,0.126105,0.124733,0.124005,0.120991,0.122487,0.127671,0.124324,0.127105,0.124603,0.122233,0.125850,0.106481,0.094099,0.000000,0.124394,0.124146,0.127973,0.123073,0.121616,0.126549,0.123088,0.128972,0.124704,0.118828,0.122086,0.127381,0.107050,0.094540,0.026766,0.123426,0.123331,0.127637,0.124435,0.122504,0.126881,0.124385,0.127036,0.125076,0.120778,0.122408,0.128201,0.105447,0.095443,0.028125,0.125687,0.124461,0.125155,0.122267,0.122040,0.126652,0.124367,0.127187,0.123736,0.121298,0.121273,0.124948,0.108560,0.096196,0.028031,0.123559
HAP1_chr15,0.129697,0.126953,0.126005,0.104281,0.125015,0.130882,0.126369,0.128484,0.126634,0.124921,0.095624,0.128834,0.128899,0.124394,0.000000,0.126708,0.130510,0.125952,0.124523,0.129167,0.124688,0.131923,0.126756,0.107720,0.124371,0.097863,0.127521,0.131693,0.124755,0.026137,0.126484,0.130780,0.126199,0.124826,0.129868,0.126361,0.129255,0.127007,0.103896,0.125217,0.096158,0.127529,0.129411,0.124841,0.026108,0.126246,0.127758,0.124375,0.124517,0.129205,0.126025,0.128948,0.125422,0.104502,0.124078,0.096610,0.128737,0.130809,0.123699,0.024820
HAP2_chr01,0.097187,0.021010,0.098092,0.120550,0.121879,0.127628,0.123151,0.126904,0.123938,0.122971,0.127285,0.128191,0.129611,0.124146,0.126708,0.000000,0.097791,0.098071,0.121225,0.126707,0.122282,0.130323,0.123888,0.119337,0.122199,0.129325,0.127427,0.130399,0.124031,0.125970,0.021427,0.098137,0.099109,0.121811,0.126474,0.122348,0.126756,0.124191,0.119802,0.122651,0.128755,0.127253,0.129059,0.124743,0.126583,0.025894,0.101880,0.099267,0.122341,0.125843,0.123484,0.127751,0.123007,0.121510,0.123632,0.126712,0.129341,0.130639,0.124577,0.125810
HAP2_chr02,0.019437,0.097802,0.088067,0.124822,0.126251,0.128063,0.127736,0.127050,0.128432,0.126725,0.127091,0.132583,0.128976,0.127973,0.130510,0.097791,0.000000,0.088099,0.125823,0.126883,0.127730,0.130334,0.128603,0.123407,0.126509,0.129734,0.131636,0.130181,0.128056,0.129592,0.098349,0.021271,0.089015,0.125642,0.127474,0.127112,0.127576,0.128885,0.124678,0.127124,0.129911,0.130819,0.130159,0.129221,0.130162,0.099940,0.026196,0.089620,0.126612,0.127310,0.128347,0.127920,0.127186,0.124746,0.126737,0.126654,0.133139,0.131298,0.128810,0.130128
HAP2_chr03,0.087446,0.098565,0.022547,0.120298,0.120885,0.126343,0.122401,0.125728,0.123013,0.121912,0.126768,0.126928,0.128074,0.123073,0.125952,0.098071,0.088099,0.000000,0.120662,0.126494,0.122239,0.129655,0.123252,0.118963,0.122066,0.129109,0.126072,0.129826,0.123806,0.125169,0.098437,0.088547,0.023607,0.119535,0.126468,0.122551,0.125746,0.123783,0.119045,0.121807,0.129507,0.125694,0.128182,0.124248,0.125676,0.100085,0.092325,0.024024,0.121637,0.125864,0.123143,0.126655,0.122800,0.120694,0.122926,0.125315,0.127510,0.130657,0.124214,0.125549
HAP2_chr04,0.124685,0.122478,0.121197,0.119919,0.025952,0.104434,0.113821,0.104198,0.109607,0.120289,0.126455,0.125006,0.128149,0.121616,0.124523,0.121225,0.125823,0.120662,0.000000,0.105665,0.112629,0.104866,0.110639,0.117888,0.120570,0.127757,0.124209,0.129009,0.122675,0.123415,0.121408,0.126246,0.121452,0.026037,0.107218,0.113387,0.102525,0.109798,0.119065,0.121373,0.128053,0.124210,0.128232,0.122693,0.124327,0.121955,0.123800,0.120070,0.027785,0.103268,0.113962,0.104612,0.109288,0.120482,0.120704,0.125450,0.126062,0.128818,0.121869,0.123857
HAP2_chr05,0.125278,0.127371,0.126489,0.125758,0.105527,0.022631,0.100803,0.127334,0.124767,0.100799,0.127609,0.131541,0.128881,0.126549,0.129167,0.126707,0.126883,0.126494,0.105665,0.000000,0.104486,0.129356,0.124191,0.123790,0.100019,0.129474,0.129594,0.130513,0.127378,0.128385,0.126551,0.126994,0.126990,0.105008,0.023930,0.100903,0.126861,0.124921,0.125094,0.100515,0.129880,0.130085,0.130001,0.127940,0.129677,0.127398,0.124843,0.125054,0.110654,0.020058,0.101787,0.127328,0.123993,0.126374,0.104138,0.125536,0.132552,0.130313,0.127243,0.129411
HAP2_chr06,0.125754,0.122555,0.122419,0.121000,0.113605,0.105386,0.024999,0.124681,0.123760,0.110410,0.127268,0.127321,0.128035,0.123088,0.124688,0.122282,0.127730,0.122239,0.112629,0.104486,0.000000,0.128211,0.123030,0.118355,0.109748,0.128039,0.127031,0.130044,0.123282,0.124198,0.122444,0.127408,0.123402,0.113460,0.105186,0.023827,0.124624,0.124518,0.119793,0.110193,0.129243,0.125854,0.127911,0.123280,0.124881,0.122610,0.125519,0.122287,0.115037,0.104893,0.026121,0.126599,0.123072,0.121274,0.112376,0.125882,0.128490,0.130154,0.122858,0.124208
HAP2_chr07,0.130102,0.130785,0.129375,0.127940,0.101529,0.130829,0.128419,0.023291,0.102768,0.113418,0.129897,0.130135,0.131441,0.128972,0.131923,0.130323,0.130334,0.129655,0.104866,0.129356,0.128211,0.000000,0.104390,0.126231,0.113918,0.131558,0.129995,0.132680,0.130130,0.131441,0.129962,0.130706,0.130582,0.101429,0.130099,0.128826,0.023292,0.103285,0.127983,0.113834,0.131298,0.129196,0.132182,0.130399,0.132117,0.130917,0.128837,0.128525,0.099915,0.130263,0.128363,0.022669,0.104253,0.129024,0.112939,0.129849,0.131405,0.131917,0.130702,0.132327
HAP2_chr08,0.126654,0.124490,0.123289,0.120928,0.108057,0.124303,0.124693,0.103911,0.023611,0.114570,0.128589,0.128711,0.130335,0.124704,0.126756,0.123888,0.128603,0.123252,0.110639,0.124191,0.123030,0.104390,0.000000,0.119470,0.115121,0.129066,0.127816,0.131271,0.124855,0.125841,0.123344,0.128199,0.123996,0.108019,0.123974,0.124410,0.104985,0.020065,0.120854,0.115918,0.129480,0.127456,0.129942,0.125202,0.126570,0.124176,0.125915,0.122325,0.108209,0.122724,0.124806,0.103212,0.024985,0.121943,0.115166,0.126461,0.129464,0.131861,0.125394,0.126261
HAP2_chr09,0.122692,0.120014,0.118941,0.032607,0.119282,0.125710,0.120646,0.121380,0.119754,0.118492,0.107065,0.124374,0.125299,0.118828,0.107720,0.119337,0.123407,0.118963,0.117888,0.123790,0.118355,0.126231,0.119470,0.000000,0.117303,0.108747,0.123548,0.126274,0.120128,0.107497,0.119357,0.123758,0.119975,0.118942,0.124765,0.120207,0.121933,0.119956,0.031978,0.118198,0.108583,0.122872,0.125336,0.120043,0.107779,0.119379,0.120863,0.117553,0.118358,0.124376,0.120322,0.122078,0.119269,0.034638,0.117630,0.106002,0.124381,0.126393,0.118792,0.107103
HAP2_chr10,0.125710,0.123824,0.121968,0.120389,0.121254,0.101055,0.106677,0.111276,0.115139,0.022042,0.126804,0.127244,0.127992,0.122086,0.124371,0.122199,0.126509,0.122066,0.120570,0.100019,0.109748,0.113918,0.115121,0.117303,0.000000,0.127004,0.126005,0.129454,0.123440,0.124014,0.122836,0.127120,0.122652,0.121117,0.100058,0.106782,0.115337,0.116037,0.119863,0.022744,0.129457,0.125282,0.127915,0.123142,0.124712,0.123077,0.125039,0.120833,0.121435,0.100630,0.106723,0.112224,0.114920,0.120716,0.024910,0.125967,0.126991,0.129489,0.122838,0.123832
HAP2_chr11,0.128674,0.130825,0.128909,0.105478,0.129584,0.130076,0.130418,0.128143,0.129679,0.127921,0.028917,0.131165,0.130351,0.127381,0.097863,0.129325,0.129734,0.129109,0.127757,0.129474,0.128039,0.131558,0.129066,0.108747,0.127004,0.000000,0.130757,0.131921,0.126766,0.097850,0.129948,0.129307,0.130616,0.128197,0.129264,0.129719,0.128417,0.130109,0.104605,0.127569,0.027778,0.131462,0.129118,0.128483,0.097438,0.129428,0.126817,0.127773,0.128290,0.129062,0.128878,0.128746,0.128921,0.105823,0.127416,0.028386,0.131144,0.130063,0.127474,0.100541
HAP2_chr12,0.129257,0.127241,0.126359,0.125412,0.125047,0.131282,0.126626,0.127634,0.127363,0.126566,0.129948,0.026291,0.104824,0.107050,0.127521,0.127427,0.131636,0.126072,0.124209,0.129594,0.127031,0.129995,0.127816,0.123548,0.126005,0.130757,0.000000,0.105287,0.105704,0.127568,0.126789,0.131122,0.126453,0.124391,0.130506,0.126616,0.127984,0.127798,0.124698,0.126673,0.131638,0.025723,0.105912,0.106762,0.128389,0.127784,0.128163,0.125479,0.124724,0.130145,0.127055,0.128551,0.126972,0.125444,0.125762,0.128148,0.027330,0.106611,0.107693,0.127567
HAP2_chr13,0.130353,0.132114,0.129809,0.128545,0.129605,0.130787,0.130630,0.129831,0.131311,0.129756,0.129553,0.104110,0.024324,0.094540,0.131693,0.130399,0.130181,0.129826,0.129009,0.130513,0.130044,0.132680,0.131271,0.126274,0.129454,0.131921,0.105287,0.000000,0.092572,0.130554,0.131020,0.130795,0.131133,0.130372,0.129970,0.130788,0.129939,0.131680,0.127280,0.130053,0.130496,0.104049,0.024309,0.092718,0.131304,0.130862,0.129023,0.128965,0.129888,0.130245,0.130952,0.130439,0.131131,0.128424,0.130428,0.128774,0.106802,0.024708,0.095680,0.131207
HAP2_chr14,0.127099,0.124545,0.124641,0.121481,0.123068,0.128393,0.124423,0.126917,0.125039,0.122986,0.126401,0.104811,0.092131,0.026766,0.124755,0.124031,0.128056,0.123806,0.122675,0.127378,0.123282,0.130130,0.124855,0.120128,0.123440,0.126766,0.105704,0.092572,0.000000,0.125131,0.124475,0.128542,0.124907,0.123162,0.127392,0.124389,0.127341,0.125181,0.121530,0.123420,0.128560,0.104893,0.092747,0.026581,0.125359,0.124583,0.126463,0.123326,0.123636,0.127855,0.124186,0.127300,0.124014,0.121711,0.122708,0.125131,0.106116,0.093335,0.026419,0.124659
HAP2_chr15,0.129049,0.126286,0.125531,0.103436,0.124228,0.129987,0.125946,0.128531,0.126544,0.123080,0.095108,0.128328,0.128712,0.123426,0.026137,0.125970,0.129592,0.125169,0.123415,0.128385,0.124198,0.131441,0.125841,0.107497,0.124014,0.097850,0.127568,0.130554,0.125131,0.000000,0.125940,0.129313,0.125649,0.124381,0.129294,0.125896,0.127921,0.126053,0.102605,0.123997,0.095367,0.126906,0.128396,0.124692,0.024871,0.125928,0.127141,0.123847,0.123299,0.128560,0.125065,0.128960,0.124987,0.103163,0.123778,0.095912,0.128567,0.131126,0.123557,0.026261
HAP3_chr01,0.097234,0.021530,0.098455,0.120151,0.121923,0.126962,0.122903,0.126498,0.123854,0.122744,0.127134,0.128259,0.129376,0.123331,0.126484,0.021427,0.098349,0.098437,0.121408,0.126551,0.122444,0.129962,0.123344,0.119357,0.122836,0.129948,0.126789,0.131020,0.124475,0.125940,0.000000,0.098725,0.099289,0.120828,0.127111,0.122109,0.126186,0.123834,0.119236,0.122563,0.129262,0.127011,0.129305,0.124506,0.126844,0.025796,0.100988,0.099624,0.122334,0.126482,0.122986,0.127594,0.122777,0.121007,0.123281,0.126467,0.128845,0.131454,0.124356,0.126023
HAP3_chr02,0.020026,0.098208,0.088237,0.125475,0.125943,0.128058,0.128541,0.126647,0.128722,0.127029,0.127627,0.132269,0.129134,0.127637,0.130780,0.098137,0.021271,0.088547,0.126246,0.126994,0.127408,0.130706,0.128199,0.123758,0.127120,0.129307,0.131122,0.130795,0.128542,0.129313,0.098725,0.000000,0.089329,0.125655,0.127589,0.128149,0.127199,0.129657,0.124584,0.127942,0.130322,0.131331,0.130494,0.127883,0.130673,0.100131,0.025018,0.089808,0.126529,0.126544,0.128600,0.126900,0.127864,0.125844,0.128063,0.126896,0.132999,0.131943,0.128679,0.130615
HAP3_chr03,0.088460,0.098940,0.021276,0.120719,0.122217,0.127781,0.124048,0.127183,0.123852,0.122405,0.127835,0.126912,0.129359,0.124435,0.126199,0.099109,0.089015,0.023607,0.121452,0.126990,0.123402,0.130582,0.123996,0.119975,0.122652,0.130616,0.126453,0.131133,0.124907,0.125649,0.099289,0.089329,0.000000,0.121679,0.127522,0.123881,0.126832,0.124766,0.120367,0.123737,0.130079,0.125895,0.129075,0.125176,0.126772,0.100887,0.093048,0.025558,0.122280,0.127475,0.123984,0.127298,0.123418,0.121111,0.123807,0.125825,0.127666,0.130703,0.125327,0.125306
HAP3_chr04,0.124500,0.122490,0.120609,0.120610,0.023252,0.104479,0.114640,0.101342,0.106391,0.121267,0.126827,0.125421,0.128132,0.122504,0.124826,0.121811,0.125642,0.119535,0.026037,0.105008,0.113460,0.101429,0.108019,0.118942,0.121117,0.128197,0.124391,0.130372,0.123162,0.124381,0.120828,0.125655,0.121679,0.000000,0.107258,0.113975,0.099887,0.106874,0.119825,0.121694,0.128892,0.124288,0.128450,0.123740,0.125350,0.122087,0.124513,0.120233,0.025981,0.103871,0.114555,0.101232,0.107600,0.120573,0.121615,0.125495,0.126482,0.130673,0.123385,0.124942
HAP3_chr05,0.125895,0.127778,0.127215,0.126346,0.107563,0.022966,0.101326,0.127466,0.124589,0.100170,0.127215,0.131480,0.129486,0.126881,0.129868,0.126474,0.127474,0.126468,0.107218,0.023930,0.105186,0.130099,0.123974,0.124765,0.100058,0.129264,0.130506,0.129970,0.127392,0.129294,0.127111,0.127589,0.127522,0.107258,0.000000,0.101772,0.127054,0.124967,0.125298,0.100419,0.129568,0.130515,0.129747,0.127539,0.129944,0.127187,0.125642,0.126273,0.113313,0.024480,0.102399,0.128585,0.123361,0.127829,0.104534,0.125777,0.131240,0.130343,0.127244,0.128786
HAP3_chr06,0.126057,0.123007,0.122422,0.121762,0.113677,0.101391,0.020645,0.124926,0.124316,0.106683,0.128056,0.127558,0.129308,0.124385,0.126361,0.122348,0.127112,0.122551,0.113387,0.100903,0.023827,0.128826,0.124410,0.120207,0.106782,0.129719,0.126616,0.130788,0.124389,0.125896,0.122109,0.128149,0.123881,0.113975,0.101772,0.000000,0.125601,0.125113,0.120520,0.106147,0.129395,0.126347,0.128866,0.124909,0.126306,0.122784,0.125777,0.122481,0.115783,0.100880,0.021390,0.127638,0.124111,0.122103,0.109581,0.126565,0.128037,0.130560,0.124901,0.125733
HAP3_chr07,0.126236,0.127877,0.126023,0.124513,0.099578,0.127547,0.125437,0.022143,0.103413,0.115227,0.126429,0.128383,0.128690,0.127036,0.129255,0.126756,0.127576,0.125746,0.102525,0.126861,0.124624,0.023292,0.104985,0.121933,0.115337,0.128417,0.127984,0.129939,0.127341,0.127921,0.126186,0.127199,0.126832,0.099887,0.127054,0.125601,0.000000,0.104717,0.123313,0.115063,0.128487,0.127321,0.128169,0.127286,0.129171,0.127609,0.124881,0.125024,0.098346,0.126796,0.125750,0.021874,0.105185,0.124074,0.114894,0.126427,0.128091,0.129731,0.127041,0.127989
HAP3_chr08,0.127734,0.124771,0.123645,0.121889,0.106512,0.124929,0.125533,0.103026,0.019471,0.115873,0.128812,0.128702,0.130459,0.125076,0.127007,0.124191,0.128885,0.123783,0.109798,0.124921,0.124518,0.103285,0.020065,0.119956,0.116037,0.130109,0.127798,0.131680,0.125181,0.126053,0.123834,0.129657,0.124766,0.106874,0.124967,0.125113,0.104717,0.000000,0.121630,0.116178,0.130944,0.127354,0.130538,0.126249,0.126778,0.125140,0.125969,0.122980,0.106687,0.123103,0.125387,0.102611,0.023409,0.122782,0.115515,0.127239,0.129861,0.131831,0.125234,0.126863
HAP3_chr09,0.123743,0.120376,0.119085,0.027043,0.120117,0.125827,0.120903,0.123530,0.120886,0.118938,0.102152,0.124651,0.126350,0.120778,0.103896,0.119802,0.124678,0.119045,0.119065,0.125094,0.119793,0.127983,0.120854,0.031978,0.119863,0.104605,0.124698,0.127280,0.121530,0.102605,0.119236,0.124584,0.120367,0.119825,0.125298,0.120520,0.123313,0.121630,0.000000,0.119763,0.103154,0.124330,0.125943,0.121647,0.103228,0.120167,0.122491,0.118036,0.119775,0.124903,0.120969,0.125058,0.120636,0.025760,0.119565,0.102581,0.125439,0.127825,0.121168,0.105498
HAP3_chr10,0.125740,0.124237,0.121924,0.121130,0.121479,0.100905,0.106236,0.111623,0.115158,0.021370,0.126911,0.126921,0.129183,0.122408,0.125217,0.122651,0.127124,0.121807,0.121373,0.100515,0.110193,0.113834,0.115918,0.118198,0.022744,0.127569,0.126673,0.130053,0.123420,0.123997,0.122563,0.127942,0.123737,0.121694,0.100419,0.106147,0.115063,0.116178,0.119763,0.000000,0.128969,0.125733,0.128459,0.123481,0.125763,0.123029,0.124996,0.121178,0.121569,0.100747,0.106209,0.112420,0.115207,0.121423,0.024648,0.125356,0.128710,0.129130,0.122886,0.124120
HAP3_chr11,0.128868,0.130217,0.129589,0.102855,0.128870,0.130322,0.129473,0.128066,0.130055,0.129410,0.024278,0.131499,0.130541,0.128201,0.096158,0.128755,0.129911,0.129507,0.128053,0.129880,0.129243,0.131298,0.129480,0.108583,0.129457,0.027778,0.131638,0.130496,0.128560,0.095367,0.129262,0.130322,0.130079,0.128892,0.129568,0.129395,0.128487,0.130944,0.103154,0.128969,0.000000,0.131029,0.129987,0.127703,0.095035,0.129402,0.127171,0.128222,0.129977,0.129541,0.129894,0.129131,0.130313,0.103879,0.129014,0.025990,0.132483,0.131378,0.128566,0.097927
