,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP2_chr02,0.063412,0.026935,0.063882,0.064184,0.063929,0.064218,0.064459,0.064542,0.078927,0.078684,0.079591,0.079110,0.079402,0.080358,0.071025,0.080121,0.063447,0.000000,0.063981,0.064036,0.063856,0.064309,0.064316,0.064421,0.078756,0.079229,0.079714,0.079692,0.079696,0.079951,0.071096,0.080052
HAP2_chr03,0.063891,0.064099,0.027939,0.064467,0.064441,0.064148,0.064296,0.064762,0.079487,0.070294,0.079833,0.079564,0.079954,0.080672,0.079904,0.080077,0.063947,0.063981,0.000000,0.063864,0.064296,0.064339,0.064045,0.064536,0.079571,0.070648,0.080233,0.080212,0.080081,0.080363,0.080230,0.080127
HAP2_chr04,0.063743,0.064156,0.063994,0.032216,0.064528,0.064267,0.064921,0.064879,0.079265,0.078862,0.079677,0.070914,0.079736,0.080943,0.079554,0.080264,0.063866,0.064036,0.063864,0.000000,0.064461,0.064666,0.064688,0.064511,0.079393,0.079076,0.079969,0.071494,0.079929,0.080301,0.079954,0.080132
HAP2_chr05,0.064064,0.064011,0.064199,0.064975,0.022600,0.064163,0.064221,0.064438,0.078877,0.078574,0.078897,0.079113,0.070739,0.079696,0.079322,0.079417,0.064178,0.063856,0.064296,0.064461,0.000000,0.064174,0.064018,0.064335,0.078828,0.078946,0.079291,0.079665,0.070850,0.079193,0.079546,0.079141
HAP2_chr06,0.064274,0.064420,0.064365,0.064968,0.064580,0.025001,0.064001,0.064498,0.078837,0.078105,0.070826,0.078952,0.078503,0.079383,0.078772,0.078825,0.064388,0.064309,0.064339,0.064666,0.064174,0.000000,0.064134,0.064131,0.078963,0.078306,0.070642,0.079329,0.078849,0.078934,0.078802,0.078806
HAP2_chr07,0.064641,0.064281,0.064171,0.065032,0.064290,0.064086,0.026917,0.064358,0.079144,0.078569,0.079014,0.079280,0.079085,0.079545,0.079222,0.071425,0.064585,0.064316,0.064045,0.064688,0.064018,0.064134,0.000000,0.064190,0.079211,0.078893,0.078832,0.079786,0.079283,0.079078,0.079299,0.071436
HAP2_chr08,0.064475,0.064427,0.064170,0.064995,0.064496,0.063878,0.064115,0.025040,0.079549,0.078980,0.078913,0.079499,0.079238,0.072674,0.079487,0.079464,0.064589,0.064421,0.064536,0.064511,0.064335,0.064131,0.064190,0.000000,0.079592,0.078994,0.079298,0.079870,0.079520,0.072374,0.079694,0.079248
HAP2_chr09,0.070950,0.078521,0.079344,0.079634,0.079191,0.078854,0.079313,0.079962,0.021825,0.066929,0.066897,0.066984,0.066897,0.067118,0.067076,0.066892,0.071319,0.078756,0.079571,0.079393,0.078828,0.078963,0.079211,0.079592,0.000000,0.066848,0.067019,0.067333,0.066945,0.066650,0.067322,0.067048
HAP2_chr10,0.078994,0.078991,0.070335,0.079594,0.079009,0.077488,0.078648,0.079557,0.066839,0.021859,0.067012,0.067260,0.067027,0.067186,0.066775,0.066570,0.079244,0.079229,0.070648,0.079076,0.078946,0.078306,0.078893,0.078994,0.066848,0.000000,0.066882,0.067651,0.067124,0.066105,0.067051,0.066838
HAP2_chr11,0.079657,0.079510,0.079905,0.080479,0.079438,0.070935,0.079043,0.079427,0.067178,0.066920,0.020198,0.067437,0.066864,0.066311,0.066977,0.065918,0.080208,0.079714,0.080233,0.079969,0.079291,0.070642,0.078832,0.079298,0.067019,0.066882,0.000000,0.067647,0.066882,0.065969,0.067306,0.065822
HAP2_chr12,0.079570,0.079598,0.080236,0.071363,0.079781,0.079529,0.079760,0.080128,0.067309,0.067604,0.067726,0.023363,0.067550,0.067884,0.067772,0.067651,0.079774,0.079692,0.080212,0.071494,0.079665,0.079329,0.079786,0.079870,0.067333,0.067651,0.067647,0.000000,0.067691,0.067642,0.067900,0.067738
HAP2_chr13,0.079559,0.079486,0.079988,0.080447,0.070922,0.079168,0.079272,0.079853,0.066995,0.067191,0.066840,0.067314,0.019781,0.066843,0.067194,0.066381,0.079877,0.079696,0.080081,0.079929,0.070850,0.078849,0.079283,0.079520,0.066945,0.067124,0.066882,0.067691,0.000000,0.066640,0.067378,0.066776
HAP2_chr14,0.080013,0.079917,0.080184,0.080960,0.079576,0.078399,0.078938,0.072637,0.066699,0.066887,0.065951,0.067174,0.066487,0.018728,0.066847,0.065888,0.080351,0.079951,0.080363,0.080301,0.079193,0.078934,0.079078,0.072374,0.066650,0.066105,0.065969,0.067642,0.066640,0.000000,0.067340,0.066234
HAP2_chr15,0.079674,0.070759,0.079850,0.080577,0.079695,0.078809,0.079049,0.080064,0.067442,0.067084,0.067376,0.067582,0.067348,0.067692,0.020770,0.066991,0.080014,0.071096,0.080230,0.079954,0.079546,0.078802,0.079299,0.079694,0.067322,0.067051,0.067306,0.067900,0.067378,0.067340,0.000000,0.067216
HAP2_chr16,0.079973,0.079865,0.079954,0.080669,0.079542,0.078922,0.071320,0.079577,0.067169,0.066830,0.065889,0.067407,0.066760,0.066477,0.066898,0.018569,0.080194,0.080052,0.080127,0.080132,0.079141,0.078806,0.071436,0.079248,0.067048,0.066838,0.065822,0.067738,0.066776,0.066234,0.067216,0.000000
