,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr14,HAP2_chr13,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr14,HAP3_chr13,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr14,HAP4_chr13,HAP4_chr15,HAP4_chr16,HAP4_chr17
HAP1_chr11,0.109854,0.108645,0.106111,0.108016,0.108534,0.108169,0.117258,0.106242,0.109211,0.108061,0.000000,0.109884,0.108847,0.108408,0.098685,0.105997,0.107232,0.110071,0.109160,0.107157,0.105838,0.108626,0.108190,0.107903,0.104935,0.108276,0.106800,0.012254,0.107852,0.109676,0.109096,0.098530,0.107231,0.106013,0.110087,0.108789,0.107089,0.105485,0.109024,0.108603,0.108851,0.105647,0.108514,0.107858,0.011496,0.108184,0.109926,0.108503,0.099844,0.104321,0.107443,0.112322,0.109839,0.106040,0.112075,0.108556,0.109316,0.107354,0.106204,0.109020,0.108412,0.011430,0.109717,0.108400,0.112700,0.100292,0.106555,0.112534
HAP1_chr12,0.113381,0.111223,0.109313,0.111131,0.110210,0.111293,0.103296,0.110355,0.111707,0.111336,0.109884,0.000000,0.110710,0.111467,0.110046,0.111011,0.111466,0.112775,0.111230,0.109945,0.109507,0.110624,0.110966,0.097926,0.110345,0.111018,0.110689,0.109721,0.015784,0.112272,0.111287,0.109449,0.111784,0.110763,0.112820,0.111849,0.110009,0.108848,0.110965,0.110609,0.097644,0.109957,0.111059,0.110818,0.108654,0.015776,0.111789,0.111837,0.110453,0.109609,0.111754,0.115486,0.112006,0.109137,0.115537,0.110451,0.111437,0.097700,0.111258,0.111365,0.111916,0.109004,0.008148,0.111076,0.115779,0.111758,0.111142,0.116254
HAP1_chr13,0.111595,0.109192,0.107994,0.109995,0.109908,0.109157,0.117246,0.108719,0.109981,0.110085,0.108847,0.110710,0.000000,0.110175,0.103119,0.101900,0.109662,0.112091,0.110533,0.108174,0.108991,0.109785,0.109690,0.109327,0.108690,0.109436,0.109226,0.109207,0.110790,0.111241,0.010348,0.102453,0.102352,0.108872,0.111547,0.109925,0.108711,0.108072,0.109972,0.109160,0.110614,0.109047,0.109181,0.109653,0.108890,0.110393,0.110827,0.014266,0.103898,0.100523,0.109552,0.114183,0.111117,0.108253,0.114464,0.109801,0.110115,0.109873,0.109834,0.109805,0.110192,0.108812,0.110886,0.109796,0.014642,0.104778,0.101680,0.113202
HAP1_chr14,0.101363,0.110411,0.108206,0.108706,0.109797,0.110569,0.117488,0.109264,0.110141,0.109469,0.108408,0.111467,0.110175,0.000000,0.109677,0.108696,0.109565,0.101895,0.111105,0.108771,0.108177,0.110297,0.110411,0.108987,0.108327,0.109237,0.108510,0.108366,0.110621,0.014472,0.110427,0.110016,0.110547,0.108189,0.101733,0.110859,0.109074,0.107891,0.109854,0.110245,0.110382,0.109021,0.109320,0.109481,0.108818,0.109819,0.015064,0.110517,0.110629,0.108460,0.109606,0.103541,0.111652,0.108276,0.114640,0.109387,0.111124,0.109671,0.109040,0.110377,0.110122,0.108633,0.111283,0.014829,0.113822,0.111011,0.109974,0.114032
HAP1_chr15,0.111342,0.109665,0.107912,0.109139,0.108128,0.109457,0.117018,0.108293,0.109768,0.108997,0.098685,0.110046,0.103119,0.109677,0.000000,0.109251,0.107996,0.111022,0.109965,0.107104,0.107504,0.108916,0.108479,0.109141,0.107342,0.108684,0.107251,0.099183,0.109015,0.110295,0.103323,0.012086,0.110150,0.107144,0.110358,0.110164,0.108308,0.106820,0.109357,0.109281,0.110199,0.107515,0.109014,0.108137,0.099145,0.108516,0.109880,0.104247,0.012971,0.107556,0.108506,0.113139,0.110505,0.107735,0.113394,0.108402,0.110222,0.109204,0.108624,0.109532,0.108962,0.099106,0.110219,0.108858,0.107332,0.012980,0.109447,0.112970
HAP1_chr16,0.111338,0.109565,0.107539,0.108787,0.108883,0.109195,0.118456,0.108625,0.110010,0.109666,0.105997,0.111011,0.101900,0.108696,0.109251,0.000000,0.108405,0.112108,0.110689,0.108608,0.106412,0.109847,0.110180,0.109607,0.108029,0.108666,0.109020,0.105436,0.110406,0.110117,0.102229,0.108898,0.013943,0.107741,0.112116,0.110269,0.108586,0.106287,0.110737,0.109930,0.110067,0.108092,0.109148,0.109673,0.104922,0.110258,0.110403,0.102173,0.109646,0.013814,0.109244,0.113315,0.111178,0.108127,0.113071,0.109881,0.110395,0.108403,0.108399,0.109816,0.110124,0.105600,0.111324,0.108684,0.104724,0.110738,0.013014,0.113347
HAP1_chr17,0.110057,0.110402,0.107923,0.106939,0.109261,0.109428,0.119047,0.107284,0.100438,0.109995,0.107232,0.111466,0.109662,0.109565,0.107996,0.108405,0.000000,0.109857,0.111258,0.108915,0.106595,0.110146,0.110399,0.109087,0.107387,0.100328,0.109227,0.107459,0.109473,0.110597,0.109887,0.108996,0.110923,0.012066,0.109559,0.111549,0.108513,0.106296,0.109526,0.109578,0.110103,0.107588,0.099957,0.108992,0.107564,0.109880,0.109975,0.110902,0.109212,0.107938,0.011492,0.112508,0.111884,0.108969,0.112905,0.109918,0.110185,0.108876,0.107824,0.100032,0.109710,0.107327,0.111155,0.109711,0.114021,0.110116,0.110186,0.008217
HAP2_chr01,0.011840,0.109877,0.107653,0.109679,0.110036,0.103503,0.119005,0.109115,0.111282,0.111030,0.110071,0.112775,0.112091,0.101895,0.111022,0.112108,0.109857,0.000000,0.110236,0.108216,0.108756,0.110572,0.103531,0.111750,0.108838,0.111025,0.109643,0.110311,0.112003,0.102311,0.112156,0.111267,0.113143,0.108706,0.005743,0.110390,0.108618,0.108158,0.110658,0.103485,0.112075,0.109066,0.110643,0.110255,0.110218,0.112450,0.102133,0.112783,0.111615,0.110845,0.110111,0.026814,0.111765,0.108385,0.113616,0.110434,0.104478,0.111744,0.109744,0.111376,0.111082,0.109821,0.112606,0.101355,0.116367,0.112407,0.112139,0.115033
HAP2_chr02,0.110053,0.014319,0.094750,0.109655,0.108990,0.109062,0.117418,0.108576,0.110210,0.110410,0.109160,0.111230,0.110533,0.111105,0.109965,0.110689,0.111258,0.110236,0.000000,0.095089,0.107835,0.108869,0.109032,0.110312,0.108595,0.109927,0.109100,0.109351,0.111320,0.112479,0.111118,0.110116,0.111772,0.110379,0.110189,0.014120,0.094844,0.107043,0.109006,0.108773,0.110505,0.108308,0.109952,0.109413,0.108870,0.110190,0.111929,0.110723,0.110702,0.108676,0.111547,0.111503,0.002428,0.094732,0.112877,0.109578,0.110427,0.109760,0.109270,0.110865,0.110095,0.108903,0.110914,0.110628,0.114256,0.111739,0.111136,0.115730
HAP2_chr03,0.108329,0.094359,0.014489,0.107023,0.106188,0.107450,0.115303,0.106781,0.108879,0.107704,0.107157,0.109945,0.108174,0.108771,0.107104,0.108608,0.108915,0.108216,0.095089,0.000000,0.106141,0.107563,0.107668,0.107528,0.105861,0.107138,0.106000,0.107035,0.108658,0.110227,0.108335,0.107645,0.109782,0.107083,0.108238,0.094982,0.014345,0.105193,0.107176,0.107195,0.108479,0.106138,0.108035,0.107430,0.106758,0.108972,0.109654,0.108581,0.108998,0.106665,0.108628,0.109764,0.096179,0.013671,0.110581,0.106668,0.107854,0.107535,0.106595,0.108416,0.107884,0.106746,0.109643,0.107750,0.112491,0.109695,0.109210,0.113540
HAP2_chr04,0.108435,0.107288,0.105188,0.017834,0.106577,0.107574,0.116207,0.093833,0.108612,0.107603,0.105838,0.109507,0.108991,0.108177,0.107504,0.106412,0.106595,0.108756,0.107835,0.106141,0.000000,0.106410,0.107820,0.107313,0.093234,0.107832,0.107041,0.105429,0.108312,0.109076,0.108807,0.107167,0.108647,0.105544,0.108352,0.108335,0.105850,0.007106,0.107061,0.107445,0.108052,0.093350,0.108133,0.107293,0.105186,0.108794,0.108960,0.109328,0.107578,0.105595,0.107604,0.110711,0.108836,0.106396,0.025190,0.107218,0.108308,0.107311,0.093661,0.108404,0.107736,0.105492,0.109683,0.108134,0.112540,0.108048,0.108074,0.111565
HAP2_chr05,0.110175,0.108556,0.106448,0.107538,0.014418,0.109468,0.116401,0.108278,0.108843,0.097020,0.108626,0.110624,0.109785,0.110297,0.108916,0.109847,0.110146,0.110572,0.108869,0.107563,0.106410,0.000000,0.108409,0.110054,0.107599,0.109082,0.096729,0.108275,0.110501,0.110492,0.110378,0.108908,0.111410,0.108015,0.109912,0.109460,0.107199,0.106109,0.012130,0.108787,0.110495,0.107699,0.109438,0.096072,0.108476,0.109965,0.110468,0.110857,0.109209,0.108168,0.110047,0.111934,0.109682,0.107095,0.112199,0.014068,0.109688,0.109368,0.108171,0.109241,0.096928,0.107965,0.110571,0.109977,0.114140,0.109915,0.110449,0.114221
HAP2_chr06,0.103507,0.108769,0.107422,0.107255,0.108429,0.015817,0.116428,0.108695,0.104934,0.110003,0.108190,0.110966,0.109690,0.110411,0.108479,0.110180,0.110399,0.103531,0.109032,0.107668,0.107820,0.108409,0.000000,0.109892,0.107677,0.103849,0.108548,0.108630,0.110295,0.110947,0.110287,0.108946,0.111751,0.109068,0.103523,0.109602,0.107636,0.106947,0.109492,0.011677,0.111124,0.108567,0.104903,0.109000,0.108042,0.110412,0.110870,0.110148,0.110187,0.108598,0.110258,0.102710,0.109553,0.107153,0.113130,0.108619,0.017682,0.109435,0.109134,0.104939,0.109426,0.108157,0.110475,0.109755,0.113223,0.111167,0.110893,0.114825
HAP2_chr07,0.111555,0.109360,0.107766,0.109097,0.109340,0.109717,0.036074,0.109214,0.110071,0.109780,0.107903,0.097926,0.109327,0.108987,0.109141,0.109607,0.109087,0.111750,0.110312,0.107528,0.107313,0.110054,0.109892,0.000000,0.107769,0.109538,0.108377,0.108088,0.097189,0.110420,0.110338,0.108629,0.111003,0.108018,0.111981,0.110482,0.108676,0.106867,0.110257,0.110355,0.013855,0.108335,0.109560,0.109254,0.108048,0.097116,0.110609,0.109842,0.110158,0.108615,0.109698,0.113516,0.111268,0.107761,0.113100,0.109293,0.110800,0.013624,0.108980,0.109761,0.109737,0.108230,0.097696,0.109531,0.113343,0.111488,0.110639,0.113110
HAP2_chr08,0.108847,0.107394,0.106010,0.095448,0.106814,0.108259,0.116950,0.010395,0.108839,0.108115,0.104935,0.110345,0.108690,0.108327,0.107342,0.108029,0.107387,0.108838,0.108595,0.105861,0.093234,0.107599,0.107677,0.107769,0.000000,0.108105,0.106746,0.105486,0.108690,0.108634,0.109503,0.107784,0.109564,0.105995,0.108733,0.108863,0.106796,0.092716,0.108840,0.108282,0.108724,0.010608,0.108336,0.107952,0.105038,0.109283,0.109085,0.109087,0.108222,0.106544,0.107542,0.110924,0.109714,0.105846,0.098645,0.107098,0.108961,0.107575,0.010244,0.108997,0.108919,0.105604,0.110183,0.108275,0.112779,0.109236,0.108627,0.111584
HAP2_chr09,0.110256,0.109138,0.106972,0.108404,0.108471,0.104368,0.117814,0.108969,0.014146,0.109208,0.108276,0.111018,0.109436,0.109237,0.108684,0.108666,0.100328,0.111025,0.109927,0.107138,0.107832,0.109082,0.103849,0.109538,0.108105,0.000000,0.108009,0.108330,0.109721,0.110998,0.109194,0.108581,0.111343,0.098896,0.110562,0.110013,0.107921,0.106902,0.109892,0.104799,0.110372,0.108461,0.012567,0.109254,0.108164,0.109490,0.110279,0.109925,0.109480,0.108311,0.100049,0.112292,0.110685,0.107435,0.113094,0.108907,0.105991,0.108961,0.109191,0.014322,0.109813,0.108595,0.110563,0.108573,0.112904,0.110718,0.110745,0.103593
HAP2_chr10,0.110363,0.107568,0.106476,0.104240,0.096231,0.109275,0.116515,0.108016,0.108898,0.012287,0.106800,0.110689,0.109226,0.108510,0.107251,0.109020,0.109227,0.109643,0.109100,0.106000,0.107041,0.096729,0.108548,0.108377,0.106746,0.108009,0.000000,0.107529,0.109039,0.109867,0.109742,0.108353,0.109777,0.107471,0.109560,0.108037,0.107493,0.106020,0.097123,0.108870,0.109304,0.107427,0.107669,0.013825,0.107151,0.109089,0.109542,0.109700,0.109102,0.107046,0.108880,0.111493,0.109709,0.106004,0.111609,0.096016,0.110293,0.107794,0.107937,0.108992,0.014112,0.107806,0.110252,0.108079,0.112963,0.109551,0.109018,0.113647
HAP2_chr11,0.110486,0.108861,0.106177,0.107082,0.108417,0.108288,0.117995,0.106092,0.108538,0.108510,0.012254,0.109721,0.109207,0.108366,0.099183,0.105436,0.107459,0.110311,0.109351,0.107035,0.105429,0.108275,0.108630,0.108088,0.105486,0.108330,0.107529,0.000000,0.108073,0.109100,0.108624,0.099237,0.107228,0.105986,0.110242,0.109109,0.106758,0.105397,0.108664,0.108486,0.108772,0.105666,0.108557,0.107274,0.011051,0.108525,0.109511,0.109349,0.099434,0.104900,0.107814,0.112783,0.110032,0.106533,0.111758,0.108566,0.108910,0.107455,0.105835,0.108456,0.107971,0.008532,0.109623,0.108461,0.112692,0.100107,0.106828,0.112755
HAP2_chr12,0.112496,0.110380,0.108558,0.109527,0.109860,0.110722,0.103399,0.109242,0.110726,0.110527,0.107852,0.015784,0.110790,0.110621,0.109015,0.110406,0.109473,0.112003,0.111320,0.108658,0.108312,0.110501,0.110295,0.097189,0.108690,0.109721,0.109039,0.108073,0.000000,0.111521,0.111664,0.108492,0.111383,0.108187,0.111891,0.110597,0.109245,0.107695,0.110849,0.109781,0.097685,0.109044,0.109955,0.110288,0.107720,0.015197,0.111691,0.110846,0.110056,0.108275,0.109644,0.114568,0.112176,0.108115,0.113663,0.109774,0.110957,0.096689,0.109625,0.110663,0.111304,0.108444,0.015839,0.110729,0.114656,0.111190,0.110867,0.114213
HAP2_chr14,0.102095,0.111731,0.108807,0.109652,0.110556,0.111456,0.118594,0.109248,0.110915,0.110604,0.109676,0.112272,0.111241,0.014472,0.110295,0.110117,0.110597,0.102311,0.112479,0.110227,0.109076,0.110492,0.110947,0.110420,0.108634,0.110998,0.109867,0.109100,0.111521,0.000000,0.111408,0.110642,0.110925,0.109068,0.101892,0.112396,0.109532,0.108701,0.110868,0.111096,0.111364,0.109345,0.110820,0.109618,0.110029,0.111641,0.011496,0.111135,0.110602,0.109276,0.111350,0.103809,0.113409,0.110120,0.115064,0.110717,0.112065,0.110551,0.109767,0.110645,0.110349,0.109222,0.111759,0.013958,0.114687,0.111455,0.110756,0.114987
HAP2_chr13,0.112065,0.109555,0.108468,0.110497,0.110240,0.109944,0.117927,0.109399,0.109780,0.110357,0.109096,0.111287,0.010348,0.110427,0.103323,0.102229,0.109887,0.112156,0.111118,0.108335,0.108807,0.110378,0.110287,0.110338,0.109503,0.109194,0.109742,0.108624,0.111664,0.111408,0.000000,0.103663,0.102881,0.108534,0.111696,0.110635,0.108896,0.108195,0.111034,0.110161,0.111039,0.109171,0.109310,0.109900,0.109079,0.111620,0.110924,0.013439,0.104459,0.100590,0.110335,0.114732,0.111616,0.109041,0.114784,0.110065,0.111218,0.110375,0.110049,0.109806,0.110246,0.108445,0.111340,0.110184,0.013056,0.105005,0.102346,0.113855
HAP2_chr15,0.110807,0.109764,0.107335,0.109124,0.108100,0.109508,0.117393,0.108417,0.109556,0.108891,0.098530,0.109449,0.102453,0.110016,0.012086,0.108898,0.108996,0.111267,0.110116,0.107645,0.107167,0.108908,0.108946,0.108629,0.107784,0.108581,0.108353,0.099237,0.108492,0.110642,0.103663,0.000000,0.110116,0.108015,0.110642,0.110519,0.108232,0.107035,0.109337,0.109524,0.109123,0.107390,0.109120,0.108035,0.098837,0.108933,0.109937,0.103354,0.013297,0.107632,0.109295,0.112980,0.110742,0.107973,0.113216,0.108562,0.110118,0.109031,0.109024,0.109385,0.109432,0.098918,0.109875,0.109458,0.107367,0.012912,0.109546,0.113447
HAP2_chr16,0.113423,0.111587,0.109262,0.110828,0.111159,0.111710,0.118765,0.110116,0.111720,0.110275,0.107231,0.111784,0.102352,0.110547,0.110150,0.013943,0.110923,0.113143,0.111772,0.109782,0.108647,0.111410,0.111751,0.111003,0.109564,0.111343,0.109777,0.107228,0.111383,0.110925,0.102881,0.110116,0.000000,0.109431,0.113184,0.111678,0.110457,0.107925,0.112037,0.110836,0.110569,0.110107,0.112012,0.110459,0.107419,0.111841,0.111499,0.102531,0.110839,0.014040,0.111024,0.114792,0.112119,0.109626,0.113979,0.111376,0.112473,0.109873,0.110860,0.111643,0.110984,0.106903,0.111734,0.110326,0.104974,0.111635,0.003712,0.115250
HAP2_chr17,0.108759,0.109078,0.107565,0.105166,0.108115,0.108576,0.117574,0.106489,0.099847,0.108119,0.106013,0.110763,0.108872,0.108189,0.107144,0.107741,0.012066,0.108706,0.110379,0.107083,0.105544,0.108015,0.109068,0.108018,0.105995,0.098896,0.107471,0.105986,0.108187,0.109068,0.108534,0.108015,0.109431,0.000000,0.108548,0.110127,0.108069,0.104586,0.109139,0.109184,0.108906,0.106400,0.098925,0.107407,0.106478,0.108775,0.109000,0.109364,0.108656,0.106276,0.012746,0.111337,0.111019,0.107348,0.111774,0.108011,0.109598,0.107588,0.106859,0.099780,0.109286,0.105736,0.110571,0.108216,0.112848,0.109661,0.108833,0.014509
HAP3_chr01,0.011791,0.109893,0.107387,0.109617,0.109680,0.103344,0.118354,0.108726,0.111237,0.110601,0.110087,0.112820,0.111547,0.101733,0.110358,0.112116,0.109559,0.005743,0.110189,0.108238,0.108352,0.109912,0.103523,0.111981,0.108733,0.110562,0.109560,0.110242,0.111891,0.101892,0.111696,0.110642,0.113184,0.108548,0.000000,0.110148,0.108338,0.108022,0.109935,0.103545,0.111684,0.108870,0.110377,0.110303,0.110167,0.112188,0.101568,0.112825,0.110885,0.110673,0.110145,0.026624,0.111614,0.108331,0.113640,0.110125,0.104621,0.111468,0.109588,0.111326,0.110977,0.109931,0.112497,0.100928,0.115997,0.111767,0.112378,0.114680
HAP3_chr02,0.110356,0.013663,0.095066,0.109573,0.108931,0.109214,0.117439,0.109129,0.110979,0.109478,0.108789,0.111849,0.109925,0.110859,0.110164,0.110269,0.111549,0.110390,0.014120,0.094982,0.108335,0.109460,0.109602,0.110482,0.108863,0.110013,0.108037,0.109109,0.110597,0.112396,0.110635,0.110519,0.111678,0.110127,0.110148,0.000000,0.095464,0.107754,0.109699,0.109367,0.111425,0.109403,0.109848,0.109559,0.108759,0.110426,0.112730,0.110139,0.111332,0.108483,0.111243,0.112119,0.015432,0.094884,0.112847,0.109604,0.110170,0.109949,0.109042,0.110924,0.109751,0.109005,0.112045,0.110351,0.114019,0.111971,0.111254,0.115662
