,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr11,0.116774,0.117109,0.117647,0.112620,0.113337,0.111960,0.109851,0.113289,0.113522,0.121708,0.000000,0.115403,0.113520,0.112887,0.052213,0.115505,0.113677,0.113246,0.116518,0.117594,0.117938,0.114149,0.114166,0.112093,0.108896,0.112559,0.113235,0.121250,0.016573,0.115163,0.112609,0.112859,0.052375,0.114250,0.114212,0.113727
HAP1_chr12,0.114291,0.114551,0.119991,0.116404,0.117553,0.115361,0.114966,0.110128,0.110585,0.118593,0.115403,0.000000,0.051350,0.117297,0.111642,0.112835,0.111758,0.117036,0.114594,0.114600,0.119635,0.117877,0.117357,0.115316,0.114406,0.109279,0.110021,0.119007,0.115557,0.010687,0.052747,0.116729,0.110703,0.112701,0.112763,0.118642
HAP1_chr13,0.118405,0.119014,0.117831,0.114408,0.117247,0.114798,0.113166,0.116350,0.114619,0.123988,0.113520,0.051350,0.000000,0.115951,0.116609,0.117519,0.116867,0.115659,0.119422,0.119310,0.118704,0.116222,0.116244,0.114153,0.112895,0.115675,0.114212,0.123594,0.113428,0.050996,0.018965,0.115433,0.116337,0.116755,0.117552,0.116768
HAP1_chr14,0.119113,0.119743,0.119576,0.114535,0.116339,0.112545,0.111826,0.114479,0.115279,0.123149,0.112887,0.117297,0.115951,0.000000,0.112562,0.114436,0.054008,0.114055,0.119576,0.120331,0.119714,0.115358,0.118109,0.111592,0.111206,0.115063,0.113899,0.122508,0.112298,0.116594,0.115190,0.013714,0.112934,0.113056,0.054335,0.114675
HAP1_chr15,0.113338,0.114411,0.120220,0.115387,0.119150,0.115352,0.113631,0.108860,0.110132,0.118603,0.052213,0.111642,0.116609,0.112562,0.000000,0.110045,0.110207,0.116255,0.112940,0.114471,0.119985,0.116082,0.118289,0.114414,0.113192,0.108565,0.109184,0.118579,0.052969,0.111615,0.115821,0.112989,0.015887,0.109983,0.110690,0.116416
HAP1_chr16,0.112510,0.114743,0.120236,0.116023,0.117928,0.111806,0.113416,0.107887,0.108796,0.120254,0.115505,0.112835,0.117519,0.114436,0.110045,0.000000,0.111220,0.052722,0.112808,0.115718,0.119864,0.117831,0.118246,0.111728,0.114043,0.108513,0.107879,0.119928,0.114134,0.112081,0.117185,0.113505,0.110654,0.015272,0.110572,0.052825
HAP1_chr17,0.114776,0.116045,0.120645,0.117536,0.118973,0.115839,0.114398,0.110479,0.110237,0.119136,0.113677,0.111758,0.116867,0.054008,0.110207,0.111220,0.000000,0.115337,0.114085,0.116162,0.121126,0.118078,0.119599,0.114036,0.114177,0.111258,0.109917,0.119563,0.114346,0.112274,0.116033,0.054016,0.111639,0.110557,0.016330,0.117069
HAP1_chr18,0.118651,0.119996,0.119723,0.114892,0.117061,0.113495,0.113021,0.115398,0.114883,0.123219,0.113246,0.117036,0.115659,0.114055,0.116255,0.052722,0.115337,0.000000,0.118863,0.120088,0.119400,0.116257,0.117537,0.113521,0.112135,0.114958,0.114025,0.123141,0.113829,0.117585,0.113774,0.113430,0.115716,0.052803,0.116333,0.014236
HAP2_chr01,0.009863,0.113052,0.119124,0.116366,0.048170,0.116414,0.114532,0.110105,0.111454,0.118414,0.116518,0.114594,0.119422,0.119576,0.112940,0.112808,0.114085,0.118863,0.000000,0.113701,0.119671,0.118095,0.048213,0.115500,0.113983,0.110747,0.110696,0.118867,0.115938,0.114246,0.117522,0.118697,0.113320,0.112550,0.113970,0.119687
HAP2_chr02,0.113666,0.012761,0.047086,0.116846,0.119490,0.118334,0.116132,0.111951,0.113654,0.118675,0.117594,0.114600,0.119310,0.120331,0.114471,0.115718,0.116162,0.120088,0.113701,0.000000,0.047542,0.118120,0.119535,0.118088,0.115619,0.111855,0.112013,0.118491,0.118313,0.115295,0.118961,0.119876,0.114615,0.114913,0.115511,0.121056
HAP2_chr03,0.119013,0.047339,0.011032,0.117453,0.117487,0.117601,0.115912,0.118053,0.119297,0.124773,0.117938,0.119635,0.118704,0.119714,0.119985,0.119864,0.121126,0.119400,0.119671,0.047542,0.000000,0.118921,0.117626,0.117003,0.115289,0.118906,0.118932,0.124654,0.116966,0.120465,0.117904,0.118789,0.120388,0.119643,0.121179,0.119421
HAP2_chr04,0.117918,0.118713,0.119761,0.017096,0.115861,0.113681,0.112501,0.115577,0.115529,0.048598,0.114149,0.117877,0.116222,0.115358,0.116082,0.117831,0.118078,0.116257,0.118095,0.118120,0.118921,0.000000,0.115788,0.113542,0.112344,0.115449,0.115421,0.049098,0.114326,0.117325,0.114903,0.114577,0.116482,0.117561,0.118533,0.116846
HAP2_chr05,0.048092,0.118891,0.117485,0.114421,0.011272,0.115635,0.113317,0.116127,0.117307,0.123490,0.114166,0.117357,0.116244,0.118109,0.118289,0.118246,0.119599,0.117537,0.048213,0.119535,0.117626,0.115788,0.000000,0.114297,0.112567,0.117005,0.117291,0.123501,0.115134,0.118492,0.114917,0.116987,0.118868,0.118960,0.119927,0.117813
HAP2_chr06,0.115254,0.117457,0.116554,0.111532,0.113658,0.014542,0.110517,0.112905,0.049634,0.122647,0.112093,0.115316,0.114153,0.111592,0.114414,0.111728,0.114036,0.113521,0.115500,0.118088,0.117003,0.113542,0.114297,0.000000,0.109949,0.112423,0.049868,0.122926,0.111650,0.115153,0.112868,0.112238,0.113214,0.111305,0.114230,0.114115
HAP2_chr07,0.113873,0.114825,0.115505,0.109228,0.112245,0.110227,0.013167,0.051841,0.112764,0.122278,0.108896,0.114406,0.112895,0.111206,0.113192,0.114043,0.114177,0.112135,0.113983,0.115619,0.115289,0.112344,0.112567,0.109949,0.000000,0.051803,0.110520,0.121241,0.108800,0.114826,0.111090,0.111395,0.113689,0.113049,0.114459,0.112616
HAP2_chr08,0.110486,0.112159,0.118510,0.113836,0.116486,0.112644,0.051726,0.018266,0.108667,0.118398,0.112559,0.109279,0.115675,0.115063,0.108565,0.108513,0.111258,0.114958,0.110747,0.111855,0.118906,0.115449,0.117005,0.112423,0.051803,0.000000,0.106887,0.118159,0.111718,0.110225,0.114426,0.114495,0.109061,0.107967,0.109798,0.116837
HAP2_chr09,0.110713,0.112444,0.118102,0.113541,0.116090,0.049911,0.111065,0.106761,0.015834,0.117976,0.113235,0.110021,0.114212,0.113899,0.109184,0.107879,0.109917,0.114025,0.110696,0.112013,0.118932,0.115421,0.117291,0.049868,0.110520,0.106887,0.000000,0.117563,0.112217,0.111237,0.114097,0.113208,0.108088,0.107779,0.109773,0.115255
HAP2_chr10,0.117485,0.118440,0.124632,0.050119,0.123647,0.122896,0.122027,0.118146,0.118104,0.011629,0.121250,0.119007,0.123594,0.122508,0.118579,0.119928,0.119563,0.123141,0.118867,0.118491,0.124654,0.049098,0.123501,0.122926,0.121241,0.118159,0.117563,0.000000,0.122542,0.119705,0.122534,0.123069,0.119317,0.119686,0.120380,0.123923
HAP2_chr11,0.116287,0.116995,0.117206,0.112127,0.113307,0.111662,0.108875,0.112867,0.113529,0.121670,0.016573,0.115557,0.113428,0.112298,0.052969,0.114134,0.114346,0.113829,0.115938,0.118313,0.116966,0.114326,0.115134,0.111650,0.108800,0.111718,0.112217,0.122542,0.000000,0.116313,0.112519,0.112412,0.052849,0.113129,0.114107,0.113967
HAP2_chr12,0.113792,0.115388,0.119924,0.116074,0.118667,0.115710,0.115451,0.111239,0.110560,0.119893,0.115163,0.010687,0.050996,0.116594,0.111615,0.112081,0.112274,0.117585,0.114246,0.115295,0.120465,0.117325,0.118492,0.115153,0.114826,0.110225,0.111237,0.119705,0.116313,0.000000,0.052499,0.115941,0.111323,0.112495,0.112376,0.119080
HAP2_chr13,0.117274,0.118638,0.116548,0.113410,0.114964,0.113140,0.112024,0.115654,0.115184,0.122259,0.112609,0.052747,0.018965,0.115190,0.115821,0.117185,0.116033,0.113774,0.117522,0.118961,0.117904,0.114903,0.114917,0.112868,0.111090,0.114426,0.114097,0.122534,0.112519,0.052499,0.000000,0.113982,0.115909,0.117119,0.116071,0.115912
HAP2_chr14,0.117904,0.119629,0.118496,0.113893,0.116567,0.112717,0.112251,0.114899,0.114303,0.123558,0.112859,0.116729,0.115433,0.013714,0.112989,0.113505,0.054016,0.113430,0.118697,0.119876,0.118789,0.114577,0.116987,0.112238,0.111395,0.114495,0.113208,0.123069,0.112412,0.115941,0.113982,0.000000,0.113108,0.113235,0.054475,0.113811
HAP2_chr15,0.114016,0.114267,0.120147,0.115591,0.118669,0.112260,0.113136,0.108941,0.108123,0.119578,0.052375,0.110703,0.116337,0.112934,0.015887,0.110654,0.111639,0.115716,0.113320,0.114615,0.120388,0.116482,0.118868,0.113214,0.113689,0.109061,0.108088,0.119317,0.052849,0.111323,0.115909,0.113108,0.000000,0.109975,0.111356,0.115430
HAP2_chr16,0.111887,0.114909,0.121150,0.115438,0.118834,0.111591,0.112579,0.108035,0.108474,0.119532,0.114250,0.112701,0.116755,0.113056,0.109983,0.015272,0.110557,0.052803,0.112550,0.114913,0.119643,0.117561,0.118960,0.111305,0.113049,0.107967,0.107779,0.119686,0.113129,0.112495,0.117119,0.113235,0.109975,0.000000,0.109350,0.052449
HAP2_chr17,0.114850,0.116026,0.120716,0.116733,0.118697,0.115501,0.114704,0.109662,0.110387,0.119213,0.114212,0.112763,0.117552,0.054335,0.110690,0.110572,0.016330,0.116333,0.113970,0.115511,0.121179,0.118533,0.119927,0.114230,0.114459,0.109798,0.109773,0.120380,0.114107,0.112376,0.116071,0.054475,0.111356,0.109350,0.000000,0.117165
HAP2_chr18,0.119040,0.120078,0.119921,0.115975,0.117084,0.113913,0.112816,0.115607,0.115605,0.124566,0.113727,0.118642,0.116768,0.114675,0.116416,0.052825,0.117069,0.014236,0.119687,0.121056,0.119421,0.116846,0.117813,0.114115,0.112616,0.116837,0.115255,0.123923,0.113967,0.119080,0.115912,0.113811,0.115430,0.052449,0.117165,0.000000
