,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16,HAP4_chr17,HAP4_chr18,HAP4_chr19,HAP4_chr20,HAP4_chr21,HAP4_chr23,HAP4_chr24,HAP4_chr25
HAP1_chr11,0.119530,0.120987,0.117929,0.124092,0.120195,0.123198,0.123184,0.126108,0.122145,0.124305,0.000000,0.120628,0.126136,0.126101,0.121849,0.121344,0.124208,0.120105,0.117920,0.122745,0.119841,0.117388,0.126293,0.126103,0.122193,0.119296,0.121394,0.118226,0.125135,0.119967,0.124222,0.122697,0.125347,0.122336,0.125445,0.010338,0.120583,0.123489,0.124005,0.122394,0.121155,0.125879,0.120032,0.117603,0.123895,0.119731,0.117645,0.123624,0.127517,0.122229,0.119012,0.122328,0.117767,0.124833,0.119534,0.123785,0.121584,0.125619,0.122675,0.123333,0.008865,0.120798,0.124956,0.124949,0.121348,0.121239,0.125005,0.119607,0.119977,0.122551,0.119689,0.123872,0.125739,0.122872,0.119288,0.121112,0.118060,0.122860,0.119658,0.123928,0.121271,0.126073,0.123093,0.122900,0.034983,0.120949,0.125279,0.123604,0.120664,0.120259,0.124094,0.119248,0.120389,0.122646,0.120777,0.124292,0.123906,0.121173
HAP1_chr12,0.121143,0.121492,0.119890,0.123196,0.120880,0.123574,0.125117,0.126845,0.122604,0.125914,0.120628,0.000000,0.126778,0.127138,0.123351,0.122136,0.126368,0.120924,0.118654,0.123760,0.121293,0.119352,0.127638,0.126783,0.124325,0.120784,0.122272,0.119608,0.125057,0.121003,0.124509,0.122673,0.126424,0.122810,0.127010,0.119577,0.012557,0.124770,0.126128,0.123979,0.122505,0.126138,0.120188,0.117920,0.124642,0.121081,0.118036,0.125028,0.127517,0.123222,0.121131,0.121978,0.120585,0.124476,0.120911,0.124387,0.122037,0.125188,0.122505,0.124621,0.120567,0.012294,0.126902,0.126766,0.123268,0.121922,0.126776,0.119308,0.121625,0.124430,0.121078,0.124943,0.127487,0.123505,0.120584,0.121428,0.120192,0.123418,0.121565,0.125068,0.122045,0.126375,0.123184,0.123508,0.117657,0.012179,0.125518,0.126466,0.122122,0.121546,0.125481,0.119308,0.121695,0.122958,0.121955,0.125374,0.125250,0.123847
HAP1_chr13,0.126490,0.126892,0.121055,0.129131,0.126190,0.128611,0.128966,0.130699,0.127945,0.127440,0.126136,0.126778,0.000000,0.130181,0.127263,0.127046,0.129839,0.125551,0.123146,0.128183,0.126035,0.123950,0.130644,0.132123,0.128632,0.125598,0.126642,0.120760,0.130157,0.126721,0.129150,0.128402,0.129473,0.127782,0.130270,0.125079,0.126480,0.012359,0.129984,0.128676,0.127366,0.130214,0.125541,0.122982,0.129127,0.126461,0.123129,0.128872,0.131590,0.127493,0.125456,0.126806,0.121309,0.129297,0.126508,0.129212,0.126492,0.129247,0.126911,0.128036,0.125998,0.127212,0.013752,0.130461,0.127078,0.126952,0.130823,0.125162,0.126436,0.128644,0.126744,0.128340,0.131746,0.127620,0.126159,0.126250,0.121261,0.127734,0.126356,0.128459,0.127331,0.130371,0.128259,0.125682,0.123470,0.126675,0.013352,0.129825,0.126474,0.126509,0.129570,0.125179,0.125759,0.127948,0.126625,0.129228,0.129709,0.128250
HAP1_chr14,0.126336,0.127036,0.125736,0.129639,0.126482,0.128570,0.129968,0.131131,0.127452,0.129918,0.126101,0.127138,0.130181,0.000000,0.128163,0.127650,0.130424,0.125180,0.123468,0.128920,0.126633,0.124589,0.131023,0.131424,0.128470,0.125315,0.126844,0.124388,0.130880,0.126621,0.130283,0.128747,0.130617,0.128152,0.129951,0.125839,0.126829,0.128235,0.012926,0.129160,0.128165,0.129708,0.124847,0.123231,0.129665,0.125855,0.123953,0.129376,0.131724,0.126894,0.126110,0.126807,0.125376,0.130320,0.125654,0.130221,0.127035,0.129822,0.127320,0.128712,0.125686,0.126929,0.130170,0.012660,0.128263,0.127590,0.131641,0.125047,0.127854,0.129345,0.126760,0.127808,0.131440,0.127003,0.125218,0.126089,0.125643,0.129102,0.127110,0.129223,0.127965,0.130106,0.128154,0.128171,0.123615,0.126537,0.129792,0.012454,0.126568,0.127515,0.129637,0.124778,0.127470,0.127944,0.127294,0.129660,0.129280,0.127648
HAP1_chr15,0.123878,0.123690,0.122228,0.124845,0.123610,0.125961,0.118649,0.128487,0.124444,0.126668,0.121849,0.123351,0.127263,0.128163,0.000000,0.123898,0.127034,0.123433,0.120336,0.126005,0.123338,0.120106,0.128637,0.129088,0.125165,0.123088,0.124193,0.122813,0.126642,0.123091,0.126419,0.125722,0.128101,0.125094,0.127937,0.121449,0.123776,0.125776,0.126138,0.014826,0.123489,0.127195,0.122880,0.120191,0.126447,0.123564,0.120100,0.126107,0.129580,0.124313,0.122079,0.124148,0.122862,0.126382,0.123964,0.126719,0.125467,0.127372,0.125362,0.125241,0.121792,0.123645,0.127961,0.127317,0.015529,0.124630,0.128430,0.122342,0.124509,0.125386,0.123477,0.126425,0.127839,0.124737,0.122991,0.124059,0.123292,0.125064,0.124291,0.125801,0.124296,0.128287,0.125610,0.124776,0.120125,0.123921,0.127587,0.126240,0.015036,0.123719,0.127019,0.121201,0.123893,0.125438,0.123896,0.126342,0.127008,0.125738
HAP1_chr16,0.120792,0.122733,0.119636,0.126933,0.121782,0.124178,0.125083,0.128039,0.122890,0.126775,0.121344,0.122136,0.127046,0.127650,0.123898,0.000000,0.124326,0.121718,0.119031,0.122796,0.122033,0.119431,0.128110,0.129090,0.126085,0.120532,0.122772,0.119364,0.128434,0.120989,0.124878,0.122988,0.127589,0.123194,0.128146,0.122194,0.122543,0.125163,0.125360,0.124857,0.011318,0.125509,0.120742,0.118368,0.124786,0.122282,0.118449,0.126194,0.129809,0.124736,0.120176,0.122412,0.118940,0.126549,0.121469,0.125689,0.122376,0.126558,0.123049,0.125459,0.121867,0.122807,0.126283,0.126580,0.123763,0.011742,0.126004,0.120006,0.120542,0.125693,0.121449,0.125949,0.128914,0.124902,0.120315,0.121007,0.119532,0.125374,0.120672,0.124350,0.122918,0.127886,0.124127,0.124728,0.118925,0.122044,0.126605,0.126277,0.123073,0.012178,0.125522,0.119247,0.120466,0.124924,0.122080,0.126811,0.126429,0.125393
HAP1_chr17,0.125483,0.126711,0.124501,0.129197,0.125765,0.128643,0.127546,0.130089,0.126932,0.128862,0.124208,0.126368,0.129839,0.130424,0.127034,0.124326,0.000000,0.124740,0.122756,0.127074,0.125304,0.123447,0.129088,0.131115,0.127921,0.124858,0.126592,0.125195,0.130745,0.125552,0.128368,0.128175,0.130220,0.127425,0.129917,0.124249,0.126214,0.128798,0.129325,0.128020,0.125165,0.010461,0.124325,0.122541,0.127337,0.125799,0.123934,0.128295,0.131603,0.127244,0.125597,0.126422,0.124874,0.130188,0.126081,0.129445,0.126934,0.129484,0.127452,0.128054,0.124916,0.126951,0.129692,0.130350,0.126131,0.125063,0.013267,0.124533,0.126263,0.128509,0.125591,0.128106,0.131161,0.127307,0.125476,0.126093,0.125759,0.128470,0.125386,0.128488,0.127397,0.130162,0.127925,0.127601,0.123056,0.125935,0.129308,0.129644,0.126780,0.124633,0.013009,0.123926,0.126158,0.127931,0.125689,0.128730,0.128618,0.126928
HAP1_chr18,0.119816,0.120778,0.118250,0.124318,0.120623,0.123180,0.123939,0.126660,0.121458,0.125595,0.120105,0.120924,0.125551,0.125180,0.123433,0.121718,0.124740,0.000000,0.118436,0.124051,0.120532,0.118433,0.126343,0.126860,0.123728,0.119692,0.121118,0.118322,0.126093,0.120161,0.124342,0.121926,0.126878,0.122729,0.126964,0.120353,0.121045,0.123688,0.125094,0.123965,0.121812,0.125523,0.013071,0.118064,0.124712,0.120745,0.117664,0.124543,0.127307,0.122587,0.118742,0.121330,0.117758,0.125706,0.119580,0.124892,0.120484,0.125768,0.122014,0.123652,0.120956,0.121515,0.125477,0.126095,0.122622,0.120987,0.126513,0.012950,0.119962,0.124638,0.120169,0.124228,0.127124,0.122930,0.118829,0.120032,0.118656,0.123784,0.119656,0.123600,0.120553,0.126841,0.122759,0.122261,0.117798,0.120572,0.125308,0.124628,0.121607,0.120506,0.124068,0.014258,0.119478,0.123800,0.121387,0.125032,0.124133,0.123298
HAP1_chr19,0.117995,0.118978,0.114359,0.123280,0.116772,0.121451,0.121029,0.124716,0.119246,0.123641,0.117920,0.118654,0.123146,0.123468,0.120336,0.119031,0.122756,0.118436,0.000000,0.121444,0.118413,0.114430,0.125103,0.125626,0.122561,0.116834,0.119321,0.114629,0.124133,0.116540,0.122606,0.119040,0.123935,0.118971,0.125225,0.116073,0.118686,0.122053,0.123469,0.121282,0.119286,0.123069,0.117007,0.007238,0.122468,0.119705,0.115009,0.122648,0.126139,0.121202,0.116098,0.118859,0.114367,0.124051,0.116207,0.121953,0.117519,0.123289,0.119403,0.122507,0.117795,0.118830,0.124121,0.123992,0.119867,0.118524,0.124312,0.117064,0.055245,0.120663,0.119133,0.121896,0.125581,0.121255,0.117149,0.118031,0.114824,0.121795,0.117320,0.121464,0.117803,0.124400,0.119033,0.121554,0.113909,0.118648,0.123823,0.123419,0.118785,0.118417,0.122512,0.116275,0.054450,0.120718,0.119625,0.122966,0.122745,0.121432
HAP1_chr20,0.123152,0.125746,0.123364,0.128987,0.123950,0.127192,0.127903,0.128915,0.125502,0.128141,0.122745,0.123760,0.128183,0.128920,0.126005,0.122796,0.127074,0.124051,0.121444,0.000000,0.124134,0.122475,0.128342,0.129663,0.126450,0.122642,0.126099,0.122853,0.128957,0.124750,0.127689,0.126483,0.128346,0.126431,0.128127,0.122922,0.124249,0.127239,0.128478,0.126430,0.124872,0.127362,0.123297,0.120774,0.011846,0.124747,0.121689,0.126678,0.131159,0.125779,0.122959,0.125521,0.123753,0.129318,0.123775,0.127628,0.125365,0.128122,0.125755,0.126217,0.123282,0.123971,0.128294,0.128536,0.125542,0.123776,0.128055,0.123283,0.125181,0.012180,0.123164,0.126667,0.129918,0.125656,0.123147,0.124681,0.123781,0.127323,0.123883,0.127507,0.125657,0.128573,0.126504,0.126439,0.120807,0.123790,0.127766,0.128624,0.124463,0.123713,0.126550,0.122969,0.125139,0.012360,0.124136,0.127438,0.128119,0.126024
HAP1_chr21,0.120565,0.121377,0.120043,0.124810,0.121727,0.124139,0.124874,0.113389,0.123389,0.126652,0.119841,0.121293,0.126035,0.126633,0.123338,0.122033,0.125304,0.120532,0.118413,0.124134,0.000000,0.117892,0.127643,0.127269,0.124000,0.120437,0.122503,0.119509,0.126537,0.121984,0.125139,0.123433,0.126523,0.123377,0.127091,0.120060,0.121624,0.124613,0.125198,0.124287,0.122034,0.126369,0.120020,0.118444,0.124626,0.014302,0.117619,0.124827,0.127473,0.123201,0.119814,0.122085,0.119685,0.125476,0.121866,0.124433,0.122457,0.126064,0.123691,0.121873,0.121541,0.121571,0.126106,0.125954,0.123592,0.121940,0.126522,0.119929,0.122938,0.124836,0.014132,0.124733,0.126795,0.123178,0.120019,0.121752,0.119548,0.124092,0.120608,0.125020,0.122912,0.127286,0.123625,0.124097,0.117870,0.121735,0.126689,0.125230,0.122655,0.121108,0.125147,0.119086,0.122608,0.123839,0.014516,0.125349,0.125021,0.123819
HAP1_chr22,0.117837,0.119286,0.112177,0.121491,0.117631,0.121461,0.121033,0.125768,0.120190,0.122454,0.117388,0.119352,0.123950,0.124589,0.120106,0.119431,0.123447,0.118433,0.114430,0.122475,0.117892,0.000000,0.124168,0.126752,0.120049,0.116039,0.119950,0.111578,0.122418,0.117669,0.122540,0.119980,0.124605,0.120168,0.124617,0.116810,0.119143,0.121253,0.123142,0.120627,0.118748,0.125202,0.117100,0.114386,0.123188,0.118056,0.012806,0.121254,0.125375,0.119353,0.116733,0.119160,0.110925,0.121661,0.117638,0.121848,0.118214,0.124212,0.120134,0.120275,0.118287,0.119757,0.124194,0.124038,0.119903,0.119142,0.125100,0.116225,0.052524,0.122215,0.118606,0.121672,0.125777,0.117897,0.116120,0.119180,0.111359,0.119796,0.117929,0.122090,0.118551,0.124998,0.120430,0.119752,0.115471,0.118550,0.123667,0.122721,0.117715,0.118525,0.122762,0.115500,0.053062,0.121712,0.119413,0.122469,0.123624,0.117462
HAP1_chr23,0.127643,0.128158,0.126599,0.129562,0.127384,0.128803,0.129864,0.131334,0.129154,0.129327,0.126293,0.127638,0.130644,0.131023,0.128637,0.128110,0.129088,0.126343,0.125103,0.128342,0.127643,0.124168,0.000000,0.131023,0.128372,0.126788,0.128513,0.127172,0.129618,0.128013,0.129908,0.130064,0.130335,0.129238,0.130182,0.125484,0.127639,0.130142,0.131166,0.128870,0.128435,0.130691,0.125564,0.124893,0.129141,0.126500,0.124025,0.012767,0.131441,0.128157,0.127509,0.128270,0.127297,0.130240,0.127732,0.130195,0.128733,0.130375,0.128865,0.128199,0.125901,0.127970,0.130741,0.130923,0.127476,0.127830,0.130084,0.125949,0.129373,0.127769,0.126589,0.012870,0.130969,0.128182,0.127466,0.127833,0.127651,0.128323,0.127800,0.129650,0.129689,0.130771,0.129714,0.127908,0.123545,0.127609,0.130456,0.131025,0.127263,0.127590,0.129206,0.124725,0.128505,0.127989,0.127477,0.012535,0.129027,0.127990
HAP1_chr24,0.128293,0.128241,0.128831,0.130487,0.128783,0.129846,0.131176,0.132133,0.129237,0.131046,0.126103,0.126783,0.132123,0.131424,0.129088,0.129090,0.131115,0.126860,0.125626,0.129663,0.127269,0.126752,0.131023,0.000000,0.129441,0.128351,0.129028,0.129427,0.131167,0.129264,0.130549,0.130567,0.131789,0.129625,0.131888,0.126485,0.127343,0.130591,0.130921,0.129327,0.129147,0.131456,0.126707,0.125517,0.131280,0.127337,0.125707,0.130276,0.013728,0.128776,0.128138,0.128590,0.129833,0.131110,0.129223,0.131334,0.129119,0.130899,0.129252,0.129989,0.125583,0.128146,0.131729,0.131072,0.129250,0.128923,0.132621,0.127617,0.130337,0.129906,0.126954,0.129233,0.011998,0.129577,0.128384,0.128534,0.129541,0.129444,0.129356,0.131145,0.129789,0.131006,0.130350,0.129842,0.124359,0.127556,0.131078,0.130851,0.127961,0.128895,0.130628,0.126124,0.129919,0.128912,0.128252,0.131235,0.014624,0.128502
