,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr11,0.082623,0.080755,0.081304,0.081509,0.082518,0.084507,0.080942,0.083266,0.040848,0.083931,0.000000,0.081165,0.080871,0.081740,0.084555,0.082118,0.081465,0.081383,0.080788,0.080662,0.084197,0.081651,0.085304,0.083023,0.081310,0.080014,0.027628,0.081358,0.020353,0.080957,0.080539,0.084193,0.081170,0.081878,0.084522,0.083563
HAP1_chr12,0.083008,0.080606,0.081052,0.081743,0.082599,0.084166,0.080844,0.083361,0.083897,0.037987,0.081165,0.000000,0.080898,0.081824,0.085083,0.082119,0.081956,0.081720,0.081130,0.080777,0.084140,0.081600,0.085286,0.082698,0.081481,0.080205,0.080840,0.023544,0.080937,0.017999,0.080433,0.084665,0.081766,0.081961,0.085080,0.084243
HAP1_chr13,0.081592,0.080134,0.079725,0.082186,0.080998,0.083972,0.080437,0.042384,0.082841,0.083841,0.080871,0.080898,0.000000,0.080196,0.084023,0.080156,0.080047,0.080298,0.081259,0.080586,0.084056,0.081869,0.085545,0.080235,0.081614,0.030264,0.079992,0.080877,0.080600,0.081292,0.026789,0.083227,0.080516,0.080545,0.084346,0.081027
HAP1_chr14,0.043055,0.081364,0.080789,0.082794,0.082014,0.084863,0.081359,0.083748,0.083708,0.084507,0.081740,0.081824,0.080196,0.000000,0.085170,0.081396,0.081091,0.081103,0.026672,0.081575,0.084949,0.082500,0.086212,0.081526,0.063658,0.081131,0.081313,0.081911,0.081686,0.081878,0.080350,0.040620,0.081609,0.081721,0.085170,0.082204
HAP1_chr15,0.087370,0.084931,0.084254,0.086423,0.086921,0.080340,0.084926,0.079376,0.080181,0.079932,0.084555,0.085083,0.084023,0.085170,0.000000,0.041101,0.085511,0.084529,0.085277,0.085000,0.080617,0.086071,0.081656,0.086557,0.085093,0.084252,0.084309,0.084586,0.084652,0.084787,0.083451,0.080990,0.041847,0.038702,0.080124,0.086475
HAP1_chr16,0.083433,0.081901,0.080997,0.083604,0.082460,0.085361,0.081859,0.083786,0.083809,0.085013,0.082118,0.082119,0.080156,0.081396,0.041101,0.000000,0.081155,0.081134,0.082391,0.082314,0.085349,0.083350,0.086686,0.081725,0.082387,0.081304,0.081127,0.082079,0.082048,0.082370,0.080144,0.084352,0.031325,0.026130,0.085147,0.082231
HAP1_chr17,0.082892,0.081654,0.081694,0.083284,0.082484,0.085644,0.082437,0.084308,0.083566,0.085355,0.081465,0.081956,0.080047,0.081091,0.085511,0.081155,0.000000,0.030212,0.081580,0.081786,0.085881,0.083428,0.087222,0.081877,0.081719,0.080560,0.081382,0.082743,0.081136,0.081676,0.080802,0.084369,0.080565,0.081758,0.044334,0.039029
HAP1_chr18,0.084067,0.082195,0.081617,0.083821,0.083258,0.084707,0.081902,0.083223,0.082968,0.084620,0.081383,0.081720,0.080298,0.081103,0.084529,0.081134,0.030212,0.000000,0.081950,0.082478,0.085456,0.083757,0.086515,0.082421,0.081263,0.080948,0.080937,0.081693,0.081562,0.081898,0.080239,0.083813,0.081457,0.081275,0.039129,0.031034
HAP2_chr01,0.045180,0.080661,0.081578,0.081689,0.082776,0.084729,0.080952,0.083880,0.084150,0.084480,0.080788,0.081130,0.081259,0.026672,0.085277,0.082391,0.081580,0.081950,0.000000,0.080384,0.084848,0.081571,0.085958,0.082922,0.061554,0.079678,0.081515,0.081812,0.080665,0.080826,0.080742,0.040152,0.081038,0.082222,0.085151,0.084212
HAP2_chr02,0.080512,0.015694,0.033139,0.080247,0.080995,0.083574,0.080042,0.083161,0.083129,0.083919,0.080662,0.080777,0.080586,0.081575,0.085000,0.082314,0.081786,0.082478,0.080384,0.000000,0.039527,0.080232,0.083888,0.081847,0.083304,0.079299,0.081313,0.081331,0.080250,0.080113,0.080342,0.084195,0.080796,0.082549,0.085596,0.084779
HAP2_chr03,0.085220,0.041019,0.037516,0.084300,0.085006,0.079374,0.083479,0.078605,0.079938,0.079406,0.084197,0.084140,0.084056,0.084949,0.080617,0.085349,0.085881,0.085456,0.084848,0.039527,0.000000,0.083973,0.079786,0.085353,0.086426,0.084003,0.084120,0.083682,0.084113,0.083888,0.082971,0.080578,0.085066,0.085470,0.081158,0.087655
HAP2_chr04,0.081737,0.080268,0.080692,0.018555,0.027174,0.084513,0.080954,0.084116,0.084294,0.084941,0.081651,0.081600,0.081869,0.082500,0.086071,0.083350,0.083428,0.083757,0.081571,0.080232,0.083973,0.000000,0.036535,0.082868,0.084303,0.080816,0.081868,0.081916,0.081388,0.081457,0.081258,0.085290,0.082453,0.083486,0.086651,0.085928
HAP2_chr05,0.086059,0.084023,0.083352,0.037798,0.040334,0.080219,0.084531,0.079986,0.080829,0.080676,0.085304,0.085286,0.085545,0.086212,0.081656,0.086686,0.087222,0.086515,0.085958,0.083888,0.079786,0.036535,0.000000,0.086454,0.088128,0.085254,0.085576,0.085116,0.085433,0.084966,0.084657,0.081534,0.086474,0.086740,0.082585,0.088662
HAP2_chr06,0.046529,0.081298,0.080682,0.083304,0.081535,0.039754,0.029879,0.084789,0.083960,0.085308,0.083023,0.082698,0.080235,0.081526,0.086557,0.081725,0.081877,0.082421,0.082922,0.081847,0.085353,0.082868,0.086454,0.000000,0.053395,0.081778,0.082156,0.082836,0.082813,0.082759,0.080835,0.084856,0.082399,0.082380,0.086820,0.082092
HAP2_chr07,0.086301,0.083451,0.083908,0.084225,0.085572,0.056497,0.046895,0.084174,0.084618,0.085170,0.081310,0.081481,0.081614,0.063658,0.085093,0.082387,0.081719,0.081263,0.061554,0.083304,0.086426,0.084303,0.088128,0.053395,0.000000,0.080590,0.081925,0.081694,0.081450,0.081439,0.081203,0.070550,0.081928,0.082203,0.084501,0.083822
HAP2_chr08,0.081614,0.079332,0.080530,0.080564,0.081807,0.083899,0.080218,0.042511,0.083203,0.083740,0.080014,0.080205,0.030264,0.081131,0.084252,0.081304,0.080560,0.080948,0.079678,0.079299,0.084003,0.080816,0.085254,0.081778,0.080590,0.000000,0.080770,0.080962,0.079720,0.079874,0.029849,0.083882,0.080055,0.081340,0.084436,0.083111
HAP2_chr09,0.082614,0.080934,0.080530,0.082300,0.082154,0.084485,0.080963,0.083125,0.040690,0.084005,0.027628,0.080840,0.079992,0.081313,0.084309,0.081127,0.081382,0.080937,0.081515,0.081313,0.084120,0.081868,0.085576,0.082156,0.081925,0.080770,0.000000,0.080794,0.028247,0.081215,0.079565,0.083677,0.081506,0.081143,0.084600,0.082537
HAP2_chr10,0.083327,0.081075,0.080873,0.082440,0.082908,0.083925,0.080874,0.082809,0.083480,0.037070,0.081358,0.023544,0.080877,0.081911,0.084586,0.082079,0.082743,0.081693,0.081812,0.081331,0.083682,0.081916,0.085116,0.082836,0.081694,0.080962,0.080794,0.000000,0.081176,0.024877,0.079910,0.084219,0.082138,0.081890,0.084624,0.084362
HAP2_chr11,0.082358,0.080490,0.081074,0.081530,0.082505,0.084544,0.080958,0.083307,0.041439,0.084198,0.020353,0.080937,0.080600,0.081686,0.084652,0.082048,0.081136,0.081562,0.080665,0.080250,0.084113,0.081388,0.085433,0.082813,0.081450,0.079720,0.028247,0.081176,0.000000,0.080517,0.080340,0.084295,0.080914,0.081788,0.084617,0.083801
HAP2_chr12,0.082388,0.080235,0.081241,0.081228,0.082473,0.083996,0.080830,0.083157,0.083699,0.038826,0.080957,0.017999,0.081292,0.081878,0.084787,0.082370,0.081676,0.081898,0.080826,0.080113,0.083888,0.081457,0.084966,0.082759,0.081439,0.079874,0.081215,0.024877,0.080517,0.000000,0.080658,0.084358,0.080955,0.082169,0.084887,0.084450
HAP2_chr13,0.081544,0.079778,0.079209,0.081521,0.081214,0.083158,0.079879,0.041439,0.082339,0.083079,0.080539,0.080433,0.026789,0.080350,0.083451,0.080144,0.080802,0.080239,0.080742,0.080342,0.082971,0.081258,0.084657,0.080835,0.081203,0.029849,0.079565,0.079910,0.080340,0.080658,0.000000,0.083166,0.080791,0.080415,0.083804,0.081899
HAP2_chr14,0.051493,0.084279,0.083135,0.085693,0.085506,0.080752,0.084133,0.079764,0.080088,0.080409,0.084193,0.084665,0.083227,0.040620,0.080990,0.084352,0.084369,0.083813,0.040152,0.084195,0.080578,0.085290,0.081534,0.084856,0.070550,0.083882,0.083677,0.084219,0.084295,0.084358,0.083166,0.000000,0.084355,0.084417,0.081047,0.084933
HAP2_chr15,0.082497,0.081007,0.081474,0.082363,0.082284,0.085347,0.081631,0.083590,0.083524,0.084868,0.081170,0.081766,0.080516,0.081609,0.041847,0.031325,0.080565,0.081457,0.081038,0.080796,0.085066,0.082453,0.086474,0.082399,0.081928,0.080055,0.081506,0.082138,0.080914,0.080955,0.080791,0.084355,0.000000,0.028577,0.085156,0.082951
HAP2_chr16,0.083818,0.082202,0.081660,0.083740,0.082820,0.085157,0.081663,0.083700,0.083775,0.084650,0.081878,0.081961,0.080545,0.081721,0.038702,0.026130,0.081758,0.081275,0.082222,0.082549,0.085470,0.083486,0.086740,0.082380,0.082203,0.081340,0.081143,0.081890,0.081788,0.082169,0.080415,0.084417,0.028577,0.000000,0.084937,0.082869
HAP2_chr17,0.088234,0.085633,0.085069,0.087266,0.087760,0.081205,0.085154,0.079511,0.080663,0.080132,0.084522,0.085080,0.084346,0.085170,0.080124,0.085147,0.044334,0.039129,0.085151,0.085596,0.081158,0.086651,0.082585,0.086820,0.084501,0.084436,0.084600,0.084624,0.084617,0.084887,0.083804,0.081047,0.085156,0.084937,0.000000,0.044782
HAP2_chr18,0.084832,0.084096,0.082960,0.086203,0.083785,0.086888,0.083933,0.085304,0.084326,0.086579,0.083563,0.084243,0.081027,0.082204,0.086475,0.082231,0.039029,0.031034,0.084212,0.084779,0.087655,0.085928,0.088662,0.082092,0.083822,0.083111,0.082537,0.084362,0.083801,0.084450,0.081899,0.084933,0.082951,0.082869,0.044782,0.000000
