,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr11,0.101137,0.101440,0.102313,0.098045,0.127725,0.100093,0.101023,0.126553,0.118608,0.123662,0.000000,0.087877,0.127981,0.126289,0.129714,0.132882,0.101132,0.101426,0.102309,0.098035,0.127750,0.100065,0.100994,0.126536,0.118621,0.123656,0.000021,0.087842,0.127951,0.126244,0.129647,0.132864
HAP1_chr12,0.127582,0.121996,0.126988,0.124371,0.109779,0.127486,0.127572,0.107682,0.105797,0.105460,0.087877,0.000000,0.108690,0.108950,0.109789,0.110902,0.127581,0.121983,0.126950,0.124365,0.109736,0.127493,0.127497,0.107694,0.105815,0.105454,0.087877,0.000046,0.108760,0.108954,0.109431,0.110875
HAP1_chr13,0.092201,0.126710,0.127428,0.123544,0.110203,0.126053,0.127520,0.107331,0.105817,0.105201,0.127981,0.108690,0.000000,0.108783,0.109783,0.111783,0.092210,0.126693,0.127419,0.123534,0.110186,0.126061,0.127435,0.107371,0.105814,0.105197,0.127974,0.108674,0.000057,0.108788,0.109662,0.111761
HAP1_chr14,0.127391,0.126573,0.126714,0.122033,0.109545,0.082078,0.127064,0.106844,0.104491,0.103362,0.126289,0.108950,0.108783,0.000000,0.109696,0.111993,0.127391,0.126481,0.126717,0.122021,0.109550,0.082091,0.126926,0.106862,0.104522,0.103350,0.126283,0.108936,0.108797,0.000017,0.109633,0.111974
HAP1_chr15,0.120884,0.120302,0.130485,0.125629,0.111871,0.129414,0.117609,0.107823,0.106114,0.105660,0.129714,0.109789,0.109783,0.109696,0.000000,0.110534,0.120889,0.120283,0.130506,0.125631,0.111870,0.129409,0.117626,0.107895,0.106117,0.105656,0.129708,0.109760,0.109860,0.109704,0.000350,0.110513
HAP1_chr16,0.135875,0.127088,0.134395,0.128324,0.115731,0.132351,0.098405,0.110095,0.108333,0.108400,0.132882,0.110902,0.111783,0.111993,0.110534,0.000000,0.135873,0.127073,0.134402,0.128335,0.115704,0.132349,0.098377,0.110149,0.108367,0.108394,0.132874,0.110897,0.111942,0.111997,0.110394,0.000026
HAP2_chr01,0.000017,0.097501,0.099649,0.096874,0.124865,0.100547,0.101378,0.126218,0.124253,0.109281,0.101132,0.127581,0.092210,0.127391,0.120889,0.135873,0.000000,0.097487,0.099641,0.096857,0.124839,0.100515,0.101212,0.126224,0.124264,0.109275,0.101119,0.127535,0.092206,0.127354,0.120894,0.135850
HAP2_chr02,0.097502,0.000011,0.099367,0.096300,0.125187,0.099621,0.101241,0.096607,0.115086,0.122816,0.101426,0.121983,0.126693,0.126481,0.120283,0.127073,0.097487,0.000000,0.099367,0.096279,0.125153,0.099595,0.101086,0.096538,0.115095,0.122811,0.101413,0.121944,0.126682,0.126443,0.120218,0.127055
HAP2_chr03,0.099658,0.099422,0.000051,0.097509,0.081241,0.101102,0.101731,0.125838,0.124519,0.123270,0.102309,0.126950,0.127419,0.126717,0.130506,0.134402,0.099641,0.099367,0.000000,0.097504,0.081247,0.101080,0.101633,0.125873,0.124530,0.123263,0.102284,0.126976,0.127520,0.126676,0.130260,0.134352
HAP2_chr04,0.096893,0.096307,0.097486,0.000027,0.122960,0.095473,0.097144,0.120937,0.097548,0.099041,0.098035,0.124365,0.123534,0.122021,0.125631,0.128335,0.096857,0.096279,0.097504,0.000000,0.122963,0.095412,0.097053,0.120981,0.097561,0.099039,0.098004,0.124320,0.123553,0.121980,0.125610,0.128322
HAP2_chr05,0.124848,0.125173,0.081240,0.122951,0.000082,0.126440,0.127040,0.108083,0.106498,0.106000,0.127750,0.109736,0.110186,0.109550,0.111870,0.115704,0.124839,0.125153,0.081247,0.122963,0.000000,0.126424,0.126883,0.108156,0.106526,0.105994,0.127747,0.109769,0.110259,0.109554,0.111711,0.115676
HAP2_chr06,0.100519,0.099667,0.101057,0.095394,0.126457,0.000041,0.099132,0.125474,0.123061,0.121847,0.100065,0.127493,0.126061,0.082091,0.129409,0.132349,0.100515,0.099595,0.101080,0.095412,0.126424,0.000000,0.099034,0.125482,0.123076,0.121840,0.100042,0.127444,0.126041,0.082061,0.129349,0.132337
HAP2_chr07,0.101216,0.101154,0.101598,0.097052,0.126878,0.099064,0.000225,0.118326,0.124571,0.117783,0.100994,0.127497,0.127435,0.126926,0.117626,0.098377,0.101212,0.101086,0.101633,0.097053,0.126883,0.099034,0.000000,0.118352,0.124583,0.117782,0.100973,0.127449,0.127457,0.126879,0.117583,0.098370
HAP2_chr08,0.126226,0.096547,0.125874,0.120977,0.108173,0.125493,0.118378,0.000083,0.103686,0.102157,0.126536,0.107694,0.107371,0.106862,0.107895,0.110149,0.126224,0.096538,0.125873,0.120981,0.108156,0.125482,0.118352,0.000000,0.103729,0.102154,0.126528,0.107676,0.107540,0.106864,0.107766,0.110130
HAP2_chr09,0.124269,0.115109,0.124539,0.097568,0.106544,0.123085,0.124760,0.103678,0.000017,0.099991,0.118621,0.105815,0.105814,0.104522,0.106117,0.108367,0.124264,0.115095,0.124530,0.097561,0.106526,0.123076,0.124583,0.103729,0.000000,0.099986,0.118618,0.105808,0.105877,0.104527,0.105964,0.108330
HAP2_chr10,0.109272,0.122848,0.123262,0.099048,0.106008,0.121841,0.117851,0.102108,0.099965,0.000009,0.123656,0.105454,0.105197,0.103350,0.105656,0.108394,0.109275,0.122811,0.123263,0.099039,0.105994,0.121840,0.117782,0.102154,0.099986,0.000000,0.123651,0.105439,0.105242,0.103352,0.105607,0.108355
HAP2_chr11,0.101125,0.101429,0.102288,0.098014,0.127722,0.100070,0.101002,0.126545,0.118605,0.123656,0.000021,0.087877,0.127974,0.126283,0.129708,0.132874,0.101119,0.101413,0.102284,0.098004,0.127747,0.100042,0.100973,0.126528,0.118618,0.123651,0.000000,0.087841,0.127944,0.126238,0.129642,0.132856
HAP2_chr12,0.127536,0.121957,0.127003,0.124326,0.109800,0.127437,0.127524,0.107664,0.105790,0.105445,0.087842,0.000046,0.108674,0.108936,0.109760,0.110897,0.127535,0.121944,0.126976,0.124320,0.109769,0.127444,0.127449,0.107676,0.105808,0.105439,0.087841,0.000000,0.108737,0.108939,0.109418,0.110872
HAP2_chr13,0.092196,0.126699,0.127524,0.123562,0.110265,0.126033,0.127542,0.107504,0.105881,0.105247,0.127951,0.108760,0.000057,0.108797,0.109860,0.111942,0.092206,0.126682,0.127520,0.123553,0.110259,0.126041,0.127457,0.107540,0.105877,0.105242,0.127944,0.108737,0.000000,0.108802,0.109778,0.111926
HAP2_chr14,0.127353,0.126535,0.126673,0.121993,0.109549,0.082051,0.127018,0.106846,0.104496,0.103365,0.126244,0.108954,0.108788,0.000017,0.109704,0.111997,0.127354,0.126443,0.126676,0.121980,0.109554,0.082061,0.126879,0.106864,0.104527,0.103352,0.126238,0.108939,0.108802,0.000000,0.109640,0.111977
HAP2_chr15,0.120889,0.120237,0.130251,0.125610,0.111727,0.129355,0.117559,0.107712,0.105960,0.105612,0.129647,0.109431,0.109662,0.109633,0.000350,0.110394,0.120894,0.120218,0.130260,0.125610,0.111711,0.129349,0.117583,0.107766,0.105964,0.105607,0.129642,0.109418,0.109778,0.109640,0.000000,0.110369
HAP2_chr16,0.135852,0.127071,0.134346,0.128312,0.115708,0.132338,0.098398,0.110075,0.108301,0.108361,0.132864,0.110875,0.111761,0.111974,0.110513,0.000026,0.135850,0.127055,0.134352,0.128322,0.115676,0.132337,0.098370,0.110130,0.108330,0.108355,0.132856,0.110872,0.111926,0.111977,0.110369,0.000000
